"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"ABCA3","Lipid synthesis",0.397,0.61809263878206,"0.40","0.618",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ABCB10",NA,0.955,0.0188023321064592,"0.95","0.019",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ABCB6",NA,-0.264,0.888384566911816,"-0.26","0.888",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ABHD5",NA,0.599,0.70105264518244,"0.60","0.701",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ACE2",NA,2.85,0.26745257673654,"2.85","0.267",FALSE,TRUE,FALSE,FALSE,"NS",NA
"ACOT13",NA,0.859,0.00492325154346724,"0.86","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ACTMAP",NA,-0.84,0.0150618557890389,"-0.84","0.015",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ADAM9",NA,0.315,0.397349032414165,"0.32","0.397",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADAMTS1",NA,1.24,3.7252079449389e-05,"1.24","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ADD1",NA,-0.21,0.302480610694665,"-0.21","0.302",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADGRG6",NA,0.307,0.883072439532197,"0.31","0.883",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AGA",NA,2.48,0.00206132315086879,"2.48","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"AHDC1",NA,0.689,0.0270483519749756,"0.69","0.027",TRUE,FALSE,FALSE,FALSE,"NS",NA
"AIFM2",NA,-0.941,0.578269781820375,"-0.94","0.578",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AIRIM",NA,-2.69,0.000234969402128131,"-2.69","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"AKAP7",NA,-0.00322,0.998997091266412,"-0.00","0.999",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AKIRIN2",NA,-1.51,0.00492325154346724,"-1.51","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ALDH18A1",NA,1.25,0.0216237065196589,"1.25","0.022",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ALDH1L2",NA,-0.26,0.308094866138386,"-0.26","0.308",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ALG1","N-glycans",0.298,0.562166581304815,"0.30","0.562",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ALKBH8",NA,5.58,0.0246467775429469,"5.58","0.025",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"AMFR",NA,-0.12,0.685077658072813,"-0.12","0.685",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AMMECR1",NA,6.06,8.40977325060995e-06,"6.06","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"AMOT",NA,-0.0153,0.978326151165752,"-0.02","0.978",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AMOTL1",NA,-0.168,0.66797102455781,"-0.17","0.668",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ANAPC16",NA,-0.539,0.122706944672032,"-0.54","0.123",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ANAPC4",NA,0.154,0.653051389837959,"0.15","0.653",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ANGEL1",NA,-0.51,0.674037061895922,"-0.51","0.674",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ANKLE2",NA,-0.0408,0.923438242508827,"-0.04","0.923",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ANXA4",NA,0.855,0.000660794386642152,"0.85","<0.001",TRUE,FALSE,FALSE,FALSE,"NS",NA
"APLP1",NA,-1.36,0.389553020786627,"-1.36","0.390",FALSE,TRUE,FALSE,FALSE,"NS",NA
"APLP2",NA,0.476,0.301153925955061,"0.48","0.301",FALSE,FALSE,FALSE,FALSE,"NS",NA
"APOA1",NA,0.961,0.0315915003437866,"0.96","0.032",TRUE,FALSE,FALSE,FALSE,"NS",NA
"APOC3",NA,3.36,0.000593855076351096,"3.36","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"APOE",NA,-0.0577,0.9301988001313,"-0.06","0.930",FALSE,FALSE,FALSE,FALSE,"NS",NA
"APOH",NA,5.13,0.00010166676626178,"5.13","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"APP",NA,0.559,0.164791455773269,"0.56","0.165",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARB2A",NA,0.273,0.583300309830897,"0.27","0.583",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARF3",NA,-0.199,0.950706955880395,"-0.20","0.951",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARL5B",NA,0.768,0.682176825469954,"0.77","0.682",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARL6IP1",NA,-0.624,0.308595740079228,"-0.62","0.309",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ARMC7",NA,-2.93,0.000459438743259613,"-2.93","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ART5",NA,0.0637,0.89266136051183,"0.06","0.893",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ASPRV1",NA,-0.331,0.900340811708446,"-0.33","0.900",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATAD5",NA,0.257,0.355789922432173,"0.26","0.356",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATF3",NA,0.125,0.859465029783051,"0.12","0.859",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATF4",NA,-0.149,0.880358928442248,"-0.15","0.880",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATP5MK",NA,-0.799,0.0179308076865576,"-0.80","0.018",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ATP6V0D2",NA,-6.36,3.89440740783976e-07,"-6.36","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ATP6V1D",NA,-0.0062,0.98434283562176,"-0.01","0.984",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ATR",NA,0.0805,0.927381031813996,"0.08","0.927",FALSE,FALSE,FALSE,FALSE,"NS",NA
"B3GALNT2",NA,-1.17,0.613225454420593,"-1.17","0.613",FALSE,TRUE,FALSE,FALSE,"NS",NA
"B4GALT5",NA,0.285,0.61902806157997,"0.28","0.619",FALSE,FALSE,FALSE,FALSE,"NS",NA
"B4GALT6",NA,0.166,0.892027170308279,"0.17","0.892",FALSE,FALSE,FALSE,FALSE,"NS",NA
"B9D1",NA,-5.58,4.27226391080023e-07,"-5.58","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BACE1",NA,-0.193,0.885597360623378,"-0.19","0.886",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BCL2L12",NA,-6.75,6.77547790769888e-08,"-6.75","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BCOR",NA,-0.186,0.542611532116491,"-0.19","0.543",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BIRC2",NA,-0.502,0.334846950011584,"-0.50","0.335",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BLM",NA,0.499,0.024713096433447,"0.50","0.025",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BLOC1S4",NA,-1.69,7.37979510307064e-05,"-1.69","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BMP2",NA,1.57,0.459747836729915,"1.57","0.460",FALSE,TRUE,FALSE,FALSE,"NS",NA
"BMP4",NA,-5.8,6.2328910335824e-05,"-5.80","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BMPR2",NA,-0.466,0.847625760037806,"-0.47","0.848",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BNIP3",NA,1.63,0.269039959212155,"1.63","0.269",FALSE,TRUE,FALSE,FALSE,"NS",NA
"BOD1",NA,-3.78,8.37921073749832e-06,"-3.78","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BORCS6",NA,-0.438,0.227706576999566,"-0.44","0.228",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BPGM",NA,-0.406,0.217183698331711,"-0.41","0.217",FALSE,FALSE,FALSE,FALSE,"NS",NA
"BPNT2",NA,0.943,0.00682315425633503,"0.94","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BRI3",NA,-5.51,1.95277614740891e-06,"-5.51","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"BRI3BP",NA,0.647,0.00739938268898112,"0.65","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BRWD3",NA,0.652,0.0389659882187424,"0.65","0.039",TRUE,FALSE,FALSE,FALSE,"NS",NA
"BTBD9",NA,-2.82,0.328692590882461,"-2.82","0.329",FALSE,TRUE,FALSE,FALSE,"NS",NA
"BTN2A3P",NA,4.13,0.122621789262607,"4.13","0.123",FALSE,TRUE,FALSE,FALSE,"NS",NA
"C1orf159",NA,3.59,0.0179308076865576,"3.59","0.018",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"C1orf198",NA,-1.48,0.00051541299437775,"-1.48","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"C2CD2L",NA,0.491,0.337628862173698,"0.49","0.338",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C4A",NA,0.365,0.854945066710673,"0.36","0.855",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C4BPA",NA,4,0.00206132315086879,"4.00","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"C6orf89",NA,-0.0358,0.956684126627524,"-0.04","0.957",FALSE,FALSE,FALSE,FALSE,"NS",NA
"C8orf88",NA,-5.36,0.00321100686194955,"-5.36","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"C9orf72",NA,1.77,0.565827199009731,"1.77","0.566",FALSE,TRUE,FALSE,FALSE,"NS",NA
"CABIN1",NA,0.503,0.192356635674889,"0.50","0.192",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CALCOCO2",NA,-0.398,0.37945934617529,"-0.40","0.379",FALSE,FALSE,FALSE,FALSE,"NS",NA
"CAMKK1",NA,-1.33,0.000552957326188855,"-1.33","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CARMIL2",NA,-1.5,0.00491049773942391,"-1.50","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"CASTOR2",NA,0.815,0.214221289061193,"0.81","0.214",FALSE,FALSE,FALSE,FALSE,"NS",NA
