"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"ABCA3","Lipid synthesis",2.58,0.000456788378216841,"2.58","<0.001",TRUE,TRUE,TRUE,FALSE,"Lipid synthesis",NA
"ABCB10",NA,1.58,0.000302420133453643,"1.58","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ABCB6",NA,0.182,0.91137535829506,"0.18","0.911",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ABHD5",NA,0.614,0.659371046969002,"0.61","0.659",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ACE2",NA,0.189,0.953751123233117,"0.19","0.954",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ACOT13",NA,0.942,0.00136740233778807,"0.94","<0.01",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ACTMAP",NA,-0.738,0.0186670607318863,"-0.74","0.019",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ADAM9",NA,0.328,0.336781544213067,"0.33","0.337",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADAMTS1",NA,1.48,3.53485631714534e-06,"1.48","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ADD1",NA,-0.187,0.328257682995694,"-0.19","0.328",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADGRG6",NA,1.86,0.183472662372901,"1.86","0.183",FALSE,TRUE,FALSE,FALSE,"NS",NA
"AGA",NA,0.172,0.844446740400369,"0.17","0.844",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AHDC1",NA,0.627,0.0291774092874606,"0.63","0.029",TRUE,FALSE,FALSE,FALSE,"NS",NA
"AIFM2",NA,3.48,0.0133502105757747,"3.48","0.013",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"AIRIM",NA,-3.08,4.24366596363874e-05,"-3.08","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"AKAP7",NA,4.27,0.0526690422564906,"4.27","0.053",FALSE,TRUE,FALSE,FALSE,"NS",NA
"AKIRIN2",NA,-1.98,0.000320841337838186,"-1.98","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ALDH18A1",NA,1.5,0.00420132995262552,"1.50","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ALDH1L2",NA,0.0828,0.767578639761944,"0.08","0.768",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ALG1","N-glycans",0.466,0.282890938979664,"0.47","0.283",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ALKBH8",NA,1.32,0.612172390063199,"1.32","0.612",FALSE,TRUE,FALSE,FALSE,"NS",NA
"AMFR",NA,-0.0234,0.940489258030564,"-0.02","0.940",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AMMECR1",NA,0.0852,0.951787201173144,"0.09","0.952",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AMOT",NA,-0.387,0.294124233030452,"-0.39","0.294",FALSE,FALSE,FALSE,FALSE,"NS",NA
