"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"ABCA3","Lipid synthesis",0.259,0.89817155810144,"0.26","0.898",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ABCB10",NA,0.125,0.92619864867852,"0.12","0.926",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ABCB6",NA,-0.186,0.976753314690344,"-0.19","0.977",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ABHD5",NA,-1.69,0.499679294583334,"-1.69","0.500",FALSE,TRUE,FALSE,FALSE,"NS",NA
"ACE2",NA,4.03,0.355092458742452,"4.03","0.355",FALSE,TRUE,FALSE,FALSE,"NS",NA
"ACOT13",NA,0.0243,0.988447817688458,"0.02","0.988",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ACTMAP",NA,-0.618,0.244245738153556,"-0.62","0.244",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADAM9",NA,0.164,0.867518890677416,"0.16","0.868",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADAMTS1",NA,0.336,0.47869431533965,"0.34","0.479",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADD1",NA,0.018,0.985683958546561,"0.02","0.986",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADGRG6",NA,0.0567,0.994794107228357,"0.06","0.995",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AGA",NA,0.617,0.708799275417738,"0.62","0.709",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AHDC1",NA,0.224,0.76424964709678,"0.22","0.764",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AIFM2",NA,-5.23,0.00419723750347423,"-5.23","<0.01",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"AIRIM",NA,-0.25,0.893528388072052,"-0.25","0.894",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AKAP7",NA,-4.9,0.174244770240441,"-4.90","0.174",FALSE,TRUE,FALSE,FALSE,"NS",NA
"AKIRIN2",NA,0.657,0.499666299928449,"0.66","0.500",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ALDH18A1",NA,1.08,0.179941649615095,"1.08","0.180",FALSE,TRUE,FALSE,FALSE,"NS",NA
"ALDH1L2",NA,0.643,0.0521009963254327,"0.64","0.052",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ALG1","N-glycans",0.355,0.730885493068488,"0.35","0.731",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ALKBH8",NA,1.69,0.781106160632375,"1.69","0.781",FALSE,TRUE,FALSE,FALSE,"NS",NA
"AMFR",NA,0.675,0.036060659190397,"0.68","0.036",TRUE,FALSE,FALSE,FALSE,"NS",NA
"AMMECR1",NA,6.17,1.54582698221591e-05,"6.17","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"AMOT",NA,0.662,0.296407822516347,"0.66","0.296",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AMOTL1",NA,0.786,0.0858385815822363,"0.79","0.086",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ANAPC16",NA,0.204,0.826099762460519,"0.20","0.826",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ANAPC4",NA,-0.13,0.874568130681881,"-0.13","0.875",FALSE,FALSE,FALSE,FALSE,"NS",NA
