"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"ABCA3","Lipid synthesis",0.0898,0.999934611520757,"0.09","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ABCB10",NA,-0.27,0.999934611520757,"-0.27","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ABCB6",NA,-0.883,0.999934611520757,"-0.88","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ABHD5",NA,1.24,0.928217795782644,"1.24","0.928",FALSE,TRUE,FALSE,FALSE,"NS",NA
"ACE2",NA,0.0977,0.999934611520757,"0.10","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ACOT13",NA,-0.0284,0.999934611520757,"-0.03","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ACTMAP",NA,0.261,0.999934611520757,"0.26","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADAM9",NA,-0.954,0.0443988279631966,"-0.95","0.044",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ADAMTS1",NA,0.14,0.999934611520757,"0.14","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADD1",NA,0.0703,0.999934611520757,"0.07","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADGRG6",NA,-0.842,0.999934611520757,"-0.84","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AGA",NA,1.83,0.0806778533211905,"1.83","0.081",FALSE,TRUE,FALSE,FALSE,"NS",NA
"AHDC1",NA,0.0818,0.999934611520757,"0.08","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AIFM2",NA,0.407,0.999934611520757,"0.41","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AIRIM",NA,0.303,0.999934611520757,"0.30","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AKAP7",NA,1.34,0.999934611520757,"1.34","1.000",FALSE,TRUE,FALSE,FALSE,"NS",NA
"AKIRIN2",NA,0.611,0.831362820092347,"0.61","0.831",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ALDH18A1",NA,-0.511,0.928217795782644,"-0.51","0.928",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ALDH1L2",NA,-0.221,0.95519061139072,"-0.22","0.955",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ALG1","N-glycans",-0.664,0.669074322420043,"-0.66","0.669",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ALKBH8",NA,0.0447,0.999934611520757,"0.04","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AMFR",NA,-0.0381,0.999934611520757,"-0.04","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AMMECR1",NA,-0.729,0.999934611520757,"-0.73","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AMOT",NA,-0.296,0.999934611520757,"-0.30","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AMOTL1",NA,-0.133,0.999934611520757,"-0.13","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ANAPC16",NA,0.509,0.694560876849242,"0.51","0.695",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ANAPC4",NA,-0.214,0.999934611520757,"-0.21","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ANGEL1",NA,-2.53,0.0858755034080492,"-2.53","0.086",FALSE,TRUE,FALSE,FALSE,"NS",NA
"ANKLE2",NA,0.149,0.999934611520757,"0.15","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ANXA4",NA,-0.00939,0.999934611520757,"-0.01","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"APLP1",NA,-0.734,0.999934611520757,"-0.73","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"APLP2",NA,0.0676,0.999934611520757,"0.07","1.000",FALSE,FALSE,FALSE,FALSE,"NS",NA
"APOA1",NA,0.48,0.887776306129875,"0.48","0.888",FALSE,FALSE,FALSE,FALSE,"NS",NA
