"Gene","Pathway","ratio","padj","ratio_display","padj_display","sig","pass_fc","pathway_highlight","sig_other","plot_group","label"
"ABCA3","Lipid synthesis",2.69,0.000169927136452513,"2.69","<0.001",TRUE,TRUE,TRUE,FALSE,"Lipid synthesis",NA
"ABCB10",NA,1.61,0.000133132750668621,"1.61","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ABCB6",NA,-0.172,0.896003513218398,"-0.17","0.896",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ABHD5",NA,-1.46,0.181936774035428,"-1.46","0.182",FALSE,TRUE,FALSE,FALSE,"NS",NA
"ACE2",NA,3.34,0.116205670677412,"3.34","0.116",FALSE,TRUE,FALSE,FALSE,"NS",NA
"ACOT13",NA,0.652,0.0106354904402529,"0.65","0.011",TRUE,FALSE,FALSE,FALSE,"NS",NA
"ACTMAP",NA,3.26,1.28307891009232e-09,"3.26","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ADAM9",NA,0.21,0.491144431358468,"0.21","0.491",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADAMTS1",NA,0.058,0.806534431414182,"0.06","0.807",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADD1",NA,-0.159,0.343608544251468,"-0.16","0.344",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ADGRG6",NA,0.0567,0.972510988283207,"0.06","0.973",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AGA",NA,-1,0.107175441103174,"-1.00","0.107",FALSE,TRUE,FALSE,FALSE,"NS",NA
"AHDC1",NA,0.379,0.148025242358964,"0.38","0.148",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AIFM2",NA,-2.03,0.106809426792269,"-2.03","0.107",FALSE,TRUE,FALSE,FALSE,"NS",NA
"AIRIM",NA,-0.886,0.100425164219241,"-0.89","0.100",FALSE,FALSE,FALSE,FALSE,"NS",NA
"AKAP7",NA,-2.38,0.242067957921082,"-2.38","0.242",FALSE,TRUE,FALSE,FALSE,"NS",NA
"AKIRIN2",NA,-1.74,0.000524482134703627,"-1.74","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ALDH18A1",NA,1.83,0.000580803577398389,"1.83","<0.001",TRUE,TRUE,FALSE,TRUE,"Significant other",NA
"ALDH1L2",NA,0.0586,0.801541829902946,"0.06","0.802",FALSE,FALSE,FALSE,FALSE,"NS",NA
"ALG1","N-glycans",3.08,1.93198749076844e-07,"3.08","<0.001",TRUE,TRUE,TRUE,FALSE,"N-glycans","ALG1"
