"contrast","n_pathway_highlighted","n_sig_other","n_labeled","status","output_svg","output_table"
"GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",2,98,0,"saved","Proteomic_Figs/VolcanoPlots/GOterm_highlighted_blackSig//volcano_GFP_100_atRAL5hr_24h_recvr_vs_GFP_control_atRAL5hr_24h_recvr.svg","Proteomic_Figs/VolcanoPlots/GOterm_highlighted_blackSig//volcano_GFP_100_atRAL5hr_24h_recvr_vs_GFP_control_atRAL5hr_24h_recvr_table.csv"
"GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",5,521,3,"saved","Proteomic_Figs/VolcanoPlots/GOterm_highlighted_blackSig//volcano_GFP_200_atRAL5hr_24h_recvr_vs_GFP_100_atRAL5hr_24h_recvr.svg","Proteomic_Figs/VolcanoPlots/GOterm_highlighted_blackSig//volcano_GFP_200_atRAL5hr_24h_recvr_vs_GFP_100_atRAL5hr_24h_recvr_table.csv"
"GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",25,1008,3,"saved","Proteomic_Figs/VolcanoPlots/GOterm_highlighted_blackSig//volcano_GFP_200_atRAL5hr_24h_recvr_vs_GFP_control_atRAL5hr_24h_recvr.svg","Proteomic_Figs/VolcanoPlots/GOterm_highlighted_blackSig//volcano_GFP_200_atRAL5hr_24h_recvr_vs_GFP_control_atRAL5hr_24h_recvr_table.csv"
"RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",4,119,1,"saved","Proteomic_Figs/VolcanoPlots/GOterm_highlighted_blackSig//volcano_RDH12_100_atRAL5hr_24h_recvr_vs_GFP_100_atRAL5hr_24h_recvr.svg","Proteomic_Figs/VolcanoPlots/GOterm_highlighted_blackSig//volcano_RDH12_100_atRAL5hr_24h_recvr_vs_GFP_100_atRAL5hr_24h_recvr_table.csv"
"RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",15,1128,3,"saved","Proteomic_Figs/VolcanoPlots/GOterm_highlighted_blackSig//volcano_RDH12_100_atRAL5hr_24h_recvr_vs_RDH12_100_atRAL5hr.svg","Proteomic_Figs/VolcanoPlots/GOterm_highlighted_blackSig//volcano_RDH12_100_atRAL5hr_24h_recvr_vs_RDH12_100_atRAL5hr_table.csv"
"RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",3,74,2,"saved","Proteomic_Figs/VolcanoPlots/GOterm_highlighted_blackSig//volcano_RDH12_100_atRAL5hr_24h_recvr_vs_RDH12_control_atRAL5hr_24h_recvr.svg","Proteomic_Figs/VolcanoPlots/GOterm_highlighted_blackSig//volcano_RDH12_100_atRAL5hr_24h_recvr_vs_RDH12_control_atRAL5hr_24h_recvr_table.csv"
"RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",198,2640,7,"saved","Proteomic_Figs/VolcanoPlots/GOterm_highlighted_blackSig//volcano_RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr.svg","Proteomic_Figs/VolcanoPlots/GOterm_highlighted_blackSig//volcano_RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_table.csv"
"RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",22,1366,2,"saved","Proteomic_Figs/VolcanoPlots/GOterm_highlighted_blackSig//volcano_RDH12_200_atRAL5hr_24h_recvr_vs_GFP_200_atRAL5hr_24h_recvr.svg","Proteomic_Figs/VolcanoPlots/GOterm_highlighted_blackSig//volcano_RDH12_200_atRAL5hr_24h_recvr_vs_GFP_200_atRAL5hr_24h_recvr_table.csv"
"RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",4,105,3,"saved","Proteomic_Figs/VolcanoPlots/GOterm_highlighted_blackSig//volcano_RDH12_200_atRAL5hr_24h_recvr_vs_RDH12_100_atRAL5hr_24h_recvr.svg","Proteomic_Figs/VolcanoPlots/GOterm_highlighted_blackSig//volcano_RDH12_200_atRAL5hr_24h_recvr_vs_RDH12_100_atRAL5hr_24h_recvr_table.csv"
"RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",16,1437,3,"saved","Proteomic_Figs/VolcanoPlots/GOterm_highlighted_blackSig//volcano_RDH12_200_atRAL5hr_24h_recvr_vs_RDH12_200_atRAL5hr.svg","Proteomic_Figs/VolcanoPlots/GOterm_highlighted_blackSig//volcano_RDH12_200_atRAL5hr_24h_recvr_vs_RDH12_200_atRAL5hr_table.csv"
