"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"AAMP",-0.227,0.886,-0.2,0.89,"-0.2","0.89","NS",NA
"ABCA3",1.96,4.36e-06,2,0,"2.0","<0.01","Up",NA
"ABCB1",-0.222,0.932,-0.2,0.93,"-0.2","0.93","NS",NA
"ABCB10",0.628,0.404,0.6,0.4,"0.6","0.40","NS",NA
"ABCB6",-0.265,0.963,-0.3,0.96,"-0.3","0.96","NS",NA
"ABCC10",0.522,0.618,0.5,0.62,"0.5","0.62","NS",NA
"ABHD16A",-0.17,0.958,-0.2,0.96,"-0.2","0.96","NS",NA
"ABHD5",0.0154,0.972,0,0.97,"0.0","0.97","NS",NA
"ABLIM2",0.237,0.944,0.2,0.94,"0.2","0.94","NS",NA
"ABR",0.0231,0.972,0,0.97,"0.0","0.97","NS",NA
"ABRACL",-0.217,0.941,-0.2,0.94,"-0.2","0.94","NS",NA
"ACAD9",0.366,0.685,0.4,0.69,"0.4","0.69","NS",NA
"ACAP2",-0.024,0.971,0,0.97,"-0.0","0.97","NS",NA
"ACAT2",-0.587,0.827,-0.6,0.83,"-0.6","0.83","NS",NA
"ACE2",-4.84,0.0117,-4.8,0.01,"-4.8","0.01","Down",NA
"ACOT13",0.083,0.956,0.1,0.96,"0.1","0.96","NS",NA
"ACOT8",0.185,0.798,0.2,0.8,"0.2","0.80","NS",NA
"ACOT9",0.542,0.38,0.5,0.38,"0.5","0.38","NS",NA
"ACOX3",0.358,0.937,0.4,0.94,"0.4","0.94","NS",NA
"ACP1",-0.344,0.731,-0.3,0.73,"-0.3","0.73","NS",NA
"ACSS3",0.14,0.963,0.1,0.96,"0.1","0.96","NS",NA
"ACTMAP",0.102,0.959,0.1,0.96,"0.1","0.96","NS",NA
"ACVR2A",0.605,0.943,0.6,0.94,"0.6","0.94","NS",NA
"ACVR2B",-0.0407,0.97,0,0.97,"-0.0","0.97","NS",NA
"ACYP1",-0.592,0.662,-0.6,0.66,"-0.6","0.66","NS",NA
"ADAM9",0.0132,0.971,0,0.97,"0.0","0.97","NS",NA
"ADAMTS1",0.238,0.778,0.2,0.78,"0.2","0.78","NS",NA
"ADD1",0.0232,0.967,0,0.97,"0.0","0.97","NS",NA
"ADGRG6",-0.402,0.954,-0.4,0.95,"-0.4","0.95","NS",NA
"ADI1",-0.421,0.891,-0.4,0.89,"-0.4","0.89","NS",NA
"ADIPOR1",0.375,0.957,0.4,0.96,"0.4","0.96","NS",NA
"ADISSP",-0.075,0.961,-0.1,0.96,"-0.1","0.96","NS",NA
"ADO",-0.606,0.46,-0.6,0.46,"-0.6","0.46","NS",NA
"AFF3",-0.317,0.955,-0.3,0.96,"-0.3","0.96","NS",NA
"AGA",-3.42,1.98e-12,-3.4,0,"-3.4","<0.01","Down",NA
"AGAP1",0.00374,0.972,0,0.97,"0.0","0.97","NS",NA
"AGPAT3",0.182,0.965,0.2,0.96,"0.2","0.96","NS",NA
"AGPAT5",1.78,0.842,1.8,0.84,"1.8","0.84","NS",NA
"AGR2",-0.344,0.959,-0.3,0.96,"-0.3","0.96","NS",NA
"AHDC1",-0.0619,0.962,-0.1,0.96,"-0.1","0.96","NS",NA
"AIDA",-0.362,0.818,-0.4,0.82,"-0.4","0.82","NS",NA
"AIFM2",4.52,3.27e-07,4.5,0,"4.5","<0.01","Up",NA
"AIG1",-0.128,0.962,-0.1,0.96,"-0.1","0.96","NS",NA
"AIP",-0.16,0.912,-0.2,0.91,"-0.2","0.91","NS",NA
"AIRIM",-0.388,0.803,-0.4,0.8,"-0.4","0.80","NS",NA
"AK1",-0.129,0.917,-0.1,0.92,"-0.1","0.92","NS",NA
"AKAP7",5.08,0.0126,5.1,0.01,"5.1","0.01","Up",NA
"AKIRIN2",-0.469,0.785,-0.5,0.78,"-0.5","0.78","NS",NA
"AKR1A1",-0.15,0.94,-0.1,0.94,"-0.1","0.94","NS",NA
"AKR1B1",-0.787,0.725,-0.8,0.72,"-0.8","0.72","NS",NA
"ALDH18A1",0.258,0.934,0.3,0.93,"0.3","0.93","NS",NA
"ALDH1A1",0.294,0.962,0.3,0.96,"0.3","0.96","NS",NA
"ALDH1L2",0.343,0.367,0.3,0.37,"0.3","0.37","NS",NA
"ALG1",0.169,0.955,0.2,0.96,"0.2","0.96","NS",NA
"ALG2",0.201,0.955,0.2,0.96,"0.2","0.96","NS",NA
"ALG3",0.516,0.685,0.5,0.69,"0.5","0.69","NS",NA
"ALG8",0.351,0.845,0.4,0.84,"0.4","0.84","NS",NA
"ALG9",0.276,0.946,0.3,0.95,"0.3","0.95","NS",NA
"ALKBH2",-0.6,0.751,-0.6,0.75,"-0.6","0.75","NS",NA
"ALKBH3",-0.588,0.766,-0.6,0.77,"-0.6","0.77","NS",NA
"ALKBH4",-0.151,0.939,-0.2,0.94,"-0.2","0.94","NS",NA
"ALKBH5",-0.467,0.818,-0.5,0.82,"-0.5","0.82","NS",NA
"ALKBH6",-0.467,0.818,-0.5,0.82,"-0.5","0.82","NS",NA
"ALKBH8",-2.82,0.525,-2.8,0.52,"-2.8","0.52","NS",NA
"AMBRA1",-0.0614,0.968,-0.1,0.97,"-0.1","0.97","NS",NA
"AMMECR1",-4.73,3.49e-11,-4.7,0,"-4.7","<0.01","Down",NA
"AMOT",-0.372,0.765,-0.4,0.76,"-0.4","0.76","NS",NA
"AMOTL1",-0.356,0.683,-0.4,0.68,"-0.4","0.68","NS",NA
"AMPH",-0.464,0.342,-0.5,0.34,"-0.5","0.34","NS",NA
"ANAPC16",-0.16,0.961,-0.2,0.96,"-0.2","0.96","NS",NA
"ANAPC4",0.258,0.943,0.3,0.94,"0.3","0.94","NS",NA
