"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"ABCA3",0.397,0.61809263878206,0.4,0.62,"0.4","0.62","NS",NA
"ABCB10",0.955,0.0188023321064592,1,0.02,"1.0","0.02","NS",NA
"ABCB6",-0.264,0.888384566911816,-0.3,0.89,"-0.3","0.89","NS",NA
"ABHD5",0.599,0.70105264518244,0.6,0.7,"0.6","0.70","NS",NA
"ACE2",2.85,0.26745257673654,2.9,0.27,"2.9","0.27","NS",NA
"ACOT13",0.859,0.00492325154346724,0.9,0,"0.9","<0.01","NS",NA
"ACTMAP",-0.84,0.0150618557890389,-0.8,0.02,"-0.8","0.02","NS",NA
"ADAM9",0.315,0.397349032414165,0.3,0.4,"0.3","0.40","NS",NA
"ADAMTS1",1.24,3.7252079449389e-05,1.2,0,"1.2","<0.01","Up",NA
"ADD1",-0.21,0.302480610694665,-0.2,0.3,"-0.2","0.30","NS",NA
"ADGRG6",0.307,0.883072439532197,0.3,0.88,"0.3","0.88","NS",NA
"AGA",2.48,0.00206132315086879,2.5,0,"2.5","<0.01","Up",NA
"AHDC1",0.689,0.0270483519749756,0.7,0.03,"0.7","0.03","NS",NA
"AIFM2",-0.941,0.578269781820375,-0.9,0.58,"-0.9","0.58","NS",NA
"AIRIM",-2.69,0.000234969402128131,-2.7,0,"-2.7","<0.01","Down",NA
"AKAP7",-0.00322,0.998997091266412,0,1,"-0.0","1.00","NS",NA
"AKIRIN2",-1.51,0.00492325154346724,-1.5,0,"-1.5","<0.01","Down",NA
"ALDH18A1",1.25,0.0216237065196589,1.2,0.02,"1.2","0.02","NS",NA
"ALDH1L2",-0.26,0.308094866138386,-0.3,0.31,"-0.3","0.31","NS",NA
"ALG1",0.298,0.562166581304815,0.3,0.56,"0.3","0.56","NS",NA
"ALKBH8",5.58,0.0246467775429469,5.6,0.02,"5.6","0.02","NS",NA
"AMFR",-0.12,0.685077658072813,-0.1,0.69,"-0.1","0.69","NS",NA
"AMMECR1",6.06,8.40977325060995e-06,6.1,0,"6.1","<0.01","Up",NA
"AMOT",-0.0153,0.978326151165752,0,0.98,"-0.0","0.98","NS",NA
"AMOTL1",-0.168,0.66797102455781,-0.2,0.67,"-0.2","0.67","NS",NA
"ANAPC16",-0.539,0.122706944672032,-0.5,0.12,"-0.5","0.12","NS",NA
"ANAPC4",0.154,0.653051389837959,0.2,0.65,"0.2","0.65","NS",NA
"ANGEL1",-0.51,0.674037061895922,-0.5,0.67,"-0.5","0.67","NS",NA
"ANKLE2",-0.0408,0.923438242508827,0,0.92,"-0.0","0.92","NS",NA
"ANXA4",0.855,0.000660794386642152,0.9,0,"0.9","<0.01","NS",NA
"APLP1",-1.36,0.389553020786627,-1.4,0.39,"-1.4","0.39","NS",NA
