"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"ABCA3",-0.14,0.868961934358825,-0.1,0.87,"-0.1","0.87","NS",NA
"ABCB10",0.52,0.162417669226701,0.5,0.16,"0.5","0.16","NS",NA
"ABCB6",-6.55,2.60739481897216e-05,-6.6,0,"-6.6","<0.01","Down",NA
"ABHD5",-1.84,0.126731042763223,-1.8,0.13,"-1.8","0.13","NS",NA
"ACE2",2.6,0.280757397751027,2.6,0.28,"2.6","0.28","NS",NA
"ACOT13",-0.277,0.317229251594635,-0.3,0.32,"-0.3","0.32","NS",NA
"ACTMAP",-0.336,0.296780113751598,-0.3,0.3,"-0.3","0.30","NS",NA
"ADAM9",-0.857,0.0110659989957689,-0.9,0.01,"-0.9","0.01","NS",NA
"ADAMTS1",-1.78,2.13911915627425e-07,-1.8,0,"-1.8","<0.01","Down",NA
"ADD1",0.478,0.0113586515823637,0.5,0.01,"0.5","0.01","NS",NA
"ADGRG6",-2.86,0.0413976751951071,-2.9,0.04,"-2.9","0.04","NS",NA
"AGA",-1.71,0.0144454651390063,-1.7,0.01,"-1.7","0.01","NS",NA
"AHDC1",1.36,8.69361168681005e-05,1.4,0,"1.4","<0.01","Up",NA
"AIFM2",-3.22,0.0215780745707114,-3.2,0.02,"-3.2","0.02","NS",NA
"AIRIM",-0.0903,0.917274817091701,-0.1,0.92,"-0.1","0.92","NS",NA
"AKAP7",-1.58,0.523678752874683,-1.6,0.52,"-1.6","0.52","NS",NA
"AKIRIN2",1.16,0.0152760323942545,1.2,0.02,"1.2","0.02","NS",NA
"ALDH18A1",1.12,0.0255730538578602,1.1,0.03,"1.1","0.03","NS",NA
"ALDH1L2",0.859,0.000767091901348575,0.9,0,"0.9","<0.01","NS",NA
"ALG1",0.844,0.045976531719952,0.8,0.05,"0.8","0.05","NS",NA
"ALKBH8",-2.74,0.241549050849738,-2.7,0.24,"-2.7","0.24","NS",NA
"AMFR",1.45,3.00912726272955e-06,1.4,0,"1.4","<0.01","Up",NA
"AMMECR1",0.0213,0.989338319927192,0,0.99,"0.0","0.99","NS",NA
"AMOT",1.69,8.14009640439082e-05,1.7,0,"1.7","<0.01","Up",NA
"AMOTL1",1.45,8.76699932027283e-05,1.4,0,"1.4","<0.01","Up",NA
"ANAPC16",0.623,0.0574229918573694,0.6,0.06,"0.6","0.06","NS",NA
"ANAPC4",0.502,0.0636461785171669,0.5,0.06,"0.5","0.06","NS",NA
"ANGEL1",-0.423,0.720306176729993,-0.4,0.72,"-0.4","0.72","NS",NA
"ANKLE2",1.31,6.99078085672707e-05,1.3,0,"1.3","<0.01","Up",NA
"ANXA4",-0.264,0.208142763675929,-0.3,0.21,"-0.3","0.21","NS",NA
"APLP1",-7.8,1.22468723629843e-05,-7.8,0,"-7.8","<0.01","Down",NA
"APLP2",-3.53,5.58334802018052e-08,-3.5,0,"-3.5","<0.01","Down",NA
"APOA1",-2.18,2.60739481897216e-05,-2.2,0,"-2.2","<0.01","Down",NA
"APOC3",-5.66,6.4854992196517e-07,-5.7,0,"-5.7","<0.01","Down",NA
"APOE",-2.37,1.25003112925323e-05,-2.4,0,"-2.4","<0.01","Down",NA
"APOH",-5.28,3.73931004732606e-05,-5.3,0,"-5.3","<0.01","Down",NA
"APP",-3.24,4.96632158514082e-08,-3.2,0,"-3.2","<0.01","Down",NA
"ARB2A",1.11,0.00861181420801956,1.1,0.01,"1.1","<0.01","Up",NA
"ARF3",-12.8,3.76759735727754e-06,-12.8,0,"-12.8","<0.01","Down",NA
"ARL5B",0.0135,0.99462722751369,0,0.99,"0.0","0.99","NS",NA
"ARL6IP1",-1.39,0.0137112860227107,-1.4,0.01,"-1.4","0.01","NS",NA
"ARMC7",0.823,0.239764107501757,0.8,0.24,"0.8","0.24","NS",NA
"ART5",-3.83,3.46360378374806e-10,-3.8,0,"-3.8","<0.01","Down","ART5"
"ASPRV1",6.33,0.00100980938437245,6.3,0,"6.3","<0.01","Up",NA
"ATAD5",1.78,4.67649383775338e-07,1.8,0,"1.8","<0.01","Up",NA
"ATF3",-0.813,0.0857222118067895,-0.8,0.09,"-0.8","0.09","NS",NA
"ATF4",-0.799,0.233956432431713,-0.8,0.23,"-0.8","0.23","NS",NA
"ATP5MK",-0.63,0.0406737876350202,-0.6,0.04,"-0.6","0.04","NS",NA
"ATP6V0D2",0.342,0.746060158365725,0.3,0.75,"0.3","0.75","NS",NA
"ATP6V1D",-1.05,1.44585639241859e-05,-1,0,"-1.0","<0.01","Down",NA
"ATR",0.0927,0.909416030916938,0.1,0.91,"0.1","0.91","NS",NA
"B3GALNT2",-4.22,0.0239754147752513,-4.2,0.02,"-4.2","0.02","NS",NA
"B4GALT5",-3.28,5.49067384482885e-07,-3.3,0,"-3.3","<0.01","Down",NA
"B4GALT6",-3.41,0.000268996550358532,-3.4,0,"-3.4","<0.01","Down",NA
"B9D1",-5.31,5.60019095077639e-07,-5.3,0,"-5.3","<0.01","Down",NA
"BACE1",-3.61,0.000397608359913806,-3.6,0,"-3.6","<0.01","Down",NA
"BCL2L12",0.272,0.79001140118489,0.3,0.79,"0.3","0.79","NS",NA
"BCOR",1.36,1.95908776873585e-05,1.4,0,"1.4","<0.01","Up",NA
"BIRC2",0.141,0.815416675880588,0.1,0.82,"0.1","0.82","NS",NA
"BLM",1.04,3.62647462703024e-05,1,0,"1.0","<0.01","Up",NA
"BLOC1S4",0.371,0.283756881254991,0.4,0.28,"0.4","0.28","NS",NA
"BMP2",0.115,0.970061893025921,0.1,0.97,"0.1","0.97","NS",NA
"BMP4",-5.79,3.44940781247011e-05,-5.8,0,"-5.8","<0.01","Down",NA
"BMPR2",-3.25,0.048730206903051,-3.2,0.05,"-3.2","0.05","NS",NA
"BNIP3",-5.01,0.000786138158864636,-5,0,"-5.0","<0.01","Down",NA
"BOD1",1.37,0.0311735313286811,1.4,0.03,"1.4","0.03","NS",NA
"BORCS6",1.81,1.76546385260176e-05,1.8,0,"1.8","<0.01","Up",NA
"BPGM",-0.216,0.52320703792611,-0.2,0.52,"-0.2","0.52","NS",NA
"BPNT2",-0.701,0.0239820873900259,-0.7,0.02,"-0.7","0.02","NS",NA
"BRI3",-6.47,1.61927775217295e-07,-6.5,0,"-6.5","<0.01","Down",NA
"BRI3BP",-1.02,7.79081673280415e-05,-1,0,"-1.0","<0.01","Down",NA
"BRWD3",1.81,4.24893102287185e-06,1.8,0,"1.8","<0.01","Up",NA
"BTBD9",3.77,0.143718868317958,3.8,0.14,"3.8","0.14","NS",NA
"BTN2A3P",2.57,0.327232419058566,2.6,0.33,"2.6","0.33","NS",NA
"C1orf159",0.18,0.930221723180528,0.2,0.93,"0.2","0.93","NS",NA
"C1orf198",0.811,0.0217643018362678,0.8,0.02,"0.8","0.02","NS",NA
"C2CD2L",1.73,0.000661517433249757,1.7,0,"1.7","<0.01","Up",NA
"C4A",-8.4,3.22241615168181e-06,-8.4,0,"-8.4","<0.01","Down",NA
"C4BPA",-6.35,8.73287329411776e-06,-6.3,0,"-6.3","<0.01","Down",NA
"C6orf89",-0.764,0.0709084832781952,-0.8,0.07,"-0.8","0.07","NS",NA
"C8orf88",5.78,0.000848239238428245,5.8,0,"5.8","<0.01","Up",NA
"C9orf72",-1.07,0.732275224851533,-1.1,0.73,"-1.1","0.73","NS",NA
"CABIN1",1.22,0.0016717990285784,1.2,0,"1.2","<0.01","Up",NA
"CALCOCO2",-2.37,6.25887035439639e-06,-2.4,0,"-2.4","<0.01","Down",NA
"CAMKK1",-0.0884,0.830339172152285,-0.1,0.83,"-0.1","0.83","NS",NA
"CARMIL2",-0.00618,0.992537781735641,0,0.99,"-0.0","0.99","NS",NA
"CASTOR2",0.167,0.832890737355822,0.2,0.83,"0.2","0.83","NS",NA
"CBY1",0.884,0.0547418457151897,0.9,0.05,"0.9","0.05","NS",NA
"CCDC106",1.61,2.9734911715911e-05,1.6,0,"1.6","<0.01","Up",NA
"CCDC120",5.89,8.49255113220869e-05,5.9,0,"5.9","<0.01","Up",NA
"CCDC138",-4.29,0.0220082029147379,-4.3,0.02,"-4.3","0.02","NS",NA
"CCDC158",-0.0655,0.942065890576411,-0.1,0.94,"-0.1","0.94","NS",NA
"CCDC18",0.276,0.663353212560361,0.3,0.66,"0.3","0.66","NS",NA
"CCDC186",0.484,0.0659170903299413,0.5,0.07,"0.5","0.07","NS",NA
"CCDC28B",0.769,0.0764814352057443,0.8,0.08,"0.8","0.08","NS",NA
"CCDC66",3.98,2.83378627013661e-05,4,0,"4.0","<0.01","Up",NA
"CCDC82",1.29,0.613052015493573,1.3,0.61,"1.3","0.61","NS",NA
"CCK",4.72,1.57557620208053e-06,4.7,0,"4.7","<0.01","Up",NA
"CCN1",-8.06,5.82580473285849e-08,-8.1,0,"-8.1","<0.01","Down","CCN1"
"CCN2",-7.19,0.000136606133999061,-7.2,0,"-7.2","<0.01","Down",NA
"CCNQ",0.516,0.818821005071886,0.5,0.82,"0.5","0.82","NS",NA
"CCPG1",-2.08,1.44585639241859e-05,-2.1,0,"-2.1","<0.01","Down",NA
"CD151",-1.1,0.00988017308909588,-1.1,0.01,"-1.1","<0.01","Down",NA
"CD40",5.9,0.0030624055562317,5.9,0,"5.9","<0.01","Up",NA
"CD81",0.0859,0.882247210183648,0.1,0.88,"0.1","0.88","NS",NA
"CD84",-6.02,0.00166429849458432,-6,0,"-6.0","<0.01","Down",NA
"CD99",-1.93,0.40109186508687,-1.9,0.4,"-1.9","0.40","NS",NA
"CDC42EP1",1.07,0.00450108375290279,1.1,0,"1.1","<0.01","Up",NA
"CDCA7L",1.32,5.25571444077948e-05,1.3,0,"1.3","<0.01","Up",NA
"CDK11A",-6.01,3.76759735727754e-06,-6,0,"-6.0","<0.01","Down",NA
"CDKN2A",0.639,0.0216654068470824,0.6,0.02,"0.6","0.02","NS",NA
"CEBPZOS",-0.908,0.0699442585669855,-0.9,0.07,"-0.9","0.07","NS",NA
"CENPW",-0.47,0.361620465927373,-0.5,0.36,"-0.5","0.36","NS",NA
"CENPX",0.714,0.121006599440248,0.7,0.12,"0.7","0.12","NS",NA
"CEP170B",1.11,0.000431854431347661,1.1,0,"1.1","<0.01","Up",NA
"CEP41",0.528,0.0343962862996565,0.5,0.03,"0.5","0.03","NS",NA
"CFAP97",1.33,0.00353765966634958,1.3,0,"1.3","<0.01","Up",NA
"CHCHD4",-1.01,0.495405661141508,-1,0.5,"-1.0","0.50","NS",NA
"CHKA",1.53,0.432215943366286,1.5,0.43,"1.5","0.43","NS",NA
"CHPF",2.68,0.157597679799426,2.7,0.16,"2.7","0.16","NS",NA
"CHPF2",-0.37,0.811172248107875,-0.4,0.81,"-0.4","0.81","NS",NA
"CHSY1",-1.73,1.38907644076218e-05,-1.7,0,"-1.7","<0.01","Down",NA
"CISD1",0.858,0.00157660312349339,0.9,0,"0.9","<0.01","NS",NA
"CKS1B",0.86,0.0190311196636851,0.9,0.02,"0.9","0.02","NS",NA
"CKS2",0.795,0.0152094569663173,0.8,0.02,"0.8","0.02","NS",NA
"CLK3",1.47,3.02256221771494e-05,1.5,0,"1.5","<0.01","Up",NA
"CLOCK",-5.26,0.00880385140111224,-5.3,0.01,"-5.3","<0.01","Down",NA
