"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"AAMP",0.0859,0.831,0.1,0.83,"0.1","0.83","NS",NA
"ABCA3",-0.354,0.596,-0.4,0.6,"-0.4","0.60","NS",NA
"ABCB1",-0.0474,0.886,0,0.89,"-0.0","0.89","NS",NA
"ABCB10",-0.327,0.423,-0.3,0.42,"-0.3","0.42","NS",NA
"ABCB6",-0.284,0.855,-0.3,0.86,"-0.3","0.86","NS",NA
"ABCC10",-0.0918,0.857,-0.1,0.86,"-0.1","0.86","NS",NA
"ABHD16A",-0.0829,0.88,-0.1,0.88,"-0.1","0.88","NS",NA
"ABHD5",-2.58,2.39e-05,-2.6,0,"-2.6","<0.01","Down",NA
"ABLIM2",-2.29,2.67e-14,-2.3,0,"-2.3","<0.01","Down","ABLIM2"
"ABR",-0.0696,0.893,-0.1,0.89,"-0.1","0.89","NS",NA
"ABRACL",-0.274,0.625,-0.3,0.62,"-0.3","0.62","NS",NA
"ACAD9",-0.00949,0.903,0,0.9,"-0.0","0.90","NS",NA
"ACAP2",0.0753,0.889,0.1,0.89,"0.1","0.89","NS",NA
"ACAT2",-0.331,0.682,-0.3,0.68,"-0.3","0.68","NS",NA
"ACE2",4.55,2.34e-05,4.6,0,"4.6","<0.01","Up",NA
"ACOT13",-0.128,0.716,-0.1,0.72,"-0.1","0.72","NS",NA
"ACOT8",-0.115,0.591,-0.1,0.59,"-0.1","0.59","NS",NA
"ACOT9",-0.0691,0.866,-0.1,0.87,"-0.1","0.87","NS",NA
"ACOX3",-0.0327,0.9,0,0.9,"-0.0","0.90","NS",NA
"ACP1",-0.211,0.523,-0.2,0.52,"-0.2","0.52","NS",NA
"ACSS3",-0.153,0.852,-0.2,0.85,"-0.2","0.85","NS",NA
"ACTMAP",-0.289,0.402,-0.3,0.4,"-0.3","0.40","NS",NA
"ACVR2A",0.249,0.868,0.2,0.87,"0.2","0.87","NS",NA
"ACVR2B",-0.147,0.862,-0.1,0.86,"-0.1","0.86","NS",NA
"ACYP1",-0.0664,0.881,-0.1,0.88,"-0.1","0.88","NS",NA
"ADAM9",-0.00918,0.903,0,0.9,"-0.0","0.90","NS",NA
"ADAMTS1",-0.169,0.459,-0.2,0.46,"-0.2","0.46","NS",NA
"ADD1",-0.119,0.562,-0.1,0.56,"-0.1","0.56","NS",NA
"ADGRG6",-4.17,5.25e-14,-4.2,0,"-4.2","<0.01","Down",NA
"ADI1",-0.203,0.798,-0.2,0.8,"-0.2","0.80","NS",NA
"ADIPOR1",-0.983,0.389,-1,0.39,"-1.0","0.39","NS",NA
"ADISSP",-0.363,0.109,-0.4,0.11,"-0.4","0.11","NS",NA
"ADO",-0.321,0.443,-0.3,0.44,"-0.3","0.44","NS",NA
"AFF3",-0.398,0.763,-0.4,0.76,"-0.4","0.76","NS",NA
"AGA",-2.56,2.67e-14,-2.6,0,"-2.6","<0.01","Down","AGA"
"AGAP1",0.145,0.71,0.1,0.71,"0.1","0.71","NS",NA
"AGPAT3",-0.115,0.888,-0.1,0.89,"-0.1","0.89","NS",NA
