"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"AAMP",-1.2,0.011,-1.2,0.01,"-1.2","0.01","Down",NA
"ABCA3",4.72,6.24e-09,4.7,0,"4.7","<0.01","Up",NA
"ABCB1",3.15,8.74e-08,3.1,0,"3.1","<0.01","Up",NA
"ABCB10",1.7,0.0125,1.7,0.01,"1.7","0.01","Up",NA
"ABCB6",-0.173,0.52,-0.2,0.52,"-0.2","0.52","NS",NA
"ABCC10",-1.29,0.05,-1.3,0.05,"-1.3","0.05","Down",NA
"ABHD16A",3.54,6.12e-05,3.5,0,"3.5","<0.01","Up",NA
"ABHD5",-1.48,0.305,-1.5,0.3,"-1.5","0.30","NS",NA
"ABLIM2",-0.721,0.285,-0.7,0.28,"-0.7","0.28","NS",NA
"ABR",4.88,0.000115,4.9,0,"4.9","<0.01","Up",NA
"ABRACL",-1.7,0.0212,-1.7,0.02,"-1.7","0.02","Down",NA
"ACAD9",1.57,0.00114,1.6,0,"1.6","<0.01","Up",NA
"ACAP2",8.83,3.36e-14,8.8,0,"8.8","<0.01","Up","ACAP2"
"ACAT2",-2.11,0.0341,-2.1,0.03,"-2.1","0.03","Down",NA
"ACE2",2.19,0.344,2.2,0.34,"2.2","0.34","NS",NA
"ACOT13",0.652,0.105,0.7,0.1,"0.7","0.10","NS",NA
"ACOT8",0.358,0.182,0.4,0.18,"0.4","0.18","NS",NA
"ACOT9",1.47,0.0109,1.5,0.01,"1.5","0.01","Up",NA
"ACOX3",3.62,0.000854,3.6,0,"3.6","<0.01","Up",NA
"ACP1",-1.4,0.00397,-1.4,0,"-1.4","<0.01","Down",NA
"ACSS3",5.43,4.16e-09,5.4,0,"5.4","<0.01","Up",NA
"ACTMAP",2.51,2.61e-06,2.5,0,"2.5","<0.01","Up",NA
"ACVR2A",5.75,0.00686,5.8,0.01,"5.8","<0.01","Up",NA
"ACVR2B",2.81,0.0139,2.8,0.01,"2.8","0.01","Up",NA
"ACYP1",-2.03,0.00958,-2,0.01,"-2.0","<0.01","Down",NA
"ADAM9",0.21,0.421,0.2,0.42,"0.2","0.42","NS",NA
"ADAMTS1",0.058,0.5,0.1,0.5,"0.1","0.50","NS",NA
"ADD1",-0.159,0.377,-0.2,0.38,"-0.2","0.38","NS",NA
"ADGRG6",0.0567,0.535,0.1,0.54,"0.1","0.54","NS",NA
"ADI1",-1.79,0.0442,-1.8,0.04,"-1.8","0.04","Down",NA
"ADIPOR1",0.12,0.527,0.1,0.53,"0.1","0.53","NS",NA
"ADISSP",-1.02,0.0409,-1,0.04,"-1.0","0.04","Down",NA
