"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"AAMP",-1.56,0.511,-1.6,0.51,"-1.6","0.51","NS",NA
"ABCA3",4.17,0.148,4.2,0.15,"4.2","0.15","NS",NA
"ABCB1",2.49,0.349,2.5,0.35,"2.5","0.35","NS",NA
"ABCB10",1.48,0.833,1.5,0.83,"1.5","0.83","NS",NA
"ABCB6",-7.72,0.335,-7.7,0.34,"-7.7","0.34","NS",NA
"ABCC10",-0.683,0.942,-0.7,0.94,"-0.7","0.94","NS",NA
"ABHD16A",3.82,0.282,3.8,0.28,"3.8","0.28","NS",NA
"ABHD5",-1.96,0.941,-2,0.94,"-2.0","0.94","NS",NA
"ABLIM2",0.222,0.965,0.2,0.96,"0.2","0.96","NS",NA
"ABR",5.64,0.238,5.6,0.24,"5.6","0.24","NS",NA
"ABRACL",-0.507,0.955,-0.5,0.96,"-0.5","0.96","NS",NA
"ACAD9",1.55,0.571,1.6,0.57,"1.6","0.57","NS",NA
"ACAP2",8.62,0.000379,8.6,0,"8.6","<0.01","Up",NA
"ACAT2",-3.35,0.5,-3.4,0.5,"-3.4","0.50","NS",NA
"ACE2",-1.56,0.961,-1.6,0.96,"-1.6","0.96","NS",NA
"ACOT13",-0.589,0.92,-0.6,0.92,"-0.6","0.92","NS",NA
"ACOT8",-0.234,0.951,-0.2,0.95,"-0.2","0.95","NS",NA
"ACOT9",1.3,0.821,1.3,0.82,"1.3","0.82","NS",NA
"ACOX3",4.03,0.425,4,0.42,"4.0","0.42","NS",NA
"ACP1",-1.32,0.718,-1.3,0.72,"-1.3","0.72","NS",NA
"ACSS3",5.42,0.0557,5.4,0.06,"5.4","0.06","NS",NA
"ACTMAP",2.94,0.077,2.9,0.08,"2.9","0.08","NS",NA
"ACVR2A",1.75,0.95,1.8,0.95,"1.8","0.95","NS",NA
"ACVR2B",1.6,0.92,1.6,0.92,"1.6","0.92","NS",NA
"ACYP1",-1.95,0.77,-2,0.77,"-2.0","0.77","NS",NA
"ADAM9",-1.26,0.779,-1.3,0.78,"-1.3","0.78","NS",NA
"ADAMTS1",-1.46,0.296,-1.5,0.3,"-1.5","0.30","NS",NA
"ADD1",0.999,0.475,1,0.48,"1.0","0.48","NS",NA
"ADGRG6",0.352,0.967,0.4,0.97,"0.4","0.97","NS",NA
"ADI1",-1.65,0.879,-1.6,0.88,"-1.6","0.88","NS",NA
"ADIPOR1",-5.46,0.683,-5.5,0.68,"-5.5","0.68","NS",NA
"ADISSP",-1.2,0.79,-1.2,0.79,"-1.2","0.79","NS",NA
"ADO",-1.11,0.902,-1.1,0.9,"-1.1","0.90","NS",NA
"AFF3",5.19,0.472,5.2,0.47,"5.2","0.47","NS",NA
"AGA",-1.42,0.929,-1.4,0.93,"-1.4","0.93","NS",NA
"AGAP1",1.45,0.572,1.4,0.57,"1.4","0.57","NS",NA
"AGPAT3",4.29,0.758,4.3,0.76,"4.3","0.76","NS",NA
"AGPAT5",3.18,0.943,3.2,0.94,"3.2","0.94","NS",NA
"AGR2",-6.95,0.476,-7,0.48,"-7.0","0.48","NS",NA
"AHDC1",1.3,0.614,1.3,0.61,"1.3","0.61","NS",NA
"AIDA",-1.65,0.704,-1.6,0.7,"-1.6","0.70","NS",NA
"AIFM2",-0.702,0.963,-0.7,0.96,"-0.7","0.96","NS",NA
"AIG1",0.916,0.942,0.9,0.94,"0.9","0.94","NS",NA
