"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"ABCA3",-0.0485,0.955874042851361,0,0.96,"-0.0","0.96","NS",NA
"ABCB10",-1.1,0.00386035434327123,-1.1,0,"-1.1","<0.01","Down",NA
"ABCB6",-0.805,0.552175074868498,-0.8,0.55,"-0.8","0.55","NS",NA
"ABHD5",-1.05,0.398686922432649,-1,0.4,"-1.0","0.40","NS",NA
"ACE2",1.27,0.624804685475996,1.3,0.62,"1.3","0.62","NS",NA
"ACOT13",-0.864,0.0019134408577038,-0.9,0,"-0.9","<0.01","NS",NA
"ACTMAP",0.483,0.111895935886293,0.5,0.11,"0.5","0.11","NS",NA
"ADAM9",-1.11,0.00139669782728441,-1.1,0,"-1.1","<0.01","Down",NA
"ADAMTS1",-0.766,0.00170169260671185,-0.8,0,"-0.8","<0.01","NS",NA
"ADD1",0.298,0.0948257827867471,0.3,0.09,"0.3","0.09","NS",NA
"ADGRG6",-1.09,0.455201332302371,-1.1,0.46,"-1.1","0.46","NS",NA
"AGA",-0.0254,0.979732179653735,0,0.98,"-0.0","0.98","NS",NA
"AHDC1",-0.384,0.174900950003849,-0.4,0.17,"-0.4","0.17","NS",NA
"AIFM2",-3.88,0.00568184027545456,-3.9,0.01,"-3.9","<0.01","Down",NA
"AIRIM",2.74,7.92412075640406e-05,2.7,0,"2.7","<0.01","Up",NA
"AKAP7",-3.55,0.101463616205907,-3.5,0.1,"-3.5","0.10","NS",NA
"AKIRIN2",2.78,5.30159811739675e-06,2.8,0,"2.8","<0.01","Up",NA
"ALDH18A1",-0.672,0.167175157571266,-0.7,0.17,"-0.7","0.17","NS",NA
"ALDH1L2",0.682,0.00378028943227389,0.7,0,"0.7","<0.01","NS",NA
"ALG1",-0.607,0.141192854521988,-0.6,0.14,"-0.6","0.14","NS",NA
"ALKBH8",-3.84,0.0839499590786457,-3.8,0.08,"-3.8","0.08","NS",NA
"AMFR",0.756,0.00170048354375309,0.8,0,"0.8","<0.01","NS",NA
"AMMECR1",-0.62,0.575478978201317,-0.6,0.58,"-0.6","0.58","NS",NA
"AMOT",0.382,0.288010639378625,0.4,0.29,"0.4","0.29","NS",NA
"AMOTL1",0.821,0.00796258676208285,0.8,0.01,"0.8","<0.01","NS",NA
"ANAPC16",1.25,0.000472345519241559,1.2,0,"1.2","<0.01","Up",NA
"ANAPC4",-0.498,0.0583739093561429,-0.5,0.06,"-0.5","0.06","NS",NA
"ANGEL1",-2.02,0.0296795755023252,-2,0.03,"-2.0","0.03","NS",NA
"ANKLE2",0.915,0.00145435086120379,0.9,0,"0.9","<0.01","NS",NA
"ANXA4",-0.931,0.000104251292289336,-0.9,0,"-0.9","<0.01","NS",NA
"APLP1",0.937,0.530872315510889,0.9,0.53,"0.9","0.53","NS",NA
"APLP2",-0.117,0.814109363709204,-0.1,0.81,"-0.1","0.81","NS",NA
"APOA1",-0.181,0.706313519363147,-0.2,0.71,"-0.2","0.71","NS",NA
"APOC3",0.532,0.538941155715613,0.5,0.54,"0.5","0.54","NS",NA
"APOE",0.761,0.0649480050083318,0.8,0.06,"0.8","0.06","NS",NA
"APOH",-5.47,2.13499210195751e-05,-5.5,0,"-5.5","<0.01","Down",NA
"APP",-0.297,0.44782281524723,-0.3,0.45,"-0.3","0.45","NS",NA
"ARB2A",-0.182,0.694175089933037,-0.2,0.69,"-0.2","0.69","NS",NA
"ARF3",0.304,0.90707549498745,0.3,0.91,"0.3","0.91","NS",NA
"ARL5B",0.538,0.751805007020289,0.5,0.75,"0.5","0.75","NS",NA
"ARL6IP1",-0.0712,0.918721520906118,-0.1,0.92,"-0.1","0.92","NS",NA
"ARMC7",2.59,0.000508927535245819,2.6,0,"2.6","<0.01","Up",NA
"ART5",-0.0823,0.829136289786796,-0.1,0.83,"-0.1","0.83","NS",NA
"ASPRV1",-0.048,0.984488516687322,0,0.98,"-0.0","0.98","NS",NA
"ATAD5",0.267,0.279685162558847,0.3,0.28,"0.3","0.28","NS",NA
"ATF3",-1.38,0.00445692988047384,-1.4,0,"-1.4","<0.01","Down",NA
"ATF4",-1.54,0.0179170438068873,-1.5,0.02,"-1.5","0.02","NS",NA
"ATP5MK",1.81,5.91991244545182e-06,1.8,0,"1.8","<0.01","Up",NA
"ATP6V0D2",-0.0686,0.951944131240621,-0.1,0.95,"-0.1","0.95","NS",NA
"ATP6V1D",0.0752,0.731795871233834,0.1,0.73,"0.1","0.73","NS",NA
"ATR",-0.0788,0.912625538391837,-0.1,0.91,"-0.1","0.91","NS",NA
"B3GALNT2",-2.66,0.141000717175299,-2.7,0.14,"-2.7","0.14","NS",NA
"B4GALT5",0.612,0.17401591671073,0.6,0.17,"0.6","0.17","NS",NA
