"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"ABCA3",1.14,0.111037548220202,1.1,0.11,"1.1","0.11","NS",NA
"ABCB10",0.905,0.0424459327735691,0.9,0.04,"0.9","0.04","NS",NA
"ABCB6",0.613,0.688955009388554,0.6,0.69,"0.6","0.69","NS",NA
"ABHD5",0.156,0.926089632446641,0.2,0.93,"0.2","0.93","NS",NA
"ACE2",1.8,0.503344595112169,1.8,0.5,"1.8","0.50","NS",NA
"ACOT13",1.09,0.00199313020707795,1.1,0,"1.1","<0.01","Up",NA
"ACTMAP",-0.272,0.440005980700845,-0.3,0.44,"-0.3","0.44","NS",NA
"ADAM9",0.619,0.0961136386425366,0.6,0.1,"0.6","0.10","NS",NA
"ADAMTS1",-0.0935,0.748561016234763,-0.1,0.75,"-0.1","0.75","NS",NA
"ADD1",-0.562,0.0175144789466842,-0.6,0.02,"-0.6","0.02","NS",NA
"ADGRG6",0.85,0.611121285297362,0.8,0.61,"0.8","0.61","NS",NA
"AGA",0.569,0.463447997650766,0.6,0.46,"0.6","0.46","NS",NA
"AHDC1",0.505,0.118293834837857,0.5,0.12,"0.5","0.12","NS",NA
"AIFM2",0.146,0.939937868440438,0.1,0.94,"0.1","0.94","NS",NA
"AIRIM",0.265,0.718920662494326,0.3,0.72,"0.3","0.72","NS",NA
"AKAP7",0.0683,0.984364966482657,0.1,0.98,"0.1","0.98","NS",NA
"AKIRIN2",0.0721,0.911478210290901,0.1,0.91,"0.1","0.91","NS",NA
"ALDH18A1",0.675,0.216819980678797,0.7,0.22,"0.7","0.22","NS",NA
"ALDH1L2",0.0204,0.949138010969487,0,0.95,"0.0","0.95","NS",NA
"ALG1",0.181,0.730610653285779,0.2,0.73,"0.2","0.73","NS",NA
"ALKBH8",-3.06,0.222473528020567,-3.1,0.22,"-3.1","0.22","NS",NA
"AMFR",0.228,0.375740022579551,0.2,0.38,"0.2","0.38","NS",NA
"AMMECR1",0.429,0.734454186104007,0.4,0.73,"0.4","0.73","NS",NA
"AMOT",0.329,0.414654996146115,0.3,0.41,"0.3","0.41","NS",NA
"AMOTL1",0.0218,0.960595729125655,0,0.96,"0.0","0.96","NS",NA
"ANAPC16",0.335,0.362143389704451,0.3,0.36,"0.3","0.36","NS",NA
"ANAPC4",0.0911,0.794222586074244,0.1,0.79,"0.1","0.79","NS",NA
"ANGEL1",-0.03,0.983877925105909,0,0.98,"-0.0","0.98","NS",NA
"ANKLE2",0.0585,0.87342777608899,0.1,0.87,"0.1","0.87","NS",NA
"ANXA4",0.602,0.0211408179526881,0.6,0.02,"0.6","0.02","NS",NA
"APLP1",0.451,0.8010065164367,0.5,0.8,"0.5","0.80","NS",NA
"APLP2",0.462,0.314125090812054,0.5,0.31,"0.5","0.31","NS",NA
"APOA1",0.371,0.429511936691766,0.4,0.43,"0.4","0.43","NS",NA
"APOC3",2.39,0.0193748835721897,2.4,0.02,"2.4","0.02","NS",NA
"APOE",0.922,0.062967010543019,0.9,0.06,"0.9","0.06","NS",NA
"APOH",2.64,0.0359321376367417,2.6,0.04,"2.6","0.04","NS",NA
"APP",0.302,0.48010806021495,0.3,0.48,"0.3","0.48","NS",NA
"ARB2A",0.201,0.687198575812824,0.2,0.69,"0.2","0.69","NS",NA
"ARF3",-1.13,0.652039003715684,-1.1,0.65,"-1.1","0.65","NS",NA
"ARL5B",-6.43,0.00105778160433785,-6.4,0,"-6.4","<0.01","Down",NA
"ARL6IP1",-0.395,0.538142127603043,-0.4,0.54,"-0.4","0.54","NS",NA
"ARMC7",-2.67,0.00337710069122651,-2.7,0,"-2.7","<0.01","Down",NA
"ART5",0.0551,0.899997150858314,0.1,0.9,"0.1","0.90","NS",NA
"ASPRV1",1.15,NA,1.1,NA,"1.1",NA,"NS",NA
"ATAD5",0.758,0.0172301716704159,0.8,0.02,"0.8","0.02","NS",NA
"ATF3",-0.241,0.679516816304827,-0.2,0.68,"-0.2","0.68","NS",NA
"ATF4",1.28,0.088178967616282,1.3,0.09,"1.3","0.09","NS",NA
"ATP5MK",0.573,0.0997734585291811,0.6,0.1,"0.6","0.10","NS",NA
"ATP6V0D2",0.512,0.611404183653343,0.5,0.61,"0.5","0.61","NS",NA
"ATP6V1D",0.0257,0.92310627534816,0,0.92,"0.0","0.92","NS",NA
"ATR",0.234,0.74130171287978,0.2,0.74,"0.2","0.74","NS",NA
"B3GALNT2",-1.41,0.505224516667316,-1.4,0.51,"-1.4","0.51","NS",NA
"B4GALT5",-0.128,0.832347185743077,-0.1,0.83,"-0.1","0.83","NS",NA
"B4GALT6",-0.464,0.636140411167258,-0.5,0.64,"-0.5","0.64","NS",NA
"B9D1",0.62,0.464918096207564,0.6,0.46,"0.6","0.46","NS",NA
"BACE1",0.919,0.360983780647282,0.9,0.36,"0.9","0.36","NS",NA
"BCL2L12",0.535,0.567000062099357,0.5,0.57,"0.5","0.57","NS",NA
"BCOR",0.039,0.911478210290901,0,0.91,"0.0","0.91","NS",NA
"BIRC2",-4.75,9.0923529420806e-09,-4.8,0,"-4.8","<0.01","Down","BIRC2"
"BLM",0.565,0.025963418252973,0.6,0.03,"0.6","0.03","NS",NA
"BLOC1S4",-0.0685,0.881101924290912,-0.1,0.88,"-0.1","0.88","NS",NA
"BMP2",1.4,0.498848929657216,1.4,0.5,"1.4","0.50","NS",NA
"BMP4",0.743,0.576638816613355,0.7,0.58,"0.7","0.58","NS",NA
"BMPR2",0.794,0.695074788141542,0.8,0.7,"0.8","0.70","NS",NA
"BNIP3",0.623,0.707147226303046,0.6,0.71,"0.6","0.71","NS",NA
"BOD1",-0.00553,0.996226519404384,0,1,"-0.0","1.00","NS",NA
