"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","label"
"ABCA3",2.86,0.000838711960878467,2.9,0,"2.9","<0.01","Up",NA
"ABCB10",1.08,0.0322295122580954,1.1,0.03,"1.1","0.03","NS",NA
"ABCB6",-0.364,NA,-0.4,NA,"-0.4",NA,"NS",NA
"ABHD5",-0.163,0.972980221811765,-0.2,0.97,"-0.2","0.97","NS",NA
"ACE2",-3.75,0.292893184860116,-3.8,0.29,"-3.8","0.29","NS",NA
"ACOT13",0.235,0.659280769361339,0.2,0.66,"0.2","0.66","NS",NA
"ACTMAP",-0.227,0.743933828541501,-0.2,0.74,"-0.2","0.74","NS",NA
"ADAM9",0.186,0.824401492664972,0.2,0.82,"0.2","0.82","NS",NA
"ADAMTS1",0.744,0.0175064508923925,0.7,0.02,"0.7","0.02","NS",NA
"ADD1",0.16,0.666631800482826,0.2,0.67,"0.2","0.67","NS",NA
"ADGRG6",5.61,0.00245357844881493,5.6,0,"5.6","<0.01","Up",NA
"AGA",0.311,0.876460587086605,0.3,0.88,"0.3","0.88","NS",NA
"AHDC1",0.19,0.783094452547299,0.2,0.78,"0.2","0.78","NS",NA
"AIFM2",3.89,0.0388444929755423,3.9,0.04,"3.9","0.04","NS",NA
"AIRIM",-0.165,0.936503299852408,-0.2,0.94,"-0.2","0.94","NS",NA
"AKAP7",4.39,0.190358912470375,4.4,0.19,"4.4","0.19","NS",NA
"AKIRIN2",0.378,0.701695386157538,0.4,0.7,"0.4","0.70","NS",NA
"ALDH18A1",1.36,0.0449050144931876,1.4,0.04,"1.4","0.04","NS",NA
"ALDH1L2",1.17,0.000214500030660296,1.2,0,"1.2","<0.01","Up",NA
"ALG1",0.57,0.401125221918461,0.6,0.4,"0.6","0.40","NS",NA
"ALKBH8",1.81,0.711450940469108,1.8,0.71,"1.8","0.71","NS",NA
"AMFR",0.946,0.00192933504415561,0.9,0,"0.9","<0.01","NS",NA
"AMMECR1",0.255,0.943588258086408,0.3,0.94,"0.3","0.94","NS",NA
"AMOT",0.542,0.325586254239577,0.5,0.33,"0.5","0.33","NS",NA
"AMOTL1",0.747,0.0868636598235604,0.7,0.09,"0.7","0.09","NS",NA
"ANAPC16",0.345,0.561373027721202,0.3,0.56,"0.3","0.56","NS",NA
"ANAPC4",0.0192,0.986087051886541,0,0.99,"0.0","0.99","NS",NA
"ANGEL1",0.63,0.780544242362285,0.6,0.78,"0.6","0.78","NS",NA
"ANKLE2",0.939,0.0102188915283054,0.9,0.01,"0.9","0.01","NS",NA
"ANXA4",0.127,0.804788531666173,0.1,0.8,"0.1","0.80","NS",NA
"APLP1",-6.41,0.000618568736613638,-6.4,0,"-6.4","<0.01","Down",NA
"APLP2",-0.0124,0.992813490082242,0,0.99,"-0.0","0.99","NS",NA
"APOA1",-0.633,0.324837453256735,-0.6,0.32,"-0.6","0.32","NS",NA
"APOC3",0.303,0.904804369624432,0.3,0.9,"0.3","0.90","NS",NA
"APOE",-0.0637,0.969867387248759,-0.1,0.97,"-0.1","0.97","NS",NA
"APOH",-6.26,2.59809124942057e-05,-6.3,0,"-6.3","<0.01","Down",NA
"APP",-0.123,0.920813714054198,-0.1,0.92,"-0.1","0.92","NS",NA
"ARB2A",0.121,0.930697908135952,0.1,0.93,"0.1","0.93","NS",NA
"ARF3",-9.26,0.000842063572543307,-9.3,0,"-9.3","<0.01","Down",NA
"ARL5B",-5.17,0.00831373467122267,-5.2,0.01,"-5.2","<0.01","Down",NA
"ARL6IP1",0.702,0.439183487192799,0.7,0.44,"0.7","0.44","NS",NA
"ARMC7",-0.113,0.969095605689294,-0.1,0.97,"-0.1","0.97","NS",NA
"ART5",0.546,0.247831886522174,0.5,0.25,"0.5","0.25","NS",NA
"ASPRV1",0.681,NA,0.7,NA,"0.7",NA,"NS",NA
"ATAD5",0.713,0.0328804900607048,0.7,0.03,"0.7","0.03","NS",NA
"ATF3",-0.17,0.911398431680039,-0.2,0.91,"-0.2","0.91","NS",NA
"ATF4",-0.00403,0.998788269412817,0,1,"-0.0","1.00","NS",NA
"ATP5MK",0.762,0.0780120089318504,0.8,0.08,"0.8","0.08","NS",NA
"ATP6V0D2",-5.53,9.89520250656619e-06,-5.5,0,"-5.5","<0.01","Down",NA
"ATP6V1D",-0.435,0.111673849068878,-0.4,0.11,"-0.4","0.11","NS",NA
"ATR",0.208,0.907748541557893,0.2,0.91,"0.2","0.91","NS",NA
"B3GALNT2",0.101,NA,0.1,NA,"0.1",NA,"NS",NA
"B4GALT5",-0.246,0.839580283009747,-0.2,0.84,"-0.2","0.84","NS",NA
"B4GALT6",-0.312,0.903054112756611,-0.3,0.9,"-0.3","0.90","NS",NA
"B9D1",-0.305,0.893696510834031,-0.3,0.89,"-0.3","0.89","NS",NA
"BACE1",-5.14,5.41276034987694e-05,-5.1,0,"-5.1","<0.01","Down",NA
