"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"ABCA3",2.18,0.0124716917611377,2.2,0.01,"2.2","0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"ABCB10",0.628,0.968812246752404,0.6,0.97,"0.6","0.97","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ABCB6",0.446,0.999003043777844,0.4,1,"0.4","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"ABHD5",0.0154,0.999003043777844,0,1,"0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ACE2",-2.66,0.999003043777844,-2.7,1,"-2.7","1.00","NS","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"ACOT13",0.083,0.999003043777844,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ACTMAP",0.102,0.999003043777844,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADAM9",0.0132,0.999003043777844,0,1,"0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADAMTS1",0.238,0.999003043777844,0.2,1,"0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADD1",0.0232,0.999003043777844,0,1,"0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADGRG6",1.55,0.999003043777844,1.6,1,"1.6","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"AGA",-2.3,0.0143806187146362,-2.3,0.01,"-2.3","0.01","Down","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"AHDC1",-0.0619,0.999003043777844,-0.1,1,"-0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AIFM2",4.42,0.0228032628411924,4.4,0.02,"4.4","0.02","Up","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"AIRIM",-0.388,0.999003043777844,-0.4,1,"-0.4","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AKAP7",4.28,0.624435042388674,4.3,0.62,"4.3","0.62","NS","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"AKIRIN2",-0.469,0.999003043777844,-0.5,1,"-0.5","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH18A1",0.258,0.999003043777844,0.3,1,"0.3","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH1L2",0.343,0.999003043777844,0.3,1,"0.3","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALG1",0.169,0.999003043777844,0.2,1,"0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALKBH8",-4.26,0.697138420468278,-4.3,0.7,"-4.3","0.70","NS","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
