"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"ABCA3",0.397,0.612445633971992,0.4,0.61,"0.4","0.61","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"ABCB10",0.955,0.0183734336657965,1,0.02,"1.0","0.02","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ABCB6",-0.264,NA,-0.3,NA,"-0.3",NA,"NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"ABHD5",0.599,0.695707527962422,0.6,0.7,"0.6","0.70","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ACE2",2.85,0.262450967996588,2.9,0.26,"2.9","0.26","NS","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"ACOT13",0.859,0.00479357961810818,0.9,0,"0.9","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ACTMAP",-0.84,0.0147282676021649,-0.8,0.01,"-0.8","0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ADAM9",0.315,0.391377485073163,0.3,0.39,"0.3","0.39","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADAMTS1",1.24,3.62709090129036e-05,1.2,0,"1.2","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ADD1",-0.21,0.297061841618577,-0.2,0.3,"-0.2","0.30","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADGRG6",0.307,NA,0.3,NA,"0.3",NA,"NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"AGA",2.48,0.00200703062906681,2.5,0,"2.5","<0.01","Up","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"AHDC1",0.689,0.0264119763649111,0.7,0.03,"0.7","0.03","Up","Present_3of3","Present_3of3","Present vs Present",NA
"AIFM2",-0.941,0.572710755857289,-0.9,0.57,"-0.9","0.57","NS","MAR_2of3","MAR_1of3","MAR vs MAR",NA
"AIRIM",-2.69,0.000228780619266762,-2.7,0,"-2.7","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"AKAP7",-0.00322,0.999010527886008,0,1,"-0.0","1.00","NS","MAR_1of3","MAR_1of3","MAR vs MAR",NA
"AKIRIN2",-1.51,0.00479357961810818,-1.5,0,"-1.5","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH18A1",1.25,0.0211248974114082,1.2,0.02,"1.2","0.02","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH1L2",-0.26,0.302604552824067,-0.3,0.3,"-0.3","0.30","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALG1",0.298,0.556732066967557,0.3,0.56,"0.3","0.56","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALKBH8",5.58,0.0240726066083162,5.6,0.02,"5.6","0.02","Up","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"AMFR",-0.12,0.679594093607933,-0.1,0.68,"-0.1","0.68","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AMMECR1",6.06,8.18827096099269e-06,6.1,0,"6.1","<0.01","Up","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"AMOT",-0.0153,0.977740482850977,0,0.98,"-0.0","0.98","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AMOTL1",-0.168,0.662461462062334,-0.2,0.66,"-0.2","0.66","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ANAPC16",-0.539,0.120012455681868,-0.5,0.12,"-0.5","0.12","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"ANAPC4",0.154,0.647559521925474,0.2,0.65,"0.2","0.65","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ANGEL1",-0.51,0.668417200333748,-0.5,0.67,"-0.5","0.67","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ANKLE2",-0.0408,0.922474686506556,0,0.92,"-0.0","0.92","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ANXA4",0.855,0.000643389937646235,0.9,0,"0.9","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"APLP1",-1.36,NA,-1.4,NA,"-1.4",NA,"NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"APLP2",0.476,0.295735508865202,0.5,0.3,"0.5","0.30","NS","Present_3of3","Present_3of3","Present vs Present",NA
"APOA1",0.961,0.0308396640347412,1,0.03,"1.0","0.03","Up","Present_3of3","Present_3of3","Present vs Present",NA
"APOC3",3.36,0.000578213720134618,3.4,0,"3.4","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"APOE",-0.0577,0.929635545628507,-0.1,0.93,"-0.1","0.93","NS","Present_3of3","Present_3of3","Present vs Present",NA
"APOH",5.13,9.89889982847027e-05,5.1,0,"5.1","<0.01","Up","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"APP",0.559,0.161214816701162,0.6,0.16,"0.6","0.16","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ARB2A",0.273,0.577850201199145,0.3,0.58,"0.3","0.58","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ARF3",-0.199,NA,-0.2,NA,"-0.2",NA,"NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"ARL5B",0.768,NA,0.8,NA,"0.8",NA,"NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"ARL6IP1",-0.624,0.30309420321847,-0.6,0.3,"-0.6","0.30","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"ARMC7",-2.93,0.000447337735237369,-2.9,0,"-2.9","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"ART5",0.0637,0.890907050032036,0.1,0.89,"0.1","0.89","NS","MAR_2of3","MAR_1of3","MAR vs MAR",NA
"ASPRV1",-0.331,0.898612196157318,-0.3,0.9,"-0.3","0.90","NS","MAR_1of3","MAR_1of3","MAR vs MAR",NA
"ATAD5",0.257,0.349805007072429,0.3,0.35,"0.3","0.35","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATF3",0.125,0.856677369306187,0.1,0.86,"0.1","0.86","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATF4",-0.149,0.87822032468237,-0.1,0.88,"-0.1","0.88","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5MK",-0.799,0.0175253395740831,-0.8,0.02,"-0.8","0.02","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ATP6V0D2",-6.36,3.79183387442417e-07,-6.4,0,"-6.4","<0.01","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"ATP6V1D",-0.0062,0.983995951735897,0,0.98,"-0.0","0.98","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATR",0.0805,0.926428088808273,0.1,0.93,"0.1","0.93","NS","Present_3of3","Present_3of3","Present vs Present",NA
"B3GALNT2",-1.17,0.60767494414799,-1.2,0.61,"-1.2","0.61","NS","MAR_2of3","MAR_1of3","MAR vs MAR",NA
"B4GALT5",0.285,0.613450819976568,0.3,0.61,"0.3","0.61","NS","Present_3of3","Present_3of3","Present vs Present",NA
"B4GALT6",0.166,0.890296278707023,0.2,0.89,"0.2","0.89","NS","MAR_1of3","MAR_2of3","MAR vs MAR",NA
"B9D1",-5.58,4.15973813752534e-07,-5.6,0,"-5.6","<0.01","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"BACE1",-0.193,NA,-0.2,NA,"-0.2",NA,"NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"BCL2L12",-6.75,6.59702079297256e-08,-6.8,0,"-6.8","<0.01","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"BCOR",-0.186,0.536770276664256,-0.2,0.54,"-0.2","0.54","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BIRC2",-0.502,0.329049690073724,-0.5,0.33,"-0.5","0.33","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"BLM",0.499,0.0241370685253303,0.5,0.02,"0.5","0.02","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BLOC1S4",-1.69,7.18542107376874e-05,-1.7,0,"-1.7","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"BMP2",1.57,NA,1.6,NA,"1.6",NA,"NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"BMP4",-5.8,6.0687249385247e-05,-5.8,0,"-5.8","<0.01","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"BMPR2",-0.466,NA,-0.5,NA,"-0.5",NA,"NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"BNIP3",1.63,NA,1.6,NA,"1.6",NA,"NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"BOD1",-3.78,8.15851342399979e-06,-3.8,0,"-3.8","<0.01","Down","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"BORCS6",-0.438,0.223129341095701,-0.4,0.22,"-0.4","0.22","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BPGM",-0.406,0.212859407651882,-0.4,0.21,"-0.4","0.21","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BPNT2",0.943,0.00665810684330318,0.9,0.01,"0.9","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"BRI3",-5.51,1.90134260991969e-06,-5.5,0,"-5.5","<0.01","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"BRI3BP",0.647,0.00721895960151675,0.6,0.01,"0.6","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"BRWD3",0.652,0.0380288755596398,0.7,0.04,"0.7","0.04","Up","Present_3of3","Present_3of3","Present vs Present",NA
"BTBD9",-2.82,0.323033039026688,-2.8,0.32,"-2.8","0.32","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"BTN2A3P",4.13,0.11992965381211,4.1,0.12,"4.1","0.12","NS","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"C1orf159",3.59,0.0175253395740831,3.6,0.02,"3.6","0.02","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"C1orf198",-1.48,0.000501837698712688,-1.5,0,"-1.5","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"C2CD2L",0.491,0.331770652773504,0.5,0.33,"0.5","0.33","NS","Present_3of3","Present_3of3","Present vs Present",NA
"C4A",0.365,NA,0.4,NA,"0.4",NA,"NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"C4BPA",4,0.00200703062906681,4,0,"4.0","<0.01","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"C6orf89",-0.0358,0.95626589764995,0,0.96,"-0.0","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"C8orf88",-5.36,0.00312643319382515,-5.4,0,"-5.4","<0.01","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"C9orf72",1.77,0.560436582737111,1.8,0.56,"1.8","0.56","NS","MAR_1of3","MAR_2of3","MAR vs MAR",NA
"CABIN1",0.503,0.188322308214642,0.5,0.19,"0.5","0.19","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CALCOCO2",-0.398,0.373113451347559,-0.4,0.37,"-0.4","0.37","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CAMKK1",-1.33,0.000538393162547155,-1.3,0,"-1.3","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CARMIL2",-1.5,0.00478116173237236,-1.5,0,"-1.5","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CASTOR2",0.815,0.209891260046139,0.8,0.21,"0.8","0.21","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"CBY1",-1.71,0.00162636534737889,-1.7,0,"-1.7","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CCDC106",0.02,0.966415999157506,0,0.97,"0.0","0.97","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CCDC120",-5.41,0.000380334993658422,-5.4,0,"-5.4","<0.01","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"CCDC138",-1.4,NA,-1.4,NA,"-1.4",NA,"NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"CCDC158",0.132,0.878900493805898,0.1,0.88,"0.1","0.88","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"CCDC18",-4.05,3.43988331026866e-07,-4,0,"-4.0","<0.01","Down","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"CCDC186",-1.18,0.00025211932762394,-1.2,0,"-1.2","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CCDC28B",-3.36,3.25206205083726e-07,-3.4,0,"-3.4","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"CCDC66",-2.45,0.00502753340015367,-2.5,0.01,"-2.5","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"CCDC82",0.471,0.884652187265779,0.5,0.88,"0.5","0.88","NS","MAR_2of3","MAR_2of3","MAR vs MAR",NA
"CCK",0.0521,0.961061804319607,0.1,0.96,"0.1","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CCN1",1.25,0.221875371161411,1.2,0.22,"1.2","0.22","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"CCN2",3.78,0.027159616789883,3.8,0.03,"3.8","0.03","Up","MAR_2of3","MNAR_0of3","MAR vs MNAR",NA
"CCNQ",1.69,NA,1.7,NA,"1.7",NA,"NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"CCPG1",-0.18,0.709832931707914,-0.2,0.71,"-0.2","0.71","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"CD151",-0.471,0.298578532132016,-0.5,0.3,"-0.5","0.30","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CD40",4.91,0.0170424023338313,4.9,0.02,"4.9","0.02","Up","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"CD81",-0.977,0.0341566382132051,-1,0.03,"-1.0","0.03","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CD84",2.19,NA,2.2,NA,"2.2",NA,"NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"CD99",-0.722,0.809972843894247,-0.7,0.81,"-0.7","0.81","NS","MAR_2of3","MAR_1of3","MAR vs MAR",NA
"CDC42EP1",-0.954,0.0148522224159346,-1,0.01,"-1.0","0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CDCA7L",-0.803,0.0072460667750084,-0.8,0.01,"-0.8","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CDK11A",-0.257,NA,-0.3,NA,"-0.3",NA,"NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"CDKN2A",-1.25,0.000221456098245826,-1.2,0,"-1.2","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CEBPZOS",-4.78,1.12542812279825e-08,-4.8,0,"-4.8","<0.01","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"CENPW",0.734,0.157829294245507,0.7,0.16,"0.7","0.16","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CENPX",-2.17,0.000163324757684054,-2.2,0,"-2.2","<0.01","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"CEP170B",-1.06,0.00129599082142485,-1.1,0,"-1.1","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CEP41",-1,0.000778252342790408,-1,0,"-1.0","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CFAP97",-1.16,0.0149362186401327,-1.2,0.01,"-1.2","0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CHCHD4",1.63,0.26337675623678,1.6,0.26,"1.6","0.26","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"CHKA",-2.74,0.152422946666601,-2.7,0.15,"-2.7","0.15","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"CHPF",2.39,0.2434849856625,2.4,0.24,"2.4","0.24","NS","Present_3of3","MNAR_0of3","Present vs MNAR",NA
"CHPF2",0.283,0.872362068492988,0.3,0.87,"0.3","0.87","NS","Present_3of3","MAR_1of3","Present vs MAR",NA
"CHSY1",0.429,0.201592242869356,0.4,0.2,"0.4","0.20","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"CISD1",1.34,3.61876785879903e-05,1.3,0,"1.3","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"CKS1B",-1.27,0.00250698398782701,-1.3,0,"-1.3","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CKS2",-1.51,0.000165512198524321,-1.5,0,"-1.5","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"CLK3",0.242,0.461062703290901,0.2,0.46,"0.2","0.46","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CLOCK",0.137,0.962399984674567,0.1,0.96,"0.1","0.96","NS","MAR_2of3","MAR_1of3","MAR vs MAR",NA
"CLTCL1",1.01,NA,1,NA,"1.0",NA,"NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"CLU",0.51,0.107267543209828,0.5,0.11,"0.5","0.11","NS","Present_3of3","Present_3of3","Present vs Present",NA
"CMTM6",0.788,0.630070922222788,0.8,0.63,"0.8","0.63","NS","MAR_1of3","MAR_2of3","MAR vs MAR",NA
"CNBP",-1.32,0.189204962209603,-1.3,0.19,"-1.3","0.19","NS","Present_3of3","Present_3of3","Present vs Present",NA
