"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"ABCA3",-0.14,0.868961934358825,-0.1,0.87,"-0.1","0.87","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ABCB10",0.52,0.162417669226701,0.5,0.16,"0.5","0.16","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ABCB6",-6.55,2.60739481897216e-05,-6.6,0,"-6.6","<0.01","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"ABHD5",-1.84,0.126731042763223,-1.8,0.13,"-1.8","0.13","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"ACE2",2.6,0.280757397751027,2.6,0.28,"2.6","0.28","NS","MAR_1of3","Present_3of3","MAR vs Present",NA
"ACOT13",-0.277,0.317229251594635,-0.3,0.32,"-0.3","0.32","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ACTMAP",-0.336,0.296780113751598,-0.3,0.3,"-0.3","0.30","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADAM9",-0.857,0.0110659989957689,-0.9,0.01,"-0.9","0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ADAMTS1",-1.78,2.13911915627425e-07,-1.8,0,"-1.8","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ADD1",0.478,0.0113586515823637,0.5,0.01,"0.5","0.01","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADGRG6",-2.86,0.0413976751951071,-2.9,0.04,"-2.9","0.04","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"AGA",-1.71,0.0144454651390063,-1.7,0.01,"-1.7","0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"AHDC1",1.36,8.69361168681005e-05,1.4,0,"1.4","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"AIFM2",-3.22,0.0215780745707114,-3.2,0.02,"-3.2","0.02","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"AIRIM",-0.0903,0.917274817091701,-0.1,0.92,"-0.1","0.92","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AKAP7",-1.58,0.523678752874683,-1.6,0.52,"-1.6","0.52","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"AKIRIN2",1.16,0.0152760323942545,1.2,0.02,"1.2","0.02","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH18A1",1.12,0.0255730538578602,1.1,0.03,"1.1","0.03","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH1L2",0.859,0.000767091901348575,0.9,0,"0.9","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ALG1",0.844,0.045976531719952,0.8,0.05,"0.8","0.05","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ALKBH8",-2.74,0.241549050849738,-2.7,0.24,"-2.7","0.24","NS","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"AMFR",1.45,3.00912726272955e-06,1.4,0,"1.4","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"AMMECR1",0.0213,0.989338319927192,0,0.99,"0.0","0.99","NS","MAR_1of3","MAR_2of3","MAR vs MAR",NA
"AMOT",1.69,8.14009640439082e-05,1.7,0,"1.7","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"AMOTL1",1.45,8.76699932027283e-05,1.4,0,"1.4","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ANAPC16",0.623,0.0574229918573694,0.6,0.06,"0.6","0.06","NS","Present_3of3","MAR_1of3","Present vs MAR",NA
"ANAPC4",0.502,0.0636461785171669,0.5,0.06,"0.5","0.06","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ANGEL1",-0.423,0.720306176729993,-0.4,0.72,"-0.4","0.72","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ANKLE2",1.31,6.99078085672707e-05,1.3,0,"1.3","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ANXA4",-0.264,0.208142763675929,-0.3,0.21,"-0.3","0.21","NS","Present_3of3","Present_3of3","Present vs Present",NA
"APLP1",-7.8,1.22468723629843e-05,-7.8,0,"-7.8","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"APLP2",-3.53,5.58334802018052e-08,-3.5,0,"-3.5","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"APOA1",-2.18,2.60739481897216e-05,-2.2,0,"-2.2","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"APOC3",-5.66,6.4854992196517e-07,-5.7,0,"-5.7","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"APOE",-2.37,1.25003112925323e-05,-2.4,0,"-2.4","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"APOH",-5.28,3.73931004732606e-05,-5.3,0,"-5.3","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"APP",-3.24,4.96632158514082e-08,-3.2,0,"-3.2","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ARB2A",1.11,0.00861181420801956,1.1,0.01,"1.1","<0.01","Up","Present_3of3","MAR_2of3","Present vs MAR",NA
"ARF3",-12.8,3.76759735727754e-06,-12.8,0,"-12.8","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"ARL5B",0.0135,0.99462722751369,0,0.99,"0.0","0.99","NS","MAR_1of3","MAR_1of3","MAR vs MAR",NA
"ARL6IP1",-1.39,0.0137112860227107,-1.4,0.01,"-1.4","0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ARMC7",0.823,0.239764107501757,0.8,0.24,"0.8","0.24","NS","Present_3of3","MAR_1of3","Present vs MAR",NA
"ART5",-3.83,3.46360378374806e-10,-3.8,0,"-3.8","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"ASPRV1",6.33,0.00100980938437245,6.3,0,"6.3","<0.01","Up","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"ATAD5",1.78,4.67649383775338e-07,1.8,0,"1.8","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ATF3",-0.813,0.0857222118067895,-0.8,0.09,"-0.8","0.09","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATF4",-0.799,0.233956432431713,-0.8,0.23,"-0.8","0.23","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5MK",-0.63,0.0406737876350202,-0.6,0.04,"-0.6","0.04","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ATP6V0D2",0.342,0.746060158365725,0.3,0.75,"0.3","0.75","NS","MAR_1of3","Present_3of3","MAR vs Present",NA
"ATP6V1D",-1.05,1.44585639241859e-05,-1,0,"-1.0","<0.01","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ATR",0.0927,0.909416030916938,0.1,0.91,"0.1","0.91","NS","Present_3of3","Present_3of3","Present vs Present",NA
"B3GALNT2",-4.22,0.0239754147752513,-4.2,0.02,"-4.2","0.02","Down","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"B4GALT5",-3.28,5.49067384482885e-07,-3.3,0,"-3.3","<0.01","Down","MAR_2of3","Present_3of3","MAR vs Present",NA
"B4GALT6",-3.41,0.000268996550358532,-3.4,0,"-3.4","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"B9D1",-5.31,5.60019095077639e-07,-5.3,0,"-5.3","<0.01","Down","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
"BACE1",-3.61,0.000397608359913806,-3.6,0,"-3.6","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"BCL2L12",0.272,0.79001140118489,0.3,0.79,"0.3","0.79","NS","MAR_2of3","MAR_2of3","MAR vs MAR",NA
"BCOR",1.36,1.95908776873585e-05,1.4,0,"1.4","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"BIRC2",0.141,0.815416675880588,0.1,0.82,"0.1","0.82","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"BLM",1.04,3.62647462703024e-05,1,0,"1.0","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"BLOC1S4",0.371,0.283756881254991,0.4,0.28,"0.4","0.28","NS","Present_3of3","Present_3of3","Present vs Present",NA
"BMP2",0.115,0.970061893025921,0.1,0.97,"0.1","0.97","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"BMP4",-5.79,3.44940781247011e-05,-5.8,0,"-5.8","<0.01","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"BMPR2",-3.25,0.048730206903051,-3.2,0.05,"-3.2","0.05","Down","MNAR_0of3","Present_3of3","MNAR vs Present",NA
