"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"ABCA3",0.0898,0.999934611520757,0.1,1,"0.1","1.00","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"ABCB10",-0.27,0.999934611520757,-0.3,1,"-0.3","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ABCB6",-0.883,0.999934611520757,-0.9,1,"-0.9","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"ABHD5",1.24,0.928217795782644,1.2,0.93,"1.2","0.93","NS","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"ACE2",0.0977,0.999934611520757,0.1,1,"0.1","1.00","NS","MAR_1of3","MAR_1of3","MAR vs MAR",NA
"ACOT13",-0.0284,0.999934611520757,0,1,"-0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ACTMAP",0.261,0.999934611520757,0.3,1,"0.3","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADAM9",-0.954,0.0443988279631966,-1,0.04,"-1.0","0.04","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ADAMTS1",0.14,0.999934611520757,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADD1",0.0703,0.999934611520757,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADGRG6",-0.842,0.999934611520757,-0.8,1,"-0.8","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"AGA",1.83,0.0806778533211905,1.8,0.08,"1.8","0.08","NS","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"AHDC1",0.0818,0.999934611520757,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AIFM2",0.407,0.999934611520757,0.4,1,"0.4","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"AIRIM",0.303,0.999934611520757,0.3,1,"0.3","1.00","NS","MAR_1of3","Present_3of3","MAR vs Present",NA
"AKAP7",1.34,0.999934611520757,1.3,1,"1.3","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"AKIRIN2",0.611,0.831362820092347,0.6,0.83,"0.6","0.83","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH18A1",-0.511,0.928217795782644,-0.5,0.93,"-0.5","0.93","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH1L2",-0.221,0.95519061139072,-0.2,0.96,"-0.2","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALG1",-0.664,0.669074322420043,-0.7,0.67,"-0.7","0.67","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALKBH8",0.0447,0.999934611520757,0,1,"0.0","1.00","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"AMFR",-0.0381,0.999934611520757,0,1,"-0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AMMECR1",-0.729,0.999934611520757,-0.7,1,"-0.7","1.00","NS","Present_3of3","MAR_1of3","Present vs MAR",NA
"AMOT",-0.296,0.999934611520757,-0.3,1,"-0.3","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AMOTL1",-0.133,0.999934611520757,-0.1,1,"-0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ANAPC16",0.509,0.694560876849242,0.5,0.69,"0.5","0.69","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ANAPC4",-0.214,0.999934611520757,-0.2,1,"-0.2","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ANGEL1",-2.53,0.0858755034080492,-2.5,0.09,"-2.5","0.09","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"ANKLE2",0.149,0.999934611520757,0.1,1,"0.1","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ANXA4",-0.00939,0.999934611520757,0,1,"-0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
