"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"ABCA3",1.14,0.111037548220202,1.1,0.11,"1.1","0.11","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"ABCB10",0.905,0.0424459327735691,0.9,0.04,"0.9","0.04","Up","MAR_2of3","Present_3of3","MAR vs Present",NA
"ABCB6",0.613,0.688955009388554,0.6,0.69,"0.6","0.69","NS","MAR_2of3","MAR_1of3","MAR vs MAR",NA
"ABHD5",0.156,0.926089632446641,0.2,0.93,"0.2","0.93","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"ACE2",1.8,0.503344595112169,1.8,0.5,"1.8","0.50","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"ACOT13",1.09,0.00199313020707795,1.1,0,"1.1","<0.01","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ACTMAP",-0.272,0.440005980700845,-0.3,0.44,"-0.3","0.44","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"ADAM9",0.619,0.0961136386425366,0.6,0.1,"0.6","0.10","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADAMTS1",-0.0935,0.748561016234763,-0.1,0.75,"-0.1","0.75","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADD1",-0.562,0.0175144789466842,-0.6,0.02,"-0.6","0.02","Down","Present_3of3","Present_3of3","Present vs Present",NA
"ADGRG6",0.85,0.611121285297362,0.8,0.61,"0.8","0.61","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AGA",0.569,0.463447997650766,0.6,0.46,"0.6","0.46","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AHDC1",0.505,0.118293834837857,0.5,0.12,"0.5","0.12","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AIFM2",0.146,0.939937868440438,0.1,0.94,"0.1","0.94","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AIRIM",0.265,0.718920662494326,0.3,0.72,"0.3","0.72","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AKAP7",0.0683,0.984364966482657,0.1,0.98,"0.1","0.98","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AKIRIN2",0.0721,0.911478210290901,0.1,0.91,"0.1","0.91","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH18A1",0.675,0.216819980678797,0.7,0.22,"0.7","0.22","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH1L2",0.0204,0.949138010969487,0,0.95,"0.0","0.95","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALG1",0.181,0.730610653285779,0.2,0.73,"0.2","0.73","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"ALKBH8",-3.06,0.222473528020567,-3.1,0.22,"-3.1","0.22","NS","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
