"Gene","name","ID","Group","keep_sig_any","SigIn","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_control_atRAL5hr_centered","RDH12_100_atRAL5hr_centered","RDH12_200_atRAL5hr_centered","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio"
"SLC7A8","SLC7A8","Q9UHI5","SLC transporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.598,5.43,5.51,0.000753974494002006,6.03,0.974517809145962,0.0774,0.000704578690540281,6.11
"SLC35F2","SLC35F2","Q8IXU6","SLC transporters",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-0.425,1.65,3.47,0.0538406550056887,2.07,0.183712224889957,1.82,0.00198115956783874,3.9
"SLC38A10","SLC38A10","Q9HBR0","SLC transporters",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-0.346,1.55,3.15,0.172515211594134,1.89,0.381583538305974,1.6,0.0221563114212708,3.5
"SLC49A4","SLC49A4","Q96SL1","SLC transporters",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-1.25,1.41,2.72,0.0584979475054775,2.66,0.48048071450117,1.31,0.0106850857618517,3.98
"SLC39A1","SLC39A1","Q9NY26","SLC transporters",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-0.522,0.604,3.03,0.345870812623792,1.13,0.120180863547044,2.43,0.00824753989154108,3.56
"SLC31A1","SLC31A1","O15431","SLC transporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.122,3.29,3.82,0.00296650179295229,3.42,0.723683901987691,0.528,0.00135196354925361,3.94
"SLC39A7","SLC39A7","Q92504","SLC transporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.31,2.47,3.26,0.00602866010725285,3.78,0.666170945592939,0.785,0.0022691165485848,4.56
"SLC19A1","SLC19A1","P41440","SLC transporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.84,2.84,3.91,0.000529034445453003,4.67,0.448944806203767,1.07,6.8555474485715e-05,5.74
"SLC46A3","SLC46A3","Q7Z3Q1","SLC transporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-3.71,2.19,2.41,1.74621551673372e-06,5.91,0.862454795989528,0.218,8.20806740266782e-07,6.12
"SLC35E1","SLC35E1","Q96K37","SLC transporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.99,0.648,0.772,0.00122499504615721,2.64,0.91210368378441,0.124,0.000985573721039178,2.76
"SLC30A5","SLC30A5","Q8TAD4","SLC transporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.35,-0.189,0.33,0.000292373351587569,2.16,0.383994076789074,0.519,2.51483195826819e-05,2.68
"SLC39A11","SLC39A11","Q8N1S5","SLC transporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.82,-0.196,0.432,0.0382938028769371,1.63,0.550932165984362,0.628,0.00896950265927338,2.26
"SLC37A3","SLC37A3","Q8NCC5","SLC transporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.8,0.0751,0.376,7.85691940015512e-06,1.87,0.420468830868673,0.301,8.23213570353642e-07,2.17
"SLC38A9","SLC38A9","Q8NBW4","SLC transporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.87,0.117,0.167,0.00596772365905017,1.99,0.965092278881089,0.0496,0.00685377095653662,2.04
"SLC25A14","SLC25A14","O95258","SLC transporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.83,0.398,0.921,0.000779702270307816,3.23,0.638835957215475,0.524,0.000227039556724898,3.75
"SLC25A21","SLC25A21","Q9BQT8","SLC transporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.94,0.0916,0.832,0.000101368119426504,3.03,0.314110603249295,0.741,6.16540261410735e-06,3.77
"SLC25A15","SLC25A15","Q9Y619","SLC transporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-3.33,0.308,0.586,0.000200622604956182,3.64,0.801735438265441,0.278,7.27778172836316e-05,3.91
"SLC25A19","SLC25A19","Q9HC21","SLC transporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-3.38,0.17,1.09,3.0610193764816e-05,3.55,0.22697653919348,0.924,1.12223038233761e-06,4.47
"SLC37A4","SLC37A4","O43826","SLC transporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.67,-0.545,-0.128,0.00149161419719171,2.12,0.602134312987668,0.417,0.000434000599768058,2.54
"SLC6A9","SLC6A9","P48067","SLC transporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.87,0.117,0.182,6.36198372052359e-06,2.99,0.928522493451264,0.065,3.90781192699664e-06,3.05
"SLC7A6","SLC7A6","Q92536","SLC transporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.88,-0.155,0.549,0.000705764162152999,2.73,0.41294155586675,0.704,8.70527517281952e-05,3.43
"SLC9A6","SLC9A6","Q92581","SLC transporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.93,0.0959,0.563,0.00153900764316744,3.02,0.691949720404469,0.467,0.000608220316606126,3.49
"SLC23A2","SLC23A2","Q9UGH3","SLC transporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-3.77,0.672,1.08,3.7832635476284e-08,4.45,0.5023676391403,0.407,7.82465304581243e-09,4.85
"SLC30A7","SLC30A7","Q8NEW0","SLC transporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-4.41,0.547,0.939,3.90594483632869e-07,4.96,0.650593269927366,0.391,1.10985603888458e-07,5.35
"SLC27A3","SLC27A3","Q5K4L6","SLC transporters",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-3.64,-0.725,1.27,0.031987540204271,2.92,0.241514556495254,2,0.00183143382307249,4.91
