"Gene","Pathway","Acute RDH12 Veh","Acute RDH12 100uM","Acute RDH12 200uM","Recovery RDH12 Veh","Recovery RDH12 100uM","Recovery RDH12 200uM","Recovery WT Veh","Recovery WT 100uM","Recovery WT 200uM"
"CHKA","Lipid synthesis",-2.86,0.624,2.51,-3.43,2.15,2.48,1.23,0.0182,-2.72
"AGPAT5","Lipid synthesis",-3.15,-0.833,1.45,2.74,1.42,2.54,-2.63,-2.75,1.2
"AGPAT4","Lipid synthesis",-3.32,-0.281,-0.528,0.863,0.719,0.282,0.359,0.607,1.3
"GPAT4","Lipid synthesis",-3.08,0.351,0.57,0.522,0.472,0.296,0.0819,-0.226,1.02
"DGKE","Lipid synthesis",-2.92,0.485,1.39,0.231,0.0345,0.105,-0.139,0.177,0.637
"UROS","Heme-related proteins",-2.24,0.443,0.87,0.812,0.745,-2.94,0.732,1.02,0.558
"SLC11A2","Heme-related proteins",-0.607,0.631,0.962,0.0565,0.157,-0.982,-0.438,-0.304,0.526
"ABCB10","Heme-related proteins",-1.07,-0.37,0.534,0.477,0.15,-0.12,-0.603,0.025,0.98
"IBA57","Heme-related proteins",-0.599,-0.0284,0.337,0.246,0.0981,-0.398,-0.281,-0.0372,0.662
"CLIP1","CCT/TRiC",1.21,-0.688,-0.505,0.128,0.206,0.65,0.339,-0.192,-1.15
"FLNA","CCT/TRiC",0.703,-0.103,-0.362,0.0341,-0.0695,0.385,0.351,0.022,-0.961
"FN1","ERK/MAPK",2.84,1.72,2.46,0.79,0.863,-4.56,0.275,-4.78,0.395
"ATF3","ERK/MAPK",1.82,0.0373,-0.203,-0.596,-0.776,-0.832,-0.426,0.424,0.549
"WNT5A","ERK/MAPK",-2.28,1.46,2.32,0.43,0.533,-3.45,0.366,0.25,0.364
"ERBB2","ERK/MAPK",-2.37,0.25,1.23,0.648,0.588,-1.95,0.444,0.269,0.896
"BACH2","Stress response",0.471,-2.2,-2.26,0.846,0.583,0.813,0.518,0.678,0.545
"FTL","Stress response",1.25,-0.59,0.706,-0.804,-0.743,0.391,0.291,0.00579,-0.505
"GPX4","Stress response",2.42,-0.466,-0.262,-0.22,-0.258,-0.265,0.0531,-0.418,-0.585
"GSTZ1","Stress response",2.52,0.155,0.651,-0.543,-0.478,-0.664,-0.176,-0.738,-0.722
"GSR","Stress response",2.12,-0.324,0.442,-0.19,-0.324,-0.165,-0.0768,-0.494,-0.987
"GSS","Stress response",2.43,-0.177,0.571,-0.114,-0.323,-0.179,-0.221,-0.698,-1.29
"TXNRD1","Stress response",2.36,0.0818,0.636,-0.355,-0.443,-0.0712,-0.322,-0.741,-1.14
"HMOX1","Stress response",0.363,1.09,0.222,-0.425,-0.236,0.725,-0.656,-0.527,-0.554
"GCLC","Stress response",-0.0206,0.681,-0.208,-0.264,-0.202,-0.14,0.208,0.222,-0.276
"SLC3A2","Stress response",0.0277,0.528,0.371,-0.064,-0.077,-0.0335,-0.516,-0.294,0.057
"MGST2","Stress response",-0.268,0.822,0.483,-0.252,0.0686,-0.278,-0.276,-0.0793,-0.221
"MGST3","Stress response",-0.483,0.617,0.417,-0.0875,0.0131,-0.111,-0.302,-0.201,0.138
"BLVRB","Stress response",0.962,0.154,0.0961,-0.204,-0.288,0.0473,0.0894,-0.0341,-0.823
"GSTO1","Stress response",0.71,0.225,0.061,-0.402,-0.373,-0.0549,-0.0245,0.0605,-0.202
"AKR1A1","Stress response",1.25,0.226,0.0275,-0.315,-0.235,-0.233,-0.154,-0.303,-0.267
"ABCC1","Stress response",0.3,-0.24,0.119,0.0493,0.189,-0.242,-0.279,-0.144,0.249
"VDAC2","Stress response",0.566,-0.0877,0.659,-0.0853,0.0277,-0.403,-0.288,-0.209,-0.179
"RXRA","Stress response",0.0932,-0.57,-0.667,0.407,0.0913,0.0636,0.245,0.148,0.189
"BACH1","Stress response",0.357,-0.0332,-0.652,-0.162,0.154,0.255,0.47,0.26,-0.65
"CREBBP","Stress response",0.542,-0.143,-0.261,0.261,-0.279,0.198,0.153,-0.19,-0.281
"FTH1","Stress response",0.497,-0.241,0.213,0.0376,-0.524,0.265,0.33,0.155,-0.732
"NFE2L2","Stress response",0.731,-0.292,1.94,-2.65,1.34,1.62,-0.436,1.68,-3.93
"SLC39A7","Stress response",-1.31,2.47,3.26,-2.36,3.22,3.44,-2.02,-3.19,-3.52
