"Gene","name","ID","Pathway","keep_sig_any","SigIn","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_sigflag","RDH12_control_atRAL5hr_centered","RDH12_100_atRAL5hr_centered","RDH12_200_atRAL5hr_centered","RDH12_control_atRAL5hr.24h_recvr_centered","GFP_control_atRAL5hr.24h_recvr_centered","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_p.adj","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr_ratio"
"RDH12","RDH12","Q96NR8","EndoRet",TRUE,"Veh RDH12 vs WT",FALSE,FALSE,FALSE,TRUE,3.31,4.33,4.24,3.74,-6.88,0.0825706437866408,1.01,0.926664521656087,-0.0882,0.132796655147522,0.925,1.45620296744508e-11,10.6
"AMFR","AMFR","Q9UKV5","EndoRet",TRUE,"Veh RDH12 vs WT",FALSE,FALSE,FALSE,TRUE,-1.07,-0.719,-0.491,0.906,-0.0403,0.0756185696493408,0.352,0.377886685862536,0.228,0.00878972673739714,0.579,0.00197623030929098,0.946
"ANKLE2","ANKLE2","Q86XL3","EndoRet",TRUE,"Veh RDH12 vs WT",FALSE,FALSE,FALSE,TRUE,-0.755,-0.678,-0.62,0.905,-0.0334,0.752062114923529,0.0767,0.874180196309604,0.0585,0.599333058539394,0.135,0.0104672763949262,0.939
"C2CD2L","C2CD2L","O14523","EndoRet",TRUE,"200uM vs 100uM; 200uM vs Veh; Veh RDH12 vs WT",FALSE,TRUE,TRUE,TRUE,-0.961,-1.06,0.117,1.07,-0.523,0.805179696801481,-0.102,0.0340367125206018,1.18,0.0131240180851754,1.08,0.00981421450644139,1.59
"LPGAT1","LPGAT1","Q92604","EndoRet",TRUE,"100uM vs Veh; 200uM vs Veh; Veh RDH12 vs WT",TRUE,FALSE,TRUE,TRUE,-1.51,-0.572,0.0213,0.554,-0.536,0.00492838426251791,0.942,0.136029111099505,0.593,0.000136147277426462,1.54,0.0240155237333216,1.09
"POM121","POM121","Q96HA1","EndoRet",TRUE,"100uM vs Veh; Veh RDH12 vs WT",TRUE,FALSE,FALSE,TRUE,0.299,-0.517,-0.239,1.26,-0.229,0.0372103572511826,-0.816,0.604267610950226,0.277,0.183820008971,-0.538,0.0134306364997907,1.49
"ELAVL1","ELAVL1","Q15717","EndoRet",TRUE,"Veh RDH12 vs WT",FALSE,FALSE,FALSE,TRUE,-0.358,-0.518,-0.121,0.39,-0.292,0.389608554833795,-0.16,0.105417477046971,0.397,0.226690351710365,0.237,0.0197818877043913,0.682
"SLC30A9","SLC30A9","Q6PML9","EndoRet",TRUE,"Veh RDH12 vs WT",FALSE,FALSE,FALSE,TRUE,-0.216,-0.174,0.194,0.345,-0.629,0.872185136625202,0.0418,0.233796346001944,0.369,0.107484586291857,0.411,0.0101178474522517,0.974
"OSBPL8","OSBPL8","Q9BZF1","EndoRet",TRUE,"Veh RDH12 vs WT",FALSE,FALSE,FALSE,TRUE,-0.323,-0.086,0.164,0.22,-0.367,0.165878409273922,0.237,0.257613434228128,0.25,0.0111543580849418,0.488,0.0322174251270233,0.587
"PNPT1","PNPT1","Q8TCS8","EndoRet",TRUE,"200uM vs Veh; Veh RDH12 vs WT",FALSE,FALSE,TRUE,TRUE,-0.38,-0.104,0.42,0.211,-0.519,0.102242171416216,0.276,0.0301725816275275,0.524,0.000233805370727329,0.8,0.00563919177856518,0.729
