"Gene","name","ID","Pathway","keep_sig_any","SigIn","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_control_atRAL5hr_centered","RDH12_100_atRAL5hr_centered","RDH12_200_atRAL5hr_centered","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio"
"ALG11","ALG11","Q2TAA5","NGlycan",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.97,0.18,0.878,0.00477816305947685,2.15,0.447051790165718,0.698,0.000808135384314481,2.85
"DPAGT1","DPAGT1","Q9H3H5","NGlycan",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.75,0.139,1.62,0.0348680644871675,2.89,0.400289174068403,1.48,0.00451588915821318,4.37
"DPM1","DPM1","O60762","NGlycan",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.871,0.036,0.515,0.00152702000430431,0.907,0.134330991477524,0.479,3.95600027948128e-05,1.39
"STT3B","STT3B","Q8TCJ2","NGlycan",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.748,0.112,0.297,0.00800491064361867,0.86,0.670484736465951,0.185,0.00303658638005033,1.04
"ALG5","ALG5","Q9Y673","NGlycan",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.19,0.266,-0.0944,0.00794504572509732,1.46,0.614893312060954,-0.36,0.0459910384478634,1.09
"STT3A","STT3A","P46977","NGlycan",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.14,-0.145,0.341,0.00113422439843118,0.992,0.14450477169844,0.485,3.10146310286469e-05,1.48
"RPN1","RPN1","P04843","NGlycan",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.01,-0.158,0.0981,0.00398553640594122,0.85,0.470863523803623,0.256,0.000746714577106405,1.11
"RPN2","RPN2","P04844","NGlycan",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.99,-0.0558,-0.0329,0.00624455602429172,0.934,0.965742198477802,0.0228,0.00717974319239091,0.957
"UGGT1","UGGT1","Q9NYU2","NGlycan",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.08,-0.144,-0.0798,0.0030060425499074,0.934,0.886774640162501,0.0643,0.00246833029567758,0.998
"ALG1","ALG1","Q9BT22","NGlycan",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.99,-0.0876,0.0938,5.58832834749735e-07,2.9,0.732443408330963,0.181,1.93198749076844e-07,3.08
"ALG8","ALG8","Q9BVK2","NGlycan",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.83,0.161,-0.386,0.000106003699741155,2.99,0.465912087328001,-0.546,0.00051777529285162,2.45
