"Gene","name","ID","Pathway","keep_sig_any","SigIn","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_control_atRAL5hr_centered","RDH12_100_atRAL5hr_centered","RDH12_200_atRAL5hr_centered","RDH12_control_atRAL5hr.24h_recvr_centered","RDH12_100_atRAL5hr.24h_recvr_centered","RDH12_200_atRAL5hr.24h_recvr_centered","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio"
"NFE2L2","NFE2L2","Q16236","KEAP1Nrf2",TRUE,"200uM vs 100uM",FALSE,TRUE,FALSE,0.731,-0.292,1.94,-2.65,1.34,1.62,0.308061718537588,-1.02,0.0949703424081203,2.23,0.258296272918294,1.21
"TXNRD2","TXNRD2","Q9NNW7","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,1.78,-0.42,0.948,0.183,-0.363,-0.364,0.000988461788635406,-2.2,0.0673777291219422,1.37,0.158008318027966,-0.828
"TXNRD1","TXNRD1","Q16881","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,2.36,0.0818,0.636,-0.355,-0.443,-0.0712,0.000511888799949885,-2.28,0.416148004232796,0.554,0.00397554045620578,-1.72
"AKR1B1","AKR1B1","P15121","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,2.51,0.264,0.295,-0.369,-0.425,-0.852,0.00166290106965307,-2.24,0.975948705824137,0.0306,0.0023140795508763,-2.21
"GSTZ1","GSTZ1","O43708","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,2.52,0.155,0.651,-0.543,-0.478,-0.664,0.000494866304764817,-2.36,0.488180129064009,0.496,0.0028236403801866,-1.87
"GSTCD","GSTCD","Q8NEC7","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.693,-0.633,-0.276,-0.0859,0.125,-0.00755,0.000860946321250448,-1.33,0.409224320720072,0.357,0.00864505563922239,-0.969
"AKR1A1","AKR1A1","P14550","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,1.25,0.226,0.0275,-0.315,-0.235,-0.233,0.00129249576097629,-1.03,0.599349584443763,-0.198,0.000355511490365184,-1.23
"GSTO1","GSTO1","P78417","KEAP1Nrf2",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,0.71,0.225,0.061,-0.402,-0.373,-0.0549,0.00678739998513212,-0.484,0.45306830143225,-0.165,0.0011720511383968,-0.649
"HMOX1","HMOX1","P09601","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,0.363,1.09,0.222,-0.425,-0.236,0.725,0.00262758110427241,0.724,0.00850532910352988,-0.865,0.543497334110579,-0.141
"MGST2","MGST2","Q99735","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.268,0.822,0.483,-0.252,0.0686,-0.278,0.00220063161894299,1.09,0.409942437255744,-0.339,0.0270242427861854,0.751
"KEAP1","KEAP1","Q14145","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.406,0.453,0.299,-0.0296,0.00496,-0.159,0.0216110032038085,0.86,0.774255128579571,-0.155,0.0669266723740145,0.705
"MGST3","MGST3","O14880","KEAP1Nrf2",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.483,0.617,0.417,-0.0875,0.0131,-0.111,0.00136516221262922,1.1,0.628733858724413,-0.2,0.00673384792255321,0.9
