"Gene","name","ID","Pathway","keep_sig_any","SigIn","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_control_atRAL5hr_centered","RDH12_100_atRAL5hr_centered","RDH12_200_atRAL5hr_centered","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio"
"ALG11","ALG11","Q2TAA5","NGlycan",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.97,0.18,0.878,0.00477816305947685,2.15,0.447051790165718,0.698,0.000808135384314481,2.85
"DPAGT1","DPAGT1","Q9H3H5","NGlycan",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.75,0.139,1.62,0.0348680644871675,2.89,0.400289174068403,1.48,0.00451588915821318,4.37
"ALG5","ALG5","Q9Y673","NGlycan",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.19,0.266,-0.0944,0.00794504572509732,1.46,0.614893312060954,-0.36,0.0459910384478634,1.09
"DPM1","DPM1","O60762","NGlycan",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.871,0.036,0.515,0.00152702000430431,0.907,0.134330991477524,0.479,3.95600027948128e-05,1.39
"ALG1","ALG1","Q9BT22","NGlycan",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.99,-0.0876,0.0938,5.58832834749735e-07,2.9,0.732443408330963,0.181,1.93198749076844e-07,3.08
"ALG8","ALG8","Q9BVK2","NGlycan",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.83,0.161,-0.386,0.000106003699741155,2.99,0.465912087328001,-0.546,0.00051777529285162,2.45
"ALG3","ALG3","Q92685","NGlycan",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.64,0.0472,0.125,0.000749972675490173,2.69,0.941963579880219,0.0774,0.000618286377920377,2.77
"ALG9","ALG9","Q9H6U8","NGlycan",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.45,0.0321,-0.17,3.20290001493012e-07,2.48,0.631745204468492,-0.202,8.48868765307182e-07,2.28
"ALG2","ALG2","Q9H553","NGlycan",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-2.34,-0.645,-0.616,0.00255638858956542,1.69,0.971418471619009,0.0293,0.00294368878541215,1.72
"RFT1","RFT1","Q96AA3","NGlycan",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-1.45,-0.308,-0.545,0.0147039312146102,1.14,0.712277179864667,-0.237,0.0577149641190213,0.903
"TUBA4A","TUBA4A","P68366","CCT/TriC",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-6.41,4.7,2.94,0.000618188053991614,11.1,0.632414853424615,-1.76,0.00230625064019339,9.34
