"Gene","name","ID","Pathway","keep_sig_any","SigIn","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_sigflag","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_sigflag","RDH12_control_atRAL5hr_centered","RDH12_100_atRAL5hr_centered","RDH12_200_atRAL5hr_centered","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr_ratio","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_p.adj","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr_ratio"
"SLC7A11","SLC7A11","Q9UPY5","ferroptosis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-1.25,0.162,0.575,0.0118869220820347,1.41,0.570578475043495,0.413,0.00314222183620874,1.82
"ACSL3","ACSL3","O95573","ferroptosis",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,-0.363,0.36,0.138,0.00831085074832943,0.724,0.516945634368605,-0.223,0.0666979990851347,0.501
"ACSL1","ACSL1","P33121","ferroptosis",TRUE,"200uM vs Veh",FALSE,FALSE,TRUE,-0.478,-0.129,0.109,0.0613005686093701,0.349,0.318311033946411,0.239,0.00542143261206291,0.588
"SLC39A14","SLC39A14","Q15043","ferroptosis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.754,0.141,0.325,0.00183662767567706,0.895,0.595830247844764,0.184,0.000530609029940222,1.08
"SLC11A2","SLC11A2","P49281","ferroptosis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.607,0.631,0.962,0.010616277011419,1.24,0.604223712573437,0.331,0.00319161721361857,1.57
"TFRC","TFRC","P02786","ferroptosis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,-0.417,0.923,1.13,0.000516804220053437,1.34,0.624346217265962,0.21,0.000120741300354681,1.55
"HMOX1","HMOX1","P09601","ferroptosis",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,0.363,1.09,0.222,0.00262758110427241,0.724,0.00850532910352988,-0.865,0.543497334110579,-0.141
"ATG7","ATG7","O95352","ferroptosis",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,-0.133,0.437,-0.214,0.00360954547747705,0.57,0.0147178049254798,-0.651,0.682326072523615,-0.081
"GCLC","GCLC","P48506","ferroptosis",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,-0.0206,0.681,-0.208,0.00855173002891774,0.702,0.0175782400020074,-0.889,0.486584821938245,-0.187
"GPX4","GPX4","P36969","ferroptosis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,2.42,-0.466,-0.262,3.90594483632869e-07,-2.89,0.688239300284822,0.204,9.00290358725078e-07,-2.68
"GSS","GSS","P48637","ferroptosis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,2.43,-0.177,0.571,0.000560029553168276,-2.6,0.337457321520728,0.748,0.00654480625774847,-1.85
"FTH1","FTH1","P02794","ferroptosis",TRUE,"100uM vs Veh",TRUE,FALSE,FALSE,0.497,-0.241,0.213,0.0804518117553878,-0.738,0.412925627397829,0.455,0.534836786297529,-0.284
"TP53","TP53","P04637","ferroptosis",TRUE,"100uM vs Veh; 200uM vs Veh",TRUE,FALSE,TRUE,0.758,-0.257,-0.166,0.000531571424048066,-1.01,0.79638098537711,0.0908,0.00104317691276775,-0.924
"FTL","FTL","P02792","ferroptosis",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,1.25,-0.59,0.706,0.00105695225399895,-1.84,0.0475558921760337,1.3,0.277120375411219,-0.542
"PRNP","PRNP","P04156","ferroptosis",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,0.823,-0.294,0.737,0.0115188805026572,-1.12,0.0671083446554767,1.03,0.864720459822341,-0.0859
"VDAC2","VDAC2","P45880","ferroptosis",TRUE,"100uM vs Veh; 200uM vs 100uM",TRUE,TRUE,FALSE,0.566,-0.0877,0.659,0.0550700536981374,-0.653,0.0946818947051608,0.747,0.815033655907167,0.0938
