condition,condition_label,condition_label_factor,Genetype,ExpType,Treatment,name,Genes,Protein.Group,ID,mean_log2_abundance,sd_log2_abundance,n_replicates,highlight_gene,is_highlight,rank
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,ACSL3,ACSL3,O95573,O95573,24.0908751787852,0.40590193501279465,3,ACSL3,TRUE,3197
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,ACSL4,ACSL4,O60488,O60488,27.889936013072166,0.3483934081402959,3,ACSL4,TRUE,598
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,CYBA,CYBA,P13498,P13498,18.826840713172565,0.8093343240504771,3,CYBA,TRUE,7176
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,FTH1,FTH1,P02794,P02794,21.5095228450372,0.22419643632501973,3,FTH1,TRUE,5908
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,FTL,FTL,P02792,P02792,23.292460831224265,0.27122137897484866,3,FTL,TRUE,4064
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,GCLC,GCLC,P48506,P48506,22.101857038815,0.4864881445077319,3,GCLC,TRUE,5376
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,GCLM,GCLM,P48507,P48507,23.9281728409819,0.22203016149371219,3,GCLM,TRUE,3372
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,GPX1,GPX1,P07203,P07203,27.951237366516033,0.3072711480423211,3,GPX1,TRUE,579
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,GPX4,GPX4,P36969,P36969,27.339596656328734,0.5643213267126154,3,GPX4,TRUE,776
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,GSR,GSR,P00390,P00390,28.892539217101834,0.5269154806127831,3,GSR,TRUE,356
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,GSS,GSS,P48637,P48637,28.4387599354739,0.3747413652315453,3,GSS,TRUE,442
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,GSTA4,GSTA4,O15217,O15217,21.212224224405603,0.2150708015870485,3,GSTA4,TRUE,6188
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,GSTZ1,GSTZ1,O43708,O43708,27.364241115271202,0.513781476281659,3,GSTZ1,TRUE,764
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,HMOX1,HMOX1,P09601,P09601,22.813617588895767,0.12741117336736552,3,HMOX1,TRUE,4608
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,KEAP1,KEAP1,Q14145,Q14145,20.894787312285434,0.6140920750715729,3,KEAP1,TRUE,6393
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,MGST2,MGST2,Q99735,Q99735,23.2016982434652,0.42630813608229573,3,MGST2,TRUE,4166
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,MGST3,MGST3,O14880,O14880,24.699904278744434,0.30817091563095284,3,MGST3,TRUE,2553
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,NFE2L2,NFE2L2,Q16236,Q16236,21.650279898122267,0.1932768704630994,3,NFE2L2,TRUE,5788
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,PRDX6,PRDX6,P30041,P30041,30.14271994792867,0.11455392339052049,3,PRDX6,TRUE,192
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,SLC11A2,SLC11A2,P49281,P49281,18.796457114214,0.28156353140864787,3,SLC11A2,TRUE,7187
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,SLC7A11,SLC7A11,Q9UPY5,Q9UPY5,17.804950568677334,1.230217944669974,3,SLC7A11,TRUE,7625
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,TFRC,TFRC,P02786,P02786,25.001204881068166,0.4988528443135953,3,TFRC,TRUE,2280
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,TXNRD1,TXNRD1,Q16881,Q16881,28.84192502641857,0.36174622159267505,3,TXNRD1,TRUE,365
RDH12_control_atRAL5hr,Acute RDH12 Veh,Acute RDH12 Veh,RDH12,atRAL5hr,control,TXNRD2,TXNRD2,Q9NNW7,Q9NNW7,26.7596944522766,0.44118182370248643,3,TXNRD2,TRUE,1047
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,ACSL3,ACSL3,O95573,O95573,24.8145352214821,0.05345738535114793,3,ACSL3,TRUE,1958
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,ACSL4,ACSL4,O60488,O60488,28.2224413838617,0.009577787344813094,3,ACSL4,TRUE,265
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,CYBA,CYBA,P13498,P13498,17.104416808530633,0.8292994857129622,3,CYBA,TRUE,7857
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,FTH1,FTH1,P02794,P02794,20.7712523871709,0.36606745652517275,3,FTH1,TRUE,6370
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,FTL,FTL,P02792,P02792,21.4547514303038,0.4574066417650879,3,FTL,TRUE,5745
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,GCLC,GCLC,P48506,P48506,22.8038046952179,0.07167027176072144,3,GCLC,TRUE,4293
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,GCLM,GCLM,P48507,P48507,23.8096110192207,0.13523882978833232,3,GCLM,TRUE,3086
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,GPX1,GPX1,P07203,P07203,25.3848688818272,0.2875069889776977,3,GPX1,TRUE,1448
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,GPX4,GPX4,P36969,P36969,24.451213224045702,0.1691887143768927,3,GPX4,TRUE,2349
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,GSR,GSR,P00390,P00390,26.449582418813065,0.2014874317639439,3,GSR,TRUE,743
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,GSS,GSS,P48637,P48637,25.835967142064966,0.27259301180571194,3,GSS,TRUE,1093
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,GSTA4,GSTA4,O15217,O15217,20.8404238416616,0.13087661635645936,3,GSTA4,TRUE,6306
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,GSTZ1,GSTZ1,O43708,O43708,25.0016362348122,0.2138117063050872,3,GSTZ1,TRUE,1762
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,HMOX1,HMOX1,P09601,P09601,23.5376418523842,0.3438626630125801,3,HMOX1,TRUE,3400
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,KEAP1,KEAP1,Q14145,Q14145,21.7543355680342,0.12474180565152855,3,KEAP1,TRUE,5453
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,MGST2,MGST2,Q99735,Q99735,24.291771463966366,0.18749350513407548,3,MGST2,TRUE,2535
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,MGST3,MGST3,O14880,O14880,25.799767607027935,0.03945899233466952,3,MGST3,TRUE,1119
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,NFE2L2,NFE2L2,Q16236,Q16236,20.627151984066966,0.31817837387566594,3,NFE2L2,TRUE,6488
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,PRDX6,PRDX6,P30041,P30041,29.635128588769632,0.12699247872113542,3,PRDX6,TRUE,104
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,SLC11A2,SLC11A2,P49281,P49281,20.03508342591333,0.2063697227669214,3,SLC11A2,TRUE,6918
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,SLC7A11,SLC7A11,Q9UPY5,Q9UPY5,19.212003312460702,0.11717476491439403,3,SLC7A11,TRUE,7325
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,TFRC,TFRC,P02786,P02786,26.3419504373854,0.2337117870783269,3,TFRC,TRUE,800
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,TXNRD1,TXNRD1,Q16881,Q16881,26.565863429282768,0.19528812414837857,3,TXNRD1,TRUE,677
RDH12_100_atRAL5hr,Acute RDH12 100uM,Acute RDH12 100uM,RDH12,atRAL5hr,100,TXNRD2,TXNRD2,Q9NNW7,Q9NNW7,24.563572323596865,0.3068777523102138,3,TXNRD2,TRUE,2222
RDH12_200_atRAL5hr,Acute RDH12 200uM,Acute RDH12 200uM,RDH12,atRAL5hr,200,ACSL3,ACSL3,O95573,O95573,24.591868499948667,0.48989304710641396,3,ACSL3,TRUE,2410
RDH12_200_atRAL5hr,Acute RDH12 200uM,Acute RDH12 200uM,RDH12,atRAL5hr,200,ACSL4,ACSL4,O60488,O60488,28.200670067074135,0.05156991571194071,3,ACSL4,TRUE,333
RDH12_200_atRAL5hr,Acute RDH12 200uM,Acute RDH12 200uM,RDH12,atRAL5hr,200,CYBA,CYBA,P13498,P13498,16.929289060486433,0.47910105761097055,3,CYBA,TRUE,7987
RDH12_200_atRAL5hr,Acute RDH12 200uM,Acute RDH12 200uM,RDH12,atRAL5hr,200,FTH1,FTH1,P02794,P02794,21.2258096242886,0.3386260565331776,3,FTH1,TRUE,6296
RDH12_200_atRAL5hr,Acute RDH12 200uM,Acute RDH12 200uM,RDH12,atRAL5hr,200,FTL,FTL,P02792,P02792,22.750508412452668,1.0735666686473637,3,FTL,TRUE,4548
RDH12_200_atRAL5hr,Acute RDH12 200uM,Acute RDH12 200uM,RDH12,atRAL5hr,200,GCLC,GCLC,P48506,P48506,21.9143861162986,0.3988257795660973,3,GCLC,TRUE,5543
RDH12_200_atRAL5hr,Acute RDH12 200uM,Acute RDH12 200uM,RDH12,atRAL5hr,200,GCLM,GCLM,P48507,P48507,23.4634812390327,0.42406262104509634,3,GCLM,TRUE,3686
