"direction","n","contrast","contrast_label","label"
"Downregulated",69,"GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr","R:WT 100uM vs Veh","69"
"Upregulated",32,"GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr","R:WT 100uM vs Veh","32"
"Downregulated",729,"GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr","R:WT 200uM vs 100uM","729"
"Upregulated",491,"GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr","R:WT 200uM vs 100uM","491"
"Downregulated",1291,"GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr","R:WT 200uM vs Veh","1291"
"Upregulated",692,"GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr","R:WT 200uM vs Veh","692"
"Downregulated",55,"RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr","R:RDH12 100uM vs WT 100uM","55"
"Upregulated",82,"RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr","R:RDH12 100uM vs WT 100uM","82"
"Downregulated",567,"RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr","RvsA:RDH12 100uM vs 100uM","567"
"Upregulated",1299,"RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr","RvsA:RDH12 100uM vs 100uM","1299"
"Downregulated",42,"RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr","R:RDH12 100uM vs Veh","42"
"Upregulated",35,"RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr","R:RDH12 100uM vs Veh","35"
"Downregulated",3000,"RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr","A:RDH12 100uM vs Veh","3000"
"Upregulated",1144,"RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr","A:RDH12 100uM vs Veh","1144"
"Downregulated",477,"RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr","R:RDH12 200uM vs WT 200uM","477"
"Upregulated",1710,"RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr","R:RDH12 200uM vs WT 200uM","1710"
"Downregulated",72,"RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr","R:RDH12 200uM vs 100uM","72"
"Upregulated",42,"RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr","R:RDH12 200uM vs 100uM","42"
"Downregulated",1086,"RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr","RvsA:RDH12 200uM vs 200uM","1086"
"Upregulated",1176,"RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr","RvsA:RDH12 200uM vs 200uM","1176"
"Downregulated",87,"RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr","R:RDH12 200uM vs Veh","87"
"Upregulated",49,"RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr","R:RDH12 200uM vs Veh","49"
"Downregulated",142,"RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr","A:RDH12 200uM vs 100uM","142"
"Upregulated",447,"RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr","A:RDH12 200uM vs 100uM","447"
"Downregulated",1845,"RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr","A:RDH12 200uM vs Veh","1845"
"Upregulated",1217,"RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr","A:RDH12 200uM vs Veh","1217"
"Downregulated",70,"RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr","R:RDH12 Veh vs WT Veh","70"
"Upregulated",130,"RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr","R:RDH12 Veh vs WT Veh","130"
"Downregulated",2073,"RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr","RvsA:RDH12 Veh vs Veh","2073"
"Upregulated",1554,"RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr","RvsA:RDH12 Veh vs Veh","1554"
