"name","Gene","ID","p.val","p.adj","ratio"
"AGA","AGA","P20933",0.000144717370590823,0.0143806187146362,-2.3
"AMMECR1","AMMECR1","Q9Y4X0",7.96704468936249e-08,2.78811924802951e-05,-5.97
"APLP1","APLP1","P51693",1.04166226405684e-05,0.0015526554747025,-5.85
"APOC3","APOC3","P02656",6.57860570572147e-06,0.00108063668010923,-3.5
"APOH","APOH","P02749",4.26659904939101e-06,0.00074656208149018,-4.67
"ARF3","ARF3","P61204",2.43861676302239e-06,0.000478742105501639,-9.67
"ARL5B","ARL5B","Q96KC2",1.24270228551833e-05,0.00181863830838855,-6.06
"BACE1","BACE1","P56817",1.02125964587762e-07,3.42504953736208e-05,-5.21
"BMPR2","BMPR2","Q13873",5.12611846235728e-05,0.00589430392907339,-6.08
"BPNT2","BPNT2","Q9NX62",0.000321383868459749,0.02811759518731,-0.96
"CCN2","CCN2","P29279",0.000135774616202253,0.0138335428583789,-5.41
"CCNQ","CCNQ","Q8N1B3",5.90866883377721e-05,0.00669843316099616,-6.32
"CD84","CD84","Q9UIB8",2.7736713346206e-05,0.00348832508943144,-6.87
"COL1A2","COL1A2","P08123",0.000218402406790088,0.019976374684698,-2.27
"CSPG5","CSPG5","O95196",0.000237760550694099,0.0215026367700764,-6.35
"DCBLD1","DCBLD1","Q8N8Z6",5.8287331368318e-07,0.000146610853182372,-5.94
"EFNA5","EFNA5","P52803",5.84654865498997e-09,3.4790583270431e-06,-5.14
"ENTPD6","ENTPD6","O75354",1.73418585471265e-08,8.21085996740122e-06,-4.91
"FAM3C","FAM3C","Q92520",3.37535003588402e-05,0.00417972191366622,-1.44
"FAT1","FAT1","Q14517",2.30814861845308e-08,9.77804643680467e-06,-5.53
"FN1","FN1","P02751",2.15333854546135e-11,8.66611097620922e-08,-5.05
"FURIN","FURIN","P09958",7.4481491619744e-05,0.00821234967188109,-3
"FUT8","FUT8","Q9BYC5",4.4923408561993e-07,0.000116641456617897,-3.58
"GTF3C6","GTF3C6","Q969F1",6.97346326772718e-06,0.00112258811683872,-3.81
"HGFAC","HGFAC","Q04756",3.09382626634596e-08,1.18581941037232e-05,-3.74
"HIGD2A","HIGD2A","Q9BW72",1.0970443393254e-06,0.000252704751604352,-3.94
"HMGN4","HMGN4","O00479",1.02885637117693e-05,0.0015526554747025,-5.4
"HOXA6","HOXA6","P31267",3.57273966082009e-05,0.00429208679551357,-4.74
"HPCAL4","HPCAL4","Q9UM19",2.63681664655013e-05,0.00336884717271143,-4.87
"HPRT1","HPRT1","P00492",6.0915814984463e-05,0.00680988048347143,-1.03
