"name","Gene","ID","p.val","p.adj","ratio"
"ABCA3","ABCA3","Q99758",0.39802626415573,0.61809263878206,0.397
"ABCB10","ABCB10","Q9NRK6",0.00193839034836953,0.0188023321064592,0.955
"ABCB6","ABCB6","Q9NP58",0.773045782910965,0.888384566911816,-0.264
"ABHD5","ABHD5","Q8WTS1",0.49876289637314,0.70105264518244,0.599
"ACE2","ACE2","Q9BYF1",0.106712782251336,0.26745257673654,2.85
"ACOT13","ACOT13","Q9NPJ3",0.000226259201650952,0.00492325154346724,0.859
"ACTMAP","ACTMAP","Q5BKX5",0.00130988930952009,0.0150618557890389,-0.84
"ADAM9","ADAM9","Q13443",0.197761240384041,0.397349032414165,0.315
"ADAMTS1","ADAMTS1","Q9UHI8",3.53654221394213e-07,3.7252079449389e-05,1.24
"ADD1","ADD1","P35611",0.128742270698711,0.302480610694665,-0.21
"ADGRG6","ADGRG6","Q86SQ4",0.763961237984028,0.883072439532197,0.307
"AGA","AGA","P20933",6.44052512103566e-05,0.00206132315086879,2.48
"AHDC1","AHDC1","Q5TGY3",0.00349972384960455,0.0270483519749756,0.689
"AIFM2","AIFM2","Q9BRQ8",0.357295946816409,0.578269781820375,-0.941
"AIRIM","AIRIM","Q9NX04",3.73662361441183e-06,0.000234969402128131,-2.69
"AKAP7","AKAP7","Q9P0M2",0.998424037397161,0.998997091266412,-0.00322
"AKIRIN2","AKIRIN2","Q53H80",0.000226925869378351,0.00492325154346724,-1.51
"ALDH18A1","ALDH18A1","P54886",0.00240711157182437,0.0216237065196589,1.25
"ALDH1L2","ALDH1L2","Q3SY69",0.132391219999298,0.308094866138386,-0.26
"ALG1","ALG1","Q9BT22",0.340094054001808,0.562166581304815,0.298
"ALKBH8","ALKBH8","Q96BT7",0.00294879448053893,0.0246467775429469,5.58
"AMFR","AMFR","Q9UKV5",0.478933032920328,0.685077658072813,-0.12
"AMMECR1","AMMECR1","Q9Y4X0",6.37341493710035e-08,8.40977325060995e-06,6.06
"AMOT","AMOT","Q4VCS5",0.953222428649071,0.978326151165752,-0.0153
"AMOTL1","AMOTL1","Q8IY63",0.459504977385587,0.66797102455781,-0.168
"ANAPC16","ANAPC16","Q96DE5",0.0340420682634673,0.122706944672032,-0.539
"ANAPC4","ANAPC4","Q9UJX5",0.439748854879083,0.653051389837959,0.154
"ANGEL1","ANGEL1","Q9UNK9",0.465938900781328,0.674037061895922,-0.51
"ANKLE2","ANKLE2","Q86XL3",0.837864472694975,0.923438242508827,-0.0408
"ANXA4","ANXA4","P09525",1.29712402894099e-05,0.000660794386642152,0.855
"APLP1","APLP1","P51693",0.191006380620729,0.389553020786627,-1.36
