"name","Gene","ID","p.val","p.adj","ratio"
"ABCB10","ABCB10","Q9NRK6",0.00193839034836953,0.0188023321064592,0.955
"ACOT13","ACOT13","Q9NPJ3",0.000226259201650952,0.00492325154346724,0.859
"ADAMTS1","ADAMTS1","Q9UHI8",3.53654221394213e-07,3.7252079449389e-05,1.24
"AGA","AGA","P20933",6.44052512103566e-05,0.00206132315086879,2.48
"AHDC1","AHDC1","Q5TGY3",0.00349972384960455,0.0270483519749756,0.689
"ALDH18A1","ALDH18A1","P54886",0.00240711157182437,0.0216237065196589,1.25
"ALKBH8","ALKBH8","Q96BT7",0.00294879448053893,0.0246467775429469,5.58
"AMMECR1","AMMECR1","Q9Y4X0",6.37341493710035e-08,8.40977325060995e-06,6.06
"ANXA4","ANXA4","P09525",1.29712402894099e-05,0.000660794386642152,0.855
"APOA1","APOA1","P02647",0.00452377119077726,0.0315915003437866,0.961
"APOC3","APOC3","P02656",1.12883372694394e-05,0.000593855076351096,3.36
"APOH","APOH","P02749",1.16205025420348e-06,0.00010166676626178,5.13
"BPNT2","BPNT2","Q9NX62",0.000384856756413978,0.00682315425633503,0.943
"BRI3BP","BRI3BP","Q8WY22",0.000454089691974226,0.00739938268898112,0.647
"BRWD3","BRWD3","Q6RI45",0.00619176281920383,0.0389659882187424,0.652
"C1orf159","C1orf159","Q96HA4",0.00175320482660216,0.0179308076865576,3.59
"C4BPA","C4BPA","P04003",6.45363938400964e-05,0.00206132315086879,4
"CCN2","CCN2","P29279",0.00367231659375039,0.0278156667463546,3.78
"CD40","CD40","P25942",0.00163919147038161,0.0174340529561776,4.91
"CISD1","CISD1","Q9NZ45",3.46315668508265e-07,3.7166597544307e-05,1.34
"COL1A2","COL1A2","P08123",0.000347069786442863,0.00646658497934863,2.17
"CYBC1","CYBC1","Q9BQA9",0.000136057414208318,0.00350779260124907,1.04
"DCBLD1","DCBLD1","Q8N8Z6",2.65770298175447e-07,3.01293680283686e-05,6.26
"EDIL3","EDIL3","O43854",4.48303053193889e-05,0.00162540147529622,4.16
"EIF3C","EIF3C","Q99613",3.73187729232434e-09,8.8346706840937e-07,6.62
"ENTPD6","ENTPD6","O75354",3.45709109307358e-08,5.35117811695178e-06,4.7
"ESRRA","ESRRA","P11474",0.000483834147914845,0.00765585252990881,0.735
"F13A1","F13A1","P00488",0.000642378433930814,0.00929946765235453,4.46
"F5","F5","P12259",3.13653435769188e-05,0.00128026570604705,1.69
