"name","Gene","ID","p.val","p.adj","ratio"
"ABCA3","ABCA3","Q99758",1.66280276826357e-05,0.000447083966156327,2.58
"ABCB10","ABCB10","Q9NRK6",8.64164873827033e-06,0.000295995255478668,1.58
"ADAMTS1","ADAMTS1","Q9UHI8",2.28366913270664e-08,3.45975873605056e-06,1.48
"ALDH18A1","ALDH18A1","P54886",0.000448371528053835,0.00411207322236101,1.5
"ANXA4","ANXA4","P09525",8.93443913347856e-07,5.81698442095406e-05,1.04
"ASPRV1","ASPRV1","Q53RT3",0.000585299193306569,0.00493153694638412,5.13
"C4BPA","C4BPA","P04003",0.000304434045434474,0.00320613314037042,3.47
"CISD1","CISD1","Q9NZ45",9.5928340583887e-08,1.07960495302837e-05,1.46
"CYBC1","CYBC1","Q9BQA9",7.23490313984694e-05,0.00123369192501546,1.1
"DHRS13","DHRS13","Q6UX07",0.00130199255679436,0.00862665884140113,2.78
"EDIL3","EDIL3","O43854",0.000138255394720053,0.00189093055486905,3.77
"EIF3C","EIF3C","Q99613",1.12462951626006e-09,3.05511425141267e-07,7.1
"FOS","FOS","P01100",0.000954966542416342,0.00693384923608842,4.21
"GALNT10","GALNT10","Q86SR1",1.1658487438834e-05,0.000358771734543493,5.26
"GTF3C1","GTF3C1","Q12789",7.03373331153503e-08,8.1487869159225e-06,1.21
"HABP2","HABP2","Q14520",8.02375109769663e-06,0.000286023127364951,5.34
"HSPBAP1","HSPBAP1","Q96EW2",0.00102616625342587,0.0072812770019518,5.55
"KLF9","KLF9","Q13886",0.000164964417245276,0.00210972350496474,4.96
"LIG3","LIG3","P49916",9.20349460895609e-07,5.94304348601279e-05,1.07
"LPGAT1","LPGAT1","Q92604",8.83325443181611e-05,0.00139735699626199,1.25
"MEIS2","MEIS2","O14770",3.88654168666222e-05,0.000813324034307356,5.15
"MYNN","MYNN","Q9NPC7",0.000636139587245896,0.0051825311978523,6.05
"NDUFA1","NDUFA1","O15239",6.09926129379377e-08,7.28030007159202e-06,4.38
"NTHL1","NTHL1","P78549",0.00125425895714398,0.00839458844871969,1.04
"PEX19","PEX19","P40855",0.000988127607953302,0.00711560264666921,4.31
"PIAS1","PIAS1","O75925",2.81825203335871e-07,2.49462803582022e-05,1.11
"PIDD1","PIDD1","Q9HB75",1.64552676008169e-10,6.17307610282075e-08,6.8
"PIGX","PIGX","Q8TBF5",0.00103087660404629,0.00729671687931414,4.51
"PIPSL","PIPSL","A2A3N6",1.38714949061831e-05,0.000400291710149856,3.59
"PKNOX2","PKNOX2","Q96KN3",4.29509623984461e-07,3.45273144668325e-05,6.51
"PLEKHH3","PLEKHH3","Q7Z736",8.89233572989091e-05,0.00140107641760161,4.86
"PRKACG","PRKACG","P22612",8.38831487137664e-10,2.36011230559661e-07,5
"QPCT","QPCT","Q16769",6.92628202701699e-08,8.14406713564774e-06,6.18
"RAP1BL","RAP1BL","A6NIZ1",0.000202468106398886,0.00242725923260745,4.86
"RBAK","RBAK","Q9NYW8",1.20026907222323e-06,7.33001531083305e-05,6.6
"RNASE4","RNASE4","P34096",0.000663242276473293,0.00537001300519692,2.01
