"name","Gene","ID","p.val","p.adj","ratio"
"AIFM2","AIFM2","Q9BRQ8",3.91095555672217e-05,0.00413927080003351,-5.23
"ART5","ART5","Q96L15",2.09824767446648e-13,5.47782526214049e-10,-3.83
"B9D1","B9D1","Q9UPM9",1.54404188493437e-09,8.06195736187066e-07,-5.59
"BMP4","BMP4","P12644",4.72135651211772e-06,0.000672321167325563,-5.04
"BRI3","BRI3","O95415",8.77098343976926e-09,3.61549170001436e-06,-5.57
"CCN1","CCN1","O00622",1.24761799095944e-08,4.88567205259716e-06,-6.3
"DNLZ","DNLZ","Q5SXM8",3.16928280032018e-11,3.54597469887252e-08,-5
"EGR1","EGR1","P18146",1.63172992449389e-05,0.00190741921919942,-3.35
"EHD3","EHD3","Q9NZN3",8.88583087539327e-05,0.00848705212391221,-4.33
"ENTR1","ENTR1","Q96C92",5.71397142235764e-08,1.72122400691942e-05,-5.85
"FAM174A","FAM174A","Q8TBP5",2.24500362065436e-09,1.09892927231031e-06,-4.1
"FPGS","FPGS","Q05932",5.05341490533734e-06,0.000706756170332179,-5.04
"GSTA4","GSTA4","O15217",2.58513237997736e-06,0.000406065121103827,-5.82
"HERPUD1","HERPUD1","Q15011",1.50586620442602e-05,0.00178696122925221,-6.95
"MAPK8","MAPK8","P45983",6.57691446667997e-06,0.000846359822165227,-4.97
"MT2A","MT2A","P02795",4.27607867162156e-05,0.00446536642081868,-3.75
"NDFIP1","NDFIP1","Q9BT67",1.01311276200225e-06,0.000188921408380991,-6.78
"PABIR1","PABIR1","Q96E09",7.94356887790391e-05,0.00768074462367203,-2.63
"PIPSL","PIPSL","A2A3N6",2.40305716351236e-05,0.00265080897248293,-3.44
"PLEKHF1","PLEKHF1","Q96S99",3.76772623427207e-09,1.73581363922464e-06,-2.6
"RAB29","RAB29","O14966",1.53289176319698e-12,3.00140207233968e-09,-5.99
"RIT1","RIT1","Q92963",2.36245819042064e-05,0.00264325322105349,-1.09
"SPRY2","SPRY2","O43597",1.51189947399459e-07,3.94706556010855e-05,-6.06
"TIMM23","TIMM23","O14925",8.7840602495328e-08,2.45702713836932e-05,-5.51
"TMEM123","TMEM123","Q8N131",5.50838963883094e-10,3.31859289625569e-07,-5.44
"TOMM40L","TOMM40L","Q969M1",1.06610251916699e-05,0.00128457152771013,-5.5
"TRIB3","TRIB3","Q96RU7",4.73877448888701e-07,9.27852044924077e-05,-6.71
"TRIM23","TRIM23","P36406",7.87947528647443e-06,0.000979556356248694,-5.59
"USP46","USP46","P62068",3.78074495991199e-10,2.96107945260307e-07,-6.5
"UVRAG","UVRAG","Q9P2Y5",1.00065914517329e-05,0.00122455662890581,-5.2
"ZNF16","ZNF16","P17020",2.88400242701723e-07,6.27430750233304e-05,-3.38
"ZNF319","ZNF319","Q9P2F9",4.98507117036741e-07,9.52270180641892e-05,-3.38
"ZNF513","ZNF513","Q8N8E2",2.0658052693207e-07,4.90284450585446e-05,-3.43
"ZNF7","ZNF7","P17097",0.000105786245751827,0.00986330805628944,-1.95
"ZNF714","ZNF714","Q96N38",3.01015279831166e-07,6.37176127469647e-05,-5.98
