"name","Gene","ID","p.val","p.adj","ratio"
"AGA","AGA","P20933",0.00463788920531708,0.0115217192017275,-1.57
"AIRIM","AIRIM","Q9NX04",0.0139845872141155,0.028072896547081,-1.15
"AKIRIN2","AKIRIN2","Q53H80",2.86177219948578e-05,0.000431460986843938,-1.81
"AMOT","AMOT","Q4VCS5",0.0262347721038232,0.046914836850405,-0.62
"APLP2","APLP2","Q06481",0.0161313194979544,0.0315224546343857,-0.786
"APOA1","APOA1","P02647",0.00476382129960655,0.0117800299970916,-0.954
"APOE","APOE","P02649",0.00175687899885287,0.00548956485317031,-1.1
"APOH","APOH","P02749",0.0268517006879932,0.0478162254065613,-1.79
"APP","APP","P05067",0.00632510616924457,0.0148211876437408,-0.824
"ATAD5","ATAD5","Q96QE3",0.000813344946701878,0.00315138916732097,-0.699
"ATF3","ATF3","P18847",4.18868895144955e-05,0.000529034445453003,-1.79
"ATF4","ATF4","P18848",0.00336753545115197,0.00895154981714736,-1.58
"ATP5MK","ATP5MK","Q96IX5",0.00726081846523289,0.0165231348110431,-0.662
"ATP6V1D","ATP6V1D","Q9Y5K8",0.000326382331258258,0.00169377910012748,-0.592
"BACE1","BACE1","P56817",0.0199830646974833,0.0375803008761783,-1.64
"BLOC1S4","BLOC1S4","Q9NUP1",1.3497960135927e-05,0.000275050838314117,-1.38
"BOD1","BOD1","Q96IK1",0.00911930154298994,0.0199070832705275,-1.32
"BPGM","BPGM","P07738",1.32388042331188e-11,5.2701349194092e-09,-2.97
"BRWD3","BRWD3","Q6RI45",4.60890757430317e-05,0.000558538207788839,-1.1
"C1orf198","C1orf198","Q9H425",0.00371063904665847,0.00964694240521771,-0.826
"C8orf88","C8orf88","P0DMB2",0.000338605040811307,0.00173153238468247,-4.85
"CAMKK1","CAMKK1","Q8N5S9",0.00848419589533561,0.0187453452543388,-0.666
"CARMIL2","CARMIL2","Q6F5E8",1.66545622663704e-05,0.000308876893276534,-1.87
"CBY1","CBY1","Q9Y3M2",0.0112254368894545,0.0235356971928157,-0.926
"CCDC106","CCDC106","Q9BWC9",1.43727452175929e-05,0.000283925943081447,-1.27
"CCDC186","CCDC186","Q7Z3E2",0.000549224731432828,0.00239567659845862,-0.781
"CCDC28B","CCDC28B","Q9BUN5",0.000613027154619578,0.00259871080040435,-1.28
"CCK","CCK","P06307",1.28888559006997e-09,1.52562354624606e-07,-5.39
"CD40","CD40","P25942",0.000574742979116259,0.00248715389188536,-5.52
"CDKN2A","CDKN2A","P42771",0.00646648535415474,0.0150778506997658,-0.602
"CEBPZOS","CEBPZOS","A8MTT3",0.0106511529277608,0.022466229013508,-1.02
"CKS1B","CKS1B","P61024",0.00401144427753973,0.0102371956214069,-0.846
"CNBP","CNBP","P62633",0.00113562853784755,0.00395871550503894,-2.58
"CNOT9","CNOT9","Q92600",0.0121133778164178,0.0249298333020574,-0.861
"COL4A6","COL4A6","Q14031",9.67268193415553e-05,0.000818668947297769,-0.905
"COLEC12","COLEC12","Q5KU26",0.000114715011644558,0.000902581748511286,-1.06
"COMMD9","COMMD9","Q9P000",2.86112879180392e-05,0.000431460986843938,-0.847
"CRABP2","CRABP2","P29373",0.000670135849215338,0.00276045212401958,-1.47
"CRIM1","CRIM1","Q9NZV1",0.0223901792878391,0.0412665700125715,-0.972
"CRYGD","CRYGD","P07320",0.0162962604261497,0.0317601030092501,-2.38
"CSPG4","CSPG4","Q6UVK1",8.44214507572653e-06,0.000200622604956182,-2.85
"CYBA","CYBA","P13498",0.000390254135148934,0.00190604097925593,-1.72
"DACT1","DACT1","Q9NYF0",0.000781849461204362,0.00306107222633824,-3.11
"DBP","DBP","Q10586",4.98572684499502e-08,3.2104092300292e-06,-5.14
"DCTD","DCTD","P32321",3.72203821973064e-10,6.5127577457852e-08,-2.63
"DDIT4","DDIT4","Q9NX09",0.0277142638128309,0.0491023793593388,-1.16
"DGCR6","DGCR6","Q14129",0.000223198006642916,0.00134671720799763,-2.06
"DKK1","DKK1","O94907",0.000382004980053758,0.00188181955419796,-1.89
"DLX1","DLX1","P56177",6.88831451087369e-05,0.000685407644084667,-6.2
"DLX6","DLX6","P56179",0.00815543202813251,0.0181836765635564,-1.18
"DMTN","DMTN","Q08495",0.0024800742018258,0.00710901611484895,-1.24
"DNLZ","DNLZ","Q5SXM8",0.000633678502019484,0.00265788340946057,-1.56
"DOLK","DOLK","Q9UPQ8",0.0020403624156883,0.0061462863337856,-2.03
"DPH7","DPH7","Q9BTV6",0.020438713469791,0.0382938028769371,-1.61
"EFNA5","EFNA5","P52803",0.0162484246254362,0.0316897431088288,-1.41
"EGLN3","EGLN3","Q9H6Z9",0.000214735601973055,0.00131644739203811,-5.78
"EIF1","EIF1","P41567",0.000603220190375854,0.00257440048374085,-1.32
"EIF1B","EIF1B","O60739",2.22009133008908e-05,0.000376993989786645,-1.34
"EIF3C","EIF3C","Q99613",1.11945469822426e-10,2.43526780162353e-08,-8.1
"EIF5","EIF5","P55010",0.00251961832418567,0.00718799607935901,-0.613
"ELOF1","ELOF1","P60002",0.000653050836254789,0.00271368414094724,-2.73
"ENKD1","ENKD1","Q9H0I2",0.000947638785329503,0.00348289706991652,-1.46
"ENTPD6","ENTPD6","O75354",0.00726560615770607,0.0165246860591625,-1.63
"ENTR1","ENTR1","Q96C92",0.00956167354381736,0.0206967235597483,-2.01
"EPHA7","EPHA7","Q15375",0.0116715957683124,0.0242688386306243,-0.702
"ERRFI1","ERRFI1","Q9UJM3",7.39805276215783e-05,0.000712710373183436,-3.21
"ETAA1","ETAA1","Q9NY74",0.0190412957968677,0.0361299834674655,-1.1
"FAAP100","FAAP100","Q0VG06",0.0017746884481726,0.00553661524005476,-2.39
"FAM174B","FAM174B","Q3ZCQ3",5.73505163620738e-09,5.01754680650361e-07,-7.65
