"name","Gene","ID","p.val","p.adj","ratio"
"ABCA3","ABCA3","Q99758",0.917040546514873,0.955874042851361,-0.0485
"ABCB10","ABCB10","Q9NRK6",0.000546272033418552,0.00386035434327123,-1.1
"ABCB6","ABCB6","Q9NP58",0.382523073359019,0.552175074868498,-0.805
"ABHD5","ABHD5","Q8WTS1",0.242033894056521,0.398686922432649,-1.05
"ACE2","ACE2","Q9BYF1",0.459491295789009,0.624804685475996,1.27
"ACOT13","ACOT13","Q9NPJ3",0.000215140262917373,0.0019134408577038,-0.864
"ACTMAP","ACTMAP","Q5BKX5",0.0444302908550866,0.111895935886293,0.483
"ADAM9","ADAM9","Q13443",0.000142949019465508,0.00139669782728441,-1.11
"ADAMTS1","ADAMTS1","Q9UHI8",0.000184355317810005,0.00170169260671185,-0.766
"ADD1","ADD1","P35611",0.0357673097950757,0.0948257827867471,0.298
"ADGRG6","ADGRG6","Q86SQ4",0.291308493314637,0.455201332302371,-1.09
"AGA","AGA","P20933",0.959526496733804,0.979732179653735,-0.0254
"AHDC1","AHDC1","Q5TGY3",0.080355784956421,0.174900950003849,-0.384
"AIFM2","AIFM2","Q9BRQ8",0.000911368363000217,0.00568184027545456,-3.88
"AIRIM","AIRIM","Q9NX04",2.85500685719614e-06,7.92412075640406e-05,2.74
"AKAP7","AKAP7","Q9P0M2",0.0390651940144248,0.101463616205907,-3.55
"AKIRIN2","AKIRIN2","Q53H80",6.9818536519326e-08,5.30159811739675e-06,2.78
"ALDH18A1","ALDH18A1","P54886",0.0759131818763795,0.167175157571266,-0.672
"ALDH1L2","ALDH1L2","Q3SY69",0.000530715251393899,0.00378028943227389,0.682
"ALG1","ALG1","Q9BT22",0.060097741283679,0.141192854521988,-0.607
"ALKBH8","ALKBH8","Q96BT7",0.0304239073962491,0.0839499590786457,-3.84
"AMFR","AMFR","Q9UKV5",0.000183801799362056,0.00170048354375309,0.756
"AMMECR1","AMMECR1","Q9Y4X0",0.406634599261402,0.575478978201317,-0.62
"AMOT","AMOT","Q4VCS5",0.155049347633375,0.288010639378625,0.382
"AMOTL1","AMOTL1","Q8IY63",0.00142355104368707,0.00796258676208285,0.821
