"name","Gene","ID","p.val","p.adj","ratio"
"ABCA3","ABCA3","Q99758",0.847269854409642,0.999934611520757,0.0898
"ABCB10","ABCB10","Q9NRK6",0.326002719849329,0.999934611520757,-0.27
"ABCB6","ABCB6","Q9NP58",0.33943660522242,0.999934611520757,-0.883
"ABHD5","ABHD5","Q8WTS1",0.168818644527187,0.928217795782644,1.24
"ACE2","ACE2","Q9BYF1",0.954471419729522,0.999934611520757,0.0977
"ACOT13","ACOT13","Q9NPJ3",0.883834918278407,0.999934611520757,-0.0284
"ACTMAP","ACTMAP","Q5BKX5",0.259814934806182,0.999934611520757,0.261
"ADAM9","ADAM9","Q13443",0.000639863839449722,0.0443988279631966,-0.954
"ADAMTS1","ADAMTS1","Q9UHI8",0.412597100235711,0.999934611520757,0.14
"ADD1","ADD1","P35611",0.601917816723254,0.999934611520757,0.0703
"ADGRG6","ADGRG6","Q86SQ4",0.413253600642367,0.999934611520757,-0.842
"AGA","AGA","P20933",0.0013531507265947,0.0806778533211905,1.83
"AHDC1","AHDC1","Q5TGY3",0.69904691441665,0.999934611520757,0.0818
"AIFM2","AIFM2","Q9BRQ8",0.687809205523651,0.999934611520757,0.407
"AIRIM","AIRIM","Q9NX04",0.486531429852284,0.999934611520757,0.303
"AKAP7","AKAP7","Q9P0M2",0.41611874411785,0.999934611520757,1.34
"AKIRIN2","AKIRIN2","Q53H80",0.0854825478411921,0.831362820092347,0.611
"ALDH18A1","ALDH18A1","P54886",0.169768166745525,0.928217795782644,-0.511
"ALDH1L2","ALDH1L2","Q3SY69",0.19793812917405,0.95519061139072,-0.221
"ALG1","ALG1","Q9BT22",0.0412300737880906,0.669074322420043,-0.664
"ALKBH8","ALKBH8","Q96BT7",0.978654692060008,0.999934611520757,0.0447
"AMFR","AMFR","Q9UKV5",0.820628754151279,0.999934611520757,-0.0381
"AMMECR1","AMMECR1","Q9Y4X0",0.330761666777101,0.999934611520757,-0.729
"AMOT","AMOT","Q4VCS5",0.26541117782966,0.999934611520757,-0.296
"AMOTL1","AMOTL1","Q8IY63",0.555237194647033,0.999934611520757,-0.133
"ANAPC16","ANAPC16","Q96DE5",0.0438944230220688,0.694560876849242,0.509
"ANAPC4","ANAPC4","Q9UJX5",0.286748092481564,0.999934611520757,-0.214
"ANGEL1","ANGEL1","Q9UNK9",0.00145099620617402,0.0858755034080492,-2.53
"ANKLE2","ANKLE2","Q86XL3",0.458817261489963,0.999934611520757,0.149
"ANXA4","ANXA4","P09525",0.950541751057691,0.999934611520757,-0.00939
"APLP1","APLP1","P51693",0.47377006839469,0.999934611520757,-0.734
"APLP2","APLP2","Q06481",0.823641871627704,0.999934611520757,0.0676
"APOA1","APOA1","P02647",0.126059313714402,0.887776306129875,0.48
"APOC3","APOC3","P02656",5.73509926587068e-07,0.000107353055793007,4.16
"APOE","APOE","P02649",0.129521865326167,0.887776306129875,0.485
"APOH","APOH","P02749",0.881994903603551,0.999934611520757,0.113
"APP","APP","P05067",0.527817597697627,0.999934611520757,0.174
"ARB2A","ARB2A","Q8WUF8",0.855159035577124,0.999934611520757,0.0542
"ARF3","ARF3","P61204",0.339762884956827,0.999934611520757,1.46
"ARL5B","ARL5B","Q96KC2",2.18710189045498e-05,0.00241150453647563,-5.8
"ARL6IP1","ARL6IP1","Q15041",0.170416229306452,0.928217795782644,-0.566
"ARMC7","ARMC7","Q9H6L4",0.567652199679348,0.999934611520757,-0.287
"ART5","ART5","Q96L15",2.29981470203155e-13,1.85112085366519e-09,3.81
"ASPRV1","ASPRV1","Q53RT3",0.746719869419517,0.999934611520757,-0.412
"ATAD5","ATAD5","Q96QE3",0.917767796795263,0.999934611520757,-0.0186
"ATF3","ATF3","P18847",0.872649630529529,0.999934611520757,-0.0557
"ATF4","ATF4","P18848",0.841687867835347,0.999934611520757,0.096
"ATP5MK","ATP5MK","Q96IX5",0.393482462553998,0.999934611520757,0.193
"ATP6V0D2","ATP6V0D2","Q8N8Y2",8.57730933068909e-10,5.31067406174742e-07,-6.52
"ATP6V1D","ATP6V1D","Q9Y5K8",0.0972079185223277,0.851603075225538,0.239
"ATR","ATR","Q13535",0.89057779311736,0.999934611520757,-0.057
"B3GALNT2","B3GALNT2","Q8NCR0",0.343097039607337,0.999934611520757,1.3
"B4GALT5","B4GALT5","O43286",0.21700441397017,0.973074388883508,0.423
"B4GALT6","B4GALT6","Q9UBX8",0.00129123685147094,0.0782456186609797,2.19
"B9D1","B9D1","Q9UPM9",1.39297645343736e-09,6.75713632318085e-07,5.62
"BACE1","BACE1","P56817",0.888846232388451,0.999934611520757,-0.0918
"BCL2L12","BCL2L12","Q9HB09",0.991455881430878,0.999934611520757,-0.00622
"BCOR","BCOR","Q6W2J9",0.704960021021501,0.999934611520757,0.0704
"BIRC2","BIRC2","Q13490",0.65448131230077,0.999934611520757,0.152
"BLM","BLM","P54132",0.500124746613212,0.999934611520757,0.102
"BLOC1S4","BLOC1S4","Q9NUP1",0.713020228104927,0.999934611520757,0.0903
"BMP2","BMP2","P12643",0.653845120637024,0.999934611520757,-0.596
"BMP4","BMP4","P12644",0.483988921727846,0.999934611520757,0.582
"BMPR2","BMPR2","Q13873",0.00180268123974546,0.0993820636898029,4.27
"BNIP3","BNIP3","Q12983",4.69208862184118e-05,0.00460568552648777,5
"BOD1","BOD1","Q96IK1",0.115659634820595,0.875393160914881,0.75
"BORCS6","BORCS6","Q96GS4",0.822893362576765,0.999934611520757,0.0547
"BPGM","BPGM","P07738",0.844649172298193,0.999934611520757,0.0435
"BPNT2","BPNT2","Q9NX62",0.15336629942437,0.910876212511042,-0.329
"BRI3","BRI3","O95415",0.199997560777965,0.955672560728938,0.79
"BRI3BP","BRI3BP","Q8WY22",0.68784916058203,0.999934611520757,-0.0631
"BRWD3","BRWD3","Q6RI45",0.714085030189784,0.999934611520757,-0.0793
"BTBD9","BTBD9","Q96Q07",0.152032258901788,0.910876212511042,-2.77
"BTN2A3P","BTN2A3P","Q96KV6",0.0170642825716722,0.437148200316167,-4.72
"C1orf159","C1orf159","Q96HA4",0.0269483149297238,0.522186233000682,-2.38
"C1orf198","C1orf198","Q9H425",0.17338910960283,0.930446025089416,0.355
"C2CD2L","C2CD2L","O14523",0.689625432670087,0.999934611520757,0.133
"C4A","C4A","P0C0L4",0.116181801545974,0.876872548340984,1.59
"C4BPA","C4BPA","P04003",1.16604660579884e-06,0.00020403280717554,5.44
"C6orf89","C6orf89","Q6UWU4",0.721849365025665,0.999934611520757,0.111
"C8orf88","C8orf88","P0DMB2",0.58630887130617,0.999934611520757,-0.623
"C9orf72","C9orf72","Q96LT7",0.743262886691888,0.999934611520757,0.605
"CABIN1","CABIN1","Q9Y6J0",0.821982549652773,0.999934611520757,0.0589
"CALCOCO2","CALCOCO2","Q13137",0.284742369515476,0.999934611520757,0.317
"CAMKK1","CAMKK1","Q8N5S9",0.754909598568719,0.999934611520757,0.0723
"CARMIL2","CARMIL2","Q6F5E8",0.0847358888430735,0.827717438468323,0.605
"CASTOR2","CASTOR2","A6NHX0",0.0668824680979993,0.799210858170993,-0.846
"CBY1","CBY1","Q9Y3M2",0.137843150763819,0.904237588017912,0.513
"CCDC106","CCDC106","Q9BWC9",0.0403102971808372,0.664459282389606,0.49
"CCDC120","CCDC120","Q96HB5",0.584546708759672,0.999934611520757,-0.501
"CCDC138","CCDC138","Q96M89",0.000842237161575783,0.056026172839037,5.22
"CCDC158","CCDC158","Q5M9N0",8.28712748145956e-11,9.529012728324e-08,-5.22
"CCDC18","CCDC18","Q5T9S5",0.315389177863489,0.999934611520757,-0.394
"CCDC186","CCDC186","Q7Z3E2",0.0215249619617083,0.484420374606411,0.475
"CCDC28B","CCDC28B","Q9BUN5",0.262364188420346,0.999934611520757,0.363
"CCDC66","CCDC66","A2RUB6",0.31803934932858,0.999934611520757,0.565
"CCDC82","CCDC82","Q8N4S0",0.0087402157718991,0.309911879947206,-4.61
"CCK","CCK","P06307",0.910549610298265,0.999934611520757,0.0585
"CCN1","CCN1","O00622",0.170135408422019,0.928217795782644,-0.978
"CCN2","CCN2","P29279",0.727367431273589,0.999934611520757,0.407
"CCNQ","CCNQ","Q8N1B3",0.0639479475840384,0.781285578389001,2.45
"CCPG1","CCPG1","Q9ULG6",0.287476692153627,0.999934611520757,0.298
"CD151","CD151","P48509",0.00131702468454788,0.079109937954671,-1.11
"CD40","CD40","P25942",0.000537549287286442,0.0386315554765051,-5.55
"CD81","CD81","P60033",6.52201132497448e-06,0.000889757104317281,-1.88
"CD84","CD84","Q9UIB8",0.887638401987027,0.999934611520757,-0.183
"CD99","CD99","P14209",0.000851965871055995,0.0562087975092598,6.09
"CDC42EP1","CDC42EP1","Q00587",0.0184851981238363,0.453949339144775,0.657
