"name","Gene","ID","p.val","p.adj","ratio"
"ABCB6","ABCB6","Q9NP58",1.936442211246e-08,1.58600009039554e-06,-8.04
"ACOT13","ACOT13","Q9NPJ3",4.60435322610802e-07,1.82852087028904e-05,-1.4
"ADAM9","ADAM9","Q13443",1.80524308431922e-09,2.16144179438937e-07,-2.43
"ADAMTS1","ADAMTS1","Q9UHI8",1.07958828598038e-08,1.00702991048077e-06,-1.55
"ADGRG6","ADGRG6","Q86SQ4",0.000208868749291666,0.00181140011547864,-4.55
"ANGEL1","ANGEL1","Q9UNK9",0.000378155373277676,0.00286997389255773,-2.92
"APLP1","APLP1","P51693",1.87599188422498e-08,1.56762571825549e-06,-8.98
"APLP2","APLP2","Q06481",2.42636201181112e-11,8.65937808543847e-09,-3.93
"APOA1","APOA1","P02647",1.01179171743789e-06,3.29942811271818e-05,-2.07
"APOC3","APOC3","P02656",1.55565026749791e-06,4.55447252194007e-05,-3.89
"APOE","APOE","P02649",1.25418058621979e-08,1.14329962075627e-06,-2.81
"APOH","APOH","P02749",1.44120086449155e-09,1.85381695150069e-07,-7.82
"APP","APP","P05067",6.16040849735737e-11,1.59415474083229e-08,-3.37
"ARF3","ARF3","P61204",1.171757157743e-06,3.61532150746706e-05,-10.2
"ARL6IP1","ARL6IP1","Q15041",0.000829324595302822,0.00522611304282737,-1.56
"ATF4","ATF4","P18848",0.000461058459819272,0.00332310059718796,-1.98
"ATP5MK","ATP5MK","Q96IX5",0.000186755957537845,0.00166277057865549,-1.01
"ATP6V0D2","ATP6V0D2","Q8N8Y2",5.48147104870419e-10,8.62203152013824e-08,-6.69
"B4GALT5","B4GALT5","O43286",6.86456844474007e-08,4.33602898139408e-06,-2.73
"BACE1","BACE1","P56817",6.25513141504172e-07,2.33389135867278e-05,-4.62
"BMP4","BMP4","P12644",4.48329336334907e-07,1.79842996356062e-05,-5.95
"BPNT2","BPNT2","Q9NX62",1.14113623734138e-05,0.000196864406364571,-1.28
"BRI3","BRI3","O95415",1.51258557337869e-09,1.89593147963185e-07,-6.19
