"name","Gene","ID","p.val","p.adj","ratio"
"ADD1","ADD1","P35611",5.29340606300233e-08,3.55055211675881e-06,1.11
"AHDC1","AHDC1","Q5TGY3",0.00022143986583534,0.0019022086233817,0.935
"AKIRIN2","AKIRIN2","Q53H80",6.37677874314145e-05,0.000733238458622079,1.7
"ALDH1L2","ALDH1L2","Q3SY69",0.00130503579556327,0.0074445309131742,0.618
"AMFR","AMFR","Q9UKV5",6.00837884953935e-07,2.28120006414822e-05,1.18
"AMOT","AMOT","Q4VCS5",0.000496141831431669,0.00352466513785835,1.07
"AMOTL1","AMOTL1","Q8IY63",1.06515453622732e-05,0.000188013790835387,1.29
"ANAPC16","ANAPC16","Q96DE5",0.00304023784301502,0.0143533103818186,0.797
"ANKLE2","ANKLE2","Q86XL3",6.35330283400344e-07,2.36748770883767e-05,1.4
"ARB2A","ARB2A","Q8WUF8",0.00378381296437379,0.0169576339366618,0.959
"ARMC7","ARMC7","Q9H6L4",2.39471931032708e-06,6.3404920160601e-05,3.21
"ASPRV1","ASPRV1","Q53RT3",0.0011443929317167,0.00669419964199689,4.77
"ATAD5","ATAD5","Q96QE3",1.52408008100935e-05,0.000245838087616117,1
"BCOR","BCOR","Q6W2J9",2.380248235177e-07,1.07632685645728e-05,1.39
"BIRC2","BIRC2","Q13490",1.8923337993342e-12,1.69237719453789e-09,5.04
"BOD1","BOD1","Q96IK1",0.000148734461333695,0.00139855570008751,2.12
"BORCS6","BORCS6","Q96GS4",5.69185028468175e-08,3.75522155257405e-06,2.01
"BRWD3","BRWD3","Q6RI45",5.13001601450305e-05,0.000619992475987013,1.09
"C1orf198","C1orf198","Q9H425",1.43791569990659e-05,0.000235239501393254,1.43
"C8orf88","C8orf88","P0DMB2",0.00297716483809115,0.0141375809922098,3.8
"CBY1","CBY1","Q9Y3M2",0.000203844555560397,0.00178524224617077,1.5
"CCDC106","CCDC106","Q9BWC9",1.41050547713497e-06,4.22050505035664e-05,1.51
"CCDC120","CCDC120","Q96HB5",4.42781096435726e-05,0.000555131626979931,4.67
"CCDC138","CCDC138","Q96M89",0.00198813153447231,0.0102976002065429,4.73
"CCDC186","CCDC186","Q7Z3E2",1.21223388589649e-07,6.46176857455688e-06,1.51
"CCDC28B","CCDC28B","Q9BUN5",0.00478965497730416,0.0203225792895736,0.997
"CCDC66","CCDC66","A2RUB6",8.81481599178668e-07,2.94747933500236e-05,3.84
"CDC42EP1","CDC42EP1","Q00587",6.70870122172169e-08,4.31986689069103e-06,2.12
"CDCA7L","CDCA7L","Q96GN5",7.12094632120599e-06,0.00013975661997708,1.15
"CEP170B","CEP170B","Q9Y4F5",4.14553555743708e-08,2.85191587194966e-06,1.71
"CEP41","CEP41","Q9BYV8",9.11694141300791e-08,5.16776488966906e-06,1.45
"CFAP97","CFAP97","Q9P2B7",4.8601625314888e-06,0.000102945916357772,1.92
"CKS1B","CKS1B","P61024",1.37304528081949e-07,6.90727591582253e-06,2.05
"CKS2","CKS2","P33552",7.26255203084138e-07,2.59805694649966e-05,1.64
"CLK3","CLK3","P49761",2.47401598882343e-06,6.49953176387506e-05,1.33
"COL4A6","COL4A6","Q14031",3.11764388578574e-06,7.60421685960284e-05,1.19
"COX6A1","COX6A1","P12074",0.000453877814828665,0.00330313067952615,1.72
"CSPG4","CSPG4","Q6UVK1",5.2903080458327e-13,7.09694824348456e-10,7.77
"CYBA","CYBA","P13498",3.10732708306569e-10,5.95497040276089e-08,4.61
"CYREN","CYREN","Q9BWK5",1.16121519243253e-06,3.61086323261597e-05,4
"DACT1","DACT1","Q9NYF0",4.44362632117609e-06,9.6666887186882e-05,4.88
"DBP","DBP","Q10586",8.23697453292067e-08,4.91106726040581e-06,4.97
"DGCR6","DGCR6","Q14129",5.93582829327744e-11,1.59258273108634e-08,5.72
"DHRS13","DHRS13","Q6UX07",6.84749378982941e-08,4.35062294580416e-06,6.14
"DMTN","DMTN","Q08495",1.45388956403762e-11,6.88373947114047e-09,4.83
"DOLK","DOLK","Q9UPQ8",2.41027991611666e-09,2.77147757783186e-07,5.79
"EIF1B","EIF1B","O60739",0.00183576153750514,0.00968286016735179,0.874
"EIF4ENIF1","EIF4ENIF1","Q9NRA8",2.78687626809293e-06,6.98802712831153e-05,1.4
"EIF5","EIF5","P55010",2.30906848576539e-05,0.000339774995282004,0.972
"ENKD1","ENKD1","Q9H0I2",0.0106856907873193,0.0378894824436711,1.06
"ERC2","ERC2","O15083",3.22248822911461e-08,2.35798252328577e-06,5.25
"ERRFI1","ERRFI1","Q9UJM3",3.91090657328107e-07,1.61430189786355e-05,4.76
"EVI5","EVI5","O60447",4.48068118492728e-08,3.05635617436269e-06,2.81
"FAM199X","FAM199X","Q6PEV8",0.00441528331092022,0.0190965155129483,3.12
"FAM89A","FAM89A","Q96GI7",2.75632344675166e-07,1.19990206669329e-05,2.15
"FBRSL1","FBRSL1","Q9HCM7",1.64438089118489e-08,1.42318513904808e-06,1.83
"FIP1L1","FIP1L1","Q6UN15",3.23113304954235e-06,7.78943122640926e-05,1.5
"FKBPL","FKBPL","Q9UIM3",5.6398155795089e-07,2.15141590518802e-05,1.76
"FPGS","FPGS","Q05932",1.48856254647155e-05,0.000242049291647465,4.64
"FXN","FXN","Q16595",0.00495416446654687,0.0208665985302123,0.791
"GLRX","GLRX","P35754",0.000277061470959671,0.00225259371692363,1.88
"GPBP1L1","GPBP1L1","Q9HC44",9.6920397988432e-07,3.18413176901587e-05,1.72
"GPRIN3","GPRIN3","Q6ZVF9",1.24620408135524e-05,0.000209847210268374,1.69
"GRIP1","GRIP1","Q9Y3R0",0.0015604039123642,0.00856147995270581,2.1
"HMMR","HMMR","O75330",2.61964246668139e-06,6.65157798558944e-05,1.15
"HOXB13","HOXB13","Q92826",0.000290598151728956,0.00232738758533967,0.891
"IFI35","IFI35","P80217",8.43273353972995e-07,2.85189379249102e-05,5.57
"JARID2","JARID2","Q92833",3.22266316195165e-05,0.000439680273490583,1.03
"KDM5B","KDM5B","Q9UGL1",3.56120551736284e-06,8.33259977013184e-05,1.49
"KIAA1671","KIAA1671","Q9BY89",2.86688359909188e-08,2.12344223967992e-06,2.28
"KLC4","KLC4","Q9NSK0",0.000213788531579359,0.00184980352949017,0.766
"KLF13","KLF13","Q9Y2Y9",3.66943373475992e-06,8.46282869085461e-05,1.58
"LATS2","LATS2","Q9NRM7",1.33244177934619e-06,4.06243328862025e-05,5.96
"LTV1","LTV1","Q96GA3",2.66971292562509e-07,1.17423602941838e-05,1.1
"MAP1B","MAP1B","P46821",0.00719663282741309,0.0277289122201283,0.689
"MAST2","MAST2","Q6P0Q8",1.02883721112341e-10,2.50942748858554e-08,3.67
"MED7","MED7","O43513",1.86282677064961e-11,7.49694633847937e-09,5.19
"MIEN1","MIEN1","Q9BRT3",2.48274365451365e-11,8.68852333703493e-09,6.29
"MPLKIP","MPLKIP","Q8TAP9",1.31294967112248e-07,6.73116681711134e-06,3.15
"MRC2","MRC2","Q9UBG0",0.0022902204881884,0.011528445721969,0.626
"MRFAP1","MRFAP1","Q9Y605",0.000398239252566223,0.00298882167961247,1.29
"MRTFA","MRTFA","Q969V6",1.64098631218284e-08,1.42318513904808e-06,1.76
"MSL1","MSL1","Q68DK7",4.40936520777891e-05,0.000553681443953392,1.47
"MTFR2","MTFR2","Q6P444",2.20659163473744e-05,0.000327691071365344,2.39
"MXD4","MXD4","Q14582",0.00823505617993562,0.0309738164450009,2.41
"MXI1","MXI1","P50539",1.02688531924573e-05,0.000182459159704391,1.41
"NAA20","NAA20","P61599",1.18538000018096e-05,0.000203266801300458,0.835
"NBDY","NBDY","A0A0U1RRE5",2.43909834824166e-08,1.88772140432665e-06,7.77
"NDEL1","NDEL1","Q9GZM8",4.88509884552827e-07,1.91805661500766e-05,4.37
"NDUFA4","NDUFA4","O00483",0.00392484575827886,0.0174530605551706,0.941
"NDUFC1","NDUFC1","O43677",4.35447200260913e-11,1.34804404419234e-08,4.2
"NKX6-1","NKX6-1","P78426",0.0010115914912108,0.00605952366528466,3.52
"NRGN","NRGN","Q92686",0.00106028013488861,0.00630295037349958,1.43
"NUMA1","NUMA1","Q14980",5.87329592318757e-06,0.00012121579201471,1.34
"NUMBL","NUMBL","Q9Y6R0",7.82969254617213e-07,2.74005196974519e-05,1.17
"OBI1","OBI1","Q5W0B1",2.61926003347442e-08,1.98890792541845e-06,1.51
"OPHN1","OPHN1","O60890",9.28294319702866e-09,9.00221804733538e-07,2.34
"OTUD4","OTUD4","Q01804",5.97653726760932e-10,9.07644310697876e-08,2.14
"OXLD1","OXLD1","Q5BKU9",7.61971904971096e-06,0.000146026472931246,5.8
"PAIP2","PAIP2","Q9BPZ3",7.38531142308437e-07,2.63028193116841e-05,4.3
"PCBP4","PCBP4","P57723",0.000210562740848413,0.00182631411755267,5.23
"PCLAF","PCLAF","Q15004",0.000575847467442684,0.00397171916490674,1.71
"PHF8","PHF8","Q9UPP1",1.43942544097353e-06,4.2910871757022e-05,1.12
"PHRF1","PHRF1","Q9P1Y6",2.72548628253252e-08,2.05022795215928e-06,1.65
"PIBF1","PIBF1","Q8WXW3",5.48441528590401e-05,0.000654956359588151,0.759
"PIDD1","PIDD1","Q9HB75",1.03716618458423e-08,9.93827454728385e-07,5.34
"PLEC","PLEC","Q15149",3.97072217277914e-06,8.87787299130535e-05,0.926
"PLEKHG1","PLEKHG1","Q9ULL1",0.00132829473594352,0.00755045503503487,3.47
"PLEKHJ1","PLEKHJ1","Q9NW61",1.03083236949409e-11,5.77501710634661e-09,6.87
"POLD4","POLD4","Q9HCU8",6.52588617918049e-16,5.25268578562238e-12,9.68
"PTTG1","PTTG1","O95997",3.66123603383787e-05,0.00048152432739152,2.28
"PYGM","PYGM","P11217",4.8098879616899e-11,1.4109658405566e-08,5.99
"Q6ZSR9","Q6ZSR9","Q6ZSR9",1.09268400968823e-09,1.53406191949236e-07,1.76
"RAMAC","RAMAC","Q9BTL3",8.91368429944019e-06,0.000163705627010402,2.13
"RARB","RARB","P10826",1.28847581961926e-05,0.000215612097133376,2.75
"RBM18","RBM18","Q96H35",2.02444441229336e-08,1.62678694481213e-06,3.62
"RIF1","RIF1","Q5UIP0",2.02950067082222e-07,9.49735517409769e-06,0.929
"RNF169","RNF169","Q8NCN4",1.02293375787928e-05,0.000182194691895324,1.55
"RPAP2","RPAP2","Q8IXW5",3.57972511334301e-05,0.000474682165359109,0.84
"SAPCD2","SAPCD2","Q86UD0",2.52765016364062e-05,0.000363954493151044,1.5
"SBSN","SBSN","Q6UWP8",8.22582898643246e-05,0.000899622943509107,5.97
"SCAND1","SCAND1","P57086",0.000103847879619839,0.00106352890335796,1.79
"SCPEP1","SCPEP1","Q9HB40",0.000614136152938501,0.00418204898054314,0.699
"SEPTIN9","SEPTIN9","Q9UHD8",7.37190095657619e-08,4.59829056547416e-06,1.25
"SETD5","SETD5","Q9C0A6",7.22335283091103e-06,0.000139778475825529,1.76
"SFN","SFN","P31947",2.58034386996761e-06,6.61141657555338e-05,5.77
"SHROOM3","SHROOM3","Q8TF72",7.07916700992675e-05,0.000796926087593013,2.6
"SIVA1","SIVA1","O15304",1.07238358946438e-10,2.52930650059457e-08,5.26
"SOX5","SOX5","P35711",1.80721753529685e-05,0.000283001827657672,3.42
"SPC24","SPC24","Q8NBT2",8.09612059695312e-06,0.000153330999258531,1.06
"SPICE1","SPICE1","Q8N0Z3",1.79276341596961e-08,1.52943409693587e-06,2
"SPTBN1","SPTBN1","Q01082",9.09384482844364e-08,5.16776488966906e-06,1.26
"SRGAP1","SRGAP1","Q7Z6B7",3.71691853758871e-10,6.83101295291509e-08,5.28
"SRXN1","SRXN1","Q9BYN0",0.00379272357695712,0.0169881091101435,0.82
"SS18","SS18","Q15532",7.45168760407833e-06,0.000143833653537713,6.16
"SULT1A1","SULT1A1","P50225",1.35899256278856e-09,1.79320182588281e-07,6.61
"SWI5","SWI5","Q1ZZU3",3.78465140326363e-08,2.64892688216252e-06,3.55
"TAGLN","TAGLN","Q01995",1.43733780240576e-05,0.000235239501393254,4.32
"TANC1","TANC1","Q9C0D5",0.00668296249692108,0.0262900537593453,1.13
"TCEAL8","TCEAL8","Q8IYN2",2.97858541886536e-09,3.35383885607716e-07,5.8
"TEAD3","TEAD3","Q99594",0.00104142546183653,0.00621556809960619,4.66
"THRB","THRB","P10828",0.00674085773113014,0.0264604494534317,4.49
"TMEM183A","TMEM183A","Q8IXX5",2.14287236687471e-08,1.6745611340752e-06,6.19
"TMEM35B","TMEM35B","Q8NCS4",3.98267308650766e-08,2.76349445459484e-06,6.06
"TP53I13","TP53I13","Q8NBR0",0.00354477305416699,0.0161288175878972,3.57
"TTC3","TTC3","P53804",0.00715852156165181,0.027632335892792,0.969
"TTC9","TTC9","Q92623",0.000479492535609274,0.00343060926143915,1.44
"UBAP2","UBAP2","Q5T6F2",0.000272577988780169,0.0022277047477349,0.962
"UBE2T","UBE2T","Q9NPD8",5.43976726151046e-07,2.09496108554534e-05,1.53
"UBN1","UBN1","Q9NPG3",5.22793793606029e-06,0.000109868596468275,1.4
