"name","Gene","ID","p.val","p.adj","ratio"
"ABCA3","ABCA3","Q99758",0.480899889160257,0.999715399387604,-0.33
"ABCB10","ABCB10","Q9NRK6",0.0375738610627108,0.523238767636262,-0.597
"ABCB6","ABCB6","Q9NP58",0.776332111693587,0.999715399387604,-0.26
"ABHD5","ABHD5","Q8WTS1",0.75856621992656,0.999715399387604,-0.271
"ACE2","ACE2","Q9BYF1",0.00575565991519233,0.198829642306365,5.22
"ACOT13","ACOT13","Q9NPJ3",0.424520598690125,0.999715399387604,-0.157
"ACTMAP","ACTMAP","Q5BKX5",0.902230390521668,0.999715399387604,-0.028
"ADAM9","ADAM9","Q13443",0.000584115562437187,0.0361657397081302,-0.964
"ADAMTS1","ADAMTS1","Q9UHI8",0.864903789688805,0.999715399387604,-0.0289
"ADD1","ADD1","P35611",0.719666906019947,0.999715399387604,-0.0482
"ADGRG6","ADGRG6","Q86SQ4",0.000105229477083251,0.0100832388219415,-4.84
"AGA","AGA","P20933",0.742994580617648,0.999715399387604,-0.164
"AHDC1","AHDC1","Q5TGY3",0.799520596903923,0.999715399387604,0.0537
"AIFM2","AIFM2","Q9BRQ8",0.000348011209642868,0.0256985525359215,-4.29
"AIRIM","AIRIM","Q9NX04",0.69509164128306,0.999715399387604,-0.17
"AKAP7","AKAP7","Q9P0M2",0.0337862733639798,0.509261637278414,-3.67
"AKIRIN2","AKIRIN2","Q53H80",0.227587970118222,0.933822509824781,0.42
"ALDH18A1","ALDH18A1","P54886",0.153829502093124,0.861421852466375,-0.532
"ALDH1L2","ALDH1L2","Q3SY69",0.0252459154249761,0.455615186671822,-0.401
"ALG1","ALG1","Q9BT22",0.0301340121635705,0.499871545796121,-0.711
"ALKBH8","ALKBH8","Q96BT7",0.0161707329404914,0.362262196249354,-4.33
"AMFR","AMFR","Q9UKV5",0.213052088189581,0.912838977310349,-0.213
"AMMECR1","AMMECR1","Q9Y4X0",0.292920810140415,0.970186385008998,-0.79
"AMOT","AMOT","Q4VCS5",0.0464940185627883,0.588606010967907,-0.548
"AMOTL1","AMOTL1","Q8IY63",0.05591778810538,0.629485701342942,-0.451
"ANAPC16","ANAPC16","Q96DE5",0.381575493869809,0.999715399387604,0.212
"ANAPC4","ANAPC4","Q9UJX5",0.595091041430954,0.999715399387604,-0.106
"ANGEL1","ANGEL1","Q9UNK9",0.000223501237622053,0.0179346375129335,-3.08
"ANKLE2","ANKLE2","Q86XL3",0.53103116152174,0.999715399387604,-0.125
"ANXA4","ANXA4","P09525",0.903740034811136,0.999715399387604,-0.0183
"APLP1","APLP1","P51693",0.894645891726556,0.999715399387604,0.135
"APLP2","APLP2","Q06481",0.573221246734978,0.999715399387604,-0.172
"APOA1","APOA1","P02647",0.0425926798352634,0.562013901629565,0.651
"APOC3","APOC3","P02656",0.880698992438534,0.999715399387604,0.0883
"APOE","APOE","P02649",0.289668840903901,0.970186385008998,0.334
"APOH","APOH","P02749",0.112327060068849,0.786591749689206,1.25
"APP","APP","P05067",0.675127185069297,0.999715399387604,-0.115
"ARB2A","ARB2A","Q8WUF8",0.65138974827647,0.999715399387604,0.134
"ARF3","ARF3","P61204",0.842652662754331,0.999715399387604,-0.3
"ARL5B","ARL5B","Q96KC2",0.699992152314741,0.999715399387604,0.413
"ARL6IP1","ARL6IP1","Q15041",0.000567739626254876,0.0354243120288798,-1.63
"ARMC7","ARMC7","Q9H6L4",0.303076292921595,0.972399433111653,-0.522
"ART5","ART5","Q96L15",0.0337507659045905,0.509261637278414,-0.516
"ASPRV1","ASPRV1","Q53RT3",0.00226801382226365,0.104315675745144,4.4
"ATAD5","ATAD5","Q96QE3",0.25047339321268,0.957748380982832,-0.21
"ATF3","ATF3","P18847",0.499803382031082,0.999715399387604,-0.236
"ATF4","ATF4","P18848",0.634012825055755,0.999715399387604,-0.229
"ATP5MK","ATP5MK","Q96IX5",0.408833119602565,0.999715399387604,-0.187
"ATP6V0D2","ATP6V0D2","Q8N8Y2",0.143924472221644,0.844216746719954,-0.924
"ATP6V1D","ATP6V1D","Q9Y5K8",0.0956182345500763,0.761860793778899,0.24
"ATR","ATR","Q13535",0.807627687007345,0.999715399387604,0.101
"B3GALNT2","B3GALNT2","Q8NCR0",0.629468744450732,0.999715399387604,0.655
"B4GALT5","B4GALT5","O43286",0.154946816218962,0.864287542443817,0.49
