"name","Gene","ID","p.val","p.adj","ratio"
"CCDC158","CCDC158","Q5M9N0",2.87284816481314e-11,7.70785162619364e-08,-5.54
"CD81","CD81","P60033",4.14667559229977e-05,0.00463563775589179,-1.63
"CMTM6","CMTM6","Q9NX76",9.12434678589208e-06,0.00128791879085102,-5.61
"CNBP","CNBP","P62633",2.39865357697e-08,9.65338132051575e-06,-5.99
"CNEP1R1","CNEP1R1","Q8N9A8",2.80649940115732e-05,0.0033715692059575,-4.8
"CRABP2","CRABP2","P29373",2.80995199531686e-10,3.23104337290077e-07,-4.18
"CUL7","CUL7","Q14999",1.20054396194566e-07,3.45113512489307e-05,-4.07
"ELOF1","ELOF1","P60002",2.40666149021839e-09,1.38365845248342e-06,-6.84
"ERBB2","ERBB2","P04626",1.28301961524925e-05,0.00169295489887561,-2.6
"FAT1","FAT1","Q14517",3.58769948212498e-07,8.49335092106587e-05,-4.64
"FN1","FN1","P02751",7.63698282971371e-12,3.07350373981828e-08,-5.35
"GCNT1","GCNT1","Q02742",1.06958602626036e-06,0.00021522744813424,-5.29
"HSPA6","HSPA6","P17066",1.6202869241642e-05,0.0020880653840036,-9.84
"IER3IP1","IER3IP1","Q9Y5U9",4.23828278311477e-06,0.000696202818801853,-5.24
"LAPTM4A","LAPTM4A","Q15012",9.76533447901964e-08,3.02312220083189e-05,-5.17
"MEIS2","MEIS2","O14770",3.49548264851036e-06,0.000611633474736085,-6.2
"MIS18A","MIS18A","Q9NYP9",5.51399856812542e-11,1.10955436187104e-07,-5.06
"MOB2","MOB2","Q70IA6",9.31080439825333e-08,2.99770658406164e-05,-4.31
"MPPED2","MPPED2","Q15777",1.27432351302776e-05,0.00169295489887561,-3.97
"MT2A","MT2A","P02795",1.89890042020983e-08,8.51505536364103e-06,-6.44
"MYORG","MYORG","Q6NSJ0",1.08471972622368e-07,3.23367002828683e-05,-3.8
"NTAN1","NTAN1","Q96AB6",4.39266556371679e-05,0.00484336508525431,-4.21
"NUDT8","NUDT8","Q8WV74",4.64878190091433e-07,0.000106908701487027,-5.42
"PCBP3","PCBP3","P57721",2.14664129241385e-06,0.000411388470539026,-2.24
"PCDHGA11","PCDHGA11","Q9Y5H2",3.13783521486583e-05,0.00360806223492215,-4.65
"QPCT","QPCT","Q16769",2.92424669285064e-05,0.00341119733779055,-4.03
"RCE1","RCE1","Q9Y256",2.317789102726e-07,6.21862816261386e-05,-4.54
"RPAIN","RPAIN","Q86UA6",8.96202597900122e-07,0.000189829860802581,-2.74
"SDC4","SDC4","P31431",3.7878294011075e-05,0.00429411814781891,-3.92
"SEC22A","SEC22A","Q96IW7",1.77479204285417e-09,1.29866374117575e-06,-5.33
"SFMBT1","SFMBT1","Q9UHJ3",2.35127909189356e-06,0.000440126637457006,-6.6
"SUSD5","SUSD5","O60279",1.6343411503569e-05,0.0020880653840036,-6.48
"TANGO2","TANGO2","Q6ICL3",2.1421511638547e-10,3.23104337290077e-07,-7.02
"TMEFF1","TMEFF1","Q8IYR6",4.49936048981835e-05,0.00489396656520917,-4.58
"TMEM132A","TMEM132A","Q24JP5",6.66069680590745e-06,0.00101154619982545,-4.77
"TSKU","TSKU","Q8WUA8",4.59538718904112e-05,0.00493176953127893,-4.22
"TSPAN13","TSPAN13","O95857",5.7158607570432e-06,0.000884749292950783,-2.17
"UNC5B","UNC5B","Q8IZJ1",2.22614409494668e-09,1.37832567847891e-06,-3.6
"UROS","UROS","P10746",1.0480397385971e-05,0.00142977489084205,-3.75
"USP46","USP46","P62068",2.67327010523706e-10,3.23104337290077e-07,-6.63
"WNT5A","WNT5A","P41221",2.91802806019427e-08,1.11843846935732e-05,-3.88
"YIPF4","YIPF4","Q9BSR8",8.02820509095078e-10,7.17989141967365e-07,-5.89
"ZDHHC13","ZDHHC13","Q8IUH4",2.04015867151883e-08,8.64275639318687e-06,-7.73
"ZFP3","ZFP3","Q96NJ6",3.92984134621408e-06,0.000673006233950578,-5.27
"ZNF319","ZNF319","Q9P2F9",8.20049950728072e-08,2.75024252225427e-05,-3.8
"ZNF714","ZNF714","Q96N38",1.64387450680387e-07,4.56260203629806e-05,-6.23
"ZNF724","ZNF724","A8MTY0",3.25840831037593e-06,0.000582820633115909,-5.19
"ZNHIT3","ZNHIT3","Q15649",5.28064321978862e-12,3.07350373981828e-08,-6.75
"ZSCAN5A","ZSCAN5A","Q9BUG6",4.23170760259872e-06,0.000696202818801853,-5.2
