"name","Gene","ID","p.val","p.adj","ratio"
"BCL2L12","BCL2L12","Q9HB09",4.22328351994559e-10,4.24915113150526e-07,6.41
"BMPR2","BMPR2","Q13873",0.000501203698652645,0.0333950972842209,4.92
"C4BPA","C4BPA","P04003",8.5029686155474e-06,0.00122214989975966,4.71
"CASTOR2","CASTOR2","A6NHX0",0.000102416773314567,0.0100530805903531,2.1
"CHKA","CHKA","P35790",0.000197655211635148,0.0168095999281687,5.91
"DCBLD1","DCBLD1","Q8N8Z6",1.26808344364495e-06,0.000248946430192638,5.63
"DNAJB5","DNAJB5","O75953",8.48009367881078e-05,0.00864003468617063,6.38
"EIF3C","EIF3C","Q99613",1.282936637215e-08,6.8842379952957e-06,6.15
"GSTA4","GSTA4","O15217",0.000101306351174462,0.0100530805903531,4.35
"H1-6","H1-6","P22492",1.81880446715983e-05,0.00228743080565148,5.99
"HMOX1","HMOX1","P09601",2.73873791035222e-06,0.000501002305464206,1.15
"IFI35","IFI35","P80217",2.64081810318892e-07,6.64483813396445e-05,6.02
"LNX2","LNX2","Q8N448",5.28067624398033e-05,0.00559265303786812,3.16
"LTV1","LTV1","Q96GA3",2.8696874097624e-05,0.00339678146487906,0.782
"MAP1B","MAP1B","P46821",0.000280386147782087,0.0214936009856954,1.01
"MAP4K3","MAP4K3","Q8IVH8",0.000198398806457451,0.0168095999281687,4.7
"MFSD4B","MFSD4B","Q5TF39",0.000543265960150899,0.0344310843563354,5.77
"NAB2","NAB2","Q15742",8.076548128454e-06,0.00118196610701684,1.02
"NFE2L2","NFE2L2","Q16236",6.16910745118923e-05,0.00644872024345741,4.26
"ORAI1","ORAI1","Q96D31",5.50570754203765e-06,0.000868930196193355,3.53
"PABIR1","PABIR1","Q96E09",6.62454562471326e-07,0.00014411072360356,3.79
"PCBP4","PCBP4","P57723",0.000138056220518642,0.0123611733562522,5.44
"PIDD1","PIDD1","Q9HB75",1.90422408430288e-08,8.51505536364103e-06,5.15
"PIPSL","PIPSL","A2A3N6",1.06341012930437e-06,0.00021522744813424,4.34
"RABAC1","RABAC1","Q9UI14",1.7235039261283e-08,8.51505536364103e-06,6.99
"RNF141","RNF141","Q8WVD5",7.31509497993986e-06,0.00109035554617659,6.09
"SBSN","SBSN","Q6UWP8",0.000517361705695929,0.0333950972842209,5.01
"SCML1","SCML1","Q9UN30",0.000452874585272408,0.0311554490329711,1.13
"SFT2D2","SFT2D2","O95562",1.74821598918201e-09,1.29866374117575e-06,6.6
"SH2D4A","SH2D4A","Q9H788",0.000451398884163038,0.0311554490329711,4.8
"SLC26A11","SLC26A11","Q86WA9",5.4843404035548e-08,1.91928069166142e-05,8.2
"SLC39A7","SLC39A7","Q92504",2.43715433961456e-05,0.00301794696608578,5.79
"SNX24","SNX24","Q9Y343",0.000155310677656573,0.0134418886500834,0.758
"TAGLN","TAGLN","Q01995",2.641754507229e-07,6.64483813396445e-05,5.74
"TBC1D25","TBC1D25","Q3MII6",0.000513540225465124,0.0333950972842209,5.2
"TMEM104","TMEM104","Q8NE00",2.06912982744451e-09,1.37832567847891e-06,5.22
"TMEM183A","TMEM183A","Q8IXX5",5.93675665724936e-07,0.000132735984261667,5
"TMEM35B","TMEM35B","Q8NCS4",2.85880036062919e-07,6.97287397051648e-05,5.34
"TMEM51","TMEM51","Q9NW97",8.23652908295478e-05,0.00849946443444911,2.94
"TNFRSF10D","TNFRSF10D","Q9UBN6",0.000339876219750537,0.0253302193775192,4.9
"TRIM23","TRIM23","P36406",4.25341295999981e-08,1.55616913250175e-05,7.98
"UVRAG","UVRAG","Q9P2Y5",0.000107599115411274,0.0101890032934747,4.27
"ZBTB5","ZBTB5","O15062",2.7583267701041e-05,0.0033639048746315,2.49
"ZNF100","ZNF100","Q8IYN0",0.000255638180891219,0.0198978385894443,5.33
"ZNF513","ZNF513","Q8N8E2",5.48959951325354e-06,0.000868930196193355,2.73
"ZNF627","ZNF627","Q7L945",0.000241810448926478,0.01908168924911,4.92
"LMCD1","LMCD1","Q9NZU5",0.000778866732800917,0.0457598418417123,0.665
"MAP1A","MAP1A","P78559",0.000793011940470871,0.0459205259629499,0.853
"RNF20","RNF20","Q5VTR2",0.00047524361932458,0.0322838875889603,0.615
