"name","Gene","ID","p.val","p.adj","ratio"
"ARL5B","ARL5B","Q96KC2",5.73431782482696e-06,0.00107338428307052,-6.43
"ARMC7","ARMC7","Q9H6L4",2.6396904041357e-05,0.00342691420369165,-2.67
"BIRC2","BIRC2","Q13490",5.73143781018697e-12,9.22646858683898e-09,-4.75
"CD84","CD84","Q9UIB8",5.36837658570554e-05,0.00561169651147324,-6.5
"CREM","CREM","Q03060",0.000136265163142557,0.010095925329635,-5.71
"CYREN","CYREN","Q9BWK5",0.00218989056409466,0.0369526816570188,-2.06
"DGCR6","DGCR6","Q14129",1.41899126708066e-08,6.71850629925427e-06,-4.17
"DMTN","DMTN","Q08495",5.24340275559952e-08,1.91837039908275e-05,-3
"EEF1G","EEF1G","P26641",0.000835523367002943,0.0240183127893096,-0.596
"EVI5","EVI5","O60447",1.26728455941006e-05,0.00192459875824369,-1.9
"FAM199X","FAM199X","Q6PEV8",1.51343171687906e-05,0.00210027791192407,-5.51
"FKBPL","FKBPL","Q9UIM3",0.00265753502681381,0.0409666763416922,-0.839
"FPGS","FPGS","Q05932",1.40715193641408e-05,0.00202252963146374,-4.67
"HMOX1","HMOX1","P09601",9.93333271282642e-05,0.00850532910352988,-0.865
"IFI35","IFI35","P80217",2.31954918262701e-06,0.000502966616961502,-5.19
"KIF5B","KIF5B","P33176",0.000795597223598804,0.0231182745586526,-0.642
"MED7","MED7","O43513",3.81678286576596e-10,3.84016066081878e-07,-4.39
"NDEL1","NDEL1","Q9GZM8",3.93405380591937e-06,0.000791629977096125,-3.77
"NDUFA4","NDUFA4","O00483",0.0033390310062401,0.0454752293895543,-0.961
"NDUFC1","NDUFC1","O43677",3.08894000023934e-08,1.38127100344036e-05,-2.87
"OPHN1","OPHN1","O60890",1.34450733766461e-07,4.00812576328238e-05,-1.98
"PCBP4","PCBP4","P57723",0.00216836381229108,0.0368239066408747,-4.08
"POLD4","POLD4","Q9HCU8",7.12288792833092e-15,5.73321249351356e-11,-8.56
"SIVA1","SIVA1","O15304",4.96492344404187e-08,1.90298422862348e-05,-3.67
"SWI5","SWI5","Q1ZZU3",6.75764536960758e-06,0.00120871750177714,-2.49
"TAX1BP1","TAX1BP1","Q86VP1",0.00164660703494305,0.0321976737960711,-0.984
"TCEAL8","TCEAL8","Q8IYN2",9.99414675199594e-07,0.000243766324869137,-4.01
"TMEM35B","TMEM35B","Q8NCS4",2.09131710284982e-07,6.01178977172793e-05,-5.45
"TMEM38B","TMEM38B","Q9NVV0",0.00111427633867082,0.0272608214284541,-4.92
"WNK1","WNK1","Q9H4A3",0.000365275393516189,0.0173970511385314,-0.68
"WWC1","WWC1","Q8IX03",1.63754188116343e-12,3.69687938739749e-09,-6.31
"ZNF597","ZNF597","Q96LX8",8.78288367133433e-06,0.00144272307490959,-3.83
"ZNF747","ZNF747","Q9BV97",0.000327052342071964,0.0161499650388788,-5.16
"AAK1","AAK1","Q2M2I8",6.97074742123172e-05,0.00684238365774318,-0.658
"ABHD14B","ABHD14B","Q96IU4",0.00116991663795441,0.0276064848534617,-0.847
"ACLY","ACLY","P53396",0.0039852678056525,0.0490480436814939,-0.921
"ACOT7","ACOT7","O00154",0.00338016580216514,0.0454753404370719,-0.622
"ACTN1","ACTN1","P12814",0.000140482499306636,0.010095925329635,-0.732
"ACTR10","ACTR10","Q9NZ32",0.0027032230048625,0.0411308921855165,-0.625
"ADH5","ADH5","P11766",0.000981629362266429,0.0254569125251461,-0.613
"ALAS1","ALAS1","P13196",0.00388291484159153,0.0486920278600636,-2.12
"AMPD2","AMPD2","Q01433",0.00151018577736405,0.031409522795874,-0.844
"ARIH1","ARIH1","Q9Y4X5",0.000647736541694364,0.0213453594558534,-0.605
"ARIH2","ARIH2","O95376",0.00326216272402586,0.0450379893064908,-0.593
"ATG7","ATG7","O95352",0.00027610741008168,0.0147178049254798,-0.651
"C11orf68","C11orf68","Q9H3H3",0.00138549052894971,0.0299795130570061,-0.644
"CALCOCO1","CALCOCO1","Q9P1Z2",0.00106422150308817,0.0265198726884108,-1.14
"CARS1","CARS1","P49589",9.53460248634805e-06,0.00153488030825231,-0.743
"CBL","CBL","P22681",0.00324437208913034,0.0449465592864201,-0.668
"CBS","CBS","P35520",0.000200809077131517,0.0122314528417378,-0.918
"CDKN1A","CDKN1A","P38936",0.00209932176609938,0.0362763120965996,-1.02
"CEP97","CEP97","Q8IW35",0.000312021759719854,0.0155991499626404,-0.618
"CERT1","CERT1","Q9Y5P4",0.00179463163173297,0.0335930000088806,-0.604
"CLIC4","CLIC4","Q9Y696",9.78085080425383e-05,0.00850089866397033,-0.738
"CLUH","CLUH","O75153",0.00165842324020188,0.0321976737960711,-0.723
"COPS6","COPS6","Q7L5N1",0.00411375029032975,0.0499420453798856,-0.646
"CRLF3","CRLF3","Q8IUI8",0.000388952233508448,0.0175782400020074,-0.658
"CTPS1","CTPS1","P17812",0.000427788989274418,0.0182658570757418,-0.916
"CUL5","CUL5","Q93034",0.0004966309987298,0.0192950220203658,-0.743
"DARS1","DARS1","P14868",0.00010951146836187,0.0086417432239676,-0.736
"DIAPH1","DIAPH1","O60610",0.000764193162522476,0.0225729087108189,-0.739
"DYNC1LI1","DYNC1LI1","Q9Y6G9",0.000286294174595672,0.0150235433693869,-0.616
"EID2","EID2","Q8N6I1",0.00119654249479711,0.0279970073855289,-3.34
"EIF2B1","EIF2B1","Q14232",0.00410441645273765,0.049904000042425,-0.772
"EIF3H","EIF3H","O15372",0.000428786164355858,0.0182658570757418,-0.74
"ETF1","ETF1","P62495",0.00297094750989807,0.0427020651913743,-0.598
