"name","Gene","ID","p.val","p.adj","ratio"
"ABCB10","ABCB10","Q9NRK6",0.00300023042534929,0.0429190173611109,0.905
"ACOT13","ACOT13","Q9NPJ3",1.40385468004252e-05,0.00202252963146374,1.09
"ANXA4","ANXA4","P09525",0.000653935854366196,0.0213658001670535,0.602
"APOC3","APOC3","P02656",0.000527770322001791,0.0196420466275952,2.39
"APOH","APOH","P02749",0.00211552045844155,0.0363066613432751,2.64
"ATAD5","ATAD5","Q96QE3",0.000374064115863805,0.0174843232192609,0.758
"C2CD2L","C2CD2L","O14523",0.00184075578411383,0.0340367125206018,1.18
"C4BPA","C4BPA","P04003",0.002175063470871,0.0368239066408747,2.8
"CABIN1","CABIN1","Q9Y6J0",0.000131993262704603,0.0100227714293335,1.22
"CCK","CCK","P06307",6.00815085987635e-09,4.02996718926206e-06,4.92
"CD40","CD40","P25942",0.00215487795193735,0.0367470606676773,4.75
"CENPW","CENPW","Q5EE01",0.0026816031749009,0.0410968234363517,1.21
"COLEC12","COLEC12","Q5KU26",0.000279647261925105,0.0148084263897051,0.979
"COQ9","COQ9","O75208",0.000764384565904984,0.0225729087108189,0.801
"DLX6","DLX6","P56179",1.83718692379053e-12,3.69687938739749e-09,6.05
"EGLN3","EGLN3","Q9H6Z9",0.000108863259881598,0.0086417432239676,6.15
"EIF3C","EIF3C","Q99613",1.70810059873022e-09,1.33662639743347e-06,6.93
"ENTR1","ENTR1","Q96C92",4.71669935407967e-08,1.89823565504936e-05,5.92
"ESRRA","ESRRA","P11474",7.29455468606974e-06,0.00122320563892032,1.06
"F5","F5","P12259",4.69118791329253e-05,0.00517251664576597,1.64
"FAM174B","FAM174B","Q3ZCQ3",7.34466625071422e-08,2.57031385443473e-05,6.54
"FDX2","FDX2","Q6P4F2",0.000655653204281552,0.0213658001670535,5.96
"FOS","FOS","P01100",2.85137926291894e-07,7.65025056241153e-05,8.19
"FRMD4A","FRMD4A","Q9P2Q2",0.00141091478524632,0.030203332729914,5.61
"FTL","FTL","P02792",0.00369859467041832,0.0475558921760337,1.3
"FXN","FXN","Q16595",0.00171848539612936,0.0328553181792049,0.906
"GK","GK","P32189",6.94671917917613e-11,9.29986253425196e-08,6.44
"GPC6","GPC6","Q9Y625",5.34035203847094e-06,0.00103978666477832,1.04
"GTF3C1","GTF3C1","Q12789",0.000134284541113253,0.010095925329635,0.69
"GUF1","GUF1","Q8N442",6.06501693202767e-05,0.00617940775770768,0.891
"H1-6","H1-6","P22492",3.17950880252556e-05,0.00399872911742629,5.72
"HMGN3","HMGN3","Q15651",0.000337990492269624,0.0165345330886906,4.93
"HPCAL4","HPCAL4","Q9UM19",0.00010507491766393,0.00850532910352988,4.33
"ICAM5","ICAM5","Q9UMF0",6.9496508549001e-06,0.00121423569738951,3.97
