"name","Gene","ID","p.val","p.adj","ratio"
"ABCA3","ABCA3","Q99758",9.77466321002778e-06,0.000166929291580323,2.69
"ABCB10","ABCB10","Q9NRK6",7.04616123553642e-06,0.000130784030256776,1.61
"ACTMAP","ACTMAP","Q5BKX5",3.98521216950031e-12,1.26044290496956e-09,3.26
"ALDH18A1","ALDH18A1","P54886",5.41188573796486e-05,0.000572082627407596,1.83
"ALG1","ALG1","Q9BT22",2.32309365263796e-09,1.89790347738924e-07,3.08
"AMMECR1","AMMECR1","Q9Y4X0",9.96519840190233e-08,4.71825291999052e-06,5.89
"ANAPC16","ANAPC16","Q96DE5",2.72056968256467e-11,5.975429022233e-09,3.09
"ANAPC4","ANAPC4","Q9UJX5",8.44954646071376e-11,1.31536532315824e-08,2.39
"ARB2A","ARB2A","Q8WUF8",4.66855172843985e-09,3.37469763252224e-07,2.85
"ATR","ATR","Q13535",2.67050490234751e-13,1.75964018857181e-10,6.83
"B9D1","B9D1","Q9UPM9",5.06032876243023e-09,3.47930604561181e-07,5.21
"BCL2L12","BCL2L12","Q9HB09",8.31429683118336e-09,5.34480854017616e-07,5.38
"BMPR2","BMPR2","Q13873",0.00138060328093748,0.00611907519191294,4.41
"BNIP3","BNIP3","Q12983",0.000181481827936998,0.00135375171084702,4.43
"BRI3BP","BRI3BP","Q8WY22",1.60256192402526e-06,4.06136446579095e-05,1.03
"C4A","C4A","P0C0L4",3.84974073578135e-08,2.09930344812573e-06,8.25
"C6orf89","C6orf89","Q6UWU4",3.65209640834138e-11,7.32413058448401e-09,3.93
"CABIN1","CABIN1","Q9Y6J0",6.5231036059195e-14,5.73090891244505e-11,4.65
"CASTOR2","CASTOR2","A6NHX0",1.52061514533109e-06,3.94060144578685e-05,2.93
"CCDC158","CCDC158","Q5M9N0",4.17187932683645e-10,4.64606335736561e-08,4.77
"CDK11A","CDK11A","Q9UQ88",1.0192108935594e-07,4.7969646043894e-06,5.63
"CHKA","CHKA","P35790",0.000523240167792152,0.00297858891773401,5.37
"CLOCK","CLOCK","O15516",1.08165052087064e-05,0.000180054961442613,8.12
"CNOT8","CNOT8","Q9UFF9",2.44410935546872e-11,5.52159219248318e-09,5.83
"CRBN","CRBN","Q96SW2",4.98259826360812e-10,5.25298726271325e-08,3.18
"CYBC1","CYBC1","Q9BQA9",3.56819510031507e-11,7.32413058448401e-09,2.85
"CYLD","CYLD","Q9NQC7",0.000221913426905263,0.00158220871644717,2.09
"DCBLD1","DCBLD1","Q8N8Z6",4.41470191503331e-07,1.57238955144903e-05,6.05
"DDX19A","DDX19A","Q9NUU7",8.00808231327447e-14,6.33199068510613e-11,5.84
"DDX28","DDX28","Q9NUL7",6.04324229087541e-06,0.000116262571274822,1.03
"DLX6","DLX6","P56179",9.58086493956253e-11,1.45684421302156e-08,4.87
"DNA2","DNA2","P51530",1.04294863165905e-12,4.85093813560477e-10,4.86
"EEF1AKMT1","EEF1AKMT1","Q8WVE0",2.22223894826271e-05,0.000301393539689764,4.97
"ENDOD1","ENDOD1","O94919",1.89516095754241e-11,4.40736402684936e-09,3.73
"ENTR1","ENTR1","Q96C92",1.80945051120967e-05,0.000258254967367055,3.91
"ERAP1","ERAP1","Q9NZ08",9.80809531579566e-13,4.84703810387477e-10,5.32
"ERBB2","ERBB2","P04626",1.23851829789018e-07,5.66067293723563e-06,3.61
"F5","F5","P12259",5.7851346066e-05,0.00059939944106925,1.61
"FGFR3","FGFR3","P22607",0.00155625803309584,0.00665840514024632,3.13
"FOS","FOS","P01100",7.5183072986193e-05,0.000711943183355483,5.4
"GALNT10","GALNT10","Q86SR1",7.51786481939654e-06,0.000136026904180706,5.44
"GHITM","GHITM","Q9H3K2",3.10121975020392e-12,1.0217226902026e-09,3.9
"GK","GK","P32189",4.55094713296968e-11,7.90478339522368e-09,6.6
"GON4L","GON4L","Q3T8J9",1.04847714001738e-13,7.53664431465217e-11,3.87
"GPRC5C","GPRC5C","Q9NQ84",0.000796548053723022,0.0040660461334977,3.75
"GUF1","GUF1","Q8N442",1.67651219330789e-08,1.00425620549133e-06,1.59
"H1-6","H1-6","P22492",9.5842007957375e-05,0.000851938431329254,5.21
"HAUS5","HAUS5","O94927",2.83937204123747e-11,6.06781479190936e-09,5.59
"HDHD5","HDHD5","Q9BXW7",0.000370645707517517,0.00231675542240396,1.17
"ICAM5","ICAM5","Q9UMF0",0.00038696624191819,0.00237742904824397,2.81
"IFT57","IFT57","Q9NWB7",0.000393112704641223,0.00240565296232402,5.95
"ISOC2","ISOC2","Q96AB3",0.00152683151155598,0.006590119279567,1.02
"KLF6","KLF6","Q99612",0.00171887255509856,0.00714570204687922,5.31
"KLHL11","KLHL11","Q9NVR0",0.00043467652979066,0.00260772937864548,1.27
"KLHL9","KLHL9","Q9P2J3",3.64776608955639e-09,2.8002802398177e-07,4.66
"LAMA1","LAMA1","P25391",0.00242697950173147,0.00920831426112799,4.16
"LAMA4","LAMA4","Q16363",9.76708576330899e-05,0.000862886560117142,4.3
"LPGAT1","LPGAT1","Q92604",7.3093000146858e-06,0.000133745374905085,1.54
"MAP4K5","MAP4K5","Q9Y4K4",4.59871046136701e-11,7.90478339522368e-09,7.21
"MAPK8","MAPK8","P45983",7.71588320853428e-05,0.000724526878671825,4.08
"METTL17","METTL17","Q9H7H0",1.97317382743837e-12,7.42946926359772e-10,6.34
"MFAP4","MFAP4","P55083",9.50506784794691e-06,0.00016267656163142,6.62
"MFSD8","MFSD8","Q8NHS3",1.13476993782375e-06,3.12635048723778e-05,5.99
"MGAT4B","MGAT4B","Q9UQ53",0.000789406896641507,0.00404788607765525,5.61
"MLLT11","MLLT11","Q13015",5.46907255641111e-12,1.60162802605713e-09,4.89
"MOCS3","MOCS3","O95396",1.81845843494929e-21,1.4378550845144e-17,8.03
"MTFR2","MTFR2","Q6P444",7.48137366339664e-11,1.20724941951994e-08,5.36
"MTMR12","MTMR12","Q9C0I1",4.58259073586424e-07,1.59793493745382e-05,5.79
"NAA80","NAA80","Q93015",8.99592757001161e-05,0.000810145777859702,5.75
"NAT1","NAT1","P18440",0.000939860560971729,0.00457885240641002,5.56
"NAT10","NAT10","Q9H0A0",1.50452171522055e-05,0.000227027732867344,1
"NBR1","NBR1","Q14596",0.000145778340272693,0.00115598860387019,1.4
"NEMP1","NEMP1","O14524",1.56928445262359e-12,6.53070114047092e-10,5.18
"NFKBIE","NFKBIE","O00221",2.77863030209276e-12,9.55244773854236e-10,5.18
"NOCT","NOCT","Q9UK39",2.33298625236543e-12,8.38496468066065e-10,4.13
"NPDC1","NPDC1","Q9NQX5",0.00189954464380585,0.00765530045798822,3.75
"NT5DC2","NT5DC2","Q9H857",2.07647272826756e-08,1.189758685682e-06,1.67
"NUDT8","NUDT8","Q8WV74",5.61277869466433e-08,2.93908881713317e-06,6.22
"PALB2","PALB2","Q86YC2",7.681912508212e-05,0.000723105740505146,6.32
"PAN2","PAN2","Q504Q3",3.15286758085047e-17,1.24648619808923e-13,6.06
