"name","Gene","ID","p.val","p.adj","ratio"
"APLP1","APLP1","P51693",3.07001536369711e-06,0.000633603940061488,-6.41
"APOH","APOH","P02749",5.62071153476071e-08,2.66124159666406e-05,-6.26
"ARF3","ARF3","P61204",4.39356152637765e-06,0.000862531139653993,-9.26
"ARL5B","ARL5B","Q96KC2",8.56976976799487e-05,0.00851581195834453,-5.17
"ATP6V0D2","ATP6V0D2","Q8N8Y2",1.38517724067483e-08,1.01357196456288e-05,-5.53
"BACE1","BACE1","P56817",1.23987892972493e-07,5.5443252807533e-05,-5.14
"BMP4","BMP4","P12644",3.68148315927283e-07,0.000123467741454113,-6.03
"CASTOR2","CASTOR2","A6NHX0",1.31231258946772e-05,0.00197623030929098,-2.5
"CCN1","CCN1","O00622",1.18150056078593e-09,1.7309177747305e-06,-7.24
"CCN2","CCN2","P29279",1.03234954601293e-05,0.00166187629917161,-6.71
"DCBLD1","DCBLD1","Q8N8Z6",6.48675903735119e-06,0.00116026496648088,-5
"ENTR1","ENTR1","Q96C92",9.24164284439249e-09,7.82378140159271e-06,-6.55
"GINM1","GINM1","Q9NU53",3.85663224602289e-05,0.00470333832549065,-2.59
"HOXA6","HOXA6","P31267",4.30635497598603e-05,0.00517341062712113,-4.66
"ITIH4","ITIH4","Q14624",1.37857160430944e-07,5.54806142154333e-05,-6.2
"KLHL42","KLHL42","Q9P2K6",7.10254148395127e-05,0.0076224475205765,-5.38
"LMBRD1","LMBRD1","Q9NUN5",1.58203740600712e-09,1.81911701156447e-06,-5.96
"LNX2","LNX2","Q8N448",5.23150998653416e-05,0.00601548912594478,-3.16
"LXN","LXN","Q9BS40",9.72019058465984e-09,7.82378140159271e-06,-5.11
"MEX3D","MEX3D","Q86XN8",3.7325126575924e-08,1.87768714881008e-05,-3.04
"MFAP3","MFAP3","P55082",7.2275475403455e-07,0.000216330452701227,-4.41
"NDFIP1","NDFIP1","Q9BT67",1.52649546927776e-06,0.000383961313506771,-6.59
"ORAI1","ORAI1","Q96D31",1.02152531817232e-05,0.00166187629917161,-3.37
"PABIR1","PABIR1","Q96E09",1.91124710885787e-06,0.000452459646446971,-3.52
"PHAF1","PHAF1","Q9BSU1",1.52229382063934e-05,0.0021880255289868,-4.75
"PLEKHB2","PLEKHB2","Q96CS7",2.31884820571955e-06,0.000518455811328795,-5.46
"PRPH","PRPH","P41219",1.26215562792587e-06,0.000338636354972511,-5.32
"SLC46A3","SLC46A3","Q7Z3Q1",3.23890307521904e-08,1.86213791803129e-05,-5.79
"TMEM104","TMEM104","Q8NE00",1.29028533338091e-09,1.7309177747305e-06,-5.37
"TMEM183A","TMEM183A","Q8IXX5",2.22334075502612e-07,8.13439533509329e-05,-5.34
"TMEM248","TMEM248","Q9NWD8",7.84086027806106e-05,0.00792796556281045,-4.39
"TMEM59L","TMEM59L","Q9UK28",1.90367667035474e-08,1.27689112664044e-05,-5.05
"TRIB3","TRIB3","Q96RU7",1.14883058935301e-05,0.0018131249830789,-5.34
"UVRAG","UVRAG","Q9P2Y5",1.97156482553768e-05,0.00264485421345879,-4.93
"ZBTB5","ZBTB5","O15062",7.49331543635059e-05,0.00786143918211718,-2.29
"ZDHHC20","ZDHHC20","Q5W0Z9",7.72538328608584e-05,0.00792796556281045,-4.83
"ZNF460","ZNF460","Q14592",2.49097971569305e-07,8.71734597026667e-05,-3.38
"ZNF513","ZNF513","Q8N8E2",2.10839961661956e-06,0.000484871671833453,-2.93
"ZNF627","ZNF627","Q7L945",7.87970238569805e-05,0.00792796556281045,-5.45
"ZNF71","ZNF71","Q9NQZ8",1.8422133937399e-05,0.00251321620444278,-5.62
"ZNF721","ZNF721","Q8TF20",6.25683746094703e-05,0.00699462287821703,-5.58
