"name","Gene","ID","p.val","p.adj","ratio"
"ABCA3","ABCA3","Q99758",4.2693406000431e-06,0.000859098062243673,2.86
"ADGRG6","ADGRG6","Q86SQ4",1.83415072057292e-05,0.00251321620444278,5.61
"ALDH1L2","ALDH1L2","Q3SY69",7.64316729255317e-07,0.000219713762634859,1.17
"C2CD2L","C2CD2L","O14523",9.99833009725673e-05,0.00981421450644139,1.59
"CCDC120","CCDC120","Q96HB5",6.86282175690491e-05,0.00746470977315238,4.5
"CNEP1R1","CNEP1R1","Q8N9A8",8.89685242504724e-06,0.00149189094102511,5.25
"DDX28","DDX28","Q9NUL7",1.588869751641e-06,0.000387539776695708,1.14
"DOLK","DOLK","Q9UPQ8",6.50556922072708e-10,1.30908316644081e-06,6.25
"ERC2","ERC2","O15083",3.12471019589504e-08,1.86213791803129e-05,5.26
"GCNT1","GCNT1","Q02742",1.69894539671713e-07,6.51181499913152e-05,5.99
"GUF1","GUF1","Q8N442",1.37962849756779e-05,0.0020190235958042,1.01
"HDHD5","HDHD5","Q9BXW7",3.37071600534137e-05,0.00423920205109261,1.45
"HSPA6","HSPA6","P17066",6.07667472061067e-06,0.0011116171551408,10.6
"MEIS2","MEIS2","O14770",2.11777938588095e-05,0.00279442725851735,5.41
"NDUFA1","NDUFA1","O15239",2.24731109753709e-09,2.26107587800951e-06,5.36
"NT5DC2","NT5DC2","Q9H857",7.99121241601471e-06,0.00136853763269154,1.12
"PCDHGA11","PCDHGA11","Q9Y5H2",4.5220551656908e-06,0.000866619572110601,5.41
"POLRMT","POLRMT","O00411",2.93506150359978e-06,0.000621692369538807,1.12
"PRKACG","PRKACG","P22612",2.9340906051421e-10,7.87216509359626e-07,5.3
"QPCT","QPCT","Q16769",8.32295003787408e-07,0.000231004913292581,5.25
"RDH12","RDH12","Q96NR8",1.80917252757496e-15,1.45620296744508e-11,10.6
"SFMBT1","SFMBT1","Q9UHJ3",6.85760172842994e-06,0.0011999312241768,6.1
"SFN","SFN","P31947",2.43556885650011e-06,0.000529834965566741,5.79
"SIRT3","SIRT3","Q9NTG7",1.23888370584012e-05,0.0019176490285206,1.22
"SIRT7","SIRT7","Q9NRC8",3.60951722967231e-08,1.87768714881008e-05,2.28
"SRSF9","SRSF9","Q13242",6.71787989081453e-05,0.00740715277276249,1.08
"SUPV3L1","SUPV3L1","Q8IYB8",1.35024815276525e-06,0.000350585399406694,1.1
"TANGO2","TANGO2","Q6ICL3",2.66921256202116e-10,7.87216509359626e-07,6.93
"TFB2M","TFB2M","Q9H5Q4",5.09131375223566e-05,0.00593912817271664,1.04
"TIMM23","TIMM23","O14925",1.36373661749847e-07,5.54806142154333e-05,5.36
"TIMM44","TIMM44","O43615",6.39234145180209e-07,0.00020580782538222,1.13
"TINF2","TINF2","Q9BSI4",4.64685839897708e-06,0.000869827052403873,1.04
"TSKU","TSKU","Q8WUA8",3.02948041448979e-05,0.003870521881941,4.37
"ZFP3","ZFP3","Q96NJ6",7.25670545773778e-07,0.000216330452701227,5.94
"ZNF250","ZNF250","P15622",7.52057171105756e-05,0.00786143918211718,4.85
"ZNF799","ZNF799","Q96GE5",1.62118788044977e-05,0.00228928793855091,5.43
