"name","Gene","ID","p.val","p.adj","ratio"
"ABCA3","ABCA3","Q99758",0.000744495216203853,0.00279680152614721,1.83
"ABCB10","ABCB10","Q9NRK6",1.13200617798103e-05,0.000103994859900601,1.55
"ABCB6","ABCB6","Q9NP58",2.31404122257695e-08,8.72613925789851e-07,-7.95
"ABHD5","ABHD5","Q8WTS1",0.036832957563443,0.0690367315845929,-1.94
"ACE2","ACE2","Q9BYF1",NA,NA,-0.975
"ACOT13","ACOT13","Q9NPJ3",0.00605520494821244,0.0155597233936345,-0.589
"ACTMAP","ACTMAP","Q5BKX5",1.15054880916843e-12,4.13892439077562e-10,3.48
"ADAM9","ADAM9","Q13443",3.24001440238746e-05,0.000233039727997332,-1.26
"ADAMTS1","ADAMTS1","Q9UHI8",2.76963513371498e-08,9.83191853208871e-07,-1.46
"ADD1","ADD1","P35611",2.695303440229e-07,5.543924141084e-06,0.999
"ADGRG6","ADGRG6","Q86SQ4",0.730012993489058,0.790938965034868,0.353
"AGA","AGA","P20933",0.017224745322291,0.0366575539390546,-1.28
"AHDC1","AHDC1","Q5TGY3",6.2588827152713e-06,6.51840644882605e-05,1.26
"AIFM2","AIFM2","Q9BRQ8",0.490680459589221,0.577726285427021,-0.701
"AIRIM","AIRIM","Q9NX04",0.0875783778145697,0.142731667815101,-0.768
"AKAP7","AKAP7","Q9P0M2",0.550569325394873,0.632611504324144,0.978
"AKIRIN2","AKIRIN2","Q53H80",0.1826924596091,0.261900397925341,-0.466
"ALDH18A1","ALDH18A1","P54886",2.98080063340764e-06,3.61878743718357e-05,2.29
"ALDH1L2","ALDH1L2","Q3SY69",2.33665234552802e-06,2.98932955157293e-05,1.08
"ALG1","ALG1","Q9BT22",6.18163039278251e-11,9.79046621608895e-09,3.79
"ALKBH8","ALKBH8","Q96BT7",0.022571214862803,0.0460555141712282,4.08
"AMFR","AMFR","Q9UKV5",1.32630615375094e-10,1.6671457827863e-08,1.98
"AMMECR1","AMMECR1","Q9Y4X0",2.53521780094372e-07,5.30648082563468e-06,5.54
"AMOT","AMOT","Q4VCS5",4.86651505411275e-05,0.000316723055213061,1.33
"AMOTL1","AMOTL1","Q8IY63",1.25882813142081e-06,1.82911192160025e-05,1.51
"ANAPC16","ANAPC16","Q96DE5",1.10411097096858e-12,4.13892439077562e-10,3.67
"ANAPC4","ANAPC4","Q9UJX5",9.7934785808435e-12,2.28101637887352e-09,2.7
"ANGEL1","ANGEL1","Q9UNK9",0.00382743209288717,0.0106814828169475,2.24
"ANKLE2","ANKLE2","Q86XL3",4.63575496866365e-08,1.42433669030688e-06,1.66
"ANXA4","ANXA4","P09525",0.606548081157136,0.684614346448598,-0.0782
"APLP1","APLP1","P51693",1.12897075509133e-08,4.93940298871173e-07,-9.27
"APLP2","APLP2","Q06481",1.21037640856449e-11,2.73856307983492e-09,-4.08
"APOA1","APOA1","P02647",5.57539237215061e-10,5.1449988386366e-08,-3.31
"APOC3","APOC3","P02656",0.000373431118902611,0.00160630148321009,-2.48
"APOE","APOE","P02649",7.17438863252296e-10,5.98041932431045e-08,-3.32
"APOH","APOH","P02749",6.15209306068296e-10,5.47398033118521e-08,-8.21
"APP","APP","P05067",7.73013899025863e-12,1.96269275643269e-09,-3.77
"ARB2A","ARB2A","Q8WUF8",5.53416936890824e-11,8.94389535354782e-09,3.67
"ARF3","ARF3","P61204",2.58652946152567e-08,9.39574624120265e-07,-13.1
"ARL5B","ARL5B","Q96KC2",2.48439710899348e-07,5.23887557590475e-06,-8.01
"ARL6IP1","ARL6IP1","Q15041",0.214406353969044,0.297300633353328,0.511
"ARMC7","ARMC7","Q9H6L4",0.000463608762190876,0.00190618784412749,2.06
"ART5","ART5","Q96L15",0.0317968212762426,0.061220283901426,0.522
"ASPRV1","ASPRV1","Q53RT3",NA,NA,0.834
"ATAD5","ATAD5","Q96QE3",5.81364008639035e-07,1.01854459832135e-05,1.27
"ATF3","ATF3","P18847",7.35512808726752e-07,1.21264999058033e-05,-2.42
"ATF4","ATF4","P18848",0.00032750104913976,0.00145049262200098,-2.05
"ATP5MK","ATP5MK","Q96IX5",0.000530256227919014,0.0021227492981697,-0.912
"ATP6V0D2","ATP6V0D2","Q8N8Y2",1.17912653276391e-09,8.48863910268857e-08,-6.4
"ATP6V1D","ATP6V1D","Q9Y5K8",1.27787062804236e-10,1.65892745958483e-08,-1.64
"ATR","ATR","Q13535",6.20732323865704e-13,2.58714698562764e-10,6.53
"B3GALNT2","B3GALNT2","Q8NCR0",NA,NA,0.554
"B4GALT5","B4GALT5","O43286",7.35385757378022e-08,2.0361957386981e-06,-2.72
"B4GALT6","B4GALT6","Q9UBX8",0.046276527610106,0.0835340374160997,-1.25
"B9D1","B9D1","Q9UPM9",1.12081917233363e-07,2.89112932433552e-06,4.3
"BACE1","BACE1","P56817",2.85378329035825e-08,1.0044048833932e-06,-5.64
"BCL2L12","BCL2L12","Q9HB09",NA,NA,-1.3
"BCOR","BCOR","Q6W2J9",1.14534874766799e-06,1.70810107962012e-05,1.25
"BIRC2","BIRC2","Q13490",0.696736000824276,0.761973814463119,-0.132
"BLM","BLM","P54132",0.00545033538402747,0.0143297496368239,0.46
"BLOC1S4","BLOC1S4","Q9NUP1",0.00546499145676693,0.0143492265736529,-0.753
"BMP2","BMP2","P12643",0.189685879031022,0.269968399828718,1.78
"BMP4","BMP4","P12644",5.58744664885399e-10,5.1449988386366e-08,-8.97
"BMPR2","BMPR2","Q13873",NA,NA,-0.289
"BNIP3","BNIP3","Q12983",0.00285780628673464,0.00836016549119011,3.29
"BOD1","BOD1","Q96IK1",0.323031159476934,0.414600283938062,0.462
"BORCS6","BORCS6","Q96GS4",1.52694050573755e-05,0.000130019804999308,1.36
"BPGM","BPGM","P07738",7.9310731412863e-12,1.96269275643269e-09,-3.05
"BPNT2","BPNT2","Q9NX62",0.880991022939121,0.91190682963743,0.0336
"BRI3","BRI3","O95415",1.13902679582615e-09,8.3518085149512e-08,-6.29
"BRI3BP","BRI3BP","Q8WY22",0.0450053908206714,0.0815182273350633,-0.331
"BRWD3","BRWD3","Q6RI45",0.00317084126273381,0.0091046263820006,0.714
"BTBD9","BTBD9","Q96Q07",NA,NA,-0.242
"BTN2A3P","BTN2A3P","Q96KV6",0.00629517492132812,0.016060402771262,5.53
"C1orf159","C1orf159","Q96HA4",0.0557219297058413,0.0977974205098753,-2.02
"C1orf198","C1orf198","Q9H425",0.643105237915703,0.717187773419864,0.118
"C2CD2L","C2CD2L","O14523",4.91723719231188e-06,5.40077688292895e-05,2.03
"C4A","C4A","P0C0L4",NA,NA,-0.412
"C4BPA","C4BPA","P04003",1.1297287419147e-07,2.90464996987743e-06,-6.36
"C6orf89","C6orf89","Q6UWU4",2.28463726579431e-11,4.63898525841671e-09,4.03
"C8orf88","C8orf88","P0DMB2",0.25614500086974,0.342868874558397,-1.32
"C9orf72","C9orf72","Q96LT7",0.0701465778030924,0.118745350496513,3.48
"CABIN1","CABIN1","Q9Y6J0",3.45914671848565e-14,3.42412285796098e-11,4.8
"CALCOCO2","CALCOCO2","Q13137",1.50071236074505e-05,0.00012847720199719,-1.63
"CAMKK1","CAMKK1","Q8N5S9",0.0197870799555607,0.041127004243592,-0.578
"CARMIL2","CARMIL2","Q6F5E8",5.59959684188007e-05,0.000354178972770354,-1.69
"CASTOR2","CASTOR2","A6NHX0",NA,NA,0.0819
"CBY1","CBY1","Q9Y3M2",0.452304354831216,0.542532291110027,-0.254
"CCDC106","CCDC106","Q9BWC9",0.0146639274758306,0.032113838960482,0.597
"CCDC120","CCDC120","Q96HB5",4.18154759297978e-05,0.000282539892395963,4.69
"CCDC138","CCDC138","Q96M89",0.287777130136737,0.376616607759514,-1.46
"CCDC158","CCDC158","Q5M9N0",2.11827434498902e-10,2.36764876102878e-08,4.96
"CCDC18","CCDC18","Q5T9S5",0.628481687481275,0.703654246170538,-0.188
"CCDC186","CCDC186","Q7Z3E2",0.149684716143289,0.22214266625538,-0.285
"CCDC28B","CCDC28B","Q9BUN5",0.252617840103552,0.33906452131865,-0.371
"CCDC66","CCDC66","A2RUB6",4.31497295451084e-06,4.86755994683352e-05,3.43
"CCDC82","CCDC82","Q8N4S0",0.0752913998080509,0.125776298925705,2.98
"CCK","CCK","P06307",0.0890849388739286,0.144799595842086,-0.919
"CCN1","CCN1","O00622",6.50762012927604e-12,1.7177947934579e-09,-9.69
"CCN2","CCN2","P29279",6.15866179351511e-07,1.06022701614883e-05,-8.22
"CCNQ","CCNQ","Q8N1B3",0.0226189250394967,0.0461409756279686,3.09
"CCPG1","CCPG1","Q9ULG6",2.72591325503809e-06,3.39147186396597e-05,-1.75
