"name","Gene","ID","p.val","p.adj","ratio"
"ABCB6","ABCB6","Q9NP58",2.31404122257695e-08,8.86938942881994e-07,-7.95
"ADAM9","ADAM9","Q13443",3.24001440238746e-05,0.000236865358081895,-1.26
"ADAMTS1","ADAMTS1","Q9UHI8",2.76963513371498e-08,9.99332141239829e-07,-1.46
"APLP1","APLP1","P51693",1.12897075509133e-08,5.02048928603873e-07,-9.27
"APLP2","APLP2","Q06481",1.21037640856449e-11,2.78351991786732e-09,-4.08
"APOA1","APOA1","P02647",5.57539237215061e-10,5.22946024146811e-08,-3.31
"APOC3","APOC3","P02656",0.000373431118902611,0.00163178451468356,-2.48
"APOE","APOE","P02649",7.17438863252296e-10,6.0785951687555e-08,-3.32
"APOH","APOH","P02749",6.15209306068296e-10,5.56384236465586e-08,-8.21
"APP","APP","P05067",7.73013899025863e-12,1.99491274106917e-09,-3.77
"ARF3","ARF3","P61204",2.58652946152567e-08,9.54998882377069e-07,-13.1
"ARL5B","ARL5B","Q96KC2",2.48439710899348e-07,5.3248780793607e-06,-8.01
"ATF3","ATF3","P18847",7.35512808726752e-07,1.23255711253707e-05,-2.42
"ATF4","ATF4","P18848",0.00032750104913976,0.00147348012550359,-2.05
"ATP6V0D2","ATP6V0D2","Q8N8Y2",1.17912653276391e-09,8.62799042019703e-08,-6.4
"ATP6V1D","ATP6V1D","Q9Y5K8",1.27787062804236e-10,1.6861607680513e-08,-1.64
"B4GALT5","B4GALT5","O43286",7.35385757378022e-08,2.06962236403346e-06,-2.72
"BACE1","BACE1","P56817",2.85378329035825e-08,1.02089340907082e-06,-5.64
"BMP4","BMP4","P12644",5.58744664885399e-10,5.22946024146811e-08,-8.97
"BPGM","BPGM","P07738",7.9310731412863e-12,1.99491274106917e-09,-3.05
"BRI3","BRI3","O95415",1.13902679582615e-09,8.48891359222657e-08,-6.29
"C4BPA","C4BPA","P04003",1.1297287419147e-07,2.95233332586734e-06,-6.36
"CALCOCO2","CALCOCO2","Q13137",1.50071236074505e-05,0.000130586311260939,-1.63
"CARMIL2","CARMIL2","Q6F5E8",5.59959684188007e-05,0.000359993250641316,-1.69
"CCN1","CCN1","O00622",6.50762012927604e-12,1.74599448068476e-09,-9.69
"CCN2","CCN2","P29279",6.15866179351511e-07,1.07763192991311e-05,-8.22
"CCPG1","CCPG1","Q9ULG6",2.72591325503809e-06,3.44714699243112e-05,-1.75
"CD151","CD151","P48509",0.000159821717012209,0.000824618589891837,-1.38
"CEBPZOS","CEBPZOS","A8MTT3",5.17325120754216e-05,0.000338097577963346,-1.86
"CHCHD4","CHCHD4","Q8N4Q1",1.09789204961528e-05,0.000103346627829356,-5.61
"CHPF2","CHPF2","Q9P2E5",0.00017184872725272,0.000876559192431651,-3.97
"CLTCL1","CLTCL1","P53675",3.50197218741624e-08,1.17938803918466e-06,-6.29
"CLU","CLU","P10909",2.11893789993336e-08,8.19967844065559e-07,-1.92
"CNBP","CNBP","P62633",4.94201646919051e-06,5.50945852638704e-05,-4.19
"CNOT9","CNOT9","Q92600",6.32632600887608e-06,6.68091787010143e-05,-1.89
"COL1A1","COL1A1","P02452",6.08005199803469e-07,1.06852267537514e-05,-3.45
"COL1A2","COL1A2","P08123",0.000468543437237913,0.00195303269100361,-2.1
"COLEC12","COLEC12","Q5KU26",0.000111241369170665,0.000619212849553723,-1.07
"CPNE8","CPNE8","Q86YQ8",5.7054533692116e-07,1.02051542597298e-05,-1.1
"CRIM1","CRIM1","Q9NZV1",1.02092842447034e-08,4.59075580366579e-07,-3.64
"CYSTM1","CYSTM1","Q9H1C7",0.000929786460537163,0.00338023993715611,-5.72
"DCTD","DCTD","P32321",2.71056572202021e-13,1.36358396853379e-10,-3.9
"DGCR2","DGCR2","P98153",1.12052997761868e-07,2.93859072251251e-06,-2.04
"DNAJB5","DNAJB5","O75953",0.000291525292536433,0.00134307212042754,-5.69
"DNLZ","DNLZ","Q5SXM8",3.53139387560647e-06,4.2360937861038e-05,-2.44
"EDIL3","EDIL3","O43854",3.72950469344114e-08,1.2353408756176e-06,-6.88
"EGLN3","EGLN3","Q9H6Z9",0.000897314806603763,0.00328593579542934,-5
"EGR1","EGR1","P18146",8.34130030454599e-06,8.38191337718985e-05,-3.53
"EHD3","EHD3","Q9NZN3",1.64694094572138e-05,0.000138229694182601,-4.98
"EIF1","EIF1","P41567",9.15018509595192e-05,0.000531210729470101,-1.58
"EIF1B","EIF1B","O60739",5.66523214214456e-05,0.000363052973822624,-1.24
"EIF3C","EIF3C","Q99613",6.10412245810957e-10,5.56384236465586e-08,-7.36
"ELOF1","ELOF1","P60002",1.08640201402004e-05,0.000102649114355521,-3.93
"ELOVL5","ELOVL5","Q9NYP7",0.000194451226533206,0.000963754878304048,-4.24
"EPHA4","EPHA4","P54764",2.41502481286752e-08,9.16912015036353e-07,-1.5
"EPHA7","EPHA7","Q15375",1.97662796783039e-08,7.83737857786544e-07,-2.25
"F5","F5","P12259",1.13823687337487e-08,5.03388384274413e-07,-2.93
"FAAP100","FAAP100","Q0VG06",2.74212845829777e-05,0.000206274691222792,-3.58
"FAM174A","FAM174A","Q8TBP5",0.00301305372952382,0.00889331480342398,-1.36
"FAM174B","FAM174B","Q3ZCQ3",6.4819922566572e-10,5.73335776635536e-08,-8.69
"FAM234B","FAM234B","A2RU67",3.65419707945632e-08,1.21539802861752e-06,-1.46
"FLT1","FLT1","P17948",2.07199374120639e-07,4.58172462169512e-06,-1.73
"FN1","FN1","P02751",2.99042061080944e-05,0.000221230657136077,-2.05
"FTL","FTL","P02792",4.24439270506904e-05,0.000289517939687294,-2.05
"FZD7","FZD7","O75084",2.82226805657003e-07,5.79147379170579e-06,-5.26
"GINM1","GINM1","Q9NU53",1.87206707090552e-11,3.9653336457154e-09,-6.56
"GJA1","GJA1","P17302",1.25805105405894e-07,3.17882617881003e-06,-1.56
"GLRX2","GLRX2","Q9NS18",0.00139192652447752,0.00468966789264109,-1.79
"GNG5","GNG5","P63218",1.65566101255116e-05,0.000138618790722886,-2.25
"GOLGA7","GOLGA7","Q7Z5G4",0.000111384458113634,0.00061958085926513,-1.07
"GPC3","GPC3","P51654",5.08591073147412e-08,1.56246165945173e-06,-1.94
"GSTA4","GSTA4","O15217",0.00204928639059099,0.00641318279854856,-3.19
"HABP2","HABP2","Q14520",6.78877143358346e-08,1.94458438679407e-06,-7.41
"HGFAC","HGFAC","Q04756",8.88898708833083e-06,8.80042522435115e-05,-2.55
"HLA-A","HLA-A","P04439",8.25846458439963e-06,8.30904767997908e-05,-1.04
"HMGCS1","HMGCS1","Q01581",1.15257394236859e-09,8.51107124965574e-08,-1.59
"HMX1","HMX1","Q9NP08",0.00135352397777957,0.00458370359724236,-2.6
"HOXA6","HOXA6","P31267",6.23276743334116e-06,6.62541400512702e-05,-5.43
"HPRT1","HPRT1","P00492",1.98444743052045e-09,1.29860303806985e-07,-2.08
"HPX","HPX","P02790",5.92115822703593e-10,5.47809224935773e-08,-6.8
"HSPBAP1","HSPBAP1","Q96EW2",0.00217933085064321,0.00676298774543853,-5.09
"IFI35","IFI35","P80217",6.45621508599473e-08,1.8737236365586e-06,-6.6
"IFNAR1","IFNAR1","P17181",1.51118668941789e-05,0.000131082369234591,-1.53
"IFRD1","IFRD1","O00458",0.000309474177459603,0.00140811625459149,-1.16
"IFT27","IFT27","Q9BW83",2.41188173733195e-12,6.93329860849459e-10,-1.94
"IGF2R","IGF2R","P11717",3.32858867852824e-05,0.000241803341818356,-1.04
"IL13RA1","IL13RA1","P78552",0.000102359252135263,0.000578574171655008,-1.26
"ISOC2","ISOC2","Q96AB3",0.000338341632889328,0.00151127181083585,-1.19
"ITIH2","ITIH2","P19823",1.25984041625096e-07,3.17882617881003e-06,-2.82
"ITIH4","ITIH4","Q14624",2.18389777387928e-08,8.41061874734658e-07,-6.97
"ITM2B","ITM2B","Q9Y287",4.25269401520464e-11,7.28296470816642e-09,-3.48
"ITM2C","ITM2C","Q9NQX7",6.54852910774715e-11,1.01363674592802e-08,-3.03
"KCT2","KCT2","Q8NC54",4.12380021495607e-10,4.14905849127268e-08,-2.26
"KLF13","KLF13","Q9Y2Y9",7.33261260581306e-05,0.000446089186822254,-1.25
"LAMP3","LAMP3","Q9UQV4",8.72054101979308e-08,2.38747056694947e-06,-5.57
"LDLR","LDLR","P01130",7.80343059010167e-09,3.81933791889798e-07,-1.83
"LMBRD1","LMBRD1","Q9NUN5",2.47555391855781e-10,2.72955253294135e-08,-6.63
"LNX2","LNX2","Q8N448",3.40644777835697e-06,4.10456559401126e-05,-3.91
"LRIG1","LRIG1","Q96JA1",6.89785762917405e-06,7.16398142673831e-05,-1.06
"LRIG3","LRIG3","Q6UXM1",0.000112596521874212,0.000623307706028565,-1.59
"LRP10","LRP10","Q7Z4F1",9.16699842507107e-05,0.000531210729470101,-5.31
"LRP6","LRP6","O75581",5.85753003730141e-05,0.00037270560687936,-1.08
"LXN","LXN","Q9BS40",5.54777369748861e-10,5.22946024146811e-08,-6.04
"MAP1B","MAP1B","P46821",2.10736632471522e-05,0.000168108935060781,-1.27
"MDP1","MDP1","Q86V88",2.539659341982e-07,5.3935931513491e-06,-1.74
"MEIS1","MEIS1","O00470",0.000666550108659039,0.00260071537229236,-1.87
"MEX3D","MEX3D","Q86XN8",1.4105673188197e-09,9.87274465146069e-08,-3.7
"MFAP3","MFAP3","P55082",9.96048468881043e-06,9.54427872145657e-05,-3.64
"MFGE8","MFGE8","Q08431",1.50504588438908e-13,8.65293880246263e-11,-2.58
"MPC1","MPC1","Q9Y5U8",8.66333208037251e-05,0.00050787443492293,-1.06
"MSX2","MSX2","P35548",7.70363876214557e-09,3.80598799162891e-07,-3.05
"MT2A","MT2A","P02795",0.000319521692010808,0.001446473621482,-3.12
"NAXD","NAXD","Q8IW45",5.65462155102286e-05,0.000362661743937713,-2.29
"NCOA4","NCOA4","Q13772",0.000173810991483684,0.000884294905813792,-3.18
"NDFIP1","NDFIP1","Q9BT67",6.47155138480917e-08,1.8737236365586e-06,-8.13
"NDFIP2","NDFIP2","Q9NV92",5.423769618974e-05,0.000351496953809354,-2.4
"NEO1","NEO1","Q92859",1.40344179112952e-10,1.76504734012524e-08,-2.84
"NEU1","NEU1","Q99519",4.27726929357421e-08,1.38093744149969e-06,-1.33
"NFE2L2","NFE2L2","Q16236",0.000709392633143933,0.00273331800104141,-3.38
"NTN1","NTN1","O95631",1.08132251702113e-06,1.68022489179596e-05,-1.73
"NUDT4","NUDT4","Q9NZJ9",0.00192341936092102,0.00607125385281858,-1.6
"OGN","OGN","P20774",3.24564964350726e-07,6.45042814335553e-06,-4.94
"OLA1","OLA1","Q9NTK5",5.00362635750318e-08,1.54307235829667e-06,-1.09
"ORAI1","ORAI1","Q96D31",0.000942696780083454,0.00341483635593687,-2.24
"PABIR1","PABIR1","Q96E09",9.05114540253501e-09,4.23562031075606e-07,-4.99
"PAX6","PAX6","P26367",0.000475703062815865,0.00197469517927019,-1.3
"PEX11B","PEX11B","O96011",4.19806339965847e-05,0.000287779740642454,-1.09
"PHPT1","PHPT1","Q9NRX4",2.94647754119584e-08,1.04476641978349e-06,-2.12
"PIPSL","PIPSL","A2A3N6",7.17652744817382e-06,7.420134219841e-05,-3.78
"PKNOX2","PKNOX2","Q96KN3",4.85807154306738e-09,2.6243367684664e-07,-8.63
"PLD3","PLD3","Q8IV08",2.57694490878666e-07,5.45837620284837e-06,-1.71
"PLEKHB2","PLEKHB2","Q96CS7",7.84669783017041e-06,7.99469251076476e-05,-4.99
"PODXL","PODXL","O00592",0.000258295453017238,0.00122008221909375,-2
"PRELID3B","PRELID3B","Q9Y3B1",2.09370246551422e-05,0.000167350656851281,-1.86
"PRKAR1B","PRKAR1B","P31321",2.10759020324147e-07,4.64514323479055e-06,-1.77
"PROS1","PROS1","P07225",1.95595600996116e-07,4.36107754132337e-06,-3.82
"PRPH","PRPH","P41219",4.53554759143753e-08,1.42603994388597e-06,-6.62
"PTGES3","PTGES3","Q15185",3.8834366694401e-11,6.79516994615724e-09,-2.23
"PTGS2","PTGS2","P35354",2.2931885841164e-07,4.97516844031075e-06,-6.44
"PTMS","PTMS","P20962",0.000289178348271118,0.00133539674425372,-2.66
"PTPRS","PTPRS","Q13332",8.3331936300313e-07,1.35777075967858e-05,-1.71
"PZP","PZP","P20742",8.69131495393947e-09,4.11508200377993e-07,-4.72
"RAP1BL","RAP1BL","A6NIZ1",0.000104292539029154,0.000587439220885699,-5.17
"RBAK","RBAK","Q9NYW8",0.00309811135732783,0.00908440740077656,-3.25
"RCHY1","RCHY1","Q96PM5",8.46806012296933e-07,1.37141681951268e-05,-3.05
"RELL1","RELL1","Q8IUW5",0.000933113044319293,0.00338774329892918,-1.03
