"name","Gene","ID","p.val","p.adj","ratio"
"ABCA3","ABCA3","Q99758",0.000744495216203853,0.00284001990295015,1.83
"ABCB10","ABCB10","Q9NRK6",1.13200617798103e-05,0.000105702061793148,1.55
"ACTMAP","ACTMAP","Q5BKX5",1.15054880916843e-12,4.20686986000164e-10,3.48
"ADD1","ADD1","P35611",2.695303440229e-07,5.63493438711771e-06,0.999
"AHDC1","AHDC1","Q5TGY3",6.2588827152713e-06,6.62541400512702e-05,1.26
"ALDH18A1","ALDH18A1","P54886",2.98080063340764e-06,3.6781942267825e-05,2.29
"ALDH1L2","ALDH1L2","Q3SY69",2.33665234552802e-06,3.03840302571164e-05,1.08
"ALG1","ALG1","Q9BT22",6.18163039278251e-11,9.95118860630129e-09,3.79
"ALKBH8","ALKBH8","Q96BT7",0.022571214862803,0.0466912640531229,4.08
"AMFR","AMFR","Q9UKV5",1.32630615375094e-10,1.69451400500656e-08,1.98
"AMMECR1","AMMECR1","Q9Y4X0",2.53521780094372e-07,5.3935931513491e-06,5.54
"AMOT","AMOT","Q4VCS5",4.86651505411275e-05,0.000321922448719526,1.33
"AMOTL1","AMOTL1","Q8IY63",1.25882813142081e-06,1.85913901464332e-05,1.51
"ANAPC16","ANAPC16","Q96DE5",1.10411097096858e-12,4.20686986000164e-10,3.67
"ANAPC4","ANAPC4","Q9UJX5",9.7934785808435e-12,2.31846203227086e-09,2.7
"ANGEL1","ANGEL1","Q9UNK9",0.00382743209288717,0.0108415517743235,2.24
"ANKLE2","ANKLE2","Q86XL3",4.63575496866365e-08,1.44771890646294e-06,1.66
"ARB2A","ARB2A","Q8WUF8",5.53416936890824e-11,9.09072025517192e-09,3.67
"ARMC7","ARMC7","Q9H6L4",0.000463608762190876,0.00193647479339614,2.06
"ATAD5","ATAD5","Q96QE3",5.81364008639035e-07,1.03526524458752e-05,1.27
"ATR","ATR","Q13535",6.20732323865704e-13,2.62961814462898e-10,6.53
"B9D1","B9D1","Q9UPM9",1.12081917233363e-07,2.93859072251251e-06,4.3
"BCOR","BCOR","Q6W2J9",1.14534874766799e-06,1.73614163276454e-05,1.25
"BNIP3","BNIP3","Q12983",0.00285780628673464,0.00848800103392145,3.29
"BORCS6","BORCS6","Q96GS4",1.52694050573755e-05,0.000132154237964318,1.36
"BRWD3","BRWD3","Q6RI45",0.00317084126273381,0.00924403472843533,0.714
"BTN2A3P","BTN2A3P","Q96KV6",0.00629517492132812,0.0162925604314373,5.53
"C2CD2L","C2CD2L","O14523",4.91723719231188e-06,5.48943719291516e-05,2.03
"C6orf89","C6orf89","Q6UWU4",2.28463726579431e-11,4.71513983394319e-09,4.03
"CABIN1","CABIN1","Q9Y6J0",3.45914671848565e-14,3.48033399213637e-11,4.8
"CCDC106","CCDC106","Q9BWC9",0.0146639274758306,0.0325779608757827,0.597
"CCDC120","CCDC120","Q96HB5",4.18154759297978e-05,0.000287178127780668,4.69
"CCDC158","CCDC158","Q5M9N0",2.11827434498902e-10,2.40651659016551e-08,4.96
"CCDC66","CCDC66","A2RUB6",4.31497295451084e-06,4.94746685339854e-05,3.43
"CCNQ","CCNQ","Q8N1B3",0.0226189250394967,0.0467779361877977,3.09
"CD84","CD84","Q9UIB8",0.000396937853281034,0.001716793541676,5.41
"CDC42EP1","CDC42EP1","Q00587",0.00950798889645511,0.0228720270853458,0.735
"CDCA7L","CDCA7L","Q96GN5",1.05056747656701e-05,0.000100071214424708,1.12
"CEP170B","CEP170B","Q9Y4F5",0.00572810926031775,0.0150967751919769,0.62
"CFAP97","CFAP97","Q9P2B7",0.000571765603833789,0.00228962255982993,1.27
"CISD1","CISD1","Q9NZ45",2.16519877128217e-05,0.000171701329163056,0.992
"CLK3","CLK3","P49761",0.000560753880221512,0.00225675399095147,0.839
"CNOT8","CNOT8","Q9UFF9",1.65782569094316e-11,3.60644296929771e-09,5.96
"COL4A6","COL4A6","Q14031",0.00171144010949574,0.00552784166987609,0.675
"COX6A1","COX6A1","P12074",4.73935486982871e-05,0.000316048610996282,2.12
"CRBN","CRBN","Q96SW2",1.44027260304492e-11,3.2202094949746e-09,3.88
"CREM","CREM","Q03060",0.0203755124379175,0.0427665065470099,3.06
"CSPG4","CSPG4","Q6UVK1",2.36713339312184e-11,4.76326417030942e-09,6.33
"CWC22","CWC22","Q9HCG8",9.68633108733754e-05,0.000553337678651383,0.741
"CYBA","CYBA","P13498",8.48882495305965e-06,8.49832736905188e-05,2.4
"CYBC1","CYBC1","Q9BQA9",2.80181296811255e-11,5.49297444694388e-09,2.88
"CYLD","CYLD","Q9NQC7",0.000596978431575659,0.00237875217611509,1.89
"DACT1","DACT1","Q9NYF0",0.000535877752484129,0.00217512860804072,3.23
"DDX19A","DDX19A","Q9NUU7",3.34042021786999e-14,3.48033399213637e-11,6.12
"DDX28","DDX28","Q9NUL7",1.39694113909241e-07,3.48110812029561e-06,1.34
"DHRS13","DHRS13","Q6UX07",2.96163267392326e-06,3.66741252190897e-05,4.76
"DLX6","DLX6","P56179",4.98581646732382e-10,4.83504057174572e-08,4.44
"DNA2","DNA2","P51530",3.99351736118586e-13,1.78576784667694e-10,5.11
"DOLK","DOLK","Q9UPQ8",1.06396042498486e-08,4.75767636705732e-07,5.3
"EFR3A","EFR3A","Q14156",0.00143098956622228,0.00478920374990568,1.9
"EFR3B","EFR3B","Q9Y2G0",0.0200274741701963,0.0421110605004989,3.79
"ENDOD1","ENDOD1","O94919",4.47088339628134e-11,7.49711259513928e-09,3.55
"ERAP1","ERAP1","Q9NZ08",1.90447468952792e-12,6.38713199000426e-10,5.14
"ERBB2","ERBB2","P04626",1.70016459864716e-06,2.34727699048215e-05,3.02
"ERC2","ERC2","O15083",8.04988677280329e-09,3.87985261283196e-07,5.72
