"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","Direct GO Biological Processes","GO:0060363","cranial suture morphogenesis","2","2","3.636","146.3455","7.193","0.0000458486501786893","4.33867344578624","0.0533219801578157","0.0533219801578157","0.407188165417941","BMP4,MSX2","1071,7392"
"","HGNC Gene Group","HGNC-G-28","Zinc fingers C2H2-type","285","9","16.364","4.6214","2.208","0.000117012569316695","3.93176748447876","0.136085618115316","0.0657787365978447","0.502312986117798","ZNF460,ZNF513,ZNF7,ZNF319,KLF6,ZNF714,ZNF16,ZNF697,EGR1","21628,26498,13139,13644,2235,27124,12947,32034,3238"
"","Direct GO Biological Processes","GO:1990748","cellular detoxification","4","2","3.636","73.1727","6.193","0.000272681970166278","3.56434357682243","0.317129131303381","0.0657787365978447","0.502312986117798","RAB29,AIFM2","9789,21411"
"","Direct GO Biological Processes","GO:0030150","protein import into mitochondrial matrix","20","3","5.455","21.9518","4.456","0.000317004510933229","3.49893455778392","0.368676246215345","0.0657787365978447","0.502312986117798","TOMM40L,DNLZ,TIMM23","25756,33879,17312"
"","Direct GO Biological Processes","GO:0030513","positive regulation of BMP signaling pathway","21","3","5.455","20.9065","4.386","0.000368052931276468","3.43408971907587","0.428045559074532","0.0657787365978447","0.502312986117798","BMP4,CCN1,MSX2","1071,2654,7392"
"","Direct GO Biological Processes","GO:0003129","heart induction","5","2","3.636","58.5382","5.871","0.000452476262066","3.3444041999376","0.526229892782758","0.0657787365978447","0.502312986117798","BMP4,DKK1","1071,2891"
"","Direct GO Biological Processes","GO:0003198","epithelial to mesenchymal transition involved in endocardial cushion formation","5","2","3.636","58.5382","5.871","0.000452476262066","3.3444041999376","0.526229892782758","0.0657787365978447","0.502312986117798","MSX2,BMP4","7392,1071"
"","Direct GO Biological Processes","GO:0060449","bud elongation involved in lung branching","5","2","3.636","58.5382","5.871","0.000452476262066","3.3444041999376","0.526229892782758","0.0657787365978447","0.502312986117798","BMP4,SPRY2","1071,11270"
"","Direct GO Biological Processes","GO:0030326","embryonic limb morphogenesis","26","3","5.455","16.886","4.078","0.000702311329290155","3.15347032573363","0.81678807596445","0.0903062492235011","0.689614973754926","MSX2,DKK1,BMP4","7392,2891,1071"
"","Direct GO Biological Processes","GO:0003197","endocardial cushion development","8","2","3.636","36.5864","5.193","0.00125034828126374","2.90296899854157","1","0.0903062492235011","0.689614973754926","DKK1,BMP4","2891,1071"
"","Direct GO Biological Processes","GO:0042733","embryonic digit morphogenesis","32","3","5.455","13.7199","3.778","0.00130152266627139","2.88554826416568","1","0.0903062492235011","0.689614973754926","B9D1,BMP4,MSX2","24123,1071,7392"
"","Direct GO Biological Processes","GO:0045669","positive regulation of osteoblast differentiation","34","3","5.455","12.9128","3.691","0.00155514275291437","2.80822973914041","1","0.0903062492235011","0.689614973754926","MSX2,BMP4,CCN1","7392,1071,2654"
"","Direct GO Biological Processes","GO:0045778","positive regulation of ossification","10","2","3.636","29.2691","4.871","0.00199193280666837","2.70072531560375","1","0.0903062492235011","0.689614973754926","CCN1,BMP4","2654,1071"
"","Direct GO Biological Processes","GO:0030509","BMP signaling pathway","38","3","5.455","11.5536","3.53","0.00215049575594124","2.66746141020039","1","0.0903062492235011","0.689614973754926","MSX2,BMP4,EGR1","7392,1071,3238"
"","Direct GO Biological Processes","GO:0006357","regulation of transcription by RNA polymerase II","700","12","21.818","2.5088","1.327","0.00226947344928265","2.64407489373078","1","0.0903062492235011","0.689614973754926","MSX2,ZNF714,ZNF16,ZNF319,EGR1,TEAD3,CLOCK,ZNF697,IFRD1,ZNF7,ZNF460,KLF6","7392,27124,12947,13644,3238,11716,2082,32034,5456,13139,21628,2235"
"","Direct GO Biological Processes","GO:0061036","positive regulation of cartilage development","11","2","3.636","26.6083","4.734","0.00242393400055004","2.61547920941794","1","0.0903062492235011","0.689614973754926","CCN1,BMP4","2654,1071"
"","Direct GO Biological Processes","GO:0035116","embryonic hindlimb morphogenesis","13","2","3.636","22.5147","4.493","0.00340758919057537","2.46755276807794","1","0.0903062492235011","0.689614973754926","MSX2,BMP4","7392,1071"
"","Direct GO Biological Processes","GO:0042476","odontogenesis","13","2","3.636","22.5147","4.493","0.00340758919057537","2.46755276807794","1","0.0903062492235011","0.689614973754926","BMP4,MSX2","1071,7392"
"","Direct GO Biological Processes","GO:0001958","endochondral ossification","15","2","3.636","19.5127","4.286","0.00454715775779478","2.34225997824458","1","0.0903062492235011","0.689614973754926","BMP4,NAB2","1071,7627"
"","Direct GO Biological Processes","GO:0060425","lung morphogenesis","15","2","3.636","19.5127","4.286","0.00454715775779478","2.34225997824458","1","0.0903062492235011","0.689614973754926","BMP4,SPRY2","1071,11270"
"","Direct GO Biological Processes","GO:0032456","endocytic recycling","51","3","5.455","8.6086","3.106","0.00498677640628875","2.30218010394765","1","0.0903062492235011","0.689614973754926","CMTM6,ENTR1,EHD3","19177,10667,3244"
"","Direct GO Biological Processes","GO:0001944","vasculature development","16","2","3.636","18.2932","4.193","0.00517407066530146","2.28616764416588","1","0.0903062492235011","0.689614973754926","B9D1,BMP4","24123,1071"
"","Direct GO Biological Processes","GO:0043523","regulation of neuron apoptotic process","17","2","3.636","17.2171","4.106","0.0058383657815341","2.23370869935735","1","0.0903062492235011","0.689614973754926","EGR1,DKK1","3238,2891"
"","Direct GO Biological Processes","GO:0003148","outflow tract septum morphogenesis","18","2","3.636","16.2606","4.023","0.00653952195723088","2.1844539976887","1","0.0903062492235011","0.689614973754926","BMP4,MSX2","1071,7392"
"","Direct GO Biological Processes","GO:0030501","positive regulation of bone mineralization","19","2","3.636","15.4048","3.945","0.0072770231947499","2.13804624080813","1","0.0940353108388236","0.718091593591241","BMP4,CCN1","1071,2654"
"","Direct GO Biological Processes","GO:0048598","embryonic morphogenesis","19","2","3.636","15.4048","3.945","0.0072770231947499","2.13804624080813","1","0.0940353108388236","0.718091593591241","BMP4,MSX2","1071,7392"
"","Direct GO Biological Processes","GO:0001707","mesoderm formation","20","2","3.636","14.6345","3.871","0.00805035860406286","2.09418477350829","1","0.102885352269507","0.785674082526705","DKK1,BMP4","2891,1071"
"","REACTOME pathway","R-HSA-1989781","PPARA activates gene expression","61","3","5.455","7.1973","2.847","0.00821446665744997","2.08542062885044","1","0.103841573071895","0.792976170579445","HMGCS1,CLOCK,TRIB3","5007,2082,16228"
"","REACTOME pathway","R-HSA-400206","Regulation of lipid metabolism by PPARalpha","62","3","5.455","7.0812","2.824","0.00859089182362927","2.06596174955913","1","0.10628943820086","0.811669056854559","HMGCS1,CLOCK,TRIB3","5007,2082,16228"
"","HGNC Gene Group","HGNC-G-3480","KRAB domain containing","62","3","5.455","7.0812","2.824","0.00859089182362927","2.06596174955913","1","0.10628943820086","0.811669056854559","ZNF714,ZNF7,ZNF460","27124,13139,21628"
"","Direct GO Biological Processes","GO:0007492","endoderm development","21","2","3.636","13.9377","3.801","0.008859022359093","2.05261420220752","1","0.108453084248686","0.828191531492982","DKK1,BMP4","2891,1071"
"","Direct GO Biological Processes","GO:0043066","negative regulation of apoptotic process","265","6","10.909","3.3135","1.728","0.00902641734135954","2.04448459050794","1","0.109351285083345","0.835050555650738","CCN1,ZNF16,MSX2,SPRY2,MAPK8,DKK1","2654,12947,7392,11270,6881,2891"
"","Direct GO Biological Processes","GO:0010628","positive regulation of gene expression","199","5","9.091","3.677","1.879","0.0112303771367332","1.94960565908565","1","0.11314698487985","0.864036051538953","EGR1,DKK1,MAPK8,BMP4,SPRY2","3238,2891,6881,1071,11270"
"","Direct GO Cellular Component","GO:0005769","early endosome","204","5","9.091","3.5869","1.843","0.0124076799319712","1.90630941809352","1","0.11314698487985","0.864036051538953","RAB29,PLEKHF1,ENTR1,UVRAG,EHD3","9789,20764,10667,12640,3244"
"","Direct GO Biological Processes","GO:0030514","negative regulation of BMP signaling pathway","25","2","3.636","11.7076","3.549","0.0124370191367026","1.90528369742723","1","0.11314698487985","0.864036051538953","BMP4,DKK1","1071,2891"
"","KEGG Pathway H.sap","path:hsa05418","Fluid shear stress and atherosclerosis","72","3","5.455","6.0977","2.608","0.0129144574845439","1.88892383311573","1","0.11314698487985","0.864036051538953","MAPK8,BMP4,GSTA4","6881,1071,4629"
"","Direct GO Biological Processes","GO:0045165","cell fate commitment","26","2","3.636","11.2573","3.493","0.0134149114539869","1.87241218957212","1","0.11314698487985","0.864036051538953","BMP4,SPRY2","1071,11270"
"","Direct GO Biological Processes","GO:0045599","negative regulation of fat cell differentiation","26","2","3.636","11.2573","3.493","0.0134149114539869","1.87241218957212","1","0.11314698487985","0.864036051538953","TRIB3,MSX2","16228,7392"
"","Direct GO Biological Processes","GO:0003151","outflow tract morphogenesis","28","2","3.636","10.4532","3.386","0.0154674165057552","1.81058221965499","1","0.120822627802965","0.922650359391294","MSX2,BMP4","7392,1071"
"","Direct GO Biological Processes","GO:0032465","regulation of cytokinesis","28","2","3.636","10.4532","3.386","0.0154674165057552","1.81058221965499","1","0.120822627802965","0.922650359391294","ENTR1,UVRAG","10667,12640"
"","Direct GO Biological Processes","GO:0001649","osteoblast differentiation","80","3","5.455","5.488","2.456","0.0171244212413138","1.76638409755532","1","0.120822627802965","0.922650359391294","CCN1,MSX2,BMP4","2654,7392,1071"
"","Direct GO Biological Processes","GO:0048863","stem cell differentiation","30","2","3.636","9.7564","3.286","0.017645761889837","1.75335958539647","1","0.120822627802965","0.922650359391294","BMP4,MSX2","1071,7392"
"","Direct GO Biological Processes","GO:0043010","camera-type eye development","31","2","3.636","9.4416","3.239","0.018780972195621","1.72628193026665","1","0.120822627802965","0.922650359391294","B9D1,BMP4","24123,1071"
"","Direct GO Biological Processes","GO:0051216","cartilage development","31","2","3.636","9.4416","3.239","0.018780972195621","1.72628193026665","1","0.120822627802965","0.922650359391294","MSX2,BMP4","7392,1071"
"","SLIM2 GO BP","GO:0015031","protein transport","919","12","21.818","1.9109","0.934","0.0192719953123486","1.71507331864594","1","0.120822627802965","0.922650359391294","NDFIP1,HERPUD1,TOMM40L,CMTM6,CLOCK,BMP4,ENTR1,DNLZ,TRIM23,RAB29,EHD3,TIMM23","17592,13744,25756,19177,2082,1071,10667,33879,660,9789,3244,17312"
"","Direct GO Biological Processes","GO:0010977","negative regulation of neuron projection development","35","2","3.636","8.3626","3.064","0.0236182158838887","1.62675291201661","1","0.133344365912739","1","DKK1,RAB29","2891,9789"
"","Direct GO Biological Processes","GO:0048511","rhythmic process","93","3","5.455","4.7208","2.239","0.0254240847974741","1.59475467162294","1","0.133344365912739","1","MAPK8,CLOCK,EGR1","6881,2082,3238"
"","Direct GO Biological Processes","GO:0043065","positive regulation of apoptotic process","165","4","7.273","3.5478","1.827","0.0258417764665937","1.58767763451906","1","0.133344365912739","1","MAPK8,BMP4,AIFM2,CCN1","6881,1071,21411,2654"
"","Direct GO Biological Processes","GO:0042752","regulation of circadian rhythm","38","2","3.636","7.7024","2.945","0.0275450690678901","1.55995613431749","1","0.134600484562841","1","CLOCK,MAPK8","2082,6881"
"","Direct GO Cellular Component","GO:0035577","azurophil granule membrane","38","2","3.636","7.7024","2.945","0.0275450690678901","1.55995613431749","1","0.134600484562841","1","CMTM6,BRI3","19177,1109"
"","Direct GO Biological Processes","GO:0030030","cell projection organization","97","3","5.455","4.5261","2.178","0.0283433419633974","1.54754894340783","1","0.137921785370005","1","B9D1,EHD3,ENTR1","24123,3244,10667"
"","Direct GO Biological Processes","GO:0032922","circadian regulation of gene expression","39","2","3.636","7.5049","2.908","0.0289086671908526","1.53897193064","1","0.139505310966646","1","EGR1,CLOCK","3238,2082"
"","REACTOME pathway","R-HSA-8957275","Post-translational protein phosphorylation","39","2","3.636","7.5049","2.908","0.0289086671908526","1.53897193064","1","0.139505310966646","1","CCN1,BMP4","2654,1071"
"","Direct GO Biological Processes","GO:0001503","ossification","40","2","3.636","7.3173","2.871","0.0302988894798077","1.51857328904324","1","0.145010734423936","1","BMP4,MSX2","1071,7392"
"","REACTOME pathway","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","40","2","3.636","7.3173","2.871","0.0302988894798077","1.51857328904324","1","0.145010734423936","1","CCN1,BMP4","2654,1071"
"","Direct GO Cellular Component","GO:0005576","extracellular region","553","8","14.545","2.1171","1.082","0.032929402281531","1.48241615231842","1","0.146835320116338","1","TUBA4A,ART5,CCN1,DKK1,BMP4,RNASE4,NDFIP1,HABP2","12407,24049,2654,2891,1071,10047,17592,4798"
"","PANTHER Pathway H.sap","P00052","TGF-beta signaling pathway","42","2","3.636","6.9688","2.801","0.0331575579474906","1.47941746271114","1","0.146835320116338","1","MAPK8,BMP4","6881,1071"
"","Direct GO Biological Processes","GO:0030900","forebrain development","42","2","3.636","6.9688","2.801","0.0331575579474906","1.47941746271114","1","0.146835320116338","1","DKK1,BMP4","2891,1071"
"","KEGG Pathway H.sap","path:hsa04912","GnRH signaling pathway","42","2","3.636","6.9688","2.801","0.0331575579474906","1.47941746271114","1","0.146835320116338","1","EGR1,MAPK8","3238,6881"
"","Direct GO Biological Processes","GO:0071363","cellular response to growth factor stimulus","43","2","3.636","6.8068","2.767","0.0346251903410749","1.46060783052385","1","0.150257822263695","1","BMP4,MSX2","1071,7392"
"","Direct GO Cellular Component","GO:0005615","extracellular space","368","6","10.909","2.3861","1.255","0.0385390275277329","1.41409924828638","1","0.158408310220023","1","DKK1,CCN1,AIFM2,BMP4,RNASE4,HABP2","2891,2654,21411,1071,10047,4798"
"","Direct GO Biological Processes","GO:0010506","regulation of autophagy","46","2","3.636","6.3628","2.67","0.0391764845842971","1.40697453705333","1","0.158408310220023","1","TRIB3,UVRAG","16228,12640"
"","SLIM2 GO BP","GO:0008219","cell death","1026","12","21.818","1.7116","0.775","0.0413219546090606","1.38381914369036","1","0.161809539428746","1","EGR1,AIFM2,MSX2,SPRY2,CCN1,DKK1,PLEKHF1,BMP4,MAPK8,TRIB3,ZNF16,HERPUD1","3238,21411,7392,11270,2654,2891,20764,1071,6881,16228,12947,13744"
"","Direct GO Biological Processes","GO:0030335","positive regulation of cell migration","113","3","5.455","3.8853","1.958","0.0417255606839217","1.37959781881175","1","0.162841701595305","1","BMP4,CCN1,SPRY2","1071,2654,11270"
"","REACTOME pathway","R-HSA-913531","Interferon Signaling","116","3","5.455","3.7848","1.92","0.0445339418896579","1.35130886190541","1","0.1693201882595","1","MT2A,TUBA4A,EGR1","7406,12407,3238"
"","Direct GO Biological Processes","GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process","50","2","3.636","5.8538","2.549","0.0455765970459488","1.3412581043276","1","0.1693201882595","1","TRIB3,PABIR1","16228,23490"
"","Direct GO Biological Processes","GO:0006355","regulation of DNA-templated transcription","591","8","14.545","1.981","0.986","0.046027667297406","1.33698103478527","1","0.1693201882595","1","TEAD3,ZNF460,MSX2,ZNF7,ZNF714,NAB2,CLOCK,EGR1","11716,21628,7392,13139,27124,7627,2082,3238"
"","SLIM2 GO CC","GO:0005768","endosome","596","8","14.545","1.9644","0.974","0.0479772336343254","1.31896479705146","1","0.17274774834898","1","EHD3,UVRAG,DKK1,PLEKHF1,RAB29,CMTM6,NDFIP1,ENTR1","3244,12640,2891,20764,9789,19177,17592,10667"
"","Direct GO Cellular Component","GO:0033116","endoplasmic reticulum-Golgi intermediate compartment membrane","52","2","3.636","5.6287","2.493","0.0489119882047474","1.31058468334921","1","0.175569883586794","1","UVRAG,ZDHHC20","12640,20749"
"","PANTHER Pathway H.sap","P00021","FGF signaling pathway","53","2","3.636","5.5225","2.465","0.0506122235035933","1.2957445827835","1","0.177809305444844","1","MAPK8,SPRY2","6881,11270"
"","Direct GO Biological Processes","GO:0030324","lung development","53","2","3.636","5.5225","2.465","0.0506122235035933","1.2957445827835","1","0.177809305444844","1","BMP4,SPRY2","1071,11270"
"","Direct GO Biological Processes","GO:0031398","positive regulation of protein ubiquitination","53","2","3.636","5.5225","2.465","0.0506122235035933","1.2957445827835","1","0.177809305444844","1","TRIB3,NDFIP1","16228,17592"
"","Direct GO Biological Processes","GO:0070374","positive regulation of ERK1 and ERK2 cascade","53","2","3.636","5.5225","2.465","0.0506122235035933","1.2957445827835","1","0.177809305444844","1","BMP4,SPRY2","1071,11270"
