"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","Direct GO Cellular Component","GO:0005576","extracellular region","553","67","23.592","3.4338","1.78","4.12346855745414e-20","19.3847373126993","1.03086713936354e-16","1.03086713936354e-16","8.66079075041595e-16","SPINT2,FLT1,NDFIP1,CCN1,OGN,TFRC,NRP2,C4A,ITM2B,CLU,QPCT,SERPIND1,ART5,LRP6,PZP,TIMP1,APOC3,EDIL3,DSC3,GOLGA7,HSPA6,NEU1,SELENOP,VTN,APP,CSPG5,GALNT1,CRISPLD1,ITIH2,SERPINF2,TGFBR3,AOC1,SLIT2,C4BPA,ADAMTS1,COL1A1,OLA1,HGFAC,MFAP3,RNASE4,TIMP3,APOE,SEMA3C,F5,CRIM1,IFI35,NTN3,SPP2,STC2,BMP4,NTN1,DDR1,CHSY1,HABP2,VASN,ITIH4,PROS1,THBS1,APOA1,ABCB6,CCN2,MDFIC,HPX,MFGE8,SDCBP,TUBA4A,APOH","11247,3763,17592,2654,8126,11763,8005,1323,6174,2095,9753,4838,24049,6698,9750,11820,610,3173,3037,24876,5239,7758,10751,12724,620,2467,4123,18206,6167,9075,11774,80,11086,1325,217,2197,28833,4894,7034,10047,11822,613,10725,3542,2359,5399,8030,11256,11374,1071,8029,2730,17198,4798,18517,6169,9456,11785,600,47,2500,28870,5171,7036,10662,12407,616"
"","Direct GO Cellular Component","GO:0005615","extracellular space","368","48","16.901","3.6967","1.886","1.09993701795762e-15","14.9586321816932","2.74984254489406e-12","1.37492127244703e-12","1.15513483593156e-11","CCN2,HLA-A,SERPINF2,THBS1,SEMA3C,APOH,FLT1,IFI35,RNASE4,VTN,LRIG3,C4A,CLU,SERPIND1,MFGE8,TFRC,ITM2B,APOC3,F5,HMOX1,PROS1,TIMP1,CRISPLD1,APP,GCNT1,CCN1,SDCBP,STC2,AOC1,C4BPA,COL1A1,HGFAC,OGN,TGFBR3,EDIL3,APOE,FCGRT,HPX,PZP,TIMP3,VASN,BMP4,DDR1,HABP2,ITIH4,SELENOP,SLIT2,APOA1","2500,4931,9075,11785,10725,616,3763,5399,10047,12724,30991,1323,2095,4838,7036,11763,6174,610,3542,5013,9456,11820,18206,620,4203,2654,10662,11374,80,1325,2197,4894,8126,11774,3173,613,3621,5171,9750,11822,18517,1071,2730,4798,6169,10751,11086,600"
"","Direct GO Cellular Component","GO:0072562","blood microparticle","36","15","5.282","11.809","3.562","3.24192141287367e-13","12.4891975170535","8.10480353218417e-10","2.70160117739472e-10","2.26973987190426e-9","APOE,SERPINF2,CLU,SDCBP,ITIH2,C4A,PROS1,HPX,TFRC,APOA1,ITIH4,C4BPA,PZP,VTN,HSPA6","613,9075,2095,10662,6167,1323,9456,5171,11763,600,6169,1325,9750,12724,5239"
"","DRSC COMPLEAT2 protein complex (literature)","HsC00126","FAM20C:FAM20C substrates [endoplasmic reticulum lumen]","49","16","5.634","9.2544","3.21","4.44969153689552e-12","11.3516700942926","1.11242288422388e-8","2.7810572105597e-9","2.33649455355265e-8","ADAM10,GPC3,APOE,ITIH2,C4A,TIMP1,APLP2,SERPIND1,APP,MFGE8,F5,STC2,APOA1,CCN1,BMP4,SPP2","188,4451,613,6167,1323,11820,598,4838,620,7036,3542,11374,600,2654,1071,11256"
"","SLIM2 GO CC","GO:0005576","extracellular region","1564","100","35.211","1.8121","0.858","1.51981572149128e-10","9.81820906731259","3.79953930372819e-7","7.59907860745638e-8","6.38433675902949e-7","STX3,HGFAC,PLD3,PROS1,VTN,APOA1,LDLR,AOC1,ITIH2,CLU,ITM2C,NTN3,MDFIC,TAX1BP1,HPX,PHPT1,SELENOP,ITM2B,MFGE8,ARF3,APP,PDCD2,FCGRT,SFT2D2,NTN1,ART5,HABP2,ABCB6,ITIH4,TIMP1,VASN,TFRC,FAT1,C4BPA,PTPRS,ATP6V1D,LRP6,CSPG5,TUBA4A,HLA-A,QPCT,PZP,STC2,APOE,ADAM10,APOC3,MARCKS,COL1A1,TPRG1L,SPP2,CRIM1,RAB29,IFI35,TGFBR3,SEMA3C,OGN,PTTG1IP,BMP4,PLSCR1,FLT1,OLA1,DSC3,ADAMTS1,RPE,SERPIND1,MGRN1,SERPINF2,TIMP3,LRIG3,EDIL3,HSPA6,DDR1,PCBP3,MFAP3,CHSY1,SQSTM1,HMOX1,C1GALT1C1,RNASE4,SLIT2,F5,APLP2,APOH,NEU1,CCN2,CPNE8,NRP2,NDFIP1,TMEM59,CCN1,THBS1,CRISPLD1,SDCBP,EEF1G,C4A,UBL3,GCNT1,GOLGA7,GALNT1,SPINT2","11438,4894,17158,9456,12724,600,6547,80,6167,2095,6175,8030,28870,11575,5171,30033,10751,6174,7036,654,620,8762,3621,25140,8029,24049,4798,47,6169,11820,18517,11763,3595,1325,9681,13527,6698,2467,12407,4931,9753,9750,11374,613,188,610,6759,2197,27007,11256,2359,9789,5399,11774,10725,8126,13524,1071,9092,3763,28833,3037,217,10293,4838,20254,9075,11822,30991,3173,5239,2730,8651,7034,17198,11280,5013,24338,10047,11086,3542,598,616,7758,2500,23498,8005,17592,1239,2654,11785,18206,10662,3213,1323,12504,4203,24876,4123,11247"
"","SLIM2 GO CC","GO:0031410","cytoplasmic vesicle","1258","86","30.282","1.9375","0.954","1.89309209611298e-10","9.72282825774209","4.73273024028245e-7","7.88788373380408e-8","6.62697527872167e-7","SLC31A1,APLP2,REEP6,FZD7,PCDH7,SPPL2B,EPHA4,ITIH4,APOC3,TMEM123,UVRAG,AOC1,STX3,MGST1,BACE1,SCAMP4,MFSD8,GJA1,TIMP3,TAX1BP1,OLA1,RNF149,RAB29,LDLR,MFGE8,NDFIP2,CLU,TPRG1L,MGRN1,HSPA6,GABARAP,PRKAR1A,IFNAR1,F5,APOE,ITM2B,HLA-A,PLEKHF1,LRP6,SELENOP,ADAM10,SERPINF2,SQSTM1,NEU1,THBS1,BRI3,PLD3,NRSN2,PTPRS,CSPG5,LRIG3,ADAMTS1,LAPTM4A,APP,OPTN,TFRC,RABAC1,PI4K2A,TRAPPC5,APOH,ARRDC3,TIMP1,GABARAPL2,PRKAR1B,NBR1,CAV1,COL1A1,HPX,ABCB6,PLEKHB2,NDFIP1,GOLGA7,SPP2,NCOA4,PROS1,TMEM59,QPCT,FCGRT,CMTM6,ATP6V1D,SDCBP,STX6,FLT1,APOA1,CALCOCO2,LAMTOR4","11016,598,30078,4045,8659,30627,3388,6169,610,30138,12640,80,11438,7061,933,30385,28486,4274,11822,11575,28833,23137,9789,6547,7036,18537,2095,27007,20254,5239,4067,9388,5432,3542,613,6174,4931,20764,6698,10751,188,9075,11280,7758,11785,1109,17158,16229,9681,2467,30991,217,6924,620,17142,11763,9794,30031,23067,616,29263,11820,13291,9390,6746,1527,2197,5171,47,19236,17592,24876,11256,7671,9456,1239,9753,3621,19177,13527,10662,11441,3763,600,29912,33772"
"","REACTOME pathway","R-HSA-8957275","Post-translational protein phosphorylation","39","13","4.577","9.4472","3.24","3.56721983836843e-10","9.4476701254112","8.91804959592107e-7","1.27400708513158e-7","0.00000107035216833902","ADAM10,ITIH2,C4A,TIMP1,SERPIND1,APOA1,MFGE8,F5,STC2,CCN1,BMP4,SPP2,GPC3","188,6167,1323,11820,4838,600,7036,3542,11374,2654,1071,11256,4451"
"","REACTOME pathway","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","40","13","4.577","9.211","3.203","5.11953457120394e-10","9.29076951995108","0.00000127988364280099","1.59985455350123e-7","0.00000134411166966959","BMP4,SPP2,GPC3,ADAM10,ITIH2,C4A,TIMP1,SERPIND1,APOA1,MFGE8,F5,STC2,CCN1","1071,11256,4451,188,6167,1323,11820,4838,600,7036,3542,11374,2654"
"","Direct GO Biological Processes","GO:0007155","cell adhesion","209","28","9.859","3.797","1.925","8.603192987404e-10","9.06534033486698","0.000002150798246851","2.38977582983444e-7","0.00000200776100161428","ROBO1,CLSTN3,FAT1,VTN,EDIL3,DDR1,MFGE8,CD84,DSC3,PCDH7,THBS1,DGCR2,APLP1,HABP2,PLPP3,CDON,CD151,NEO1,PTPRS,CHST10,EPHA4,TPBG,PTPRU,APP,CCN1,NRP2,CCN2,DDR2","10249,18371,3595,12724,3173,2730,7036,1704,3037,8659,11785,2845,597,4798,9229,17104,1630,7754,9681,19650,3388,12004,9683,620,2654,8005,2500,2731"
"","REACTOME pathway","R-HSA-114608","Platelet degranulation","51","14","4.93","7.78","2.96","1.34697017232036e-9","8.87064202130753","0.00000336742543080091","3.36742543080091e-7","0.00000282912956579471","ITIH4,TUBA4A,PROS1,TIMP1,CLU,PCDH7,OLA1,SELENOP,APOA1,TIMP3,F5,SERPINF2,SPP2,APOH","6169,12407,9456,11820,2095,8659,28833,10751,600,11822,3542,9075,11256,616"
