"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","DRSC COMPLEAT2 protein complex (literature)","HsC17652","protein targeting to mitochondrion","10","2","6.25","50.3062","5.653","0.00067554613935728","3.1703449836013","0.470180112992667","0.102455760614971","0.729821433577868","DNLZ,TIMM23","33879,17312"
"","HGNC Gene Group","HGNC-G-3480","KRAB domain containing","62","3","9.375","12.1709","3.605","0.00184120535770566","2.73489777002691","1","0.102455760614971","0.729821433577868","ZNF714,ZNF724,ZNF7","27124,32460,13139"
"","Direct GO Biological Processes","GO:0030150","protein import into mitochondrial matrix","20","2","6.25","25.1531","4.653","0.00278239305717528","2.55558151902244","1","0.102455760614971","0.729821433577868","TIMM23,DNLZ","17312,33879"
"","Direct GO Biological Processes","GO:0009612","response to mechanical stimulus","25","2","6.25","20.1225","4.331","0.00433916690207704","2.3625936448104","1","0.102455760614971","0.729821433577868","MEIS2,MAPK8","7001,6881"
"","HGNC Gene Group","HGNC-G-28","Zinc fingers C2H2-type","285","5","15.625","4.4128","2.142","0.00493396249984549","2.30680415565132","1","0.102455760614971","0.729821433577868","ZNF16,ZNF724,ZNF319,ZNF7,ZNF714","12947,32460,13644,13139,27124"
"","PANTHER Pathway H.sap","P00012","Cadherin signaling pathway","30","2","6.25","16.7687","4.068","0.006214420674352","2.20659935127964","1","0.102455760614971","0.729821433577868","PCDHGA11,FAT1","8698,3595"
"","Direct GO Biological Processes","GO:0043010","camera-type eye development","31","2","6.25","16.2278","4.02","0.00662659356916841","2.17870966530453","1","0.102455760614971","0.729821433577868","FAT1,B9D1","3595,24123"
"","Direct GO Biological Processes","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","36","2","6.25","13.974","3.805","0.00886771152675308","2.05218844325005","1","0.102455760614971","0.729821433577868","PCDHGA11,FAT1","8698,3595"
"","Direct GO Biological Processes","GO:0032880","regulation of protein localization","54","2","6.25","9.316","3.22","0.0192682780612877","1.71515709499142","1","0.102455760614971","0.729821433577868","MAPK8,B9D1","6881,24123"
"","PANTHER Pathway H.sap","P00049","Parkinson disease","55","2","6.25","9.1466","3.193","0.019946268830911","1.70013833194196","1","0.102834097083808","0.732516431520434","HSPA6,MAPK8","5239,6881"
"","KEGG Pathway H.sap","path:hsa05145","Toxoplasmosis","56","2","6.25","8.9833","3.167","0.0206342234934597","1.68541186983725","1","0.105598673172411","0.752209290878553","MAPK8,HSPA6","6881,5239"
"","KEGG Pathway H.sap","path:hsa05162","Measles","71","2","6.25","7.0854","2.825","0.032092765300374","1.49359285993936","1","0.112102897280255","0.798540723432523","HSPA6,MAPK8","5239,6881"
"","PANTHER Pathway H.sap","P00006","Apoptosis signaling pathway","73","2","6.25","6.8913","2.785","0.0337737194750875","1.47142110819626","1","0.112102897280255","0.798540723432523","MAPK8,HSPA6","6881,5239"
"","Direct GO Biological Processes","GO:0031647","regulation of protein stability","81","2","6.25","6.2106","2.635","0.0408319372067892","1.38900001517225","1","0.112102897280255","0.798540723432523","CMTM6,USP46","19177,20075"
"","Direct GO Cellular Component","GO:0005769","early endosome","204","3","9.375","3.699","1.887","0.0464321152593448","1.33318153118336","1","0.112102897280255","0.798540723432523","RAB29,PLEKHF1,APOC3","9789,20764,610"
"","Direct GO Cellular Component","GO:1904813","ficolin-1-rich granule lumen","91","2","6.25","5.5282","2.467","0.0503627058987561","1.297890944066","1","0.114128515555188","0.812969776756803","HSPA6,QPCT","5239,9753"
"","KEGG Pathway H.sap","path:hsa05417","Lipid and atherosclerosis","101","2","6.25","4.9808","2.316","0.0606140002233082","1.21742705376293","1","0.125932370613202","0.897051983247456","HSPA6,MAPK8","5239,6881"
"","REACTOME pathway","R-HSA-196854","Metabolism of vitamins and cofactors","102","2","6.25","4.932","2.302","0.0616761441138576","1.20988278545028","1","0.126146091582132","0.898574378308445","APOC3,FPGS","610,3824"
"","Direct GO Cellular Component","GO:0005576","extracellular region","553","5","15.625","2.2742","1.185","0.0649784345737348","1.18723075565921","1","0.132223257920961","0.941863757284056","ART5,RNASE4,APOC3,QPCT,HSPA6","24049,10047,610,9753,5239"
"","PANTHER Pathway H.sap","P00057","Wnt signaling pathway","110","2","6.25","4.5733","2.193","0.0704007382642638","1.15242278656222","1","0.13999689666265","0.997237590209825","FAT1,PCDHGA11","3595,8698"
"","REACTOME pathway","R-HSA-6798695","Neutrophil degranulation","246","3","9.375","3.0675","1.617","0.0730424306527244","1.13642478309833","1","0.143608846707051","1","CMTM6,HSPA6,QPCT","19177,5239,9753"
"","Direct GO Cellular Component","GO:0005802","trans-Golgi network","118","2","6.25","4.2632","2.092","0.0795070086956448","1.09959458576265","1","0.151961495018023","1","RAB29,GCNT1","9789,4203"
"","Direct GO Cellular Component","GO:0048471","perinuclear region of cytoplasm","414","4","12.5","2.4303","1.281","0.0796846623733615","1.09862526314127","1","0.151961495018023","1","RAB29,FAT1,PLEKHF1,MEIS2","9789,3595,20764,7001"
"","SLIM2 GO CC","GO:0005768","endosome","596","5","15.625","2.1102","1.077","0.083861358381119","1.0764381072002","1","0.157186056467818","1","CMTM6,LAPTM4A,PLEKHF1,RAB29,APOC3","19177,6924,20764,9789,610"
"","KEGG Pathway H.sap","path:hsa04010","MAPK signaling pathway","133","2","6.25","3.7824","1.919","0.0975037825513696","1.01097853600072","1","0.174950455275568","1","HSPA6,MAPK8","5239,6881"
"","KEGG Pathway H.sap","path:hsa04141","Protein processing in endoplasmic reticulum","139","2","6.25","3.6192","1.856","0.105005094761907","0.978789628803352","1","0.185491233386516","1","MAPK8,HSPA6","6881,5239"
"","SLIM2 GO CC","GO:0031410","cytoplasmic vesicle","1258","8","25","1.5996","0.678","0.114768645192573","0.940176745037264","1","0.19772024023275","1","CMTM6,LAPTM4A,QPCT,APOC3,PLEKHF1,RAB29,TMEM123,HSPA6","19177,6924,9753,610,20764,9789,30138,5239"
"","Direct GO Biological Processes","GO:0006457","protein folding","149","2","6.25","3.3763","1.755","0.117847653603423","0.928679060040211","1","0.201528174221087","1","HSPA6,DNLZ","5239,33879"
"","SLIM2 GO BP","GO:0002376","immune system process","1076","7","21.875","1.6364","0.711","0.126059591560002","0.89942410434609","1","0.211826581369998","1","RAB29,GCNT1,ZNF16,MEIS2,RNASE4,TMEFF1,MAPK8","9789,4203,12947,7001,10047,11866,6881"
"","SLIM2 GO CC","GO:0005773","vacuole","498","4","12.5","2.0203","1.015","0.132908389245197","0.876447605303263","1","0.220773839891783","1","PLEKHF1,CMTM6,LAPTM4A,RAB29","20764,19177,6924,9789"
"","Direct GO Cellular Component","GO:0012505","endomembrane system","170","2","6.25","2.9592","1.565","0.146005245386241","0.835631541466392","1","0.234050931202699","1","RAB29,LAPTM4A","9789,6924"
"","SLIM2 GO BP","GO:0006457","protein folding","170","2","6.25","2.9592","1.565","0.146005245386241","0.835631541466392","1","0.234050931202699","1","HSPA6,DNLZ","5239,33879"
"","KEGG Pathway H.sap","path:hsa05020","Prion disease","171","2","6.25","2.9419","1.557","0.147380822928175","0.831559022842625","1","0.234050931202699","1","HSPA6,MAPK8","5239,6881"
"","Direct GO Cellular Component","GO:0005615","extracellular space","368","3","9.375","2.0505","1.036","0.178433486354326","0.7485236388938","1","0.268228307781018","1","RNASE4,APOC3,GCNT1","10047,610,4203"
"","Direct GO Biological Processes","GO:0008284","positive regulation of cell population proliferation","194","2","6.25","2.5931","1.375","0.179715698723832","0.745413984263628","1","0.269573548085748","1","ZNF16,MEIS2","12947,7001"
"","Direct GO Biological Processes","GO:0007155","cell adhesion","209","2","6.25","2.407","1.267","0.2013808518864","0.695981826311789","1","0.293838727280784","1","FAT1,PCDHGA11","3595,8698"
"","Direct GO Biological Processes","GO:0006355","regulation of DNA-templated transcription","591","4","12.5","1.7024","0.768","0.205175891689477","0.687873670467271","1","0.297505042949741","1","MEIS2,ZNF724,ZNF7,ZNF714","7001,32460,13139,27124"
"","Direct GO Biological Processes","GO:0006886","intracellular protein transport","212","2","6.25","2.3729","1.247","0.20575536042039","0.686648841555931","1","0.29772501216755","1","RAB29,TIMM23","9789,17312"
"","Direct GO Cellular Component","GO:0005765","lysosomal membrane","237","2","6.25","2.1226","1.086","0.242586730753226","0.615132958285022","1","0.329123517747066","1","LAPTM4A,PLEKHF1","6924,20764"
"","REACTOME pathway","R-HSA-168256","Immune System","848","5","15.625","1.4831","0.569","0.243357699495612","0.613754908736029","1","0.329527157293669","1","CMTM6,MT2A,NPDC1,QPCT,HSPA6","19177,7406,7899,9753,5239"
"","SLIM2 GO BP","GO:0006914","autophagy","432","3","9.375","1.7467","0.805","0.24504586168078","0.610752627427529","1","0.331168776174414","1","MAPK8,PLEKHF1,TIMM23","6881,20764,17312"
"","REACTOME pathway","R-HSA-168249","Innate Immune System","437","3","9.375","1.7268","0.788","0.250443306168257","0.601290571612873","1","0.333285929432327","1","QPCT,CMTM6,HSPA6","9753,19177,5239"
"","SLIM2 GO CC","GO:0005764","lysosome","446","3","9.375","1.6919","0.759","0.2602102435323","0.584675610841354","1","0.34300441192894","1","PLEKHF1,CMTM6,LAPTM4A","20764,19177,6924"
"","SLIM2 GO BP","GO:0016192","vesicle-mediated transport","882","5","15.625","1.4259","0.512","0.269737684893907","0.56905837428068","1","0.352227821174783","1","APOC3,PLEKHF1,RAB29,USP46,CMTM6","610,20764,9789,20075,19177"
"","SLIM2 GO CC","GO:0005576","extracellular region","1564","8","25","1.2866","0.364","0.272961993678133","0.563897818471797","1","0.355105696448561","1","HSPA6,ART5,RNASE4,RAB29,APOC3,FAT1,QPCT,GCNT1","5239,24049,10047,9789,610,3595,9753,4203"
"","Direct GO Biological Processes","GO:0043066","negative regulation of apoptotic process","265","2","6.25","1.8983","0.925","0.284245192915068","0.546306871259799","1","0.367040174895895","1","MAPK8,ZNF16","6881,12947"
"","Direct GO Biological Processes","GO:0006357","regulation of transcription by RNA polymerase II","700","4","12.5","1.4373","0.523","0.301721148369109","0.520394248001638","1","0.383908444725594","1","ZNF319,ZNF7,ZNF714,ZNF16","13644,13139,27124,12947"
"","SLIM2 GO CC","GO:0005615","extracellular space","1384","7","21.875","1.2722","0.347","0.30585402947651","0.514485793512147","1","0.386341931970329","1","HSPA6,RNASE4,RAB29,APOC3,FAT1,QPCT,GCNT1","5239,10047,9789,610,3595,9753,4203"
"","Direct GO Biological Processes","GO:0015031","protein transport","519","3","9.375","1.4539","0.54","0.340950769235461","0.467308325385533","1","0.418521579167338","1","TIMM23,RAB29,CMTM6","17312,9789,19177"
"","SLIM2 GO BP","GO:0042592","homeostatic process","760","4","12.5","1.3238","0.405","0.357611408915229","0.44658863431155","1","0.436662351938595","1","APOC3,MT2A,MAPK8,ZNF16","610,7406,6881,12947"
"","Direct GO Cellular Component","GO:0005743","mitochondrial inner membrane","349","2","6.25","1.4414","0.527","0.407049706319071","0.390352554258834","1","0.478308513397893","1","TIMM23,FPGS","17312,3824"
"","SLIM2 GO BP","GO:0007155","cell adhesion","579","3","9.375","1.3033","0.382","0.40752435121401","0.389846435311984","1","0.478308513397893","1","GCNT1,PCDHGA11,FAT1","4203,8698,3595"
"","Direct GO Cellular Component","GO:0000139","Golgi membrane","352","2","6.25","1.4292","0.515","0.411291212638383","0.385850569225152","1","0.481107031926579","1","GCNT1,RAB29","4203,9789"
"","SLIM2 GO BP","GO:0051604","protein maturation","352","2","6.25","1.4292","0.515","0.411291212638383","0.385850569225152","1","0.481107031926579","1","HSPA6,DNLZ","5239,33879"
"","Direct GO Cellular Component","GO:0045202","synapse","418","2","6.25","1.2035","0.267","0.500766145027984","0.300365039870569","1","0.57324545549256","1","USP46,MAPK8","20075,6881"
"","SLIM2 GO BP","GO:0015031","protein transport","919","4","12.5","1.0948","0.131","0.50470829953444","0.29695955357348","1","0.575207547997208","1","RAB29,CMTM6,DNLZ,TIMM23","9789,19177,33879,17312"
"","Direct GO Cellular Component","GO:0005768","endosome","433","2","6.25","1.1618","0.216","0.519952661182994","0.284036194678409","1","0.589392593132515","1","PLEKHF1,CMTM6","20764,19177"
"","SLIM2 GO BP","GO:0007267","cell-cell signaling","435","2","6.25","1.1565","0.21","0.522476058052111","0.281933605875447","1","0.591289977893121","1","FAT1,USP46","3595,20075"
"","Direct GO Cellular Component","GO:0070062","extracellular exosome","1198","5","15.625","1.0498","0.07","0.528506188595618","0.276949922912484","1","0.596175538513047","1","FAT1,QPCT,HSPA6,APOC3,RAB29","3595,9753,5239,610,9789"
"","Direct GO Cellular Component","GO:0005794","Golgi apparatus","736","3","9.375","1.0253","0.036","0.570665086042354","0.243618697282793","1","0.637532744599484","1","GCNT1,RAB29,LAPTM4A","4203,9789,6924"
"","HGNC Gene Group","HGNC-G-1691","MicroRNA protein coding host genes","504","2","6.25","0.9981","-0.003","0.604292191961299","0.218753017219407","1","0.669887605633853","1","B9D1,MEIS2","24123,7001"
"","SLIM2 GO BP","GO:0055085","transmembrane transport","505","2","6.25","0.9962","-0.005","0.605401298769674","0.217956651684867","1","0.669887605633853","1","DNLZ,TIMM23","33879,17312"
"","REACTOME pathway","R-HSA-212436","Generic Transcription Pathway","505","2","6.25","0.9962","-0.005","0.605401298769674","0.217956651684867","1","0.669887605633853","1","ZNF714,ZNF724","27124,32460"
"","REACTOME pathway","R-HSA-8953897","Cellular responses to stimuli","511","2","6.25","0.9845","-0.023","0.612009331619689","0.213241955893587","1","0.676124594932228","1","HSPA6,MT2A","5239,7406"
"","SLIM2 GO BP","GO:0040011","locomotion","530","2","6.25","0.9492","-0.075","0.632407195171413","0.199003197554717","1","0.69534819563871","1","FAT1,GCNT1","3595,4203"
"","Direct GO Biological Processes","GO:0000122","negative regulation of transcription by RNA polymerase II","534","2","6.25","0.9421","-0.086","0.6365993161652","0.196133832233771","1","0.697752951261385","1","ZNF724,MEIS2","32460,7001"
"","SLIM2 GO CC","GO:0005794","Golgi apparatus","833","3","9.375","0.9059","-0.143","0.657763110593459","0.181930486759328","1","0.718686224447484","1","GCNT1,RAB29,LAPTM4A","4203,9789,6924"
"","Direct GO Cellular Component","GO:0000785","chromatin","558","2","6.25","0.9015","-0.15","0.661008219708685","0.17979313998194","1","0.721099876045838","1","HMGN4,MEIS2","4989,7001"
"","SLIM2 GO BP","GO:0008283","cell population proliferation","882","3","9.375","0.8555","-0.225","0.696994121907713","0.156770884504299","1","0.755109553317437","1","MEIS2,ZNF16,FPGS","7001,12947,3824"
"","SLIM2 GO BP","GO:0006950","response to stress","1967","7","21.875","0.8951","-0.16","0.697608394803321","0.156388301878782","1","0.755109553317437","1","TMEFF1,HSPA6,MT2A,USP46,RNASE4,HPCAL4,MAPK8","11866,5239,7406,20075,10047,18212,6881"
"","REACTOME pathway","R-HSA-73857","RNA Polymerase II Transcription","601","2","6.25","0.837","-0.257","0.701588930772592","0.153917271612235","1","0.758238968661062","1","ZNF724,ZNF714","32460,27124"
"","SLIM2 GO CC","GO:0005815","microtubule organizing center","611","2","6.25","0.8233","-0.281","0.710457096842393","0.148462143165347","1","0.765446036226479","1","B9D1,HSPA6","24123,5239"
"","SLIM2 GO BP","GO:0009790","embryo development","628","2","6.25","0.8011","-0.32","0.725050898292334","0.139631505054379","1","0.777558436381301","1","MEIS2,B9D1","7001,24123"
"","Direct GO Cellular Component","GO:0005739","mitochondrion","1209","4","12.5","0.8322","-0.265","0.72948978880976","0.136980782858415","1","0.781115220017835","1","DNLZ,FPGS,TIMM23,RAB29","33879,3824,17312,9789"
