"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","Direct GO Cellular Component","GO:0005688","U6 snRNP","7","7","0.379","4.3626","2.125","0.0000329583518146917","4.48203451468372","0.0823958795367292","0.00152584962105054","0.0128193670938811","LSM4,LSM8,DDX39B,LSM3,LSM2,LSM6,LSM7","17259,20471,13917,17874,13940,17017,20470"
"","Direct GO Cellular Component","GO:0019774","proteasome core complex, beta-subunit complex","7","7","0.379","4.3626","2.125","0.0000329583518146917","4.48203451468372","0.0823958795367292","0.00152584962105054","0.0128193670938811","PSMB1,PSMB4,PSMB7,PSMB2,PSMB5,PSMB3,PSMB6","9537,9541,9544,9539,9542,9540,9543"
"","Direct GO Cellular Component","GO:0120115","Lsm2-8 complex","6","6","0.325","4.3626","2.125","0.000144145744233586","3.84119817521926","0.360364360583966","0.00474163632347324","0.0398366757888198","LSM4,LSM8,LSM3,LSM2,LSM6,LSM7","17259,20471,17874,13940,17017,20470"
"","EBI complex portal","CPX-26553","LSM2-8 complex","6","6","0.325","4.3626","2.125","0.000144145744233586","3.84119817521926","0.360364360583966","0.00474163632347324","0.0398366757888198","LSM2,LSM8,LSM4,LSM7,LSM6,LSM3","13940,20471,17259,20470,17017,17874"
"","EBI complex portal","CPX-26554","LSM1-7 complex","6","6","0.325","4.3626","2.125","0.000144145744233586","3.84119817521926","0.360364360583966","0.00474163632347324","0.0398366757888198","LSM3,LSM2,LSM7,LSM4,LSM1,LSM6","17874,13940,20470,17259,20472,17017"
"","EBI complex portal","CPX-6144","Prefoldin co-chaperone complex, URI1 variant","5","5","0.271","4.3626","2.125","0.000630167590551613","3.20054393630409","1","0.0144623559658846","0.121504929195715","URI1,UXT,PFDN6,PFDN2,PDRG1","13236,12641,4926,8867,16119"
"","PANTHER Pathway H.sap","P02756","N-acetylglucosamine metabolism","4","4","0.217","4.3626","2.125","0.00275377418033011","2.56007167637306","1","0.0353047971837194","0.29661190003869","GFPT1,GNPDA2,GNPDA1,AMDHD2","4241,21526,4417,24262"
"","Direct GO Biological Processes","GO:0006144","purine nucleobase metabolic process","4","4","0.217","4.3626","2.125","0.00275377418033011","2.56007167637306","1","0.0353047971837194","0.29661190003869","ADK,GMPR2,GMPR,PRPS1","257,4377,4376,9462"
"","Direct GO Biological Processes","GO:0032324","molybdopterin cofactor biosynthetic process","4","4","0.217","4.3626","2.125","0.00275377418033011","2.56007167637306","1","0.0353047971837194","0.29661190003869","MOCOS,MOCS2,GPHN,MOCS1","18234,7193,15465,7190"
"","Direct GO Biological Processes","GO:0043605","amide catabolic process","4","4","0.217","4.3626","2.125","0.00275377418033011","2.56007167637306","1","0.0353047971837194","0.29661190003869","NIT1,NT5C2,ADA,NT5C","7828,8022,186,17144"
"","Direct GO Biological Processes","GO:0051694","pointed-end actin filament capping","4","4","0.217","4.3626","2.125","0.00275377418033011","2.56007167637306","1","0.0353047971837194","0.29661190003869","TMOD3,TMOD1,TMOD2,LMOD1","11873,11871,11872,6647"
"","Direct GO Biological Processes","GO:2000813","negative regulation of barbed-end actin filament capping","4","4","0.217","4.3626","2.125","0.00275377418033011","2.56007167637306","1","0.0353047971837194","0.29661190003869","CRACD,CARMIL2,CARMIL1,WASHC2C","29219,27089,21581,23414"
"","Direct GO Cellular Component","GO:0000811","GINS complex","4","4","0.217","4.3626","2.125","0.00275377418033011","2.56007167637306","1","0.0353047971837194","0.29661190003869","GINS3,GINS1,GINS4,GINS2","25851,28980,28226,24575"
"","EBI complex portal","CPX-9001","PA28-gamma single-capped 20S proteasome complex","15","14","0.759","4.0718","2.026","1.25672772286125e-8","7.90075880446804","0.0000314181930715314","0.00000448831329593305","0.0000377083920847317","PSMA7,PSMA3,PSMB2,PSMB6,PSMB4,PSMA5,PSMB7,PSMB3,PSME3,PSMB1,PSMA4,PSMA1,PSMB5,PSMA6","9536,9532,9539,9543,9541,9534,9544,9540,9570,9537,9533,9530,9542,9535"
"","EBI complex portal","CPX-9022","PA28-gamma double-capped 20S proteasome complex","15","14","0.759","4.0718","2.026","1.25672772286125e-8","7.90075880446804","0.0000314181930715314","0.00000448831329593305","0.0000377083920847317","PSMB3,PSME3,PSMA3,PSMA7,PSMA1,PSMB5,PSMB1,PSMA5,PSMB7,PSMB2,PSMB6,PSMA6,PSMA4,PSMB4","9540,9570,9532,9536,9530,9542,9537,9534,9544,9539,9543,9535,9533,9541"
"","EBI complex portal","CPX-8806","20S proteasome complex","14","13","0.705","4.051","2.018","5.15159182221745e-8","7.28805855488373","0.000128789795555436","0.0000143099772839374","0.000120224725541165","PSMA3,PSMB5,PSMB4,PSMA4,PSMB1,PSMB7,PSMA1,PSMB3,PSMA5,PSMA7,PSMB6,PSMB2,PSMA6","9532,9542,9541,9533,9537,9544,9530,9540,9534,9536,9543,9539,9535"
"","EBI complex portal","CPX-9021","20S spermatoproteasome complex","13","12","0.65","4.027","2.01","2.10053066339333e-7","6.67767097428056","0.000525132665848332","0.000029174036991574","0.000245104553322863","PSMA3,PSMB5,PSMB2,PSMB1,PSMA5,PSMB4,PSMB3,PSMA4,PSMB7,PSMA1,PSMB6,PSMA6","9532,9542,9539,9537,9534,9541,9540,9533,9544,9530,9543,9535"
"","EBI complex portal","CPX-9003","20S immunoproteasome complex","11","10","0.542","3.966","1.988","0.00000342569357572941","5.465251486765","0.00856423393932352","0.00026763231060386","0.00224850259716441","PSMB3,PSMA3,PSMA7,PSMA1,PSMA6,PSMA5,PSMB4,PSMB2,PSMB1,PSMA4","9540,9532,9536,9530,9535,9534,9541,9539,9537,9533"
"","EBI complex portal","CPX-9004","20S thymoproteasome complex","11","10","0.542","3.966","1.988","0.00000342569357572941","5.465251486765","0.00856423393932352","0.00026763231060386","0.00224850259716441","PSMA1,PSMB1,PSMB4,PSMA5,PSMB2,PSMA6,PSMA4,PSMB3,PSMA7,PSMA3","9530,9537,9541,9534,9539,9535,9533,9540,9536,9532"
"","Direct GO Biological Processes","GO:0051036","regulation of endosome size","9","8","0.434","3.8779","1.955","0.0000540268198118258","4.26739059564466","0.135067049529564","0.00232874223326835","0.0195648385944729","SNAPIN,BORCS5,BLOC1S1,CHMP3,BORCS7,RAB5A,KXD1,BLOC1S2","17145,17950,4200,29865,23516,9783,28420,20984"
