"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","Direct GO Cellular Component","GO:0045334","clathrin-coated endocytic vesicle","16","2","5.714","28.7464","4.845","0.00212168081900637","2.67331994982698","1","0.122447316119","0.848860511176135","LMBRD1,CLTCL1","23038,2093"
"","SLIM2 GO CC","GO:0005794","Golgi apparatus","833","10","28.571","2.7608","1.465","0.00219998475075657","2.65758032948926","1","0.122447316119","0.848860511176135","ARL5B,FGFR3,PIDD1,CLTCL1,NFE2L2,SLC26A11,GALNT10,PHAF1,SLC39A7,FAM174B","23052,3690,16491,2093,7782,14471,19873,29564,4927,34339"
"","Direct GO Biological Processes","GO:0006811","monoatomic ion transport","139","4","11.429","6.6179","2.726","0.00294357800388743","2.53112445103271","1","0.122447316119","0.848860511176135","ATP6V0D2,SLC39A7,SLC26A11,ORAI1","18266,4927,14471,25896"
"","Direct GO Biological Processes","GO:0046326","positive regulation of D-glucose import","19","2","5.714","24.2075","4.597","0.0029987587432089","2.52305847278923","1","0.122447316119","0.848860511176135","CLTCL1,NFE2L2","2093,7782"
"","SLIM2 GO BP","GO:0055085","transmembrane transport","505","7","20","3.1877","1.673","0.00530174353191987","2.2755812847821","1","0.122447316119","0.848860511176135","SLC26A11,SLC46A3,ORAI1,NFE2L2,SLC39A7,ATP6V0D2,CLTCL1","14471,27501,25896,7782,4927,18266,2093"
"","REACTOME pathway","R-HSA-9639288","Amino acids regulate mTORC1","29","2","5.714","15.8601","3.987","0.00692861768802013","2.15935340180181","1","0.122447316119","0.848860511176135","ATP6V0D2,CASTOR2","18266,37073"
"","Direct GO Cellular Component","GO:0019005","SCF ubiquitin ligase complex","30","2","5.714","15.3314","3.938","0.00740336257510231","2.13057098079336","1","0.122447316119","0.848860511176135","TRIM21,TMEM183A","11312,20173"
"","REACTOME pathway","R-HSA-74752","Signaling by Insulin receptor","32","2","5.714","14.3732","3.845","0.00839577433440658","2.07593924310525","1","0.122447316119","0.848860511176135","FGFR3,ATP6V0D2","3690,18266"
"","KEGG Pathway H.sap","path:hsa04721","Synaptic vesicle cycle","37","2","5.714","12.4309","3.636","0.0111213371365166","1.95384299368027","1","0.122447316119","0.848860511176135","CLTCL1,ATP6V0D2","2093,18266"
"","Direct GO Biological Processes","GO:0042149","cellular response to glucose starvation","38","2","5.714","12.1038","3.597","0.0117073814972089","1.93154022947744","1","0.122447316119","0.848860511176135","NFE2L2,CHKA","7782,1937"
"","Direct GO Biological Processes","GO:0055085","transmembrane transport","116","3","8.571","5.9475","2.572","0.0136518707247763","1.86480783288843","1","0.126610091399135","0.877718763559326","SLC46A3,SLC26A11,SLC39A7","27501,14471,4927"
"","Direct GO Cellular Component","GO:0005802","trans-Golgi network","118","3","8.571","5.8467","2.548","0.0142920894596817","1.84490427404499","1","0.130443673639952","0.904294900004922","CLTCL1,PHAF1,ARL5B","2093,29564,23052"
"","Direct GO Cellular Component","GO:0005765","lysosomal membrane","237","4","11.429","3.8814","1.957","0.0187582709029193","1.72680719644361","1","0.13375600905878","0.927257516303354","ATP6V0D2,SLC46A3,LMBRD1,SLC26A11","18266,27501,23038,14471"
"","HGNC Gene Group","HGNC-G-58","Ring finger proteins","138","3","8.571","4.9994","2.322","0.021633580595594","1.66487159409703","1","0.13375600905878","0.927257516303354","TRIM21,LNX2,MEX3D","11312,20421,16734"
"","Direct GO Cellular Component","GO:0030136","clathrin-coated vesicle","53","2","5.714","8.6782","3.117","0.0220351580105511","1.65688383088747","1","0.13478953038369","0.934422356399334","CLTCL1,LMBRD1","2093,23038"
"","REACTOME pathway","R-HSA-425407","SLC-mediated transmembrane transport","58","2","5.714","7.93","2.987","0.0260781266888233","1.58372360917967","1","0.137568099505261","0.95368466185144","SLC39A7,SLC26A11","4927,14471"
"","KEGG Pathway H.sap","path:hsa04020","Calcium signaling pathway","61","2","5.714","7.54","2.915","0.0286378489123886","1.54305960649563","1","0.144015520789787","0.998381119894113","FGFR3,ORAI1","3690,25896"
"","HGNC Gene Group","HGNC-G-3480","KRAB domain containing","62","2","5.714","7.4184","2.891","0.0295127758650568","1.52998994040921","1","0.144015520789787","0.998381119894113","RBAK,ZNF627","17680,30570"
"","HGNC Gene Group","HGNC-G-28","Zinc fingers C2H2-type","285","4","11.429","3.2277","1.691","0.0340259998844442","1.46818910380527","1","0.148188993681348","1","RBAK,ZNF71,ZBTB5,ZNF627","17680,13141,23836,30570"
"","Direct GO Cellular Component","GO:0005794","Golgi apparatus","736","7","20","2.1872","1.129","0.0363036114843783","1.44005016918648","1","0.15578042241431","1","SLC39A7,SLC26A11,FGFR3,PIDD1,FAM174B,NFE2L2,GALNT10","4927,14471,3690,16491,34339,7782,19873"
"","REACTOME pathway","R-HSA-9755511","KEAP1-NFE2L2 pathway","76","2","5.714","6.0519","2.597","0.0428357434866354","1.36819369078389","1","0.162043108584312","1","TRIM21,NFE2L2","11312,7782"
"","SLIM2 GO CC","GO:0005773","vacuole","498","5","14.286","2.309","1.207","0.0622122378394561","1.20612417634826","1","0.179384366312442","1","SLC46A3,LMBRD1,SLC26A11,ATP6V0D2,TRIM21","27501,23038,14471,18266,11312"
"","Direct GO Cellular Component","GO:0016323","basolateral plasma membrane","96","2","5.714","4.7911","2.26","0.0649635559566114","1.18733021082866","1","0.181127867698405","1","ORAI1,SLC26A11","25896,14471"
"","KEGG Pathway H.sap","path:hsa04142","Lysosome","96","2","5.714","4.7911","2.26","0.0649635559566114","1.18733021082866","1","0.181127867698405","1","ATP6V0D2,CLTCL1","18266,2093"
"","Direct GO Biological Processes","GO:0006357","regulation of transcription by RNA polymerase II","700","6","17.143","1.9712","0.979","0.0786331892281937","1.10439410973221","1","0.200951483583162","1","ZNF71,PCBP4,ZNF627,NFE2L2,RBAK,ZBTB5","13141,8652,30570,7782,17680,23836"
"","REACTOME pathway","R-HSA-382551","Transport of small molecules","242","3","8.571","2.8509","1.511","0.0869278168138531","1.06084122751393","1","0.208036774370163","1","SLC26A11,SLC39A7,ATP6V0D2","14471,4927,18266"
"","Direct GO Biological Processes","GO:0006954","inflammatory response","115","2","5.714","3.9995","2","0.0887783606665701","1.05169287868479","1","0.210072252606082","1","NFE2L2,LXN","7782,13347"
"","REACTOME pathway","R-HSA-9711097","Cellular response to starvation","118","2","5.714","3.8978","1.963","0.0927501053017236","1.03268558864627","1","0.216793945319069","1","ATP6V0D2,CASTOR2","18266,37073"
"","REACTOME pathway","R-HSA-9711123","Cellular response to chemical stress","121","2","5.714","3.8012","1.926","0.0967739210737169","1.01424166190354","1","0.219940729712993","1","NFE2L2,TRIM21","7782,11312"
"","Direct GO Cellular Component","GO:0016324","apical plasma membrane","130","2","5.714","3.538","1.823","0.109138711784776","0.962021176703367","1","0.234159549538233","1","ATP6V0D2,SLC26A11","18266,14471"
"","Direct GO Cellular Component","GO:0031410","cytoplasmic vesicle","443","4","11.429","2.0765","1.054","0.124018013318144","0.906515230027271","1","0.244252561550485","1","FGFR3,LMBRD1,TRIM21,CLTCL1","3690,23038,11312,2093"
"","Direct GO Cellular Component","GO:0005764","lysosome","285","3","8.571","2.4208","1.275","0.125647276616702","0.900846920228238","1","0.244252561550485","1","SLC46A3,SLC26A11,LMBRD1","27501,14471,23038"
"","SLIM2 GO CC","GO:0005764","lysosome","446","4","11.429","2.0625","1.044","0.126278921442724","0.89866913610413","1","0.244252561550485","1","LMBRD1,SLC26A11,ATP6V0D2,SLC46A3","23038,14471,18266,27501"
"","REACTOME pathway","R-HSA-2262752","Cellular responses to stress","466","4","11.429","1.974","0.981","0.141806486286604","0.848303903891634","1","0.265598467800643","1","ATP6V0D2,NFE2L2,CASTOR2,TRIM21","18266,7782,37073,11312"
"","SLIM2 GO BP","GO:0006810","transport","2032","12","34.286","1.3581","0.442","0.149581679132875","0.825121595901665","1","0.273915495227399","1","SLC26A11,RAP1BL,CLTCL1,ORAI1,CHKA,LMBRD1,ARL5B,SLC39A7,PHAF1,ATP6V0D2,NFE2L2,SLC46A3","14471,55079,2093,25896,1937,23038,23052,4927,29564,18266,7782,27501"
"","REACTOME pathway","R-HSA-212436","Generic Transcription Pathway","505","4","11.429","1.8216","0.865","0.174193682340962","0.758967600041404","1","0.298433644899749","1","PIDD1,ZNF627,PCBP4,ZNF71","16491,30570,8652,13141"
"","KEGG Pathway H.sap","path:hsa05012","Parkinson disease","175","2","5.714","2.6282","1.394","0.176087288794749","0.754271993297599","1","0.299556778275091","1","SLC39A7,NFE2L2","4927,7782"
