"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","Direct GO Biological Processes","GO:0003148","outflow tract septum morphogenesis","18","4","5.714","25.5524","4.675","0.0000146425893090232","4.83438211841507","0.0162825593116338","0.0137451306637107","0.104347268838899","MSX2,BMP4,SEMA3C,BMPR2","7392,1071,10725,1078"
"","Direct GO Biological Processes","GO:0045778","positive regulation of ossification","10","3","4.286","34.4957","5.108","0.0000723679120699214","4.14045395728403","0.0804731182217526","0.0137451306637107","0.104347268838899","BMPR2,CCN1,BMP4","1078,2654,1071"
"","Direct GO Biological Processes","GO:0060363","cranial suture morphogenesis","2","2","2.857","114.9857","6.845","0.0000745619462501918","4.12748276435194","0.0829128842302133","0.0137451306637107","0.104347268838899","MSX2,BMP4","7392,1071"
"","Direct GO Biological Processes","GO:0061180","mammary gland epithelium development","2","2","2.857","114.9857","6.845","0.0000745619462501918","4.12748276435194","0.0829128842302133","0.0137451306637107","0.104347268838899","MSX2,ORAI1","7392,25896"
"","Direct GO Biological Processes","GO:1905312","positive regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis","2","2","2.857","114.9857","6.845","0.0000745619462501918","4.12748276435194","0.0829128842302133","0.0137451306637107","0.104347268838899","BMP4,SEMA3C","1071,10725"
"","HGNC Gene Group","HGNC-G-1046","Cellular communication network factors","2","2","2.857","114.9857","6.845","0.0000745619462501918","4.12748276435194","0.0829128842302133","0.0137451306637107","0.104347268838899","CCN1,CCN2","2654,2500"
"","Direct GO Biological Processes","GO:0003151","outflow tract morphogenesis","28","4","5.714","16.4265","4.038","0.0000917523072863865","4.03738300577727","0.102028565702462","0.0137451306637107","0.104347268838899","BMPR2,MSX2,BMP4,SEMA3C","1078,7392,1071,10725"
"","Direct GO Biological Processes","GO:0061036","positive regulation of cartilage development","11","3","4.286","31.3597","4.971","0.0000988858321130267","4.00486592757269","0.109961045309686","0.0137451306637107","0.104347268838899","BMPR2,CCN1,BMP4","1078,2654,1071"
"","Direct GO Biological Processes","GO:0045669","positive regulation of osteoblast differentiation","34","4","5.714","13.5277","3.758","0.000199806480918011","3.69939042911664","0.222184806780828","0.0246872007534253","0.187414877087978","BMP4,MSX2,BMPR2,CCN1","1071,7392,1078,2654"
"","Direct GO Biological Processes","GO:0030509","BMP signaling pathway","38","4","5.714","12.1038","3.597","0.000309804047129197","3.50891291312814","0.344502100407667","0.0344502100407667","0.261531550090769","MSX2,BMPR2,EGR1,BMP4","7392,1078,3238,1071"
"","Direct GO Biological Processes","GO:0071363","cellular response to growth factor stimulus","43","4","5.714","10.6963","3.419","0.000501288525985699","3.29991223585797","0.557432840896097","0.0441970724855021","0.335525643034663","BMP4,MSX2,BMPR2,MAP1B","1071,7392,1078,6836"
"","Direct GO Biological Processes","GO:0030501","positive regulation of bone mineralization","19","3","4.286","18.1556","4.182","0.000552444537433977","3.25771131636764","0.614318325626582","0.0441970724855021","0.335525643034663","BMPR2,CCN1,BMP4","1078,2654,1071"
"","Direct GO Biological Processes","GO:0001649","osteoblast differentiation","80","5","7.143","7.1866","2.845","0.000624522820398855","3.20445168764657","0.694469376283527","0.0441970724855021","0.335525643034663","MSX2,CCN2,BMP4,CCN1,BMPR2","7392,2500,1071,2654,1078"
