Protein.Group,Gene_names,Distinct_proteotypic_peptides,Distinct_precursors,Library_proteotypic_peptides,Runs_detected_of_27,Median_DIANN_Evidence,Median_MS1_profile_corr,Detected_RDH12_Veh_atRAL5hr_of_3,Detected_RDH12_100_atRAL5hr_of_3,Detected_RDH12_200_atRAL5hr_of_3,Detected_RDH12_Veh_atRAL5hr.24h_recvr_of_3,Detected_RDH12_100_atRAL5hr.24h_recvr_of_3,Detected_RDH12_200_atRAL5hr.24h_recvr_of_3,Detected_WT_Veh_atRAL5hr.24h_recvr_of_3,Detected_WT_100_atRAL5hr.24h_recvr_of_3,Detected_WT_200_atRAL5hr.24h_recvr_of_3,Single_peptide_protein_group,Support_tier
A0A0U1RRE5,NBDY,1,1,1,8,2.998242974281311,0,3,0,0,2,1,1,1,0,0,TRUE,C
A0A1W2PQ72,MSANTD7,9,10,9,27,2.9906222820281982,0.16240061819553375,3,3,3,3,3,3,3,3,3,FALSE,A
A0A3B3IS91,POLGARF,3,3,3,25,2.6378554105758667,0.5398344099521637,3,1,3,3,3,3,3,3,3,FALSE,A
A0AAG2UWQ9,NKRF,36,46,36,27,4.570842266082764,0.8697736263275146,3,3,3,3,3,3,3,3,3,FALSE,A
A0AV96,RBM47,7,7,7,25,2.8010876178741455,0.4190071225166321,2,3,2,3,3,3,3,3,3,FALSE,A
A0AVF1,IFT56,11,11,11,23,2.6551334857940674,0.3259359896183014,0,3,2,3,3,3,3,3,3,FALSE,A
A0AVT1,UBA6,46,69,46,27,3.8687400817871094,0.7758150696754456,3,3,3,3,3,3,3,3,3,FALSE,A
A0FGR8,ESYT2,28,37,28,27,4.020255088806152,0.7930448651313782,3,3,3,3,3,3,3,3,3,FALSE,A
A0JLT2,MED19,7,8,7,27,4.006198167800903,0.7763012647628784,3,3,3,3,3,3,3,3,3,FALSE,A
A0JNW5,BLTP3B,8,8,8,24,2.551091194152832,0,2,3,2,3,3,3,3,3,2,FALSE,A
A0MZ66,SHTN1,32,46,32,27,4.367165565490723,0.8097882270812988,3,3,3,3,3,3,3,3,3,FALSE,A
A0PJW6,TMEM223,1,1,1,7,3.1147685050964355,0.7950743436813354,0,2,2,0,1,0,0,0,2,TRUE,C
A0PJZ3,GXYLT2,2,2,2,13,3.1505537033081055,0.803774356842041,0,3,2,3,2,0,1,0,2,FALSE,A
A0PK00,TMEM120B,2,2,2,5,2.535432815551758,0.7603302597999573,0,1,2,0,0,0,0,0,2,FALSE,A
A1A4S6,ARHGAP10,7,7,7,27,3.0488767623901367,0.4973670244216919,3,3,3,3,3,3,3,3,3,FALSE,A
A1L020,MEX3A,4,4,4,25,2.744631767272949,0.18719083815813065,2,3,2,3,3,3,3,3,3,FALSE,A
A1L0T0,ILVBL,15,19,15,27,3.343422770500183,0.7181406617164612,3,3,3,3,3,3,3,3,3,FALSE,A
A1L170,C1orf226,2,2,2,25,2.975036382675171,0,3,3,3,3,3,3,2,2,3,FALSE,A
A1L188,NDUFAF8,1,1,1,11,2.7964553833007813,0.02865961566567421,2,3,2,1,1,1,1,0,0,TRUE,C
A1L390,PLEKHG3,9,9,9,27,2.7438840866088867,0.41989897191524506,3,3,3,3,3,3,3,3,3,FALSE,A
A1X283,SH3PXD2B,19,22,19,27,3.719094753265381,0.7014676928520203,3,3,3,3,3,3,3,3,3,FALSE,A
A1XBS5,CIBAR1,5,5,5,26,2.3833768367767334,0,3,3,2,3,3,3,3,3,3,FALSE,A
A2A3N6,PIPSL,2,2,2,21,2.9916205406188965,0.34728384017944336,3,3,2,2,1,1,3,3,3,FALSE,A
A2AJT9,BCLAF3,4,4,4,27,3.000030040740967,0.496381551027298,3,3,3,3,3,3,3,3,3,FALSE,A
A2RRP1,NBAS,11,11,11,23,3.0186214447021484,0.6633062958717346,0,3,2,3,3,3,3,3,3,FALSE,A
A2RTX5,TARS3,13,13,13,27,3.2435860633850098,0.40741416811943054,3,3,3,3,3,3,3,3,3,FALSE,A
A2RU67,FAM234B,6,7,6,27,3.4593939781188965,0.6028656959533691,3,3,3,3,3,3,3,3,3,FALSE,A
A2RUB6,CCDC66,2,2,2,14,2.6315362453460693,0,0,0,0,3,3,3,2,3,0,FALSE,A
A2VDF0,FUOM,2,2,2,26,3.317001461982727,0.7551793456077576,3,3,3,3,3,3,3,3,2,FALSE,A
A2VDJ0,TMEM131L,5,5,5,22,2.7983179092407227,0,0,3,1,3,3,3,3,3,3,FALSE,A
A3KMH1,VWA8,18,18,18,26,2.88531231880188,0.20836857706308365,2,3,3,3,3,3,3,3,3,FALSE,A
A3KN83,SBNO1,9,9,9,26,3.1196848154067993,0.49617044627666473,2,3,3,3,3,3,3,3,3,FALSE,A
A4D161,FAM221A,5,6,5,22,2.7112326622009277,0.5739066898822784,2,3,1,3,3,3,3,3,1,FALSE,A
A4D1E9,GTPBP10,11,12,11,27,4.411516904830933,0.8599278926849365,3,3,3,3,3,3,3,3,3,FALSE,A
A4D1P6,WDR91,19,19,19,27,3.0834293365478516,0.5373809933662415,3,3,3,3,3,3,3,3,3,FALSE,A
A4D1S0,KLRG2,11,11,11,27,3.279717445373535,0.5917242169380188,3,3,3,3,3,3,3,3,3,FALSE,A
A5D8V6,VPS37C,2,2,2,22,2.7574580907821655,0.3979340046644211,3,3,3,2,3,3,1,2,2,FALSE,A
A5PL33,KRBA1,6,6,6,26,2.4612479209899902,0.09069696068763733,3,3,2,3,3,3,3,3,3,FALSE,A
A5PLL7,PEDS1,2,2,2,23,3.337963819503784,0.3425857126712799,0,3,2,3,3,3,3,3,3,FALSE,A
A5PLN9,TRAPPC13,7,8,7,25,2.8026589155197144,0.6863917410373688,2,3,2,3,3,3,3,3,3,FALSE,A
A5YKK6,CNOT1,56,62,56,27,3.557403087615967,0.7124994993209839,3,3,3,3,3,3,3,3,3,FALSE,A
A6H8Y1,BDP1,16,16,16,27,2.897945284843445,0.05478491820394993,3,3,3,3,3,3,3,3,3,FALSE,A
A6NDG6,PGP,12,14,12,27,4.939135313034058,0.89207524061203,3,3,3,3,3,3,3,3,3,FALSE,A
A6NDU8,RIMOC1,8,8,8,26,3.553338646888733,0.8511217832565308,3,3,2,3,3,3,3,3,3,FALSE,A
A6NED2,RCCD1,8,9,8,27,3.837035655975342,0.6006741523742676,3,3,3,3,3,3,3,3,3,FALSE,A
A6NFI3,ZNF316,11,14,11,27,3.12309193611145,0.6754629611968994,3,3,3,3,3,3,3,3,3,FALSE,A
A6NGB9,WIPF3,6,6,6,27,3.216367721557617,0.3057156503200531,3,3,3,3,3,3,3,3,3,FALSE,A
A6NHL2,TUBAL3,2,2,2,27,4.535963535308838,0.01382964663207531,3,3,3,3,3,3,3,3,3,FALSE,A
A6NHQ4,EPOP,2,2,2,21,2.211967706680298,0,0,1,2,3,3,3,3,3,3,FALSE,A
A6NHR9,SMCHD1,80,98,80,27,3.8836089372634888,0.8115994036197662,3,3,3,3,3,3,3,3,3,FALSE,A
A6NHX0,CASTOR2,3,3,3,15,2.8523720502853394,0.8078060746192932,0,3,2,0,1,3,1,3,2,FALSE,A
A6NIH7,UNC119B,7,9,7,27,4.678047180175781,0.739156574010849,3,3,3,3,3,3,3,3,3,FALSE,A
A6NIZ1,RAP1BL,1,1,1,9,1.9427934885025024,0,3,1,3,0,1,0,0,0,1,TRUE,C
A6NJ78,METTL15,3,3,3,23,3.7344748973846436,0.7630466818809509,0,3,2,3,3,3,3,3,3,FALSE,A
A6NJT0,UNCX,4,5,4,27,2.837320566177368,0.6250070929527283,3,3,3,3,3,3,3,3,3,FALSE,A
A6NK58,LIPT2,2,2,2,24,3.300301432609558,0.4580806791782379,0,3,3,3,3,3,3,3,3,FALSE,A
A6NKD9,CCDC85C,15,22,15,27,4.6547441482543945,0.890828549861908,3,3,3,3,3,3,3,3,3,FALSE,A
A6NNY8,USP27X,1,1,1,9,2.564796209335327,0.7837518453598022,0,1,0,2,1,1,0,2,2,TRUE,C
A7E2V4,ZSWIM8,3,3,3,25,3.2469087839126587,0.58328577876091,1,3,3,3,3,3,3,3,3,FALSE,A
A7KAX9,ARHGAP32,4,4,4,18,2.4983423948287964,0,0,3,0,3,2,3,3,2,2,FALSE,A
A7XYQ1,SOBP,1,1,1,16,3.957909345626831,0.4796767234802246,0,1,1,3,3,3,3,2,0,TRUE,C
A8CG34,POM121C,4,5,4,24,2.8846609592437744,0.5014062076807022,0,3,3,3,3,3,3,3,3,FALSE,A
A8K0R7,ZNF839,2,2,2,21,2.405667304992676,0,0,2,1,3,3,3,3,3,3,FALSE,A
A8MT69,CENPX,1,1,1,16,2.5259368419647217,0.7773314714431763,1,1,2,3,3,3,2,1,0,TRUE,C
A8MTT3,CEBPZOS,4,4,4,20,3.8646349906921387,0.7827799916267395,3,3,3,3,2,3,2,1,0,FALSE,A
A8MTY0,ZNF724,3,3,3,12,2.6346564292907715,0.7721735537052155,1,3,3,1,0,0,1,0,3,FALSE,A
A8MVS5,HIDE1,1,1,1,23,3.323655366897583,0,3,3,3,3,3,3,2,2,1,TRUE,C
A8MVW0,FAM171A2,8,8,8,25,2.688184142112732,0.3916649669408798,2,3,2,3,3,3,3,3,3,FALSE,A
A8MW92,PHF20L1,12,12,12,27,3.061916470527649,0.1124252937734127,3,3,3,3,3,3,3,3,3,FALSE,A
A8MWY0,ELAPOR2,8,8,8,27,2.601695418357849,0.20187483727931976,3,3,3,3,3,3,3,3,3,FALSE,A
A8MXV4,NUDT19,13,18,13,27,3.2156344652175903,0.6167482733726501,3,3,3,3,3,3,3,3,3,FALSE,A
A9UHW6,MIF4GD,4,4,4,23,2.511824607849121,0.23195096105337143,2,3,2,3,3,3,3,3,1,FALSE,A
B2RBV5,MRFAP1L2,3,3,3,24,4.1928486824035645,0.4828025996685028,3,3,2,3,3,3,3,3,1,FALSE,A
B2RTY4,MYO9A,8,8,8,23,2.8711429834365845,0.5949057936668396,0,3,2,3,3,3,3,3,3,FALSE,A
B2RUZ4,SMIM1,1,1,1,25,3.7436540126800537,0.8084402084350586,3,3,3,3,3,3,3,2,2,TRUE,C
B3KNS4,ERVK3-1,3,3,3,26,3.7326194047927856,0.5685223937034607,3,3,3,3,3,3,2,3,3,FALSE,A
C9JLR9,ZFTA,5,5,5,27,3.5675907135009766,0.2939852327108383,3,3,3,3,3,3,3,3,3,FALSE,A
C9JLW8,MCRIP1,6,10,6,27,5.741672515869141,0.9408801794052124,3,3,3,3,3,3,3,3,3,FALSE,A
E9PAV3,NACA,4,7,4,27,6.526501655578613,0.9750155806541443,3,3,3,3,3,3,3,3,3,FALSE,A
E9PRG8,C11orf98,6,8,6,27,6.0625505447387695,0.8903648257255554,3,3,3,3,3,3,3,3,3,FALSE,A
F2Z333,FNDC10,5,6,5,27,3.3213741779327393,0.7088454961776733,3,3,3,3,3,3,3,3,3,FALSE,A
L0R819,ASDURF,9,14,9,27,4.479275703430176,0.8455070853233337,3,3,3,3,3,3,3,3,3,FALSE,A
O00115,DNASE2,8,9,8,27,5.080342054367065,0.9226560294628143,3,3,3,3,3,3,3,3,3,FALSE,A
O00116,AGPS,30,42,30,27,4.63388204574585,0.8676938414573669,3,3,3,3,3,3,3,3,3,FALSE,A
O00124,UBXN8,2,2,2,24,3.150404930114746,0.47281011939048767,1,3,3,3,3,3,2,3,3,FALSE,A
O00139,KIF2A,21,26,21,27,4.553756237030029,0.8965218961238861,3,3,3,3,3,3,3,3,3,FALSE,A
O00142,TK2,2,2,2,15,2.0649750232696533,0,0,1,2,2,1,2,2,2,3,FALSE,A
O00148,DDX39A,11,18,11,27,6.078204154968262,0.9646772146224976,3,3,3,3,3,3,3,3,3,FALSE,A
