"","X","Gene","contrast","p.val","p.adj","ratio"
"1",16,"AAMP","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.308804399871603,0.886,-0.227
"2",17,"AAMP","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.242654105275314,0.884,-0.261
"3",18,"AAMP","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.0358964021595705,0.763,-0.488
"4",19,"AAMP","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.623386287631098,0.865,0.108
"5",20,"AAMP","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.602070557672885,0.889,-0.115
"6",21,"AAMP","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.696466397996892,0.831,0.0859
"7",22,"AAMP","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",3.86068376336634e-06,1,-1.36
"8",23,"AAMP","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",0.185825799997916,0.906,0.297
"9",24,"AAMP","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.742813967417429,0.897,-0.0722
"10",25,"AAMP","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",0.122242264094868,0.882,-0.35
"11",26,"AAMP","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.950351086146659,0.934,0.0137
"12",27,"AAMP","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.461586043471289,0.734,0.163
"13",28,"AAMP","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",2.05261615391666e-05,0.011,-1.2
"14",29,"AAMP","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.357799738879517,0.819,-0.204
"15",30,"AAMP","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",5.42139803491953e-07,0.511,-1.56
"16",31,"ABCA3","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.000147421133985952,4.36e-06,1.96
"17",32,"ABCA3","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.444622794201564,0.909,0.329
"18",33,"ABCA3","GFP_200_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",2.43402288131648e-05,0.211,2.29
"19",34,"ABCA3","RDH12_100_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.54578862443176,0.85,0.259
"20",35,"ABCA3","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr",0.742384345712475,0.898,-0.14
"21",36,"ABCA3","RDH12_100_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.410530904000498,0.596,-0.354
"22",37,"ABCA3","RDH12_100_atRAL5hr_vs_RDH12_control_atRAL5hr",8.12129219642071e-09,1,3.96
"23",38,"ABCA3","RDH12_200_atRAL5hr.24h_recvr_vs_GFP_200_atRAL5hr.24h_recvr",0.932022770948988,0.943,0.0364
"24",39,"ABCA3","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_100_atRAL5hr.24h_recvr",0.803890919620524,0.906,0.106
"25",40,"ABCA3","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_200_atRAL5hr",0.0727959110760193,0.864,-0.798
"26",41,"ABCA3","RDH12_200_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr.24h_recvr",0.562544541773787,0.887,-0.248
"27",42,"ABCA3","RDH12_200_atRAL5hr_vs_RDH12_100_atRAL5hr",0.0850116417282839,0.546,0.763
"28",43,"ABCA3","RDH12_200_atRAL5hr_vs_RDH12_control_atRAL5hr",3.95459486276669e-10,6.24e-09,4.72
"29",44,"ABCA3","RDH12_control_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",5.36718338137988e-06,1.35e-05,2.58
"30",45,"ABCA3","RDH12_control_atRAL5hr.24h_recvr_vs_RDH12_control_atRAL5hr",3.35510210273004e-09,0.148,4.17
"31",46,"ABCB1","GFP_100_atRAL5hr.24h_recvr_vs_GFP_control_atRAL5hr.24h_recvr",0.472604109785555,0.932,-0.222
"32",47,"ABCB1","GFP_200_atRAL5hr.24h_recvr_vs_GFP_100_atRAL5hr.24h_recvr",0.0150338255497071,0.682,0.805
