Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Cellular Components,20,GO:0031966,mitochondrial membrane,,-19,3.9,12,30230,793,584,60,10,1.3,22|706|1468|2182|2710|4504|4508|4514|4540|4541|4706|4833|6391|6392|8834|9016|9481|9489|9927|10463|10975|23175|23456|23761|25875|26521|51300|51522|51537|51660|54968|54974|54996|55669|56997|57038|57169|57380|58472|60558|63933|79109|79671|81554|84129|84274|84275|84947|90550|91137|113612|114789|114971|119559|123096|157378|197257|221154|286097|340061,ABCB7|TSPO|SLC25A10|ACSL4|GK|MT3|ATP6|COX3|ND5|ND6|NDUFAB1|NME4|SDHC|SDHD|TMEM11|SLC25A14|SLC25A27|PGS1|MFN2|SLC30A9|UQCR11|LPIN1|ABCB10|PISD|LETMD1|TIMM8B|TIMMDC1|TMEM14C|MTFP1|MPC1|TMEM70|THG1L|MTARC2|MFN1|COQ8A|RARS2|ZNFX1|MRS2|SQOR|GUF1|MCUR1|MAPKAP1|NLRX1|RCC1L|ACAD11|COQ5|SLC25A33|SERAC1|MCU|SLC25A46|CYP2U1|SLC25A25|PTPMT1|SFXN4|SLC25A29|TMEM65|LDHD|MICU2|MICU3|STING1,-14,MyList
GO Biological Processes,19,GO:0090407,organophosphate biosynthetic process,19_GO:0009987 cellular process,-16,4.3,11,30230,565,584,47,8,1.1,1040|1468|2182|2710|2977|3988|4337|4508|4540|4541|4706|4833|5286|5287|5290|6391|6392|8443|9374|9489|9517|9677|9926|10020|10162|11001|23049|23167|23761|25875|26289|27132|30849|51205|51422|57605|64924|65258|81490|84302|84947|93100|93183|114971|128869|197322|200576,CDS1|SLC25A10|ACSL4|GK|GUCY1A2|LIPA|MOCS1|ATP6|ND5|ND6|NDUFAB1|NME4|PIK3C2A|PIK3C2B|PIK3CA|SDHC|SDHD|GNPAT|PPT2|PGS1|SPTLC2|PPIP5K1|LPGAT1|GNE|LPCAT3|SLC27A2|SMG1|EFR3A|PISD|LETMD1|AK5|CPNE7|PIK3R4|ACP6|PRKAG2|PITPNM2|SLC30A5|MPPE1|PTDSS2|PGAP4|SERAC1|NAPRT|PIGM|PTPMT1|PIGU|ACSF3|PIKFYVE,-12,MyList
GO Biological Processes,19,GO:0008610,lipid biosynthetic process,19_GO:0009987 cellular process,-16,4.2,11,30230,593,584,48,8.2,1.1,20|706|1040|1718|2182|2710|3988|4706|5286|5287|5290|5563|5587|6307|8443|9374|9489|9517|9926|10162|10682|10948|11001|23049|23167|23175|23761|25979|27132|30849|51205|51422|55825|57605|64924|65258|81490|83723|84302|84947|93183|114971|128869|137695|197322|200576|253260|729920,ABCA2|TSPO|CDS1|DHCR24|ACSL4|GK|LIPA|NDUFAB1|PIK3C2A|PIK3C2B|PIK3CA|PRKAA2|PRKD1|MSMO1|GNPAT|PPT2|PGS1|SPTLC2|LPGAT1|LPCAT3|EBP|STARD3|SLC27A2|SMG1|EFR3A|LPIN1|PISD|DHRS7B|CPNE7|PIK3R4|ACP6|PRKAG2|PECR|PITPNM2|SLC30A5|MPPE1|PTDSS2|TLCD3B|PGAP4|SERAC1|PIGM|PTPMT1|PIGU|TMEM68|ACSF3|PIKFYVE|RICTOR|CRPPA,-12,MyList
GO Cellular Components,20,GO:0005743,mitochondrial inner membrane,,-15,4.4,11,30230,508,584,43,7.4,1.1,22|1468|4508|4514|4540|4541|4706|4833|6391|6392|8834|9016|9481|9489|10975|23456|23761|25875|26521|51300|51522|51537|51660|54968|56997|57380|58472|60558|63933|81554|84129|84274|84275|90550|113612|114789|114971|119559|123096|157378|197257|221154|286097,ABCB7|SLC25A10|ATP6|COX3|ND5|ND6|NDUFAB1|NME4|SDHC|SDHD|TMEM11|SLC25A14|SLC25A27|PGS1|UQCR11|ABCB10|PISD|LETMD1|TIMM8B|TIMMDC1|TMEM14C|MTFP1|MPC1|TMEM70|COQ8A|MRS2|SQOR|GUF1|MCUR1|RCC1L|ACAD11|COQ5|SLC25A33|MCU|CYP2U1|SLC25A25|PTPMT1|SFXN4|SLC25A29|TMEM65|LDHD|MICU2|MICU3,-11,MyList
GO Cellular Components,20,GO:0019866,organelle inner membrane,,-15,4.1,11,30230,565,584,45,7.7,1.1,22|1468|4508|4514|4540|4541|4706|4833|6391|6392|8834|9016|9481|9489|10975|23411|23456|23761|25875|26521|51300|51522|51537|51660|54968|56997|57380|58472|60558|63933|81554|83862|84129|84274|84275|90550|113612|114789|114971|119559|123096|157378|197257|221154|286097,ABCB7|SLC25A10|ATP6|COX3|ND5|ND6|NDUFAB1|NME4|SDHC|SDHD|TMEM11|SLC25A14|SLC25A27|PGS1|UQCR11|SIRT1|ABCB10|PISD|LETMD1|TIMM8B|TIMMDC1|TMEM14C|MTFP1|MPC1|TMEM70|COQ8A|MRS2|SQOR|GUF1|MCUR1|RCC1L|TMEM120A|ACAD11|COQ5|SLC25A33|MCU|CYP2U1|SLC25A25|PTPMT1|SFXN4|SLC25A29|TMEM65|LDHD|MICU2|MICU3,-11,MyList
Reactome Gene Sets,6,R-HSA-556833,Metabolism of lipids,,-14,3.5,9.7,30230,757,584,51,8.7,1.2,406|416|706|1040|1718|2182|2710|4706|5286|5287|5290|5563|5587|6095|6307|6721|6837|8310|8443|9374|9439|9489|9517|9885|9915|9926|10162|10478|10682|10948|11001|23175|23761|25979|27132|30849|51205|51360|51422|54545|55825|56261|57605|59338|66036|81490|84129|113612|114971|197322|200576,BMAL1|ARSF|TSPO|CDS1|DHCR24|ACSL4|GK|NDUFAB1|PIK3C2A|PIK3C2B|PIK3CA|PRKAA2|PRKD1|RORA|MSMO1|SREBF2|MED22|ACOX3|GNPAT|PPT2|MED23|PGS1|SPTLC2|OSBPL2|ARNT2|LPGAT1|LPCAT3|SLC25A17|EBP|STARD3|SLC27A2|LPIN1|PISD|DHRS7B|CPNE7|PIK3R4|ACP6|MBTPS2|PRKAG2|MTMR12|PECR|GPCPD1|PITPNM2|PLEKHA1|MTMR9|PTDSS2|ACAD11|CYP2U1|PTPMT1|ACSF3|PIKFYVE,-10,MyList
GO Biological Processes,19,GO:0070647,protein modification by small protein conjugation or removal,19_GO:0009987 cellular process,-13,3.4,9.4,30230,782,584,51,8.7,1.2,373|1540|1959|5192|7126|7328|8925|9817|9960|11043|23032|23038|23113|23411|26001|26249|29761|29882|51255|54542|55128|55167|55585|55819|55958|57161|57448|57520|57531|57542|57558|57559|57560|63891|64682|64750|79786|80013|80067|84078|84219|84447|84669|84861|89890|91947|123228|142678|142685|151525|257218,TRIM23|CYLD|EGR2|PEX10|TNFAIP1|UBE2H|HERC1|KEAP1|USP3|MID2|USP33|WDTC1|CUL9|SIRT1|RNF167|KLHL3|USP25|ANAPC2|RNF181|RC3H2|TRIM68|MSL2|UBE2Q1|RNF130|KLHL9|PELI2|BIRC6|HECW2|HACE1|KLHL42|USP35|STAMBPL1|IFT80|RNF123|ANAPC1|SMURF2|KLHL36|MINDY3|DCAF17|KBTBD7|WDR24|SYVN1|USP32|KLHL22|KBTBD6|ARRDC4|SENP8|MIB2|ASB15|WDSUB1|SHPRH,-9.8,MyList
GO Biological Processes,19,GO:0045017,glycerolipid biosynthetic process,19_GO:0009987 cellular process,-13,6.2,11,30230,216,584,26,4.5,0.85,1040|2710|5286|5287|5290|8443|9489|9926|10162|23049|23167|23175|23761|27132|30849|51205|57605|64924|65258|81490|84302|93183|114971|128869|137695|200576,CDS1|GK|PIK3C2A|PIK3C2B|PIK3CA|GNPAT|PGS1|LPGAT1|LPCAT3|SMG1|EFR3A|LPIN1|PISD|CPNE7|PIK3R4|ACP6|PITPNM2|SLC30A5|MPPE1|PTDSS2|PGAP4|PIGM|PTPMT1|PIGU|TMEM68|PIKFYVE,-9.4,MyList
GO Biological Processes,19,GO:0046486,glycerolipid metabolic process,19_GO:0009987 cellular process,-13,4.8,10,30230,359,584,33,5.7,0.96,21|1040|2710|3988|4547|5286|5287|5290|8443|9489|9926|10162|23049|23167|23175|23411|23761|27132|30849|51205|56261|57605|64924|65258|66036|81490|84302|84947|93183|114971|128869|137695|200576,ABCA3|CDS1|GK|LIPA|MTTP|PIK3C2A|PIK3C2B|PIK3CA|GNPAT|PGS1|LPGAT1|LPCAT3|SMG1|EFR3A|LPIN1|SIRT1|PISD|CPNE7|PIK3R4|ACP6|GPCPD1|PITPNM2|SLC30A5|MPPE1|MTMR9|PTDSS2|PGAP4|SERAC1|PIGM|PTPMT1|PIGU|TMEM68|PIKFYVE,-9.3,MyList
GO Biological Processes,19,GO:0009267,cellular response to starvation,19_GO:0050896 response to stimulus,-12,6.4,11,30230,193,584,24,4.1,0.82,2353|5287|5563|5587|6721|6845|9213|9681|10325|23411|26001|26100|27072|27244|30849|51422|55062|64121|79726|84219|90550|93664|201163|440275,FOS|PIK3C2B|PRKAA2|PRKD1|SREBF2|VAMP7|XPR1|DEPDC5|RRAGB|SIRT1|RNF167|WIPI2|VPS41|SESN1|PIK3R4|PRKAG2|WIPI1|RRAGC|WDR59|WDR24|MCU|CADPS2|FLCN|EIF2AK4,-8.9,MyList
