_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,CHILD_GO_MyList
1,-16.268950701347794,GO:0009987,cellular process,M1,1,GO:0090407 organophosphate biosynthetic process
1,-12.24603726430369,GO:0050896,response to stimulus,M1,1,GO:0009267 cellular response to starvation
1,-9.514673531948246,GO:0050789,regulation of biological process,M1,1,GO:0010506 regulation of autophagy
1,-9.403309417910698,GO:0051179,localization,M1,1,GO:0006869 lipid transport
1,-6.905225482084204,GO:0048518,positive regulation of biological process,M1,1,GO:0010508 positive regulation of autophagy
1,-6.39309841285859,GO:0042592,homeostatic process,M1,1,GO:0055088 lipid homeostasis
1,-5.6377731511917535,GO:0048519,negative regulation of biological process,M1,1,GO:0032007 negative regulation of TOR signaling
1,-3.991280215512293,GO:0002376,immune system process,M1,1,GO:0038095 Fc-epsilon receptor signaling pathway
1,-3.927046064143113,GO:0032502,developmental process,M1,1,GO:0021702 cerebellar Purkinje cell differentiation
1,-3.6500338247473403,GO:0065007,biological regulation,M1,1,GO:0032535 regulation of cellular component size
1,-3.4075208320549004,GO:0016032,viral process,M1,1,GO:0045071 negative regulation of viral genome replication
1,-3.10573636001466,GO:0043473,pigmentation,M1,1,GO:0032438 melanosome organization
1,-2.8326564596309938,GO:0032501,multicellular organismal process,M1,1,GO:0007622 rhythmic behavior
1,-2.695632114998157,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0051607 defense response to virus
1,-2.650727890315534,GO:0048511,rhythmic process,M1,1,GO:0048511 rhythmic process
1,-2.0721059919848943,GO:0040007,growth,M1,1,GO:0035264 multicellular organism growth
