_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-18.67872412269033,GO:0031966,M1,1,0,GO Cellular Components,20,mitochondrial membrane,,-18.67872412269033,3.9165471851301628,11.681378292962796,30230,793,584,60,10.273972602739725,1.2563828456523636,22|706|1468|2182|2710|4504|4508|4514|4540|4541|4706|4833|6391|6392|8834|9016|9481|9489|9927|10463|10975|23175|23456|23761|25875|26521|51300|51522|51537|51660|54968|54974|54996|55669|56997|57038|57169|57380|58472|60558|63933|79109|79671|81554|84129|84274|84275|84947|90550|91137|113612|114789|114971|119559|123096|157378|197257|221154|286097|340061,ABCB7|TSPO|SLC25A10|ACSL4|GK|MT3|ATP6|COX3|ND5|ND6|NDUFAB1|NME4|SDHC|SDHD|TMEM11|SLC25A14|SLC25A27|PGS1|MFN2|SLC30A9|UQCR11|LPIN1|ABCB10|PISD|LETMD1|TIMM8B|TIMMDC1|TMEM14C|MTFP1|MPC1|TMEM70|THG1L|MTARC2|MFN1|COQ8A|RARS2|ZNFX1|MRS2|SQOR|GUF1|MCUR1|MAPKAP1|NLRX1|RCC1L|ACAD11|COQ5|SLC25A33|SERAC1|MCU|SLC25A46|CYP2U1|SLC25A25|PTPMT1|SFXN4|SLC25A29|TMEM65|LDHD|MICU2|MICU3|STING1,-14.30318853018083,0,1,1,1,-18.67872412269033,4.381572915543091,
1,-15.188622331782009,GO:0005743,M1,1,0,GO Cellular Components,20,mitochondrial inner membrane,,-15.188622331782009,4.381572915543091,10.788147093858184,30230,508,584,43,7.363013698630137,1.0807209978686656,22|1468|4508|4514|4540|4541|4706|4833|6391|6392|8834|9016|9481|9489|10975|23456|23761|25875|26521|51300|51522|51537|51660|54968|56997|57380|58472|60558|63933|81554|84129|84274|84275|90550|113612|114789|114971|119559|123096|157378|197257|221154|286097,ABCB7|SLC25A10|ATP6|COX3|ND5|ND6|NDUFAB1|NME4|SDHC|SDHD|TMEM11|SLC25A14|SLC25A27|PGS1|UQCR11|ABCB10|PISD|LETMD1|TIMM8B|TIMMDC1|TMEM14C|MTFP1|MPC1|TMEM70|COQ8A|MRS2|SQOR|GUF1|MCUR1|RCC1L|ACAD11|COQ5|SLC25A33|MCU|CYP2U1|SLC25A25|PTPMT1|SFXN4|SLC25A29|TMEM65|LDHD|MICU2|MICU3,-11.41514673060047,0,1,0,0,-18.67872412269033,4.381572915543091,
1,-14.893549892838797,GO:0019866,M1,1,0,GO Cellular Components,20,organelle inner membrane,,-14.893549892838797,4.122772457267548,10.516655544020631,30230,565,584,45,7.705479452054795,1.1035229479302329,22|1468|4508|4514|4540|4541|4706|4833|6391|6392|8834|9016|9481|9489|10975|23411|23456|23761|25875|26521|51300|51522|51537|51660|54968|56997|57380|58472|60558|63933|81554|83862|84129|84274|84275|90550|113612|114789|114971|119559|123096|157378|197257|221154|286097,ABCB7|SLC25A10|ATP6|COX3|ND5|ND6|NDUFAB1|NME4|SDHC|SDHD|TMEM11|SLC25A14|SLC25A27|PGS1|UQCR11|SIRT1|ABCB10|PISD|LETMD1|TIMM8B|TIMMDC1|TMEM14C|MTFP1|MPC1|TMEM70|COQ8A|MRS2|SQOR|GUF1|MCUR1|RCC1L|TMEM120A|ACAD11|COQ5|SLC25A33|MCU|CYP2U1|SLC25A25|PTPMT1|SFXN4|SLC25A29|TMEM65|LDHD|MICU2|MICU3,-11.216984304665317,0,1,0,0,-18.67872412269033,4.381572915543091,
1,-7.268633703882683,GO:0007005,M1,1,0,GO Biological Processes,19,mitochondrion organization,19_GO:0009987 cellular process,-7.268633703882683,3.5649930186044756,6.90047458460641,30230,363,584,25,4.280821917808219,0.8376385138868881,3988|4540|4541|8834|9638|9927|23682|23761|25875|26521|51300|51537|51542|54968|54974|54978|55669|81554|84266|84275|91137|91419|114971|124997|131474,LIPA|ND5|ND6|TMEM11|FEZ1|MFN2|RAB38|PISD|LETMD1|TIMM8B|TIMMDC1|MTFP1|VPS54|TMEM70|THG1L|SLC35F6|MFN1|RCC1L|ALKBH7|SLC25A33|SLC25A46|ATP23|PTPMT1|WDR81|CHCHD4,-4.495158102701146,0,1,0,0,-18.67872412269033,4.381572915543091,
1,-16.268950701347794,GO:0090407,M1,1,0,GO Biological Processes,19,organophosphate biosynthetic process,19_GO:0009987 cellular process,-16.268950701347794,4.306006788701661,11.1337393610137,30230,565,584,47,8.047945205479452,1.1256847980606464,1040|1468|2182|2710|2977|3988|4337|4508|4540|4541|4706|4833|5286|5287|5290|6391|6392|8443|9374|9489|9517|9677|9926|10020|10162|11001|23049|23167|23761|25875|26289|27132|30849|51205|51422|57605|64924|65258|81490|84302|84947|93100|93183|114971|128869|197322|200576,CDS1|SLC25A10|ACSL4|GK|GUCY1A2|LIPA|MOCS1|ATP6|ND5|ND6|NDUFAB1|NME4|PIK3C2A|PIK3C2B|PIK3CA|SDHC|SDHD|GNPAT|PPT2|PGS1|SPTLC2|PPIP5K1|LPGAT1|GNE|LPCAT3|SLC27A2|SMG1|EFR3A|PISD|LETMD1|AK5|CPNE7|PIK3R4|ACP6|PRKAG2|PITPNM2|SLC30A5|MPPE1|PTDSS2|PGAP4|SERAC1|NAPRT|PIGM|PTPMT1|PIGU|ACSF3|PIKFYVE,-12.238818698399918,0,2,1,1,-16.268950701347794,6.2473429381199805,
1,-16.137233036189755,GO:0008610,M1,1,0,GO Biological Processes,19,lipid biosynthetic process,19_GO:0009987 cellular process,-16.137233036189755,4.189978978493382,11.011165987688157,30230,593,584,48,8.219178082191782,1.136537429453436,20|706|1040|1718|2182|2710|3988|4706|5286|5287|5290|5563|5587|6307|8443|9374|9489|9517|9926|10162|10682|10948|11001|23049|23167|23175|23761|25979|27132|30849|51205|51422|55825|57605|64924|65258|81490|83723|84302|84947|93183|114971|128869|137695|197322|200576|253260|729920,ABCA2|TSPO|CDS1|DHCR24|ACSL4|GK|LIPA|NDUFAB1|PIK3C2A|PIK3C2B|PIK3CA|PRKAA2|PRKD1|MSMO1|GNPAT|PPT2|PGS1|SPTLC2|LPGAT1|LPCAT3|EBP|STARD3|SLC27A2|SMG1|EFR3A|LPIN1|PISD|DHRS7B|CPNE7|PIK3R4|ACP6|PRKAG2|PECR|PITPNM2|SLC30A5|MPPE1|PTDSS2|TLCD3B|PGAP4|SERAC1|PIGM|PTPMT1|PIGU|TMEM68|ACSF3|PIKFYVE|RICTOR|CRPPA,-12.238818698399918,0,2,0,0,-16.268950701347794,6.2473429381199805,
1,-13.883800172549012,R-HSA-556833,M1,1,0,Reactome Gene Sets,6,Metabolism of lipids,,-13.883800172549012,3.487382602558766,9.727777349202942,30230,757,584,51,8.732876712328768,1.1682328707679432,406|416|706|1040|1718|2182|2710|4706|5286|5287|5290|5563|5587|6095|6307|6721|6837|8310|8443|9374|9439|9489|9517|9885|9915|9926|10162|10478|10682|10948|11001|23175|23761|25979|27132|30849|51205|51360|51422|54545|55825|56261|57605|59338|66036|81490|84129|113612|114971|197322|200576,BMAL1|ARSF|TSPO|CDS1|DHCR24|ACSL4|GK|NDUFAB1|PIK3C2A|PIK3C2B|PIK3CA|PRKAA2|PRKD1|RORA|MSMO1|SREBF2|MED22|ACOX3|GNPAT|PPT2|MED23|PGS1|SPTLC2|OSBPL2|ARNT2|LPGAT1|LPCAT3|SLC25A17|EBP|STARD3|SLC27A2|LPIN1|PISD|DHRS7B|CPNE7|PIK3R4|ACP6|MBTPS2|PRKAG2|MTMR12|PECR|GPCPD1|PITPNM2|PLEKHA1|MTMR9|PTDSS2|ACAD11|CYP2U1|PTPMT1|ACSF3|PIKFYVE,-10.286415830423156,0,2,0,0,-16.268950701347794,6.2473429381199805,
1,-12.877756210483167,GO:0045017,M1,1,0,GO Biological Processes,19,glycerolipid biosynthetic process,19_GO:0009987 cellular process,-12.877756210483167,6.230815575849822,10.828532553145925,30230,216,584,26,4.4520547945205475,0.8534626164047334,1040|2710|5286|5287|5290|8443|9489|9926|10162|23049|23167|23175|23761|27132|30849|51205|57605|64924|65258|81490|84302|93183|114971|128869|137695|200576,CDS1|GK|PIK3C2A|PIK3C2B|PIK3CA|GNPAT|PGS1|LPGAT1|LPCAT3|SMG1|EFR3A|LPIN1|PISD|CPNE7|PIK3R4|ACP6|PITPNM2|SLC30A5|MPPE1|PTDSS2|PGAP4|PIGM|PTPMT1|PIGU|TMEM68|PIKFYVE,-9.40531060496561,0,2,0,0,-16.268950701347794,6.2473429381199805,
1,-12.770804996841951,GO:0046486,M1,1,0,GO Biological Processes,19,glycerolipid metabolic process,19_GO:0009987 cellular process,-12.770804996841951,4.758222993856603,10.054029390353794,30230,359,584,33,5.6506849315068495,0.9554621747560708,21|1040|2710|3988|4547|5286|5287|5290|8443|9489|9926|10162|23049|23167|23175|23411|23761|27132|30849|51205|56261|57605|64924|65258|66036|81490|84302|84947|93183|114971|128869|137695|200576,ABCA3|CDS1|GK|LIPA|MTTP|PIK3C2A|PIK3C2B|PIK3CA|GNPAT|PGS1|LPGAT1|LPCAT3|SMG1|EFR3A|LPIN1|SIRT1|PISD|CPNE7|PIK3R4|ACP6|GPCPD1|PITPNM2|SLC30A5|MPPE1|MTMR9|PTDSS2|PGAP4|SERAC1|PIGM|PTPMT1|PIGU|TMEM68|PIKFYVE,-9.349511913771776,0,2,0,0,-16.268950701347794,6.2473429381199805,
1,-11.620646873235552,GO:0006650,M1,1,0,GO Biological Processes,19,glycerophospholipid metabolic process,19_GO:0009987 cellular process,-11.620646873235552,5.085556356645037,9.726279344342604,30230,285,584,28,4.794520547945205,0.8840913487074371,21|1040|5286|5287|5290|8443|9489|9926|10162|23049|23167|23175|23761|27132|30849|51205|56261|57605|64924|65258|66036|81490|84302|84947|93183|114971|128869|200576,ABCA3|CDS1|PIK3C2A|PIK3C2B|PIK3CA|GNPAT|PGS1|LPGAT1|LPCAT3|SMG1|EFR3A|LPIN1|PISD|CPNE7|PIK3R4|ACP6|GPCPD1|PITPNM2|SLC30A5|MPPE1|MTMR9|PTDSS2|PGAP4|SERAC1|PIGM|PTPMT1|PIGU|PIKFYVE,-8.359054633032889,0,2,0,0,-16.268950701347794,6.2473429381199805,
