Cluster,Score,Type,Gene,Symbol,Network
2,3.5625,Clustered,27244,SESN1,MyList_SUB1
2,3.5625,Clustered,64121,RRAGC,MyList_SUB1
2,3.5625,Clustered,7126,TNFAIP1,MyList_SUB1
2,3.5625,Clustered,89890,KBTBD6,MyList_SUB1
2,3.5625,Clustered,10325,RRAGB,MyList_SUB1
2,3.5625,Seed,26249,KLHL3,MyList_SUB1
2,3.5625,Clustered,9681,DEPDC5,MyList_SUB1
2,3.5625,Clustered,84861,KLHL22,MyList_SUB1
2,3.5625,Clustered,90423,ATP6V1E2,MyList_SUB1
2,3.5625,Clustered,729438,CASTOR2,MyList_SUB1
2,3.5625,Clustered,57542,KLHL42,MyList_SUB1
2,3.5625,Clustered,84219,WDR24,MyList_SUB1
2,3.5625,Clustered,9817,KEAP1,MyList_SUB1
2,3.5625,Clustered,84078,KBTBD7,MyList_SUB1
2,3.5625,Clustered,55958,KLHL9,MyList_SUB1
2,3.5625,Clustered,79726,WDR59,MyList_SUB1
3,3.5,Clustered,55764,IFT122,MyList_SUB1
3,3.5,Clustered,90410,IFT20,MyList_SUB1
3,3.5,Clustered,8100,IFT88,MyList_SUB1
3,3.5,Clustered,57560,IFT80,MyList_SUB1
3,3.5,Seed,79809,TTC21B,MyList_SUB1
3,3.5,Clustered,26160,IFT172,MyList_SUB1
3,3.5,Clustered,57728,WDR19,MyList_SUB1
3,3.5,Clustered,9742,IFT140,MyList_SUB1
4,2.857142857142857,Clustered,9582,APOBEC3B,MyList_SUB1
4,2.857142857142857,Seed,200316,APOBEC3F,MyList_SUB1
4,2.857142857142857,Clustered,283459,GATC,MyList_SUB1
4,2.857142857142857,Clustered,4541,ND6,MyList_SUB1
4,2.857142857142857,Clustered,10975,UQCR11,MyList_SUB1
4,2.857142857142857,Clustered,4706,NDUFAB1,MyList_SUB1
4,2.857142857142857,Clustered,4514,COX3,MyList_SUB1
5,2.857142857142857,Seed,9439,MED23,MyList_SUB1
5,2.857142857142857,Clustered,6908,TBP,MyList_SUB1
5,2.857142857142857,Clustered,6837,MED22,MyList_SUB1
5,2.857142857142857,Clustered,55703,POLR3B,MyList_SUB1
5,2.857142857142857,Clustered,2068,ERCC2,MyList_SUB1
5,2.857142857142857,Clustered,2968,GTF2H4,MyList_SUB1
5,2.857142857142857,Clustered,2071,ERCC3,MyList_SUB1
7,2.0,Clustered,203062,TSNARE1,MyList_SUB1
7,2.0,Clustered,6845,VAMP7,MyList_SUB1
7,2.0,Seed,6854,SYN2,MyList_SUB1
7,2.0,Clustered,8677,STX10,MyList_SUB1
7,2.0,Clustered,134957,STXBP5,MyList_SUB1
8,2.0,Clustered,1052,CEBPD,MyList_SUB1
8,2.0,Clustered,6778,STAT6,MyList_SUB1
8,2.0,Clustered,2353,FOS,MyList_SUB1
8,2.0,Seed,6095,RORA,MyList_SUB1
8,2.0,Clustered,3726,JUNB,MyList_SUB1
6,1.8333333333333335,Clustered,5582,PRKCG,MyList_SUB1
6,1.8333333333333335,Seed,5587,PRKD1,MyList_SUB1
6,1.8333333333333335,Clustered,5580,PRKCD,MyList_SUB1
6,1.8333333333333335,Clustered,5581,PRKCE,MyList_SUB1
6,1.8333333333333335,Clustered,673,BRAF,MyList_SUB1
6,1.8333333333333335,Clustered,3551,IKBKB,MyList_SUB1
9,1.5,Clustered,9821,RB1CC1,MyList_SUB1
9,1.5,Clustered,51422,PRKAG2,MyList_SUB1
9,1.5,Clustered,5563,PRKAA2,MyList_SUB1
9,1.5,Seed,60673,ATG101,MyList_SUB1
1,1.4117647058823528,Clustered,4931,NVL,MyList_SUB1
1,1.4117647058823528,Clustered,7403,KDM6A,MyList_SUB1
1,1.4117647058823528,Clustered,55706,NDC1,MyList_SUB1
1,1.4117647058823528,Clustered,197322,ACSF3,MyList_SUB1
1,1.4117647058823528,Clustered,2182,ACSL4,MyList_SUB1
1,1.4117647058823528,Clustered,26289,AK5,MyList_SUB1
1,1.4117647058823528,Clustered,60558,GUF1,MyList_SUB1
1,1.4117647058823528,Clustered,6041,RNASEL,MyList_SUB1
1,1.4117647058823528,Clustered,84342,COG8,MyList_SUB1
1,1.4117647058823528,Clustered,9382,COG1,MyList_SUB1
1,1.4117647058823528,Clustered,2733,GLE1,MyList_SUB1
1,1.4117647058823528,Clustered,339122,RAB43,MyList_SUB1
1,1.4117647058823528,Clustered,4508,ATP6,MyList_SUB1
1,1.4117647058823528,Clustered,51542,VPS54,MyList_SUB1
