Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
8225,3.0,1,1,1
4540,3.0,1,1,1
50649,3.0,1,1,1
79867,3.0,1,1,1
4938,3.0,1,1,1
4833,3.0,1,1,1
4706,3.0,1,1,1
4615,3.0,1,1,1
80067,3.0,1,1,1
4541,3.0,1,1,1
4514,3.0,1,1,1
51106,3.0,1,1,1
4508,3.0,1,1,1
4504,3.0,1,1,1
440275,3.0,1,1,1
4292,3.0,1,1,1
4289,3.0,1,1,1
4285,3.0,1,1,1
4249,3.0,1,1,1
80198,3.0,1,1,1
50807,3.0,1,1,1
51107,3.0,1,1,1
26249,3.0,1,1,1
79671,3.0,1,1,1
5287,3.0,1,1,1
5286,3.0,1,1,1
5192,3.0,1,1,1
51776,3.0,1,1,1
51761,3.0,1,1,1
51660,3.0,1,1,1
51542,3.0,1,1,1
51537,3.0,1,1,1
5145,3.0,1,1,1
79809,3.0,1,1,1
51422,3.0,1,1,1
5137,3.0,1,1,1
51360,3.0,1,1,1
79726,3.0,1,1,1
51300,3.0,1,1,1
5129,3.0,1,1,1
79736,3.0,1,1,1
51205,3.0,1,1,1
406,3.0,1,1,1
3988,3.0,1,1,1
3985,3.0,1,1,1
27257,3.0,1,1,1
29086,3.0,1,1,1
81704,3.0,1,1,1
81839,3.0,1,1,1
286097,3.0,1,1,1
285605,3.0,1,1,1
6095,3.0,1,1,1
8310,3.0,1,1,1
27292,3.0,1,1,1
27244,3.0,1,1,1
3981,3.0,1,1,1
27132,3.0,1,1,1
2710,3.0,1,1,1
84061,3.0,1,1,1
27072,3.0,1,1,1
84078,3.0,1,1,1
26580,3.0,1,1,1
26521,3.0,1,1,1
84131,3.0,1,1,1
81602,3.0,1,1,1
2968,3.0,1,1,1
29761,3.0,1,1,1
81554,3.0,1,1,1
80262,3.0,1,1,1
80314,3.0,1,1,1
80324,3.0,1,1,1
8100,3.0,1,1,1
3726,3.0,1,1,1
3611,3.0,1,1,1
3551,3.0,1,1,1
340061,3.0,1,1,1
339122,3.0,1,1,1
81490,3.0,1,1,1
3310,3.0,1,1,1
30849,3.0,1,1,1
29954,3.0,1,1,1
81539,3.0,1,1,1
29929,3.0,1,1,1
29882,3.0,1,1,1
29880,3.0,1,1,1
5290,3.0,1,1,1
79591,3.0,1,1,1
5311,3.0,1,1,1
6515,3.0,1,1,1
64682,3.0,1,1,1
64745,3.0,1,1,1
57380,3.0,1,1,1
57180,3.0,1,1,1
57169,3.0,1,1,1
57161,3.0,1,1,1
6490,3.0,1,1,1
64924,3.0,1,1,1
65258,3.0,1,1,1
5587,3.0,1,1,1
6533,3.0,1,1,1
6590,3.0,1,1,1
66036,3.0,1,1,1
56262,3.0,1,1,1
6655,3.0,1,1,1
6721,3.0,1,1,1
5609,3.0,1,1,1
5602,3.0,1,1,1
57542,3.0,1,1,1
57559,3.0,1,1,1
57560,3.0,1,1,1
57570,3.0,1,1,1
6300,3.0,1,1,1
60487,3.0,1,1,1
6041,3.0,1,1,1
6016,3.0,1,1,1
6307,3.0,1,1,1
5934,3.0,1,1,1
59338,3.0,1,1,1
5922,3.0,1,1,1
5873,3.0,1,1,1
58485,3.0,1,1,1
6391,3.0,1,1,1
5824,3.0,1,1,1
6392,3.0,1,1,1
57728,3.0,1,1,1
63933,3.0,1,1,1
