Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Molecular Functions,21,GO:0003712,transcription coregulator activity,,-20,4.3,12,30230,550,729,57,7.8,0.99,166|595|607|862|3400|4299|4793|4848|4863|6880|6882|6942|7041|8805|8861|9139|9325|9500|9541|9611|9734|10001|10138|10413|10524|10848|11030|11143|23054|23373|23635|25937|26039|26471|27125|27324|29079|51132|51564|51616|55122|57496|57591|57649|64784|79047|81550|84441|84444|84969|112950|119392|126374|200186|219541|256643|283149,TLE5|CCND1|BCL9|RUNX1T1|ID4|AFF1|NFKBIB|CNOT2|NPAT|TAF9|TAF11|TCF20|TGFB1I1|TRIM24|LDB1|CBFA2T2|TRIP4|MAGED1|CIRSR|NCOR1|HDAC9|MED6|YAF2|YAP1|KAT5|PPP1R13L|RBPMS|KAT7|NCOA6|CRTC1|SSBP2|WWTR1|SS18L1|NUPR1|AFF4|TOX3|MED4|RLIM|HDAC7|TAF9B|AKIRIN2|MRTFB|MRTFA|PHF12|CRTC3|KCTD15|TDRD3|MAML2|DOT1L|TOX2|MED8|SFR1|WTIP|CRTC2|MED19|BCLAF3|BCL9L,-15
MyList,GO Cellular Components,20,GO:0005667,transcription regulator complex,,-14,3.7,9.8,30230,545,729,48,6.6,0.92,595|607|2737|2961|3622|4211|4335|4772|5978|6281|6618|6777|6874|6880|6881|6882|6909|6925|6934|6938|7942|8861|9611|9734|9759|10001|10379|10413|10524|10849|23054|25937|27086|29079|51132|51616|54815|55122|55859|55957|56998|57649|83860|112950|126374|129685|219541|283149,CCND1|BCL9|GLI3|GTF2E2|ING2|MEIS1|MNT|NFATC1|REST|S100A10|SNAPC2|STAT5B|TAF4|TAF9|TAF10|TAF11|TBX2|TCF4|TCF7L2|TCF12|TFEB|LDB1|NCOR1|HDAC9|HDAC4|MED6|IRF9|YAP1|KAT5|POLR1G|NCOA6|WWTR1|FOXP1|MED4|RLIM|TAF9B|GATAD2A|AKIRIN2|BEX1|LIN37|CTNNBIP1|PHF12|TAF3|MED8|WTIP|TAF8|MED19|BCL9L,-9.7
MyList,GO Molecular Functions,21,GO:0008134,transcription factor binding,,-14,3.5,9.6,30230,594,729,50,6.9,0.94,862|904|2002|2067|2961|3297|3400|4772|4848|5076|5978|6777|6874|6880|6881|6882|6909|6925|6934|6938|7041|8553|8805|8861|9113|9325|9326|9611|9686|9734|9759|10001|10413|10524|23054|23373|27086|29079|51564|55791|55859|56998|57506|57649|64320|64375|64784|79365|84444|200186,RUNX1T1|CCNT1|ELK1|ERCC1|GTF2E2|HSF1|ID4|NFATC1|CNOT2|PAX2|REST|STAT5B|TAF4|TAF9|TAF10|TAF11|TBX2|TCF4|TCF7L2|TCF12|TGFB1I1|BHLHE40|TRIM24|LDB1|LATS1|TRIP4|ZNHIT3|NCOR1|VGLL4|HDAC9|HDAC4|MED6|YAP1|KAT5|NCOA6|CRTC1|FOXP1|MED4|HDAC7|LRIF1|BEX1|CTNNBIP1|MAVS|PHF12|RNF25|IKZF4|CRTC3|BHLHE41|DOT1L|CRTC2,-9.6
MyList,GO Molecular Functions,21,GO:0003713,transcription coactivator activity,,-13,4.7,10,30230,299,729,34,4.7,0.78,607|4793|4863|6880|6882|6942|7041|8805|8861|9325|9500|10001|10138|10413|10524|11030|23054|23373|23635|25937|26039|26471|27324|29079|57496|57591|64784|81550|84441|84444|84969|119392|200186|283149,BCL9|NFKBIB|NPAT|TAF9|TAF11|TCF20|TGFB1I1|TRIM24|LDB1|TRIP4|MAGED1|MED6|YAF2|YAP1|KAT5|RBPMS|NCOA6|CRTC1|SSBP2|WWTR1|SS18L1|NUPR1|TOX3|MED4|MRTFB|MRTFA|CRTC3|TDRD3|MAML2|DOT1L|TOX2|SFR1|CRTC2|BCL9L,-9.2
MyList,GO Biological Processes,19,GO:0006351,DNA-templated transcription,19_GO:0009987 cellular process,-11,3.5,8.8,30230,503,729,42,5.8,0.86,862|904|1389|2961|4291|4299|4335|4793|6281|6618|6660|6874|6880|6881|6882|7270|8805|8861|9139|9878|10001|10379|10849|11143|23054|27125|27297|29079|51616|51728|57117|58506|65056|80789|83860|84337|84524|92105|112950|129685|144108|219541,RUNX1T1|CCNT1|CREBL2|GTF2E2|MLF1|AFF1|MNT|NFKBIB|S100A10|SNAPC2|SOX5|TAF4|TAF9|TAF10|TAF11|TTF1|TRIM24|LDB1|CBFA2T2|TOX4|MED6|IRF9|POLR1G|KAT7|NCOA6|AFF4|CRCP|MED4|TAF9B|POLR3K|INTS12|SCAF1|GPBP1|INTS5|TAF3|ELOF1|ZC3H8|INTS4|MED8|TAF8|SPTY2D1|MED19,-7.7
MyList,GO Cellular Components,20,GO:0031012,extracellular matrix,,-11,3.3,8.4,30230,509,729,41,5.6,0.85,333|1307|1311|1634|1946|2147|2158|2162|3263|3383|3697|4052|4060|4969|5118|6281|6383|6387|7041|7044|7059|7060|8425|10082|10631|11117|23767|51129|54507|63827|64856|80760|83546|127435|129804|136227|145864|151887|221914|284018|284297,APLP1|COL16A1|COMP|DCN|EFNA5|F2|F9|F13A1|HPX|ICAM1|ITIH1|LTBP1|LUM|OGN|PCOLCE|S100A10|SDC2|CXCL12|TGFB1I1|LEFTY2|THBS3|THBS4|LTBP4|GPC6|POSTN|EMILIN1|FLRT3|ANGPTL4|ADAMTSL4|BCAN|VWA1|ITIH5|RTBDN|PODN|FBLN7|COL26A1|HAPLN3|CCDC80|GPC2|C17orf58|SSC5D,-7
MyList,GO Cellular Components,20,GO:0030312,external encapsulating structure,,-11,3.3,8.3,30230,514,729,41,5.6,0.85,333|1307|1311|1634|1946|2147|2158|2162|3263|3383|3697|4052|4060|4969|5118|6281|6383|6387|7041|7044|7059|7060|8425|10082|10631|11117|23767|51129|54507|63827|64856|80760|83546|127435|129804|136227|145864|151887|221914|284018|284297,APLP1|COL16A1|COMP|DCN|EFNA5|F2|F9|F13A1|HPX|ICAM1|ITIH1|LTBP1|LUM|OGN|PCOLCE|S100A10|SDC2|CXCL12|TGFB1I1|LEFTY2|THBS3|THBS4|LTBP4|GPC6|POSTN|EMILIN1|FLRT3|ANGPTL4|ADAMTSL4|BCAN|VWA1|ITIH5|RTBDN|PODN|FBLN7|COL26A1|HAPLN3|CCDC80|GPC2|C17orf58|SSC5D,-6.9
MyList,GO Molecular Functions,21,GO:0140297,DNA-binding transcription factor binding,,-10,3.3,8.1,30230,488,729,39,5.3,0.83,862|904|2002|3400|4772|5978|6777|6874|6880|6881|6882|6909|6934|6938|7041|8553|8805|8861|9113|9325|9326|9611|9734|9759|10413|10524|23054|23373|27086|29079|51564|55791|57506|64320|64375|64784|79365|84444|200186,RUNX1T1|CCNT1|ELK1|ID4|NFATC1|REST|STAT5B|TAF4|TAF9|TAF10|TAF11|TBX2|TCF7L2|TCF12|TGFB1I1|BHLHE40|TRIM24|LDB1|LATS1|TRIP4|ZNHIT3|NCOR1|HDAC9|HDAC4|YAP1|KAT5|NCOA6|CRTC1|FOXP1|MED4|HDAC7|LRIF1|MAVS|RNF25|IKZF4|CRTC3|BHLHE41|DOT1L|CRTC2,-6.5
MyList,GO Cellular Components,20,GO:0005815,microtubule organizing center,,-10,2.7,7.7,30230,793,729,52,7.1,0.95,595|822|1453|3014|3297|4291|4682|4739|5076|5116|6792|8658|8766|9113|9325|9541|9857|10101|11215|23247|23331|26146|26586|29911|50487|51199|54806|54820|54908|57701|64792|79140|79848|80097|80254|80817|81565|83590|83987|84080|84140|84260|85302|91272|112752|116840|136647|151987|152185|152206|256714|653784,CCND1|CAPG|CSNK1D|H2AX|HSF1|MLF1|NUBP1|NEDD9|PAX2|PCNT|CDKL5|TNKS|RAB11A|LATS1|TRIP4|CIRSR|CEP350|NUBP2|AKAP11|KATNIP|TTC28|TRAF3IP1|CKAP2|HOOK2|PLA2G3|NIN|AHI1|NDE1|SPDL1|NCKAP5L|IFT22|CCDC28B|CSPP1|MZT2B|CEP63|CEP44|NDEL1|TMUB1|CCDC8|ENKD1|FAM161A|TCHP|FBF1|BOD1|IFT43|CNTROB|MPLKIP|PPP4R2|SPICE1|CCDC13|MAP7D2|MZT2A,-6.5
MyList,GO Cellular Components,20,GO:0005813,centrosome,,-9.8,2.9,7.8,30230,635,729,45,6.2,0.89,1453|3014|3297|4682|5076|5116|6792|8658|8766|9113|9325|9541|9857|10101|11215|23331|26146|26586|29911|51199|54806|54820|54908|57701|64792|79140|79848|80097|80254|80817|81565|83590|83987|84080|84140|84260|85302|91272|116840|136647|151987|152185|152206|256714|653784,CSNK1D|H2AX|HSF1|NUBP1|PAX2|PCNT|CDKL5|TNKS|RAB11A|LATS1|TRIP4|CIRSR|CEP350|NUBP2|AKAP11|TTC28|TRAF3IP1|CKAP2|HOOK2|NIN|AHI1|NDE1|SPDL1|NCKAP5L|IFT22|CCDC28B|CSPP1|MZT2B|CEP63|CEP44|NDEL1|TMUB1|CCDC8|ENKD1|FAM161A|TCHP|FBF1|BOD1|CNTROB|MPLKIP|PPP4R2|SPICE1|CCDC13|MAP7D2|MZT2A,-6.3
MyList,GO Biological Processes,19,GO:0031175,neuron projection development,19_GO:0032502 developmental process,-9.4,2.7,7.5,30230,724,729,48,6.6,0.92,71|333|575|605|1501|1946|1947|1948|1949|2044|2049|2737|2861|4653|4685|4734|4744|4756|4854|4917|5076|5361|5978|6091|6092|6383|6387|8766|9723|10501|22871|23767|26039|51199|57549|57715|65078|79778|80303|81565|81628|84079|84298|84612|89884|114787|256714|286262,ACTG1|APLP1|ADGRB1|BCL7A|CTNND2|EFNA5|EFNB1|EFNB2|EFNB3|EPHA5|EPHB3|GLI3|GPR37|MYOC|NCAM2|NEDD4|NEFH|NEO1|NOTCH3|NTN3|PAX2|PLXNA1|REST|ROBO1|ROBO2|SDC2|CXCL12|RAB11A|SEMA3E|SEMA6B|NLGN1|FLRT3|SS18L1|NIN|IGSF9|SEMA4G|RTN4R|MICALL2|EFHD1|NDEL1|TSC22D4|ANKRD27|LLPH|PARD6B|LHX4|GPRIN1|MAP7D2|TPRN,-6.1
MyList,GO Molecular Functions,21,GO:0003682,chromatin binding,,-9.4,2.9,7.6,30230,629,729,44,6,0.88,904|1164|2002|2067|2737|3007|3297|3622|4211|4286|4300|4335|5978|6047|6777|6881|7270|7703|8805|8861|9760|9878|10413|10524|11143|23054|26471|27245|27324|51149|51322|51564|54107|79596|80012|81550|84629|84939|84969|90378|148398|254225|339287|344658,CCNT1|CKS2|ELK1|ERCC1|GLI3|H1-3|HSF1|ING2|MEIS1|MITF|MLLT3|MNT|REST|RNF4|STAT5B|TAF10|TTF1|PCGF2|TRIM24|LDB1|TOX|TOX4|YAP1|KAT5|KAT7|NCOA6|NUPR1|AHDC1|TOX3|MRNIP|WAC|HDAC7|POLE3|OBI1|PHC3|TDRD3|TNRC18|PWWP3A|TOX2|SAMD1|SAMD11|RNF169|MSL1|SAMD7,-6.1
MyList,GO Cellular Components,20,GO:0005819,spindle,,-9.4,3.4,7.8,30230,427,729,35,4.8,0.79,822|1453|3297|4739|8658|8766|9113|9611|9857|10101|10524|23331|25978|26009|26586|51199|51562|54820|54908|54984|56776|79848|79884|80097|80254|80817|81565|84080|84140|84722|85302|91272|152185|284058|653784,CAPG|CSNK1D|HSF1|NEDD9|TNKS|RAB11A|LATS1|NCOR1|CEP350|NUBP2|KAT5|TTC28|CHMP2B|ZZZ3|CKAP2|NIN|MBIP|NDE1|SPDL1|PINX1|FMN2|CSPP1|MAP9|MZT2B|CEP63|CEP44|NDEL1|ENKD1|FAM161A|PSRC1|FBF1|BOD1|SPICE1|KANSL1|MZT2A,-6.1
MyList,GO Cellular Components,20,GO:0035770,ribonucleoprotein granule,,-8.7,2.7,7.1,30230,714,729,46,6.3,0.9,665|1979|2122|2737|2869|3014|3297|4848|4863|5546|6938|7737|9541|9759|11030|11170|11201|11269|22794|22927|23112|29890|51322|54815|55095|55105|55589|55643|55663|55833|56478|57496|57523|57602|57690|80271|84248|84331|84441|84524|124790|126374|140890|196513|339287|374395,BNIP3L|EIF4EBP2|MECOM|GLI3|GRK5|H2AX|HSF1|CNOT2|NPAT|PRCC|TCF12|RNF113A|CIRSR|HDAC4|RBPMS|FAM107A|POLI|DDX19B|CASC3|HABP4|TNRC6B|RBM15B|WAC|GATAD2A|SAMD4B|GPATCH2|BMP2K|BTBD2|ZNF446|UBAP2|EIF4ENIF1|MRTFB|NYNRIN|USP36|TNRC6C|ITPKC|FYTTD1|MCRIP2|MAML2|ZC3H8|HEXIM2|WTIP|SREK1|DCP1B|MSL1|TMEM179B,-5.4
MyList,GO Biological Processes,19,GO:0120039,plasma membrane bounded cell projection morphogenesis,19_GO:0032502 developmental process,-8.6,3.1,7.3,30230,501,729,37,5.1,0.81,71|333|575|605|1501|1946|1947|1948|1949|2044|2049|2737|4744|4756|4854|4917|5076|5361|6091|6092|6383|6387|9723|10501|22871|23767|51177|51199|57549|57715|65078|81565|81628|84079|84298|84612|89884,ACTG1|APLP1|ADGRB1|BCL7A|CTNND2|EFNA5|EFNB1|EFNB2|EFNB3|EPHA5|EPHB3|GLI3|NEFH|NEO1|NOTCH3|NTN3|PAX2|PLXNA1|ROBO1|ROBO2|SDC2|CXCL12|SEMA3E|SEMA6B|NLGN1|FLRT3|PLEKHO1|NIN|IGSF9|SEMA4G|RTN4R|NDEL1|TSC22D4|ANKRD27|LLPH|PARD6B|LHX4,-5.4
MyList,GO Biological Processes,19,GO:0000902,cell morphogenesis,19_GO:0032502 developmental process,-8.6,2.7,7.1,30230,717,729,46,6.3,0.9,71|333|575|605|1501|1946|1947|1948|1949|2044|2049|2737|3082|4744|4756|4854|4917|5076|5361|5978|6091|6092|6383|6387|9113|9723|10413|10501|10653|22871|23767|51177|51199|57010|57348|57549|57619|57715|65078|81565|81628|84079|84298|84612|89884|286262,ACTG1|APLP1|ADGRB1|BCL7A|CTNND2|EFNA5|EFNB1|EFNB2|EFNB3|EPHA5|EPHB3|GLI3|HGF|NEFH|NEO1|NOTCH3|NTN3|PAX2|PLXNA1|REST|ROBO1|ROBO2|SDC2|CXCL12|LATS1|SEMA3E|YAP1|SEMA6B|SPINT2|NLGN1|FLRT3|PLEKHO1|NIN|CABP4|TTYH1|IGSF9|SHROOM3|SEMA4G|RTN4R|NDEL1|TSC22D4|ANKRD27|LLPH|PARD6B|LHX4|TPRN,-5.4
